State,County,School Breakfast Program participants (% children) 2017 (PCT_SBP17),Units,FIPS,FID
Alabama,Autauga,33.475353939882964,Percent,1001,5
Alabama,Baldwin,33.475353939882964,Percent,1003,20
Alabama,Barbour,33.475353939882964,Percent,1005,25
Alabama,Bibb,33.475353939882964,Percent,1007,29
Alabama,Blount,33.475353939882964,Percent,1009,33
Alabama,Bullock,33.475353939882964,Percent,1011,37
Alabama,Butler,33.475353939882964,Percent,1013,39
Alabama,Calhoun,33.475353939882964,Percent,1015,43
Alabama,Chambers,33.475353939882964,Percent,1017,47
Alabama,Cherokee,33.475353939882964,Percent,1019,51
Alabama,Chilton,33.475353939882964,Percent,1021,56
Alabama,Choctaw,33.475353939882964,Percent,1023,58
Alabama,Clarke,33.475353939882964,Percent,1025,61
Alabama,Clay,33.475353939882964,Percent,1027,65
Alabama,Cleburne,33.475353939882964,Percent,1029,67
Alabama,Coffee,33.475353939882964,Percent,1031,70
Alabama,Colbert,33.475353939882964,Percent,1033,73
Alabama,Conecuh,33.475353939882964,Percent,1035,80
Alabama,Coosa,33.475353939882964,Percent,1037,82
Alabama,Covington,33.475353939882964,Percent,1039,88
Alabama,Crenshaw,33.475353939882964,Percent,1041,90
Alabama,Cullman,33.475353939882964,Percent,1043,98
Alabama,Dale,33.475353939882964,Percent,1045,101
Alabama,Dallas,33.475353939882964,Percent,1047,110
Alabama,DeKalb,33.475353939882964,Percent,1049,112
Alabama,Elmore,33.475353939882964,Percent,1051,118
Alabama,Escambia,33.475353939882964,Percent,1053,122
Alabama,Etowah,33.475353939882964,Percent,1055,131
Alabama,Fayette,33.475353939882964,Percent,1057,134
Alabama,Franklin,33.475353939882964,Percent,1059,138
Alabama,Geneva,33.475353939882964,Percent,1061,140
Alabama,Greene,33.475353939882964,Percent,1063,148
Alabama,Hale,33.475353939882964,Percent,1065,150
Alabama,Henry,33.475353939882964,Percent,1067,158
Alabama,Houston,33.475353939882964,Percent,1069,160
Alabama,Jackson,33.475353939882964,Percent,1071,164
Alabama,Jefferson,33.475353939882964,Percent,1073,171
Alabama,Lamar,33.475353939882964,Percent,1075,174
