State,County,Black low access to store (%) 2015 (PCT_LACCESS_BLACK15),Units,FIPS,FID
Arkansas,Arkansas,13.863622905312898,Percent,5001,46
Arkansas,Ashley,8.650149900470645,Percent,5003,50
Arkansas,Baxter,0.01606382137326466,Percent,5005,54
Arkansas,Benton,0.19032203453469745,Percent,5007,59
Arkansas,Boone,0.028462767675008806,Percent,5009,62
Arkansas,Bradley,2.495318455128962,Percent,5011,68
Arkansas,Calhoun,15.598292397059502,Percent,5013,72
Arkansas,Carroll,0.031955247793068645,Percent,5015,74
Arkansas,Chicot,30.38080797237915,Percent,5017,77
Arkansas,Clark,10.178639102084237,Percent,5019,86
Arkansas,Clay,0.014819506648910526,Percent,5021,93
Arkansas,Cleburne,0.00412944355720643,Percent,5023,97
Arkansas,Cleveland,2.112221066744021,Percent,5025,103
Arkansas,Columbia,4.958160833338873,Percent,5027,107
Arkansas,Conway,0.9161484789088469,Percent,5029,109
Arkansas,Craighead,2.788957782618324,Percent,5031,114
Arkansas,Crawford,0.27051760844695233,Percent,5033,115
Arkansas,Crittenden,5.155827680812522,Percent,5035,119
Arkansas,Cross,1.390071793067051,Percent,5037,124
Arkansas,Dallas,18.96109664412149,Percent,5039,128
Arkansas,Desha,17.848327030058734,Percent,5041,130
Arkansas,Drew,5.142922148502328,Percent,5043,136
Arkansas,Faulkner,2.3647337644108197,Percent,5045,141
Arkansas,Franklin,0.2860794821715558,Percent,5047,144
Arkansas,Fulton,0.06874251384492708,Percent,5049,146
Arkansas,Garland,1.79238018878948,Percent,5051,151
Arkansas,Grant,0.240838044066474,Percent,5053,155
Arkansas,Greene,0.1386541088047168,Percent,5055,162
Arkansas,Hempstead,9.159229080387103,Percent,5057,172
Arkansas,Hot Spring,0.7932808894091395,Percent,5059,184
Arkansas,Howard,4.688891362305366,Percent,5061,191
Arkansas,Independence,0.32843700984647584,Percent,5063,200
Arkansas,Izard,0.0,Percent,5065,203
Arkansas,Jackson,5.726426298435351,Percent,5067,209
Arkansas,Jefferson,10.103638041551896,Percent,5069,213
Arkansas,Johnson,0.03229844779081879,Percent,5071,218
