State,County,WIC redemptions per WIC-authorized stores (% change) 2011-16 (PCH_REDEMP_WICS_11_16),Units,FIPS,FID
Arkansas,Benton,-41.94720458984375,% change,5007,59
Arkansas,Boone,-30.3483829498291,% change,5009,62
Arkansas,Bradley,35.72939682006836,% change,5011,68
Arkansas,Calhoun,nan,% change,5013,72
Arkansas,Carroll,-10.741490364074707,% change,5015,74
Arkansas,Chicot,20.19072723388672,% change,5017,77
Arkansas,Clark,69.74564361572266,% change,5019,86
Arkansas,Clay,-19.807201385498047,% change,5021,93
Arkansas,Cleburne,92.54248046875,% change,5023,97
Arkansas,Cleveland,-26.49122428894043,% change,5025,103
Arkansas,Columbia,-7.435802459716797,% change,5027,107
Arkansas,Conway,-20.99886131286621,% change,5029,109
Arkansas,Craighead,-3.6995677947998047,% change,5031,114
Arkansas,Crawford,-16.975561141967773,% change,5033,115
Arkansas,Crittenden,-3.407233476638794,% change,5035,119
Arkansas,Cross,-4.11929988861084,% change,5037,124
Arkansas,Dallas,-18.4857120513916,% change,5039,128
Arkansas,Desha,-8.422506332397461,% change,5041,130
Arkansas,Drew,-20.916179656982422,% change,5043,136
Arkansas,Faulkner,-28.78327751159668,% change,5045,141
Arkansas,Franklin,-58.98000717163086,% change,5047,144
Arkansas,Fulton,-16.688066482543945,% change,5049,146
Arkansas,Garland,-23.355682373046875,% change,5051,151
Arkansas,Grant,-34.33696746826172,% change,5053,155
Arkansas,Greene,-32.71626281738281,% change,5055,162
Arkansas,Hempstead,-12.379546165466309,% change,5057,172
Arkansas,Hot Spring,-12.865483283996582,% change,5059,184
Arkansas,Howard,95.82120513916016,% change,5061,191
Arkansas,Independence,-6.288967609405518,% change,5063,200
Arkansas,Izard,-13.662277221679688,% change,5065,203
Arkansas,Jackson,58.45531463623047,% change,5067,209
Arkansas,Jefferson,-18.244586944580078,% change,5069,213
Arkansas,Johnson,-41.29711151123047,% change,5071,218
Arkansas,Lafayette,25.598196029663086,% change,5073,222
Arkansas,Lawrence,-23.47087287902832,% change,5075,230
Arkansas,Lee,-14.394018173217773,% change,5077,237
Arkansas,Lincoln,-32.03288269042969,% change,5079,244
Arkansas,Little River,-14.844193458557129,% change,5081,251
Arkansas,Logan,-52.118896484375,% change,5083,258
Arkansas,Lonoke,-12.551233291625977,% change,5085,268
Arkansas,Madison,7.83260440826416,% change,5087,277
Arkansas,Marion,-7.645535469055176,% change,5089,282
Arkansas,Miller,-22.37761116027832,% change,5091,287
Arkansas,Mississippi,13.837794303894043,% change,5093,294
Arkansas,Monroe,14.10803508758545,% change,5095,300
Arkansas,Montgomery,73.07295989990234,% change,5097,304
Arkansas,Nevada,-25.27440071105957,% change,5099,307
Arkansas,Newton,25.566410064697266,% change,5101,311
Arkansas,Ouachita,-13.049649238586426,% change,5103,316
Arkansas,Perry,-33.06784439086914,% change,5105,318
Arkansas,Phillips,40.39842987060547,% change,5107,322
Arkansas,Pike,40.658180236816406,% change,5109,327
Arkansas,Poinsett,2.7051198482513428,% change,5111,333
