State,County,WIC infant and children participants (% infant & children) 2016 (PCT_WICINFANTCHILD16),Units,FIPS,FID
Arkansas,Baxter,30.749041302571197,Percent,5005,54
Arkansas,Benton,30.749041302571197,Percent,5007,59
Arkansas,Boone,30.749041302571197,Percent,5009,62
Arkansas,Bradley,30.749041302571197,Percent,5011,68
Arkansas,Calhoun,30.749041302571197,Percent,5013,72
Arkansas,Carroll,30.749041302571197,Percent,5015,74
Arkansas,Chicot,30.749041302571197,Percent,5017,77
Arkansas,Clark,30.749041302571197,Percent,5019,86
Arkansas,Clay,30.749041302571197,Percent,5021,93
Arkansas,Cleburne,30.749041302571197,Percent,5023,97
Arkansas,Cleveland,30.749041302571197,Percent,5025,103
Arkansas,Columbia,30.749041302571197,Percent,5027,107
Arkansas,Conway,30.749041302571197,Percent,5029,109
Arkansas,Craighead,30.749041302571197,Percent,5031,114
Arkansas,Crawford,30.749041302571197,Percent,5033,115
Arkansas,Crittenden,30.749041302571197,Percent,5035,119
Arkansas,Cross,30.749041302571197,Percent,5037,124
Arkansas,Dallas,30.749041302571197,Percent,5039,128
Arkansas,Desha,30.749041302571197,Percent,5041,130
Arkansas,Drew,30.749041302571197,Percent,5043,136
Arkansas,Faulkner,30.749041302571197,Percent,5045,141
Arkansas,Franklin,30.749041302571197,Percent,5047,144
Arkansas,Fulton,30.749041302571197,Percent,5049,146
Arkansas,Garland,30.749041302571197,Percent,5051,151
Arkansas,Grant,30.749041302571197,Percent,5053,155
Arkansas,Greene,30.749041302571197,Percent,5055,162
Arkansas,Hempstead,30.749041302571197,Percent,5057,172
Arkansas,Hot Spring,30.749041302571197,Percent,5059,184
Arkansas,Howard,30.749041302571197,Percent,5061,191
Arkansas,Independence,30.749041302571197,Percent,5063,200
Arkansas,Izard,30.749041302571197,Percent,5065,203
Arkansas,Jackson,30.749041302571197,Percent,5067,209
Arkansas,Jefferson,30.749041302571197,Percent,5069,213
Arkansas,Johnson,30.749041302571197,Percent,5071,218
Arkansas,Lafayette,30.749041302571197,Percent,5073,222
Arkansas,Lawrence,30.749041302571197,Percent,5075,230
Arkansas,Lee,30.749041302571197,Percent,5077,237
Arkansas,Lincoln,30.749041302571197,Percent,5079,244
Arkansas,Little River,30.749041302571197,Percent,5081,251
Arkansas,Logan,30.749041302571197,Percent,5083,258
Arkansas,Lonoke,30.749041302571197,Percent,5085,268
Arkansas,Madison,30.749041302571197,Percent,5087,277
Arkansas,Marion,30.749041302571197,Percent,5089,282
Arkansas,Miller,30.749041302571197,Percent,5091,287
Arkansas,Mississippi,30.749041302571197,Percent,5093,294
Arkansas,Monroe,30.749041302571197,Percent,5095,300
Arkansas,Montgomery,30.749041302571197,Percent,5097,304
Arkansas,Nevada,30.749041302571197,Percent,5099,307
Arkansas,Newton,30.749041302571197,Percent,5101,311
Arkansas,Ouachita,30.749041302571197,Percent,5103,316
Arkansas,Perry,30.749041302571197,Percent,5105,318
Arkansas,Phillips,30.749041302571197,Percent,5107,322
Arkansas,Pike,30.749041302571197,Percent,5109,327
Arkansas,Poinsett,30.749041302571197,Percent,5111,333
Arkansas,Polk,30.749041302571197,Percent,5113,337
Arkansas,Pope,30.749041302571197,Percent,5115,340
Arkansas,Prairie,30.749041302571197,Percent,5117,345
Arkansas,Pulaski,30.749041302571197,Percent,5119,350
Arkansas,Randolph,30.749041302571197,Percent,5121,353
Arkansas,St. Francis,30.749041302571197,Percent,5123,357
Arkansas,Saline,30.749041302571197,Percent,5125,360
Arkansas,Scott,30.749041302571197,Percent,5127,364
Arkansas,Searcy,30.749041302571197,Percent,5129,372
Arkansas,Sebastian,30.749041302571197,Percent,5131,378
Arkansas,Sevier,30.749041302571197,Percent,5133,390
Arkansas,Sharp,30.749041302571197,Percent,5135,394
Arkansas,Stone,30.749041302571197,Percent,5137,399
Arkansas,Union,30.749041302571197,Percent,5139,403
Arkansas,Van Buren,30.749041302571197,Percent,5141,407
Arkansas,Washington,30.749041302571197,Percent,5143,417
Arkansas,White,30.749041302571197,Percent,5145,428
Arkansas,Woodruff,30.749041302571197,Percent,5147,435
Arkansas,Yell,30.749041302571197,Percent,5149,438
California,Alameda,35.633484039797395,Percent,6001,457
California,Alpine,35.633484039797395,Percent,6003,461
California,Amador,35.633484039797395,Percent,6005,472
California,Butte,35.633484039797395,Percent,6007,486
California,Calaveras,35.633484039797395,Percent,6009,489
California,Colusa,35.633484039797395,Percent,6011,497
California,Contra Costa,35.633484039797395,Percent,6013,503
California,Del Norte,35.633484039797395,Percent,6015,511
California,El Dorado,35.633484039797395,Percent,6017,522
California,Fresno,35.633484039797395,Percent,6019,527
California,Glenn,35.633484039797395,Percent,6021,537
California,Humboldt,35.633484039797395,Percent,6023,551
California,Imperial,35.633484039797395,Percent,6025,557
California,Inyo,35.633484039797395,Percent,6027,562
California,Kern,35.633484039797395,Percent,6029,84
California,Kings,35.633484039797395,Percent,6031,94
California,Lake,35.633484039797395,Percent,6033,100
California,Lassen,35.633484039797395,Percent,6035,104
California,Los Angeles,35.633484039797395,Percent,6037,139
California,Madera,35.633484039797395,Percent,6039,153
California,Marin,35.633484039797395,Percent,6041,168
California,Mariposa,35.633484039797395,Percent,6043,178
California,Mendocino,35.633484039797395,Percent,6045,190
California,Merced,35.633484039797395,Percent,6047,204
California,Modoc,35.633484039797395,Percent,6049,207
California,Mono,35.633484039797395,Percent,6051,214
California,Monterey,35.633484039797395,Percent,6053,228
California,Napa,35.633484039797395,Percent,6055,236
California,Nevada,35.633484039797395,Percent,6057,243
California,Orange,35.633484039797395,Percent,6059,257
California,Placer,35.633484039797395,Percent,6061,266
California,Plumas,35.633484039797395,Percent,6063,275
California,Riverside,35.633484039797395,Percent,6065,281
California,Sacramento,35.633484039797395,Percent,6067,289
California,San Benito,35.633484039797395,Percent,6069,295
California,San Bernardino,35.633484039797395,Percent,6071,302
California,San Diego,35.633484039797395,Percent,6073,315
California,San Francisco,35.633484039797395,Percent,6075,331
California,San Joaquin,35.633484039797395,Percent,6077,339
California,San Luis Obispo,35.633484039797395,Percent,6079,351
California,San Mateo,35.633484039797395,Percent,6081,368
California,Santa Barbara,35.633484039797395,Percent,6083,391
California,Santa Clara,35.633484039797395,Percent,6085,406
California,Santa Cruz,35.633484039797395,Percent,6087,415
California,Shasta,35.633484039797395,Percent,6089,431
California,Sierra,35.633484039797395,Percent,6091,439
California,Siskiyou,35.633484039797395,Percent,6093,446
California,Solano,35.633484039797395,Percent,6095,453
California,Sonoma,35.633484039797395,Percent,6097,463
California,Stanislaus,35.633484039797395,Percent,6099,473
California,Sutter,35.633484039797395,Percent,6101,483
California,Tehama,35.633484039797395,Percent,6103,492
California,Trinity,35.633484039797395,Percent,6105,500
California,Tulare,35.633484039797395,Percent,6107,501
California,Tuolumne,35.633484039797395,Percent,6109,513
California,Ventura,35.633484039797395,Percent,6111,521
California,Yolo,35.633484039797395,Percent,6113,525
California,Yuba,35.633484039797395,Percent,6115,541
Colorado,Adams,19.168388515970573,Percent,8001,545
Colorado,Alamosa,19.168388515970573,Percent,8003,549
Colorado,Arapahoe,19.168388515970573,Percent,8005,558
Colorado,Archuleta,19.168388515970573,Percent,8007,560
Colorado,Baca,19.168388515970573,Percent,8009,563
Colorado,Bent,19.168388515970573,Percent,8011,564
Colorado,Boulder,19.168388515970573,Percent,8013,570
Colorado,Broomfield,19.168388515970573,Percent,8014,577
Colorado,Chaffee,19.168388515970573,Percent,8015,582
Colorado,Cheyenne,19.168388515970573,Percent,8017,587
Colorado,Clear Creek,19.168388515970573,Percent,8019,591
Colorado,Conejos,19.168388515970573,Percent,8021,596
Colorado,Costilla,19.168388515970573,Percent,8023,599
Colorado,Crowley,19.168388515970573,Percent,8025,605
Colorado,Custer,19.168388515970573,Percent,8027,610
Colorado,Delta,19.168388515970573,Percent,8029,617
Colorado,Denver,19.168388515970573,Percent,8031,628
Colorado,Dolores,19.168388515970573,Percent,8033,636
Colorado,Douglas,19.168388515970573,Percent,8035,644
Colorado,Eagle,19.168388515970573,Percent,8037,648
Colorado,Elbert,19.168388515970573,Percent,8039,655
Colorado,El Paso,19.168388515970573,Percent,8041,661
Colorado,Fremont,19.168388515970573,Percent,8043,664
Colorado,Garfield,19.168388515970573,Percent,8045,667
Colorado,Gilpin,19.168388515970573,Percent,8047,672
Colorado,Grand,19.168388515970573,Percent,8049,677
Colorado,Gunnison,19.168388515970573,Percent,8051,682
Colorado,Hinsdale,19.168388515970573,Percent,8053,688
Colorado,Huerfano,19.168388515970573,Percent,8055,693
Colorado,Jackson,19.168388515970573,Percent,8057,701
Colorado,Jefferson,19.168388515970573,Percent,8059,706
Colorado,Kiowa,19.168388515970573,Percent,8061,711
Colorado,Kit Carson,19.168388515970573,Percent,8063,716
Colorado,Lake,19.168388515970573,Percent,8065,721
Colorado,La Plata,19.168388515970573,Percent,8067,727
Colorado,Larimer,19.168388515970573,Percent,8069,734
Colorado,Las Animas,19.168388515970573,Percent,8071,741
Colorado,Lincoln,19.168388515970573,Percent,8073,747
Colorado,Logan,19.168388515970573,Percent,8075,749
Colorado,Mesa,19.168388515970573,Percent,8077,751
Colorado,Mineral,19.168388515970573,Percent,8079,757
Colorado,Moffat,19.168388515970573,Percent,8081,758
Colorado,Montezuma,19.168388515970573,Percent,8083,766
Colorado,Montrose,19.168388515970573,Percent,8085,769
Colorado,Morgan,19.168388515970573,Percent,8087,775
Colorado,Otero,19.168388515970573,Percent,8089,777
Colorado,Ouray,19.168388515970573,Percent,8091,780
Colorado,Park,19.168388515970573,Percent,8093,782
Colorado,Phillips,19.168388515970573,Percent,8095,785
Colorado,Pitkin,19.168388515970573,Percent,8097,789
Colorado,Prowers,19.168388515970573,Percent,8099,792
Colorado,Pueblo,19.168388515970573,Percent,8101,795
Colorado,Rio Blanco,19.168388515970573,Percent,8103,799
Colorado,Rio Grande,19.168388515970573,Percent,8105,802
Colorado,Routt,19.168388515970573,Percent,8107,809
Colorado,Saguache,19.168388515970573,Percent,8109,811
Colorado,San Juan,19.168388515970573,Percent,8111,347
Colorado,San Miguel,19.168388515970573,Percent,8113,359
Colorado,Sedgwick,19.168388515970573,Percent,8115,366
Colorado,Summit,19.168388515970573,Percent,8117,373
Colorado,Teller,19.168388515970573,Percent,8119,375
Colorado,Washington,19.168388515970573,Percent,8121,377
Colorado,Weld,19.168388515970573,Percent,8123,382
Colorado,Yuma,19.168388515970573,Percent,8125,385
Connecticut,Fairfield,20.06815774421117,Percent,9001,410
Connecticut,Hartford,20.06815774421117,Percent,9003,432
Connecticut,Litchfield,20.06815774421117,Percent,9005,443
Connecticut,Middlesex,20.06815774421117,Percent,9007,450
Connecticut,New Haven,20.06815774421117,Percent,9009,466
Connecticut,New London,20.06815774421117,Percent,9011,517
Connecticut,Tolland,20.06815774421117,Percent,9013,524
Connecticut,Windham,20.06815774421117,Percent,9015,529
Delaware,Kent,24.471039902177626,Percent,10001,532
Delaware,New Castle,24.471039902177626,Percent,10003,536
Delaware,Sussex,24.471039902177626,Percent,10005,609
District of Columbia,District of Columbia,24.94856393755214,Percent,11001,630
Florida,Alachua,32.96049306670639,Percent,12001,639
Florida,Baker,32.96049306670639,Percent,12003,641
Florida,Bay,32.96049306670639,Percent,12005,658
Florida,Bradford,32.96049306670639,Percent,12007,665
Florida,Brevard,32.96049306670639,Percent,12009,686
Florida,Broward,32.96049306670639,Percent,12011,695
Florida,Calhoun,32.96049306670639,Percent,12013,699
Florida,Charlotte,32.96049306670639,Percent,12015,743
Florida,Citrus,32.96049306670639,Percent,12017,843
Florida,Clay,32.96049306670639,Percent,12019,852
Florida,Collier,32.96049306670639,Percent,12021,894
Florida,Columbia,32.96049306670639,Percent,12023,903
Florida,DeSoto,32.96049306670639,Percent,12027,906
Florida,Dixie,32.96049306670639,Percent,12029,918
Florida,Duval,32.96049306670639,Percent,12031,924
Florida,Escambia,32.96049306670639,Percent,12033,931
Florida,Flagler,32.96049306670639,Percent,12035,935
Florida,Franklin,32.96049306670639,Percent,12037,937
Florida,Gadsden,32.96049306670639,Percent,12039,938
Florida,Gilchrist,32.96049306670639,Percent,12041,939
Florida,Glades,32.96049306670639,Percent,12043,940
Florida,Gulf,32.96049306670639,Percent,12045,941
Florida,Hamilton,32.96049306670639,Percent,12047,942
Florida,Hardee,32.96049306670639,Percent,12049,943
Florida,Hendry,32.96049306670639,Percent,12051,944
Florida,Hernando,32.96049306670639,Percent,12053,945
Florida,Highlands,32.96049306670639,Percent,12055,946
Florida,Hillsborough,32.96049306670639,Percent,12057,947
Florida,Holmes,32.96049306670639,Percent,12059,948
Florida,Indian River,32.96049306670639,Percent,12061,949
Florida,Jackson,32.96049306670639,Percent,12063,950
Florida,Jefferson,32.96049306670639,Percent,12065,951
Florida,Lafayette,32.96049306670639,Percent,12067,952
Florida,Lake,32.96049306670639,Percent,12069,953
Florida,Lee,32.96049306670639,Percent,12071,954
Florida,Leon,32.96049306670639,Percent,12073,955
Florida,Levy,32.96049306670639,Percent,12075,956
Florida,Liberty,32.96049306670639,Percent,12077,957
Florida,Madison,32.96049306670639,Percent,12079,958
Florida,Manatee,32.96049306670639,Percent,12081,959
Florida,Marion,32.96049306670639,Percent,12083,960
Florida,Martin,32.96049306670639,Percent,12085,961
Florida,Miami-Dade,32.96049306670639,Percent,12086,962
Florida,Monroe,32.96049306670639,Percent,12087,963
Florida,Nassau,32.96049306670639,Percent,12089,964
Florida,Okaloosa,32.96049306670639,Percent,12091,965
Florida,Okeechobee,32.96049306670639,Percent,12093,966
Florida,Orange,32.96049306670639,Percent,12095,967
Florida,Osceola,32.96049306670639,Percent,12097,968
Florida,Palm Beach,32.96049306670639,Percent,12099,969
Florida,Pasco,32.96049306670639,Percent,12101,970
Florida,Pinellas,32.96049306670639,Percent,12103,971
Florida,Polk,32.96049306670639,Percent,12105,972
Florida,Putnam,32.96049306670639,Percent,12107,973
Florida,St. Johns,32.96049306670639,Percent,12109,974
Florida,St. Lucie,32.96049306670639,Percent,12111,975
Florida,Santa Rosa,32.96049306670639,Percent,12113,976
Florida,Sarasota,32.96049306670639,Percent,12115,977
Florida,Seminole,32.96049306670639,Percent,12117,978
Florida,Sumter,32.96049306670639,Percent,12119,979
Florida,Suwannee,32.96049306670639,Percent,12121,980
Florida,Taylor,32.96049306670639,Percent,12123,981
Florida,Union,32.96049306670639,Percent,12125,982
Florida,Volusia,32.96049306670639,Percent,12127,983
Florida,Wakulla,32.96049306670639,Percent,12129,984
Florida,Walton,32.96049306670639,Percent,12131,985
Florida,Washington,32.96049306670639,Percent,12133,986
Georgia,Appling,28.307644706562307,Percent,13001,987
Georgia,Atkinson,28.307644706562307,Percent,13003,988
Georgia,Bacon,28.307644706562307,Percent,13005,989
Georgia,Baker,28.307644706562307,Percent,13007,990
Georgia,Baldwin,28.307644706562307,Percent,13009,991
Georgia,Banks,28.307644706562307,Percent,13011,992
Georgia,Barrow,28.307644706562307,Percent,13013,993
Georgia,Bartow,28.307644706562307,Percent,13015,994
Georgia,Ben Hill,28.307644706562307,Percent,13017,995
Georgia,Berrien,28.307644706562307,Percent,13019,996
Georgia,Bibb,28.307644706562307,Percent,13021,997
Georgia,Bleckley,28.307644706562307,Percent,13023,998
Georgia,Brantley,28.307644706562307,Percent,13025,999
Georgia,Brooks,28.307644706562307,Percent,13027,565
Georgia,Bryan,28.307644706562307,Percent,13029,573
Georgia,Bulloch,28.307644706562307,Percent,13031,579
Georgia,Burke,28.307644706562307,Percent,13033,583
Georgia,Butts,28.307644706562307,Percent,13035,588
Georgia,Calhoun,28.307644706562307,Percent,13037,592
Georgia,Camden,28.307644706562307,Percent,13039,603
Georgia,Candler,28.307644706562307,Percent,13043,616
