State,County,Students eligible for free lunch (%) 2015 (PCT_FREE_LUNCH15),Units,FIPS,FID
Arkansas,Carroll,59.71021860701576,Percent,5015,74
Arkansas,Chicot,98.67674858223062,Percent,5017,77
Arkansas,Clark,52.48948106591865,Percent,5019,86
Arkansas,Clay,49.78772674642995,Percent,5021,93
Arkansas,Cleburne,47.72658837699488,Percent,5023,97
Arkansas,Cleveland,50.92470277410832,Percent,5025,103
Arkansas,Columbia,57.97771133460179,Percent,5027,107
Arkansas,Conway,60.71651090342679,Percent,5029,109
Arkansas,Craighead,50.1957585644372,Percent,5031,114
Arkansas,Crawford,56.5149568728207,Percent,5033,115
Arkansas,Crittenden,81.09936172239688,Percent,5035,119
Arkansas,Cross,54.951980792316924,Percent,5037,124
Arkansas,Dallas,61.904761904761905,Percent,5039,128
Arkansas,Desha,66.42640364188163,Percent,5041,130
Arkansas,Drew,63.78378378378379,Percent,5043,136
Arkansas,Faulkner,40.38512545753541,Percent,5045,141
Arkansas,Franklin,50.360453141091654,Percent,5047,144
Arkansas,Fulton,54.20616113744076,Percent,5049,146
Arkansas,Garland,54.279666622569124,Percent,5051,151
Arkansas,Grant,37.77138373005493,Percent,5053,155
Arkansas,Greene,46.47313470842882,Percent,5055,162
Arkansas,Hempstead,86.90016547159404,Percent,5057,172
Arkansas,Hot Spring,54.856386999244144,Percent,5059,184
Arkansas,Howard,67.17607973421927,Percent,5061,191
Arkansas,Independence,50.750425498994275,Percent,5063,200
Arkansas,Izard,54.59070796460177,Percent,5065,203
Arkansas,Jackson,64.03162055335969,Percent,5067,209
Arkansas,Jefferson,75.85875360545407,Percent,5069,213
Arkansas,Johnson,67.2260203024653,Percent,5071,218
Arkansas,Lafayette,71.57360406091371,Percent,5073,222
Arkansas,Lawrence,56.509433962264154,Percent,5075,230
Arkansas,Lee,98.90377588306943,Percent,5077,237
Arkansas,Lincoln,56.74019607843137,Percent,5079,244
Arkansas,Little River,60.251704247509174,Percent,5081,251
Arkansas,Logan,73.18421713998492,Percent,5083,258
Arkansas,Lonoke,36.0784885841418,Percent,5085,268
Arkansas,Madison,55.15660809778456,Percent,5087,277
Arkansas,Marion,62.897145934302635,Percent,5089,282
Arkansas,Miller,58.79455230368009,Percent,5091,287
