State,County,SNAP Broad-based Categorical Eligibility 2016 (SNAP_BBCE16),Units,FIPS,FID
Arkansas,Jackson,0,Classification,5067,209
Arkansas,Jefferson,0,Classification,5069,213
Arkansas,Johnson,0,Classification,5071,218
Arkansas,Lafayette,0,Classification,5073,222
Arkansas,Lawrence,0,Classification,5075,230
Arkansas,Lee,0,Classification,5077,237
Arkansas,Lincoln,0,Classification,5079,244
Arkansas,Little River,0,Classification,5081,251
Arkansas,Logan,0,Classification,5083,258
Arkansas,Lonoke,0,Classification,5085,268
Arkansas,Madison,0,Classification,5087,277
Arkansas,Marion,0,Classification,5089,282
Arkansas,Miller,0,Classification,5091,287
Arkansas,Mississippi,0,Classification,5093,294
Arkansas,Monroe,0,Classification,5095,300
Arkansas,Montgomery,0,Classification,5097,304
Arkansas,Nevada,0,Classification,5099,307
Arkansas,Newton,0,Classification,5101,311
Arkansas,Ouachita,0,Classification,5103,316
Arkansas,Perry,0,Classification,5105,318
Arkansas,Phillips,0,Classification,5107,322
Arkansas,Pike,0,Classification,5109,327
Arkansas,Poinsett,0,Classification,5111,333
Arkansas,Polk,0,Classification,5113,337
Arkansas,Pope,0,Classification,5115,340
Arkansas,Prairie,0,Classification,5117,345
Arkansas,Pulaski,0,Classification,5119,350
Arkansas,Randolph,0,Classification,5121,353
Arkansas,St. Francis,0,Classification,5123,357
Arkansas,Saline,0,Classification,5125,360
Arkansas,Scott,0,Classification,5127,364
Arkansas,Searcy,0,Classification,5129,372
Arkansas,Sebastian,0,Classification,5131,378
Arkansas,Sevier,0,Classification,5133,390
Arkansas,Sharp,0,Classification,5135,394
Arkansas,Stone,0,Classification,5137,399
Arkansas,Union,0,Classification,5139,403
Arkansas,Van Buren,0,Classification,5141,407
Arkansas,Washington,0,Classification,5143,417
Arkansas,White,0,Classification,5145,428
Arkansas,Woodruff,0,Classification,5147,435
Arkansas,Yell,0,Classification,5149,438
California,Alameda,1,Classification,6001,457
California,Alpine,1,Classification,6003,461
California,Amador,1,Classification,6005,472
California,Butte,1,Classification,6007,486
California,Calaveras,1,Classification,6009,489
California,Colusa,1,Classification,6011,497
California,Contra Costa,1,Classification,6013,503
California,Del Norte,1,Classification,6015,511
California,El Dorado,1,Classification,6017,522
California,Fresno,1,Classification,6019,527
California,Glenn,1,Classification,6021,537
California,Humboldt,1,Classification,6023,551
California,Imperial,1,Classification,6025,557
California,Inyo,1,Classification,6027,562
California,Kern,1,Classification,6029,84
California,Kings,1,Classification,6031,94
California,Lake,1,Classification,6033,100
California,Lassen,1,Classification,6035,104
California,Los Angeles,1,Classification,6037,139
California,Madera,1,Classification,6039,153
California,Marin,1,Classification,6041,168
California,Mariposa,1,Classification,6043,178
California,Mendocino,1,Classification,6045,190
California,Merced,1,Classification,6047,204
California,Modoc,1,Classification,6049,207
California,Mono,1,Classification,6051,214
California,Monterey,1,Classification,6053,228
California,Napa,1,Classification,6055,236
California,Nevada,1,Classification,6057,243
California,Orange,1,Classification,6059,257
California,Placer,1,Classification,6061,266
California,Plumas,1,Classification,6063,275
California,Riverside,1,Classification,6065,281
California,Sacramento,1,Classification,6067,289
California,San Benito,1,Classification,6069,295
California,San Bernardino,1,Classification,6071,302
California,San Diego,1,Classification,6073,315
