State,County,Low income & low access to store (%) 2015 (PCT_LACCESS_LOWI15),Units,FIPS,FID
Alabama,Autauga,11.991125000212604,Percent,1001,5
Alabama,Baldwin,5.4244265969613314,Percent,1003,20
Alabama,Barbour,10.739666573274102,Percent,1005,25
Alabama,Bibb,2.6016270076683963,Percent,1007,29
Alabama,Blount,2.8801498232112803,Percent,1009,33
Alabama,Bullock,19.74335074065961,Percent,1011,37
Alabama,Butler,2.926121930559144,Percent,1013,39
Alabama,Calhoun,9.178566582982912,Percent,1015,43
Alabama,Chambers,10.328558281147888,Percent,1017,47
Alabama,Cherokee,0.2211124003094359,Percent,1019,51
Alabama,Chilton,1.4605309613523727,Percent,1021,56
Alabama,Choctaw,7.290419052432211,Percent,1023,58
Alabama,Clarke,11.154712302637634,Percent,1025,61
Alabama,Clay,2.3268798802372164,Percent,1027,65
Alabama,Cleburne,2.071715769553613,Percent,1029,67
Alabama,Coffee,5.9812031395362775,Percent,1031,70
Alabama,Colbert,6.551704535138825,Percent,1033,73
Alabama,Conecuh,13.2297762622088,Percent,1035,80
Alabama,Coosa,10.12480748542976,Percent,1037,82
Alabama,Covington,4.370326751105626,Percent,1039,88
Alabama,Crenshaw,17.039060380152165,Percent,1041,90
Alabama,Cullman,3.1096062497312267,Percent,1043,98
Alabama,Dale,10.559380332897096,Percent,1045,101
Alabama,Dallas,11.556270931993701,Percent,1047,110
Alabama,DeKalb,2.166964608756782,Percent,1049,112
Alabama,Elmore,6.943021713768281,Percent,1051,118
Alabama,Escambia,7.219940028337117,Percent,1053,122
Alabama,Etowah,9.40061662634827,Percent,1055,131
Alabama,Fayette,1.354458698693846,Percent,1057,134
Alabama,Franklin,4.120619393856075,Percent,1059,138
Alabama,Geneva,0.9307847980967114,Percent,1061,140
Alabama,Greene,21.342475716602983,Percent,1063,148
Alabama,Hale,4.647506988087107,Percent,1065,150
Alabama,Henry,2.142167970256265,Percent,1067,158
Alabama,Houston,6.282605938095543,Percent,1069,160
Alabama,Jackson,3.2725105417022373,Percent,1071,164
Alabama,Jefferson,12.27159061439927,Percent,1073,171
Alabama,Lamar,0.7506765904452212,Percent,1075,174
Alabama,Lauderdale,5.038074087861212,Percent,1077,176
Alabama,Lawrence,2.122488172762448,Percent,1079,181
Alabama,Lee,12.249503722650894,Percent,1081,187
Alabama,Limestone,3.5183538563756978,Percent,1083,197
Alabama,Lowndes,13.062144953344987,Percent,1085,205
Alabama,Macon,21.638664429764262,Percent,1087,210
