State,County,National School Lunch Program participants (change % children) 2012-17 (PCH_NSLP_12_17),Units,FIPS,FID
Alabama,Autauga,-5.099453542445751,Percentage points,1001,5
Alabama,Baldwin,-5.099453542445751,Percentage points,1003,20
Alabama,Barbour,-5.099453542445751,Percentage points,1005,25
Alabama,Bibb,-5.099453542445751,Percentage points,1007,29
Alabama,Blount,-5.099453542445751,Percentage points,1009,33
Alabama,Bullock,-5.099453542445751,Percentage points,1011,37
Alabama,Butler,-5.099453542445751,Percentage points,1013,39
Alabama,Calhoun,-5.099453542445751,Percentage points,1015,43
Alabama,Chambers,-5.099453542445751,Percentage points,1017,47
Alabama,Cherokee,-5.099453542445751,Percentage points,1019,51
Alabama,Chilton,-5.099453542445751,Percentage points,1021,56
Alabama,Choctaw,-5.099453542445751,Percentage points,1023,58
Alabama,Clarke,-5.099453542445751,Percentage points,1025,61
Alabama,Clay,-5.099453542445751,Percentage points,1027,65
Alabama,Cleburne,-5.099453542445751,Percentage points,1029,67
Alabama,Coffee,-5.099453542445751,Percentage points,1031,70
Alabama,Colbert,-5.099453542445751,Percentage points,1033,73
Alabama,Conecuh,-5.099453542445751,Percentage points,1035,80
Alabama,Coosa,-5.099453542445751,Percentage points,1037,82
Alabama,Covington,-5.099453542445751,Percentage points,1039,88
Alabama,Crenshaw,-5.099453542445751,Percentage points,1041,90
Alabama,Cullman,-5.099453542445751,Percentage points,1043,98
Alabama,Dale,-5.099453542445751,Percentage points,1045,101
Alabama,Dallas,-5.099453542445751,Percentage points,1047,110
Alabama,DeKalb,-5.099453542445751,Percentage points,1049,112
Alabama,Elmore,-5.099453542445751,Percentage points,1051,118
Alabama,Escambia,-5.099453542445751,Percentage points,1053,122
Alabama,Etowah,-5.099453542445751,Percentage points,1055,131
Alabama,Fayette,-5.099453542445751,Percentage points,1057,134
Alabama,Franklin,-5.099453542445751,Percentage points,1059,138
Alabama,Geneva,-5.099453542445751,Percentage points,1061,140
Alabama,Greene,-5.099453542445751,Percentage points,1063,148
Alabama,Hale,-5.099453542445751,Percentage points,1065,150
Alabama,Henry,-5.099453542445751,Percentage points,1067,158
Alabama,Houston,-5.099453542445751,Percentage points,1069,160
Alabama,Jackson,-5.099453542445751,Percentage points,1071,164
Alabama,Jefferson,-5.099453542445751,Percentage points,1073,171
Alabama,Lamar,-5.099453542445751,Percentage points,1075,174
Alabama,Lauderdale,-5.099453542445751,Percentage points,1077,176
Alabama,Lawrence,-5.099453542445751,Percentage points,1079,181
Alabama,Lee,-5.099453542445751,Percentage points,1081,187
Alabama,Limestone,-5.099453542445751,Percentage points,1083,197
Alabama,Lowndes,-5.099453542445751,Percentage points,1085,205
Alabama,Macon,-5.099453542445751,Percentage points,1087,210
Alabama,Madison,-5.099453542445751,Percentage points,1089,217
Alabama,Marengo,-5.099453542445751,Percentage points,1091,220
Alabama,Marion,-5.099453542445751,Percentage points,1093,224
Alabama,Marshall,-5.099453542445751,Percentage points,1095,231
Alabama,Mobile,-5.099453542445751,Percentage points,1097,240
Alabama,Monroe,-5.099453542445751,Percentage points,1099,250
Alabama,Montgomery,-5.099453542445751,Percentage points,1101,256
Alabama,Morgan,-5.099453542445751,Percentage points,1103,262
Alabama,Perry,-5.099453542445751,Percentage points,1105,264
Alabama,Pickens,-5.099453542445751,Percentage points,1107,273
Alabama,Pike,-5.099453542445751,Percentage points,1109,279
Alabama,Randolph,-5.099453542445751,Percentage points,1111,284
Alabama,Russell,-5.099453542445751,Percentage points,1113,288
Alabama,St. Clair,-5.099453542445751,Percentage points,1115,292
Alabama,Shelby,-5.099453542445751,Percentage points,1117,298
Alabama,Sumter,-5.099453542445751,Percentage points,1119,303
Alabama,Talladega,-5.099453542445751,Percentage points,1121,306
Alabama,Tallapoosa,-5.099453542445751,Percentage points,1123,308
Alabama,Tuscaloosa,-5.099453542445751,Percentage points,1125,313
Alabama,Walker,-5.099453542445751,Percentage points,1127,317
Alabama,Washington,-5.099453542445751,Percentage points,1129,319
Alabama,Wilcox,-5.099453542445751,Percentage points,1131,326
Alabama,Winston,-5.099453542445751,Percentage points,1133,332
Alaska,Aleutians East,0.06528248791165936,Percentage points,2013,346
Alaska,Aleutians West,0.06528248791165936,Percentage points,2016,381
Alaska,Anchorage,0.06528248791165936,Percentage points,2020,400
Alaska,Bethel,0.06528248791165936,Percentage points,2050,411
Alaska,Bristol Bay,0.06528248791165936,Percentage points,2060,423
Alaska,Denali,0.06528248791165936,Percentage points,2068,426
Alaska,Dillingham,0.06528248791165936,Percentage points,2070,445
Alaska,Fairbanks North Star,0.06528248791165936,Percentage points,2090,454
Alaska,Haines,0.06528248791165936,Percentage points,2100,462
Alaska,Hoonah-Angoon,0.06528248791165936,Percentage points,2105,476
Alaska,Juneau,0.06528248791165936,Percentage points,2110,482
Alaska,Kenai Peninsula,0.06528248791165936,Percentage points,2122,494
Alaska,Ketchikan Gateway,0.06528248791165936,Percentage points,2130,514
Alaska,Kodiak Island,0.06528248791165936,Percentage points,2150,533
Alaska,Lake and Peninsula,0.06528248791165936,Percentage points,2164,544
Alaska,Matanuska-Susitna,0.06528248791165936,Percentage points,2170,556
Alaska,Nome,0.06528248791165936,Percentage points,2180,571
Alaska,North Slope,0.06528248791165936,Percentage points,2185,614
Alaska,Northwest Arctic,0.06528248791165936,Percentage points,2188,638
Alaska,Petersburg,0.06528248791165936,Percentage points,2195,645
Alaska,Prince of Wales-Hyder,0.06528248791165936,Percentage points,2198,669
Alaska,Sitka,0.06528248791165936,Percentage points,2220,679
Alaska,Skagway,0.06528248791165936,Percentage points,2230,683
Alaska,Southeast Fairbanks,0.06528248791165936,Percentage points,2240,690
Alaska,Valdez-Cordova,0.06528248791165936,Percentage points,2261,710
Alaska,Wade Hampton,0.06528248791165936,Percentage points,2270,725
Alaska,Wrangell,0.06528248791165936,Percentage points,2275,733
Alaska,Yakutat,0.06528248791165936,Percentage points,2282,744
Alaska,Yukon-Koyukuk,0.06528248791165936,Percentage points,2290,753
Arizona,Apache,-2.923685418045757,Percentage points,4001,761
Arizona,Cochise,-2.923685418045757,Percentage points,4003,763
Arizona,Coconino,-2.923685418045757,Percentage points,4005,771
Arizona,Gila,-2.923685418045757,Percentage points,4007,787
Arizona,Graham,-2.923685418045757,Percentage points,4009,0
Arizona,Greenlee,-2.923685418045757,Percentage points,4011,1
Arizona,La Paz,-2.923685418045757,Percentage points,4012,3
Arizona,Maricopa,-2.923685418045757,Percentage points,4013,9
Arizona,Mohave,-2.923685418045757,Percentage points,4015,15
Arizona,Navajo,-2.923685418045757,Percentage points,4017,17
Arizona,Pima,-2.923685418045757,Percentage points,4019,21
Arizona,Pinal,-2.923685418045757,Percentage points,4021,26
Arizona,Santa Cruz,-2.923685418045757,Percentage points,4023,32
Arizona,Yavapai,-2.923685418045757,Percentage points,4025,35
Arizona,Yuma,-2.923685418045757,Percentage points,4027,42
Arkansas,Arkansas,-7.117925725286597,Percentage points,5001,46
Arkansas,Ashley,-7.117925725286597,Percentage points,5003,50
Arkansas,Baxter,-7.117925725286597,Percentage points,5005,54
Arkansas,Benton,-7.117925725286597,Percentage points,5007,59
Arkansas,Boone,-7.117925725286597,Percentage points,5009,62
Arkansas,Bradley,-7.117925725286597,Percentage points,5011,68
Arkansas,Calhoun,-7.117925725286597,Percentage points,5013,72
Arkansas,Carroll,-7.117925725286597,Percentage points,5015,74
Arkansas,Chicot,-7.117925725286597,Percentage points,5017,77
Arkansas,Clark,-7.117925725286597,Percentage points,5019,86
Arkansas,Clay,-7.117925725286597,Percentage points,5021,93
Arkansas,Cleburne,-7.117925725286597,Percentage points,5023,97
Arkansas,Cleveland,-7.117925725286597,Percentage points,5025,103
Arkansas,Columbia,-7.117925725286597,Percentage points,5027,107
Arkansas,Conway,-7.117925725286597,Percentage points,5029,109
Arkansas,Craighead,-7.117925725286597,Percentage points,5031,114
Arkansas,Crawford,-7.117925725286597,Percentage points,5033,115
Arkansas,Crittenden,-7.117925725286597,Percentage points,5035,119
Arkansas,Cross,-7.117925725286597,Percentage points,5037,124
Arkansas,Dallas,-7.117925725286597,Percentage points,5039,128
Arkansas,Desha,-7.117925725286597,Percentage points,5041,130
Arkansas,Drew,-7.117925725286597,Percentage points,5043,136
Arkansas,Faulkner,-7.117925725286597,Percentage points,5045,141
Arkansas,Franklin,-7.117925725286597,Percentage points,5047,144
Arkansas,Fulton,-7.117925725286597,Percentage points,5049,146
Arkansas,Garland,-7.117925725286597,Percentage points,5051,151
Arkansas,Grant,-7.117925725286597,Percentage points,5053,155
Arkansas,Greene,-7.117925725286597,Percentage points,5055,162
Arkansas,Hempstead,-7.117925725286597,Percentage points,5057,172
Arkansas,Hot Spring,-7.117925725286597,Percentage points,5059,184
Arkansas,Howard,-7.117925725286597,Percentage points,5061,191
Arkansas,Independence,-7.117925725286597,Percentage points,5063,200
Arkansas,Izard,-7.117925725286597,Percentage points,5065,203
Arkansas,Jackson,-7.117925725286597,Percentage points,5067,209
Arkansas,Jefferson,-7.117925725286597,Percentage points,5069,213
Arkansas,Johnson,-7.117925725286597,Percentage points,5071,218
Arkansas,Lafayette,-7.117925725286597,Percentage points,5073,222
Arkansas,Lawrence,-7.117925725286597,Percentage points,5075,230
Arkansas,Lee,-7.117925725286597,Percentage points,5077,237
Arkansas,Lincoln,-7.117925725286597,Percentage points,5079,244
Arkansas,Little River,-7.117925725286597,Percentage points,5081,251
Arkansas,Logan,-7.117925725286597,Percentage points,5083,258
Arkansas,Lonoke,-7.117925725286597,Percentage points,5085,268
Arkansas,Madison,-7.117925725286597,Percentage points,5087,277
Arkansas,Marion,-7.117925725286597,Percentage points,5089,282
Arkansas,Miller,-7.117925725286597,Percentage points,5091,287
Arkansas,Mississippi,-7.117925725286597,Percentage points,5093,294
Arkansas,Monroe,-7.117925725286597,Percentage points,5095,300
Arkansas,Montgomery,-7.117925725286597,Percentage points,5097,304
Arkansas,Nevada,-7.117925725286597,Percentage points,5099,307
Arkansas,Newton,-7.117925725286597,Percentage points,5101,311
Arkansas,Ouachita,-7.117925725286597,Percentage points,5103,316
Arkansas,Perry,-7.117925725286597,Percentage points,5105,318
Arkansas,Phillips,-7.117925725286597,Percentage points,5107,322
Arkansas,Pike,-7.117925725286597,Percentage points,5109,327
Arkansas,Poinsett,-7.117925725286597,Percentage points,5111,333
Arkansas,Polk,-7.117925725286597,Percentage points,5113,337
Arkansas,Pope,-7.117925725286597,Percentage points,5115,340
Arkansas,Prairie,-7.117925725286597,Percentage points,5117,345
Arkansas,Pulaski,-7.117925725286597,Percentage points,5119,350
Arkansas,Randolph,-7.117925725286597,Percentage points,5121,353
Arkansas,St. Francis,-7.117925725286597,Percentage points,5123,357
Arkansas,Saline,-7.117925725286597,Percentage points,5125,360
Arkansas,Scott,-7.117925725286597,Percentage points,5127,364
Arkansas,Searcy,-7.117925725286597,Percentage points,5129,372
Arkansas,Sebastian,-7.117925725286597,Percentage points,5131,378
Arkansas,Sevier,-7.117925725286597,Percentage points,5133,390
Arkansas,Sharp,-7.117925725286597,Percentage points,5135,394
