PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
WA5383850,STARTUP WATER DISTRICT,"98293, Startup, Washington",98293,Washington,Region 10,Community water system,600,,Snohomish,3,19,0,-121.745061,47.868634,-121.745061,47.868634,-121.750061,-121.740061,47.863634,47.873634
WA5331820,HAVEN BY THE SEA COMM CLUB,"98571, Pacific Beach, Washington",98571,Washington,Region 10,Community water system,67,,Grays Harbor,3,14,0,-124.200533,47.215596,-124.200533,47.215596,-124.297533,-124.103533,47.118596,47.312596
WA5391000,VALLEY VIEW WATER ASSOC,"98264, Lynden, Washington",98264,Washington,Region 10,Community water system,150,,Whatcom,3,33,0,-122.460595,48.942985,-122.460595,48.942985,-122.601595,-122.319595,48.801985,49.083985
WA5336240,ISLAND SHORES,"98366, South Park Village, Washington",98366,Washington,Region 10,Transient non-community system,12,,Mason,2,3,0,-122.650051,47.518729,-122.650051,47.518729,-122.819051,-122.481051,47.349729,47.687729
WA5326664,WILDERNESS NORTHWEST,"1905 Duckabush Rd, Brinnon, Washington, 98320",98320,Washington,Region 10,Transient non-community system,29,,Jefferson,2,0,0,-122.965471,47.669393,-122.968631,47.66581,-122.966471,-122.964471,47.668393,47.670393
WA5357598,MULLEN HILL TERRACE MHP,"99223, Spokane Valley, Washington",99223,Washington,Region 10,Community water system,207,,Spokane,4,88,0,-117.36275,47.604114,-117.36275,47.604114,-117.44475,-117.28075,47.522114,47.686114
WA5358105,NACHES WONDERLAND CAMPERS ASSN,"13660 US-12, Naches, Washington, 98937",98937,Washington,Region 10,Transient non-community system,47,,Yakima,6,8,0,-120.767947,46.746543,-120.767947,46.746543,-120.777947,-120.757947,46.736543,46.756543
WA5389032,109 RV PARK & CAMPGROUND,"98535, Copalis Beach, Washington",98535,Washington,Region 10,Transient non-community system,28,,Grays Harbor,1,6,0,-124.171824,47.114249,-124.171824,47.114249,-124.263824,-124.079824,47.022249,47.206249
WA53FS204,EARLY WINTERS WC - METHOW RD,"24 W Chewuch Rd, Winthrop, Washington, 98862",98862,Washington,Region 10,Transient non-community system,48,,Okanogan,2,3,0,-120.191142,48.478983,-120.191142,48.478983,-120.201142,-120.181142,48.468983,48.488983
WA5318106,FOOD MART 01 380,"98565, Napavine, Washington",98565,Washington,Region 10,Transient non-community system,356,,Lewis,4,11,0,-122.905789,46.573824,-122.905789,46.573824,-122.911789,-122.899789,46.567824,46.579824
WA5306366,KINGS LAKESIDE MUTUAL PARK,"1087 Lewis River Rd, Woodland, Washington, 98674",98674,Washington,Region 10,Transient non-community system,21,,Cowlitz,6,4,0,-122.740464,45.906901,-122.740741,45.90701,-122.741464,-122.739464,45.905901,45.907901
WA5305290,"VINEYARD, THE","1230 Ruddell Rd SE, Lacey, Washington, 98503",98503,Washington,Region 10,Community water system,90,,Thurston,1,12,0,-122.817911,47.03525,-122.817661,47.03526,-122.818911,-122.816911,47.03425,47.03625
WA5374372,ROSELAND COMMUNITY CLUB ASSOCIATION,"19115 Meadow Lake Rd, Snohomish, Washington, 98290",98290,Washington,Region 10,Community water system,210,,Snohomish,3,26,0,-121.97272,47.925006,-121.971741,47.92614,-121.97372,-121.97172,47.924006,47.926006
WA5317189,KEPPS ACRES ASSOCIATION,"31 Kepps Rd, Pasco, Washington, 99301",99301,Washington,Region 10,Community water system,48,,Franklin,3,40,0,-118.97025,46.307652,-118.971441,46.30768,-118.97125,-118.96925,46.306652,46.308652
WA5335725,NC MACHINERY CO,"98907, Yakima, Washington",98907,Washington,Region 10,Non-Transient non-community system,34,,Yakima,2,4,0,-120.502271,46.600853,-120.502271,46.600853,-120.507271,-120.497271,46.595853,46.605853
WA5337016,COLUMBIA ROCK AND AGGREGATES,"98664, Vancouver, Washington",98664,Washington,Region 10,Non-Transient non-community system,21,,Clark,1,4,0,-122.58987,45.62295,-122.58987,45.62295,-122.62887,-122.55087,45.58395,45.66195
WA5395904,BIRCH BAY WATER & SEWER DISTRICT,"7096 Point Whitehorn Rd, Blaine, Washington, 98230",98230,Washington,Region 10,Community water system,9445,,Whatcom,2,26,0,-122.774349,48.899809,-122.772221,48.89978,-122.775349,-122.773349,48.898809,48.900809
WA5388381,TIMBERLANE MOBILE HOME PARK,"98565, Napavine, Washington",98565,Washington,Region 10,Community water system,63,,Lewis,1,18,0,-122.905789,46.573824,-122.905789,46.573824,-122.911789,-122.899789,46.567824,46.579824
WA5307741,SYRINGA HEIGHTS MOBILE HOME PARK,"99003, Chattaroy, Washington",99003,Washington,Region 10,Community water system,52,,Spokane,3,2,0,-117.345996,47.970557,-117.345996,47.970557,-117.569996,-117.121996,47.746557,48.194557
WA5308344,CAMANO ISLAND SUMMIT ASSOC.,"14263 Calhoun Rd, Mount Vernon, Washington, 98273",98273,Washington,Region 10,Community water system,42,,Island,1,44,0,-122.438713,48.398976,-122.438713,48.398976,-122.448713,-122.428713,48.388976,48.408976
WA5379835,SKOOKUMCHUCK MOBILE MANOR,"98565, Napavine, Washington",98565,Washington,Region 10,Community water system,90,,Thurston,3,7,0,-122.905789,46.573824,-122.905789,46.573824,-122.911789,-122.899789,46.567824,46.579824
WA5383600,LAKE HOLIDAY ASSOCIATION,"98366, South Park Village, Washington",98366,Washington,Region 10,Community water system,740,,Pierce,5,9,0,-122.650051,47.518729,-122.650051,47.518729,-122.819051,-122.481051,47.349729,47.687729
WA5377775,SHADY PINES RESORT,"98819, Conconully, Washington",98819,Washington,Region 10,Transient non-community system,62,,Okanogan,2,4,0,-119.748774,48.557471,-119.748774,48.557471,-119.757774,-119.739774,48.548471,48.566471
