PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
VT0005092,CHAMPLAIN WATER DISTRICT,"05403, South Burlington, Vermont",05403,Vermont,Region 1,Community water system,1,SOUTH BURLINGTON,Chittenden,32,0,15,-73.168856,44.451392,-73.168856,44.451392,-73.233856,-73.103856,44.386392,44.516392
VT0005324,OKEMO VILLAGE CONDOMINIUMS,"10956, New City, New York",10956,Vermont,Region 1,Community water system,180,LUDLOW,Windsor,8,26,11,-73.986924,41.153894,-73.986924,41.153894,-74.035924,-73.937924,41.104894,41.202894
VT0006708,MONKTON CENTRAL SCHOOL,"72 Munsill Ave, Bristol, Vermont, 05443",05443,Vermont,Region 1,Non-Transient non-community system,230,MONKTON,Addison,5,39,13,-73.086125,44.137817,-73.085481,44.13789,-73.087125,-73.085125,44.136817,44.138817
VT0005094,ST GEORGE FIRE DISTRICT #2,"05495, Saint George, Vermont",05495,Vermont,Region 1,Community water system,72,ST. GEORGE,Chittenden,5,20,10,-73.062932,44.463511,-73.062932,44.463511,-73.161932,-72.963932,44.364511,44.562511
VT0005385,MANSFIELD VIEW WATER CORP,"05672, Stowe, Vermont",05672,Vermont,Region 1,Community water system,237,STOWE,Lamoille,10,11,14,-72.647301,44.482146,-72.647301,44.482146,-72.838301,-72.456301,44.291146,44.673146
VT0020913,NORTH BRANCH SCHOOL,"05766, Ripton, Vermont",05766,Vermont,Region 1,Non-Transient non-community system,31,RIPTON,Addison,4,14,7,-73.031572,43.972351,-73.031572,43.972351,-73.155572,-72.907572,43.848351,44.096351
VT0008250,UNION VILLAGE DAM,"05052, North Hartland, Vermont",05052,Vermont,Region 1,Transient non-community system,25,THETFORD,Orange,10,5,1,-72.350964,43.591691,-72.350964,43.591691,-72.397964,-72.303964,43.544691,43.638691
VT0008139,BALD MOUNTAIN CAMPGROUND,"05353, Townshend, Vermont",05353,Vermont,Region 1,Transient non-community system,784,TOWNSHEND,Windham,5,6,2,-72.664809,43.054337,-72.664809,43.054337,-72.762809,-72.566809,42.956337,43.152337
VT0005021,EAST DORSET FIRE DISTRICT 1,"05253, East Dorset, Vermont",05253,Vermont,Region 1,Community water system,192,DORSET,Bennington,10,25,18,-73.010801,43.234126,-73.010801,43.234126,-73.102801,-72.918801,43.142126,43.326126
VT0006457,HOSMER POINT OUTDOOR CAMP,"05827, Craftsbury Common, Vermont",05827,Vermont,Region 1,Transient non-community system,110,CRAFTSBURY,Orleans,9,3,2,-72.379804,44.666234,-72.379804,44.666234,-72.481804,-72.277804,44.564234,44.768234
VT0020392,1859 MOUNTAIN ROAD LLC (CROP BISTRO),"05672, Stowe, Vermont",05672,Vermont,Region 1,Non-Transient non-community system,273,STOWE,Lamoille,4,84,6,-72.647301,44.482146,-72.647301,44.482146,-72.838301,-72.456301,44.291146,44.673146
VT0008006,CARMI LAKE STATE PARK,"05474, North Hero, Vermont",05474,Vermont,Region 1,Transient non-community system,177,ENOSBURG,Franklin,7,0,1,-73.293384,44.78496,-73.293384,44.78496,-73.445384,-73.141384,44.63296,44.93696
VT0001339,TUCKER HILL INN,"05673, Waitsfield, Vermont",05673,Vermont,Region 1,Transient non-community system,122,FAYSTON,Washington,8,7,5,-72.840091,44.185255,-72.840091,44.185255,-72.952091,-72.728091,44.073255,44.297255
VT0005563,BEAR CREEK CONDOMINIUM,"05155, South Londonderry, Vermont",05155,Vermont,Region 1,Community water system,116,JAMAICA,Windham,5,11,9,-72.81616,43.187078,-72.81616,43.187078,-72.89716,-72.73516,43.106078,43.268078
VT0005599,SUMMIT WATER CO INC,"05037, Brownsville, Vermont",05037,Vermont,Region 1,Community water system,750,WINDSOR,Windsor,10,8,10,-72.490825,43.456327,-72.490825,43.456327,-72.537825,-72.443825,43.409327,43.503327
VT0005359,ALPEN MEADOWS,"05149, Ludlow, Vermont",05149,Vermont,Region 1,Community water system,112,LUDLOW,Windsor,6,13,10,-72.701331,43.39514,-72.701331,43.39514,-72.807331,-72.595331,43.28914,43.50114
VT0006725,MIDDLESEX RUMNEY SCHOOL,"05602, Middlesex Center, Vermont",05602,Vermont,Region 1,Non-Transient non-community system,200,MIDDLESEX,Washington,6,4,12,-72.571688,44.25987,-72.571688,44.25987,-72.716688,-72.426688,44.11487,44.40487
VT0008043,BURTON ISLAND STATE PARK,"05474, North Hero, Vermont",05474,Vermont,Region 1,Transient non-community system,248,ST. ALBANS TOWN,Franklin,4,0,3,-73.293384,44.78496,-73.293384,44.78496,-73.445384,-73.141384,44.63296,44.93696
VT0020854,GREEN MOUNTAIN HORSE ASSN INC,"05071, South Woodstock, Vermont",05071,Vermont,Region 1,Transient non-community system,150,WOODSTOCK,Windsor,8,8,3,-72.560262,43.562471,-72.560262,43.562471,-72.624262,-72.496262,43.498471,43.626471
VT0020873,CAMERON PROPERTY,"05473, North Ferrisburg, Vermont",05473,Vermont,Region 1,Non-Transient non-community system,155,FERRISBURG,Addison,3,88,4,-73.244047,44.255423,-73.244047,44.255423,-73.378047,-73.110047,44.121423,44.389423
VT0005100,WILLISTON FIRE DISTRICT 1,"05495, Saint George, Vermont",05495,Vermont,Region 1,Community water system,212,WILLISTON,Chittenden,5,3,10,-73.062932,44.463511,-73.062932,44.463511,-73.161932,-72.963932,44.364511,44.562511
VT0005229,RUTLAND CITY WATER DEPT,"05702, Rutland, Vermont",05702,Vermont,Region 1,Community water system,18500,RUTLAND CITY,Rutland,10,25,15,-72.982218,43.607782,-72.982218,43.607782,-72.987218,-72.977218,43.602782,43.612782
