PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
HI0000365,KAHUKU,"96843, Honolulu, Hawaii",96843,Hawaii,Region 9,Community water system,3329,KAHUKU,,5,1,6,-157.85393,21.306071,-157.85393,21.306071,-157.85893,-157.84893,21.301071,21.311071
HI0000432,ANAHOLA FARM LOTS,"96766, Lihue, Hawaii",96766,Hawaii,Region 9,Community water system,385,ANAHOLA FARM LOTS (DHO),,4,1,13,-159.36428,21.979117,-159.36428,21.979117,-178.30628,-140.42228,3.037117,40.921117
HI0000324,PUNAHOU SCHOOL,"96822, Honolulu, Hawaii",96822,Hawaii,Region 9,Non-Transient non-community system,4000,MANOA,,4,2,10,-157.840821,21.304671,-157.840821,21.304671,-157.904821,-157.776821,21.240671,21.368671
HI0000249,KAHAKULOA WATER CO.,"1962 Wells St, Wailuku, Hawaii, 96793",96793,Hawaii,Region 9,Community water system,150,KAHAKULOA HOMESTEAD,,4,1,2,-156.500564,20.887087,-156.500564,20.887087,-156.510564,-156.490564,20.877087,20.897087
HI0000309,WAIALUA SUGAR PUMP 2,"96796, Waimea, Hawaii",96796,Hawaii,Region 9,Community water system,400,WAIALUA-HALEIWA,,3,4,11,-159.666233,21.954913,-159.666233,21.954913,-159.835233,-159.497233,21.785913,22.123913
HI0000367,MILILANI,"96843, Honolulu, Hawaii",96843,Hawaii,Region 9,Community water system,36973,MILILANI BWS,,30,14,6,-157.85393,21.306071,-157.85393,21.306071,-157.85893,-157.84893,21.301071,21.311071
HI0000333,WAHIAWA,"96843, Honolulu, Hawaii",96843,Hawaii,Region 9,Community water system,24547,,,8,0,9,-157.85393,21.306071,-157.85393,21.306071,-157.85893,-157.84893,21.301071,21.311071
HI0000335,WAIPAHU-EWA-WAIANAE,"96843, Honolulu, Hawaii",96843,Hawaii,Region 9,Community water system,175326,WAIPAHU-EWA-WAIANAE,,112,2,10,-157.85393,21.306071,-157.85393,21.306071,-157.85893,-157.84893,21.301071,21.311071
HI0000366,WAIALEE-SUNSET BEACH,"96843, Honolulu, Hawaii",96843,Hawaii,Region 9,Community water system,4219,SUNSET BEACH,,9,0,4,-157.85393,21.306071,-157.85393,21.306071,-157.85893,-157.84893,21.301071,21.311071
HI0000154,HAKALAU-WAILEA,"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Community water system,421,HAKALAU-WAILEA,,5,0,8,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
HI0000104,OOKALA (DWS),"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Community water system,267,OOKALA,,5,0,6,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
HI0000129,NORTH KOHALA,"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Community water system,4914,NORTH KOHALA,,14,0,9,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
HI0000130,SOUTH KOHALA,"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Community water system,11927,SOUTH KOHALA,,18,94,13,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
HI0000132,SOUTH KONA,"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Community water system,6630,SOUTH KONA,,13,0,11,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
HI0000102,LAUPAHOEHOE-KAPEHU,"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Community water system,1213,LAUPAHOEHOE,,8,0,14,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
HI0000108,WAIOHINU-NAALEHU,"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Community water system,3033,WAIOHINU-NAALEHU,,7,0,12,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
HI0000109,PAHALA,"96720, Hilo, Hawaii",96720,Hawaii,Region 9,Community water system,1290,PAHALA,,8,1,8,-155.088864,19.725163,-155.088864,19.725163,-155.481864,-154.695864,19.332163,20.118163
HI0000144,KILAUEA MILITARY CAMP,"96727, Honokaa, Hawaii",96727,Hawaii,Region 9,Non-Transient non-community system,220,KILAUEA VOLCANO,,3,0,8,-155.467204,20.077577,-155.467204,20.077577,-155.676204,-155.258204,19.868577,20.286577
