PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NH0286050,CASTLES AT BRENTWOOD,"280 Exeter Rd, Epping, Town of, New Hampshire, 03042",03042,New Hampshire,Region 1,Non-Transient non-community system,90,BRENTWOOD,Rockingham,1,22,4,-71.033604,43.020673,-71.033481,43.02076,-71.034604,-71.032604,43.019673,43.021673
NH0342060,BECKET HOUSE AT CAMPTON,"03223, Campton, New Hampshire",03223,New Hampshire,Region 1,Community water system,25,CAMPTON,Grafton,2,42,5,-71.640395,43.851718,-71.640395,43.851718,-71.957395,-71.323395,43.534718,44.168718
NH0362010,HILLCREST MANOR APTS,"03062, Nashua, New Hampshire",03062,New Hampshire,Region 1,Community water system,65,CANDIA,Rockingham,4,12,6,-71.466858,42.72697,-71.466858,42.72697,-71.542858,-71.390858,42.65097,42.80297
NH1097050,CRAWFORD NOTCH CAMPGROUND,"1138 US-302, Bartlett, New Hampshire, 03812",03812,New Hampshire,Region 1,Transient non-community system,250,HARTS LOCATION,Carroll,2,2,2,-71.264504,44.078885,-71.264504,44.078885,-71.274504,-71.254504,44.068885,44.088885
NH1167190,SLNSC/TRAILHD GALRY/WBSTR BLDG,"107 Hardhack Rd, Holderness, Town of, New Hampshire, 03245",03245,New Hampshire,Region 1,Transient non-community system,25,HOLDERNESS,Grafton,1,0,2,-71.622242,43.754046,-71.622681,43.75379,-71.623242,-71.621242,43.753046,43.755046
NH0513100,MOUNTAIN VALE VILLAGE MHP,"11777 San Vicente Blvd, Los Angeles, California, 90049",90049,New Hampshire,Region 1,Community water system,388,CONWAY,Carroll,3,7,4,-118.468296,34.053228,-118.468381,34.0535,-118.469296,-118.467296,34.052228,34.054228
NH2548020,MANOR MOTEL/EAST,"43 Rockingham Rd, Windham, Town of, New Hampshire, 03087",03087,New Hampshire,Region 1,Transient non-community system,73,WINDHAM,Rockingham,2,3,2,-71.250554,42.816446,-71.251031,42.81635,-71.251554,-71.249554,42.815446,42.817446
NH1936280,BECKWOOD SERVICES,"03031, Amherst, New Hampshire",03031,New Hampshire,Region 1,Non-Transient non-community system,47,PLAISTOW,Rockingham,1,1,4,-71.584753,42.877001,-71.584753,42.877001,-71.666753,-71.502753,42.795001,42.959001
NH1766030,YOUNG ENTERPRISES NH,"200 Tilton Rd, Northfield, Town of, New Hampshire, 03276",03276,New Hampshire,Region 1,Non-Transient non-community system,33,NORTHFIELD,Merrimack,1,0,3,-71.549212,43.448526,-71.549212,43.448526,-71.559212,-71.539212,43.438526,43.458526
NH1831010,ORFORD VILLAGE DIST,"7 Hebb Dr, Orford, Town of, New Hampshire, 03777",03777,New Hampshire,Region 1,Community water system,128,ORFORD,Grafton,6,160,7,-72.142183,43.900306,-72.142011,43.90055,-72.143183,-72.141183,43.899306,43.901306
NH0802040,PEU/FOREST RIDGE,"03054, Merrimack, New Hampshire",03054,New Hampshire,Region 1,Community water system,130,EXETER,Rockingham,3,3,3,-71.496412,42.84014,-71.496412,42.84014,-71.580412,-71.412412,42.75614,42.92414
NH0148070,BARNSTEAD COUNTRY STORE,"14 Fairfield Run, Barnstead, Town of, New Hampshire, 03225",03225,New Hampshire,Region 1,Transient non-community system,25,BARNSTEAD,Belknap,2,4,3,-71.223917,43.376141,-71.223531,43.37589,-71.224917,-71.222917,43.375141,43.377141
NH0091010,ANTRIM SEWER AND WATER DEPT,"9 Smith Rd, Antrim, Town of, New Hampshire, 03440",03440,New Hampshire,Region 1,Community water system,865,ANTRIM,Hillsborough,3,9,3,-71.94083,43.040995,-71.940331,43.04162,-71.94183,-71.93983,43.039995,43.041995
NH0027140,COVERED BRIDGE CAMPGROUND 40,"105 Fletcher Farm Rd, Bristol, New Hampshire, 03222",03222,New Hampshire,Region 1,Transient non-community system,50,ALBANY,Carroll,1,0,2,-71.793569,43.602875,-71.793569,43.602875,-71.803569,-71.783569,43.592875,43.612875
