PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
CA4900695,NORTHWEST PREP,"3450 Coffey Ln, Santa Rosa, California, 95403",95403,California,Region 9,Non-Transient non-community system,325,,Sonoma,4,1,2,-122.746671,38.473734,-122.746671,38.473734,-122.756671,-122.736671,38.463734,38.483734
CA4900714,LIBERTY SCHOOL,"170 Liberty School Rd, Petaluma, California, 94952",94952,California,Region 9,Non-Transient non-community system,225,,Sonoma,5,2,4,-122.705676,38.279214,-122.705651,38.27921,-122.706676,-122.704676,38.278214,38.280214
CA5710004,KNIGHTS LANDING SVC. DIST.,"608 Court St, Woodland, California, 95695",95695,California,Region 9,Community water system,1300,,Yolo,10,5,5,-121.77269,38.678723,-121.772691,38.67855,-121.77369,-121.77169,38.677723,38.679723
CA5403030,DRY CREEK DELI,"93221, Exeter, California",93221,California,Region 9,Transient non-community system,50,,Tulare,4,22,8,-119.140751,36.296591,-119.140751,36.296591,-119.378751,-118.902751,36.058591,36.534591
CA3303010,Thousand Trails Idyllwild - MHC,"2 N Riverside Plz, Chicago, Illinois, 60606",60606,California,Region 9,Transient non-community system,35,,Riverside,4,2,5,-87.638758,41.881995,-87.638758,41.881995,-87.648758,-87.628758,41.871995,41.891995
CA2300820,EMPIRE REST STOP,"O St, Eureka, California, 95501",95501,California,Region 9,Transient non-community system,300,,Mendocino,5,0,2,-124.153189,40.789616,-124.153189,40.789616,-124.168189,-124.138189,40.774616,40.804616
CA0202529,HOPE VALLEY CG,"96120, Hope Valley, California",96120,California,Region 9,Transient non-community system,25,,Alpine,3,1,0,-119.795772,38.806686,-119.795772,38.806686,-120.274772,-119.316772,38.327686,39.285686
CA0706014,ANCHOR MARINA,"94511, Bethel Island, California",94511,California,Region 9,Transient non-community system,35,,Contra Costa,2,18,16,-121.639782,38.028221,-121.639782,38.028221,-121.675782,-121.603782,37.992221,38.064221
CA2600610,PINE GROVE CAMPGROUND,"351 Pacu Ln, Bishop, California, 93514",93514,California,Region 9,Transient non-community system,30,,Mono,3,4,4,-118.410897,37.36181,-118.410897,37.36181,-118.420897,-118.400897,37.35181,37.37181
CA3600365,RIVERLAND RESORT,"1601 Carmen Dr, Camarillo, California, 93010",93010,California,Region 9,Transient non-community system,1000,,San Bernardino,2,0,12,-119.051572,34.232658,-119.051861,34.23271,-119.052572,-119.050572,34.231658,34.233658
CA3601091,HOLE-IN-THE-WALL-CAMPGROUND,"92332, Essex, California",92332,California,Region 9,Transient non-community system,25,,San Bernardino,1,4,0,-115.062378,34.918992,-115.062378,34.918992,-115.855378,-114.269378,34.125992,35.711992
CA3610008,BIG BEAR CITY CSD,"92314, Big Bear City, California",92314,California,Region 9,Community water system,10000,BIG BEAR CITY,,37,1,5,-116.819588,34.258371,-116.819588,34.258371,-117.158588,-116.480588,33.919371,34.597371
CA2902367,UNITED TRAILS RESORT,"10068 Hirschdale Rd, Truckee, California, 96161",96161,California,Region 9,Transient non-community system,100,,Nevada,2,2,8,-120.082619,39.383558,-120.084051,39.3826,-120.083619,-120.081619,39.382558,39.384558
CA2600513,WALKER RIVER RV & ESPRESSO BAR,"107537 US-395, Coleville, California, 96107",96107,California,Region 9,Transient non-community system,25,,Mono,3,17,8,-119.478429,38.515934,-119.478821,38.51524,-119.479429,-119.477429,38.514934,38.516934
CA4901028,GLORIA FERRER CAVES,"23555 Arnold Dr, Sonoma, California, 95476",95476,California,Region 9,Non-Transient non-community system,80,,Sonoma,5,3,2,-122.458602,38.228286,-122.458602,38.228286,-122.468602,-122.448602,38.218286,38.238286
CA4110007,CALIFORNIA WATER SERVICE - SAN CARLOS,"1720 N 1st St, San Jose, California, 95112",95112,California,Region 9,Community water system,29720,,San Mateo,6,3,11,-121.912435,37.365719,-121.911761,37.36691,-121.913435,-121.911435,37.364719,37.366719
CA4500080,LAKESHORE VILLA RV PARK,"20672 Lakeshore Dr, Lakehead, California, 96051",96051,California,Region 9,Transient non-community system,55,,Shasta,2,7,5,-122.386368,40.884758,-122.387031,40.88498,-122.387368,-122.385368,40.883758,40.885758
CA4500017,MOOSE CAMP,"96049, Redding, California",96049,California,Region 9,Transient non-community system,50,,Shasta,4,27,4,-122.35163,40.574041,-122.35163,40.574041,-122.35663,-122.34663,40.569041,40.579041
CA4500007,VERDE VALE WATER COMPANY,"19286 Hill St, Anderson, California, 96007",96007,California,Region 9,Community water system,450,,Shasta,8,7,9,-122.336657,40.464369,-122.336931,40.46447,-122.337657,-122.335657,40.463369,40.465369
CA3303064,Palm Gas Mart,"22755 Palm Dr, Desert Hot Springs, California, 92240",92240,California,Region 9,Transient non-community system,100,,Riverside,2,3,4,-116.5021,33.882362,-116.502991,33.88259,-116.5031,-116.5011,33.881362,33.883362
CA1300635,CALENERGY (ADMINISTRATIVE),"7030 Gentry Rd, Calipatria, California, 92233",92233,California,Region 9,Non-Transient non-community system,55,,Imperial,4,0,16,-115.614347,33.164367,-115.614347,33.164367,-115.624347,-115.604347,33.154367,33.174367
CA1300642,CALENERGY (ENG. & TECH.),"7030 Gentry Rd, Calipatria, California, 92233",92233,California,Region 9,Non-Transient non-community system,45,,Imperial,3,0,13,-115.614347,33.164367,-115.614347,33.164367,-115.624347,-115.604347,33.154367,33.174367
CA5410026,POPLAR COMM SERVICE DIST,"93258, Porterville, California",93258,California,Region 9,Community water system,2200,,Tulare,16,9,4,-119.017797,36.068701,-119.017797,36.068701,-119.022797,-119.012797,36.063701,36.073701
CA5500148,CHINESE CAMP SCHOOL,"18299 5th Ave, Jamestown, California, 95327",95327,California,Region 9,Non-Transient non-community system,39,,Tuolumne,4,5,13,-120.418036,37.954703,-120.417851,37.95471,-120.419036,-120.417036,37.953703,37.955703
