PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
UTAH02057,NUCOR STEEL,"3970 E Highway 36, Malad City, Idaho, 83252",83252,Utah,Region 8,Non-Transient non-community system,390,,Box Elder,7,5,5,-112.169782,42.217094,-112.170501,42.21524,-112.170782,-112.168782,42.216094,42.218094
UTAH03072,PEPPERIDGE FARM,"4982 W 5600 N, Clifton, Idaho, 83228",83228,Utah,Region 8,Non-Transient non-community system,450,,Cache,4,34,4,-111.999702,42.198472,-111.999701,42.19808,-112.000702,-111.998702,42.197472,42.199472
UTAH19067,NIZHONI CAMPGROUND,"84114, Slc, Utah",84114,Utah,Region 8,Transient non-community system,25,,San Juan,3,16,4,-111.888031,40.77555,-111.888031,40.77555,-111.893031,-111.883031,40.77055,40.78055
UTAH07058,FRUITLAND WATER SSD,"84027, Fruitland, Utah",84027,Utah,Region 8,Community water system,350,,Duchesne,11,58,3,-110.7337,40.206841,-110.7337,40.206841,-111.0407,-110.4267,39.899841,40.513841
UTAH19016,BUCKBOARD CAMPGROUND,"62 E 100 N, Moab, Utah, 84532",84532,Utah,Region 8,Transient non-community system,45,,San Juan,2,8,3,-109.549801,38.574803,-109.549801,38.57472,-109.550801,-109.548801,38.573803,38.575803
UTAH19017,DALTON SPRINGS CAMPGROUND,"84114, Slc, Utah",84114,Utah,Region 8,Transient non-community system,25,,San Juan,3,6,6,-111.888031,40.77555,-111.888031,40.77555,-111.893031,-111.883031,40.77055,40.78055
UTAH22063,BEAR RIVER LODGE,"82930, Bear River, Wyoming",82930,Utah,Region 8,Transient non-community system,30,,Summit,5,21,3,-110.969262,41.266891,-110.969262,41.266891,-111.488262,-110.450262,40.747891,41.785891
UTAH26083,FORTY DAM ACRES,"84032, Heber City, Utah",84032,Utah,Region 8,Transient non-community system,32,,Wasatch,3,1,1,-111.413642,40.507496,-111.413642,40.507496,-112.021642,-110.805642,39.899496,41.115496
UTAH02052,FIVE C MOBILE HOME PARK,"84415, Ogden, Utah",84415,Utah,Region 8,Community water system,106,,Box Elder,7,91,6,-111.951192,41.17918,-111.951192,41.17918,-111.956192,-111.946192,41.17418,41.18418
UTAH21031,BOWERY HAVEN RESORT,"84621, Axtell, Utah",84621,Utah,Region 8,Transient non-community system,125,,Sevier,5,25,3,-111.830219,39.048563,-111.830219,39.048563,-111.943219,-111.717219,38.935563,39.161563
UTAH21036,LAKE VIEW SUBDIVISION,"711 Upland Dr, Richfield, Utah, 84701",84701,Utah,Region 8,Transient non-community system,50,,Sevier,4,39,4,-112.093147,38.777731,-112.093391,38.77773,-112.094147,-112.092147,38.776731,38.778731
UTAH18024,MURRAY CITY WATER SYSTEM,"10860 S Clear Creek Dr, Sandy, Utah, 84070",84070,Utah,Region 8,Community water system,36000,,Salt Lake,49,33,9,-111.885368,40.554101,-111.885521,40.5541,-111.886368,-111.884368,40.553101,40.555101
UTAH27003,DIXIE DEER SSD,"84725, Enterprise, Utah",84725,Utah,Region 8,Community water system,500,,Washington,6,99,5,-113.726081,37.573588,-113.726081,37.573588,-113.763081,-113.689081,37.536588,37.610588
UTAH27016,SANTA CLARA CITY,"2603 Santa Clara Dr, Santa Clara, Utah, 84765",84765,Utah,Region 8,Community water system,8000,,Washington,24,38,8,-113.644893,37.129075,-113.645171,37.12875,-113.645893,-113.643893,37.128075,37.130075
UTAH06020,WEST POINT CITY WATER SYSTEM,"3189 N Pelican Dr, Ogden, Utah, 84404",84404,Utah,Region 8,Community water system,9500,,Davis,9,58,7,-112.03025,41.317158,-112.03025,41.317158,-112.04025,-112.02025,41.307158,41.327158
UTAH27015,ST GEORGE CITY WATER SYSTEM,"175 E 200 N, St George, Utah, 84770",84770,Utah,Region 8,Community water system,70000,,Washington,93,39,9,-113.57967,37.111598,-113.579671,37.11201,-113.58067,-113.57867,37.110598,37.112598
UTAH03102,CASPERS ICE CREAM,"84328, Paradise, Utah",84328,Utah,Region 8,Non-Transient non-community system,60,,Cache,6,6,3,-111.813008,41.534659,-111.813008,41.534659,-111.954008,-111.672008,41.393659,41.675659
UTAH07067,SOUTH DUCHESNE CULINARY WATER,"84021, Duchesne, Utah",84021,Utah,Region 8,Community water system,128,,Duchesne,5,3,3,-110.397062,40.16371,-110.397062,40.16371,-110.864062,-109.930062,39.69671,40.63071
UTAH10021,ARCHES NATIONAL PARK HQ,"84532, Moab, Utah",84532,Utah,Region 8,Transient non-community system,25,,Grand,4,8,6,-109.554794,38.577239,-109.554794,38.577239,-110.335794,-108.773794,37.796239,39.358239
UTAH29118,LITTLE MOUNTAIN TEST FACILITY,"84056, Hill Afb, Utah",84056,Utah,Region 8,Non-Transient non-community system,60,,Weber,2,1,1,-112.001822,41.110321,-112.001822,41.110321,-112.059822,-111.943822,41.052321,41.168321
UTAH07001,DUCHESNE WATER SYSTEM,"84021, Duchesne, Utah",84021,Utah,Region 8,Community water system,1408,,Duchesne,13,22,6,-110.397062,40.16371,-110.397062,40.16371,-110.864062,-109.930062,39.69671,40.63071
UTAH25014,HIGHLAND CITY,"363 N 900 E, American Fork, Utah, 84003",84003,Utah,Region 8,Community water system,15066,,Utah,15,152,8,-111.773248,40.38433,-111.773561,40.38433,-111.774248,-111.772248,40.38333,40.38533
UTAH25022,PLEASANT GROVE CITY,"530 S 1300 E, Pleasant Grove, Utah, 84062",84062,Utah,Region 8,Community water system,33509,,Utah,36,194,7,-111.708008,40.358016,-111.708181,40.35788,-111.709008,-111.707008,40.357016,40.359016
UTAH14008,LYNNDYL TOWN WATER SYSTEM,"84640, Lynndyl, Utah",84640,Utah,Region 8,Community water system,100,,Millard,8,49,9,-112.37363,39.517046,-112.37363,39.517046,-112.45263,-112.29463,39.438046,39.596046
UTAH26067,SOLDIER CREEK RECREATION COMPLEX,"84095, South Jordan, Utah",84095,Utah,Region 8,Transient non-community system,300,,Wasatch,4,13,5,-111.906787,40.552381,-111.906787,40.552381,-111.986787,-111.826787,40.472381,40.632381
UTAH26013,CURRANT CREEK CAMPGROUND,"84095, South Jordan, Utah",84095,Utah,Region 8,Transient non-community system,577,,Wasatch,4,11,5,-111.906787,40.552381,-111.906787,40.552381,-111.986787,-111.826787,40.472381,40.632381
UTAH25043,GRANITE FLAT CAMPGROUND,"84095, South Jordan, Utah",84095,Utah,Region 8,Transient non-community system,100,,Utah,3,2,6,-111.906787,40.552381,-111.906787,40.552381,-111.986787,-111.826787,40.472381,40.632381
UTAH25046,MAPLE BENCH CAMPGROUND,"84095, South Jordan, Utah",84095,Utah,Region 8,Transient non-community system,50,,Utah,4,6,7,-111.906787,40.552381,-111.906787,40.552381,-111.986787,-111.826787,40.472381,40.632381
UTAH25054,WHITING CAMPGROUND,"84095, South Jordan, Utah",84095,Utah,Region 8,Transient non-community system,600,,Utah,2,11,4,-111.906787,40.552381,-111.906787,40.552381,-111.986787,-111.826787,40.472381,40.632381
UTAH25119,WHITE HILLS SUBDIVISION,"2771 N 400 E, Lehi, Utah, 84043",84043,Utah,Region 8,Community water system,419,,Utah,6,92,5,-111.843278,40.42295,-111.843601,40.42295,-111.844278,-111.842278,40.42195,40.42395
UTAH20007,MOUNT PLEASANT CITY,"390 W 900 S, Mt Pleasant, Utah, 84647",84647,Utah,Region 8,Community water system,2700,,Sanpete,16,113,7,-111.462662,39.533168,-111.462671,39.53326,-111.463662,-111.461662,39.532168,39.534168
UTAH25138,SARATOGA SPRINGS CITY,"402 W Cinnamon Cir, Saratoga Springs, Utah, 84045",84045,Utah,Region 8,Community water system,13000,,Utah,17,98,4,-111.927899,40.395502,-111.927691,40.39561,-111.928899,-111.926899,40.394502,40.396502
UTAH13037,NEW PARIA SUBDIVISION,"2045 N Paradise Ln, Kanab, Utah, 84741",84741,Utah,Region 8,Community water system,35,,Kane,6,26,4,-111.914978,37.107131,-111.914978,37.107131,-111.924978,-111.904978,37.097131,37.117131
UTAH06044,ANTELOPE ISLAND RANCH,"4528 W 1700 S, Syracuse, Utah, 84075",84075,Utah,Region 8,Transient non-community system,50,,Davis,4,6,3,-112.116327,41.089269,-112.116327,41.089269,-112.126327,-112.106327,41.079269,41.099269
UTAH21050,LIZARD BENCH WATER ASSOCIATION,"2690 N 1250 E, Monroe, Utah, 84754",84754,Utah,Region 8,Community water system,52,,Sevier,3,95,4,-112.094967,38.678498,-112.094241,38.67848,-112.095967,-112.093967,38.677498,38.679498
UTAH20054,FAIRVIEW LAKES DEVELOPMENT,"260 N 200 E, Fairview, Utah, 84629",84629,Utah,Region 8,Transient non-community system,25,,Sanpete,4,28,4,-111.43518,39.632208,-111.43518,39.632208,-111.44518,-111.42518,39.622208,39.642208
UTAH06023,ANTELOPE ISLAND - NORTH,"4528 W 1700 S, Syracuse, Utah, 84075",84075,Utah,Region 8,Transient non-community system,400,,Davis,6,4,6,-112.116327,41.089269,-112.116327,41.089269,-112.126327,-112.106327,41.079269,41.099269
UTAH08024,GOBLIN VALLEY STATE PARK,"84525, Green River, Utah",84525,Utah,Region 8,Transient non-community system,1000,,Emery,4,10,5,-110.161978,38.99532,-110.161978,38.99532,-111.036978,-109.286978,38.12032,39.87032
UTAH25105,TIMPANOGOS VISITOR CENTER,"84003, American Fork, Utah",84003,Utah,Region 8,Transient non-community system,160,,Utah,5,10,7,-111.803999,40.381223,-111.803999,40.381223,-111.887999,-111.719999,40.297223,40.465223
UTAH29065,OGDEN PINEVIEW YACHT CLUB,"3541 N Elkview Dr, Eden, Utah, 84310",84310,Utah,Region 8,Transient non-community system,25,,Weber,2,20,4,-111.814828,41.323105,-111.814901,41.32315,-111.815828,-111.813828,41.322105,41.324105
UTAH11069,WOODS RANCH,"581 N Main St, Cedar City, Utah, 84721",84721,Utah,Region 8,Transient non-community system,30,,Iron,3,16,3,-113.061937,37.68722,-113.062491,37.68722,-113.062937,-113.060937,37.68622,37.68822
UTAH19014,HOVENWEEP NM,"84533, Bullfrog, Utah",84533,Utah,Region 8,Transient non-community system,25,,San Juan,4,2,5,-110.560919,37.446442,-110.560919,37.446442,-111.271919,-109.849919,36.735442,38.157442
UTAH29029,PINEVIEW WEST WATER CO,"828 N Radford Ln, Eden, Utah, 84310",84310,Utah,Region 8,Community water system,115,,Weber,9,25,4,-111.825539,41.274048,-111.825539,41.274048,-111.835539,-111.815539,41.264048,41.284048
