PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NM3561101,TRANQUILLO PINES WATER USERS COOP,"87059, Tijeras, New Mexico",87059,New Mexico,Region 6,Community water system,750,TIJERAS,Bernalillo,17,56,11,-106.281721,35.092131,-106.281721,35.092131,-106.525721,-106.037721,34.848131,35.336131
NM3590732,ADELINO HEADSTART SCHOOL,"87031, Los Lunas, New Mexico",87031,New Mexico,Region 6,Non-Transient non-community system,150,TOME,Valencia,6,190,9,-106.729521,34.802547,-106.729521,34.802547,-107.026521,-106.432521,34.505547,35.099547
NM3503521,VALLECITOS MDWCA,"87581, Vallecitos, New Mexico",87581,New Mexico,Region 6,Community water system,92,VALLECITOS,Rio Arriba,4,118,33,-106.112608,36.503591,-106.112608,36.503591,-106.604608,-105.620608,36.011591,36.995591
NM3524230,MORIARTY WATER SYSTEM,"87035, Moriarty, New Mexico",87035,New Mexico,Region 6,Community water system,1910,MORIARTY,Torrance,19,10,11,-106.120571,34.982545,-106.120571,34.982545,-106.803571,-105.437571,34.299545,35.665545
NM3501826,SOUTHWESTERN COLLEGE,"87507, Santa Fe, New Mexico",87507,New Mexico,Region 6,Non-Transient non-community system,117,SANTA FE,Santa Fe,3,0,8,-106.028572,35.641741,-106.028572,35.641741,-106.250572,-105.806572,35.419741,35.863741
NM3501323,ARTISAN CENTER OF CORRALES,"87048, Corrales, New Mexico",87048,New Mexico,Region 6,Transient non-community system,25,CORRALES,Sandoval,3,15,4,-106.613917,35.226264,-106.613917,35.226264,-106.674917,-106.552917,35.165264,35.287264
NM3511607,HATCH WATER SUPPLY SYSTEM,"87937, Hatch, New Mexico",87937,New Mexico,Region 6,Community water system,2172,HATCH,Dona Ana,10,2,14,-107.153613,32.666116,-107.153613,32.666116,-107.383613,-106.923613,32.436116,32.896116
NM3500219,KARR CANYON ESTATES,"88325, High Rolls Mountain Park, New Mexico",88325,New Mexico,Region 6,Community water system,100,HIGH ROLLS,Otero,5,4,7,-105.820632,32.92112,-105.820632,32.92112,-105.855632,-105.785632,32.88612,32.95612
NM3526204,CIMARRON WATER SYSTEM,"87714, Cimarron, New Mexico",87714,New Mexico,Region 6,Community water system,987,CIMARRON,Colfax,8,30,14,-104.914292,36.511511,-104.914292,36.511511,-105.398292,-104.430292,36.027511,36.995511
NM3528616,DEMING MUNICIPAL WATER SYSTEM,"88031, Deming, New Mexico",88031,New Mexico,Region 6,Community water system,14855,DEMING,Luna,36,8,24,-107.759997,32.267533,-107.759997,32.267533,-107.764997,-107.754997,32.262533,32.272533
NM3594129,SANTA BARBARA CAMPGROUND USFS CARSON,"87571, Taos, New Mexico",87571,New Mexico,Region 6,Transient non-community system,62,PENASCO,Taos,4,6,10,-105.570425,36.405402,-105.570425,36.405402,-105.822425,-105.318425,36.153402,36.657402
NM3590923,CORRALES ELEMENTARY SCHOOL,"87106, Unm, New Mexico",87106,New Mexico,Region 6,Non-Transient non-community system,565,CORRALES,Sandoval,7,180,12,-106.608562,35.1022,-106.608562,35.1022,-106.742562,-106.474562,34.9682,35.2362
NM3501014,EAGLE CREEK SHELL CONVENIENCE STORE,"87107, Los Ranchos De Albuquerque, New Mexico",87107,New Mexico,Region 6,Transient non-community system,800,ALTO,Lincoln,5,3,12,-106.641457,35.138527,-106.641457,35.138527,-106.687457,-106.595457,35.092527,35.184527
NM3500907,ARDOVINOS DESERT CROSSING,"88063, Sunland Park, New Mexico",88063,New Mexico,Region 6,Transient non-community system,25,SUNLAND PARK,Dona Ana,4,11,6,-106.598281,31.814681,-106.598281,31.814681,-106.669281,-106.527281,31.743681,31.885681
NM3591402,EAGLE GUEST RANCH SW,"87821, Datil, New Mexico",87821,New Mexico,Region 6,Transient non-community system,25,DATIL,Catron,3,22,5,-108.135632,34.030778,-108.135632,34.030778,-108.965632,-107.305632,33.200778,34.860778
NM3507629,TRAMPAS MDWCA,"87521, Chamisal, New Mexico",87521,New Mexico,Region 6,Community water system,200,TRAMPAS,Taos,9,18,13,-105.732247,36.173481,-105.732247,36.173481,-105.838247,-105.626247,36.067481,36.279481
NM3522329,EL SALTO MDWCA AND SA,"87529, El Prado, New Mexico",87529,New Mexico,Region 6,Community water system,232,ARROYO SECO,Taos,4,47,18,-105.586592,36.4482,-105.586592,36.4482,-105.826592,-105.346592,36.2082,36.6882
NM3501117,JEM TRADING,"87326, Gallup, New Mexico",87326,New Mexico,Region 6,Transient non-community system,25,VANDERWAGEN,McKinley,4,9,2,-108.755932,35.284957,-108.755932,35.284957,-108.760932,-108.750932,35.279957,35.289957
NM3520023,PUEBLO LOS CERROS,"87048, Corrales, New Mexico",87048,New Mexico,Region 6,Community water system,180,CORRALES,Sandoval,9,7,10,-106.613917,35.226264,-106.613917,35.226264,-106.674917,-106.552917,35.165264,35.287264
NM3599429,TAOS SPA AND TENNIS CLUB,"87571, Taos, New Mexico",87571,New Mexico,Region 6,Transient non-community system,300,TAOS,Taos,11,1,7,-105.570425,36.405402,-105.570425,36.405402,-105.822425,-105.318425,36.153402,36.657402
NM3510024,FLORA VISTA MUTUAL DOMESTIC,"87415, Flora Vista, New Mexico",87415,New Mexico,Region 6,Community water system,4291,FARMINGTON,San Juan,11,12,14,-108.102442,36.78772,-108.102442,36.78772,-108.178442,-108.026442,36.71172,36.86372
NM3500417,SAGEBRUSH BAR & LIQUOR,"87305, Gallup, New Mexico",87305,New Mexico,Region 6,Transient non-community system,100,GALLUP,McKinley,3,1,3,-108.752432,35.523691,-108.752432,35.523691,-108.757432,-108.747432,35.518691,35.528691
NM3560007,MESILLA WATER SYSTEM,"88046, Mesilla, New Mexico",88046,New Mexico,Region 6,Community water system,1702,MESILLA,Dona Ana,13,10,12,-106.798755,32.271075,-106.798755,32.271075,-106.800755,-106.796755,32.269075,32.273075
NM3599129,TAOS EAST CONDOMINIUMS,"87571, Taos, New Mexico",87571,New Mexico,Region 6,Transient non-community system,70,TAOS,Taos,6,9,7,-105.570425,36.405402,-105.570425,36.405402,-105.822425,-105.318425,36.153402,36.657402
NM3500807,CHAMBERINO MDWC & SA,"88021, Anthony, New Mexico",88021,New Mexico,Region 6,Community water system,485,CHAMBERINO,Dona Ana,4,1,6,-106.592102,32.00573,-106.592102,32.00573,-106.740102,-106.444102,31.85773,32.15373
NM3593221,HERON LAKE STATE PARK (SURFACE WATER),"87551, Rutheron, New Mexico",87551,New Mexico,Region 6,Transient non-community system,150,RUTHERON,Rio Arriba,6,10,5,-106.572001,36.729331,-106.572001,36.729331,-106.577001,-106.567001,36.724331,36.734331
NM3501013,LES NATIONAL ENRICHMENT FACILITY,"88231, Eunice, New Mexico",88231,New Mexico,Region 6,Non-Transient non-community system,500,EUNICE,Lea,6,1,1,-103.158371,32.438255,-103.158371,32.438255,-103.367371,-102.949371,32.229255,32.647255
NM3580807,AGUIRRE SPRINGS-BLM,"88005, Las Cruces, New Mexico",88005,New Mexico,Region 6,Transient non-community system,25,LAS CRUCES,Dona Ana,3,2,5,-106.787662,32.3144,-106.787662,32.3144,-107.298662,-106.276662,31.8034,32.8254
NM3501204,UU BAR,"87714, Cimarron, New Mexico",87714,New Mexico,Region 6,Non-Transient non-community system,50,CIMARRON,Colfax,6,0,1,-104.914292,36.511511,-104.914292,36.511511,-105.398292,-104.430292,36.027511,36.995511
NM3563619,MOUNTAIN ORCHARD MDWCA,"88325, High Rolls Mountain Park, New Mexico",88325,New Mexico,Region 6,Community water system,74,HIGH ROLLS,Otero,8,13,11,-105.820632,32.92112,-105.820632,32.92112,-105.855632,-105.785632,32.88612,32.95612
NM3501921,ESPANOLA WATER SYSTEM,"87532, Espanola, New Mexico",87532,New Mexico,Region 6,Community water system,10495,ESPANOLA,Rio Arriba,48,245,14,-106.081791,35.993625,-106.081791,35.993625,-106.340791,-105.822791,35.734625,36.252625
NM3510209,CASAS ADOBES WATER SYSTEM,"88049, Mimbres, New Mexico",88049,New Mexico,Region 6,Community water system,343,MIMBRES,Grant,8,7,14,-108.281668,33.032112,-108.281668,33.032112,-108.729668,-107.833668,32.584112,33.480112
NM3508217,COAL BASIN WATER ASSOCIATION,"87305, Gallup, New Mexico",87305,New Mexico,Region 6,Community water system,57,GALLUP,McKinley,9,46,13,-108.752432,35.523691,-108.752432,35.523691,-108.757432,-108.747432,35.518691,35.528691
NM3593519,OLIVER LEE STATE PARK,"87505, Santa Fe, New Mexico",87505,New Mexico,Region 6,Transient non-community system,40,ALAMOGORDO,Otero,3,3,9,-105.942332,35.676137,-105.942332,35.676137,-106.084332,-105.800332,35.534137,35.818137
NM3501201,VISTA DE MANANA,"87059, Tijeras, New Mexico",87059,New Mexico,Region 6,Community water system,80,CEDAR CREST,Bernalillo,5,11,6,-106.281721,35.092131,-106.281721,35.092131,-106.525721,-106.037721,34.848131,35.336131
NM3575530,HOMESTEAD WATER COMPANY,"87035, Moriarty, New Mexico",87035,New Mexico,Region 6,Community water system,230,MORIARTY,Torrance,16,34,9,-106.120571,34.982545,-106.120571,34.982545,-106.803571,-105.437571,34.299545,35.665545
NM3561317,SAGEBRUSH WATER CO-OP,"87319, Gallup, New Mexico",87319,New Mexico,Region 6,Community water system,56,MENTMORE,McKinley,4,51,9,-108.882276,35.494241,-108.882276,35.494241,-108.898276,-108.866276,35.478241,35.510241
NM3526911,ROY (VILLAGE OF),"87743, Roy, New Mexico",87743,New Mexico,Region 6,Community water system,300,ROY,Harding,12,18,12,-103.812639,36.100888,-103.812639,36.100888,-104.390639,-103.234639,35.522888,36.678888
NM3510403,FAMBROUGH MDWCA,"88232, Hagerman, New Mexico",88232,New Mexico,Region 6,Community water system,450,HAGERMAN,Chaves,9,12,8,-104.328162,33.113111,-104.328162,33.113111,-104.890162,-103.766162,32.551111,33.675111
NM3580013,CONOCOPHILLIPS  BUCKEYE,"15 W London Rd, Loving, New Mexico, 88256",88256,New Mexico,Region 6,Non-Transient non-community system,37,LOVINGTON,Lea,3,3,6,-104.106815,32.297945,-104.106815,32.297945,-104.116815,-104.096815,32.287945,32.307945
NM3500923,ORCHARD ESTATES FLMDWC & SW,"87048, Corrales, New Mexico",87048,New Mexico,Region 6,Community water system,36,CORRALES,Sandoval,2,21,4,-106.613917,35.226264,-106.613917,35.226264,-106.674917,-106.552917,35.165264,35.287264
NM3592504,USFS CIMARRON CG/SHUREE PONDS,"87571, Taos, New Mexico",87571,New Mexico,Region 6,Transient non-community system,120,,Colfax,5,3,6,-105.570425,36.405402,-105.570425,36.405402,-105.822425,-105.318425,36.153402,36.657402
NM3500329,EAGLE ROCK VILLAGE,"87556, Questa, New Mexico",87556,New Mexico,Region 6,Community water system,48,QUESTA,Taos,4,36,7,-105.589681,36.70679,-105.589681,36.70679,-105.873681,-105.305681,36.42279,36.99079
NM3533814,SUN VALLEY WATER AND SANITATION DISTRICT,"88312, Alto, New Mexico",88312,New Mexico,Region 6,Community water system,380,ALTO,Lincoln,17,8,19,-105.679382,33.407621,-105.679382,33.407621,-105.862382,-105.496382,33.224621,33.590621
NM3503001,NORTH EAST CHURCH OF CHRIST,"87199, Albuquerque, New Mexico",87199,New Mexico,Region 6,Transient non-community system,250,ALBUQUERQUE,Bernalillo,3,0,1,-106.575882,35.16057,-106.575882,35.16057,-106.580882,-106.570882,35.15557,35.16557
NM3591707,ADMIRAL BEVERAGE CORPORATION,"88007, Las Cruces, New Mexico",88007,New Mexico,Region 6,Non-Transient non-community system,140,LAS CRUCES,Dona Ana,4,10,10,-106.796132,32.33523,-106.796132,32.33523,-107.078132,-106.514132,32.05323,32.61723
NM3500629,EL RANCHO MHP TAOS,"87529, El Prado, New Mexico",87529,New Mexico,Region 6,Community water system,72,EL PRADO,Taos,5,20,4,-105.586592,36.4482,-105.586592,36.4482,-105.826592,-105.346592,36.2082,36.6882
NM3501626,LA TIENDA AT ELDORADO,"87508, Santa Fe, New Mexico",87508,New Mexico,Region 6,Non-Transient non-community system,400,SANTA FE,Santa Fe,6,25,1,-105.896394,35.535955,-105.896394,35.535955,-106.248394,-105.544394,35.183955,35.887955
NM3501419,BREWER,"87107, Los Ranchos De Albuquerque, New Mexico",87107,New Mexico,Region 6,Transient non-community system,200,ALAMOGORDO,Otero,7,1,2,-106.641457,35.138527,-106.641457,35.138527,-106.687457,-106.595457,35.092527,35.184527
NM3503921,HOPEWELL LAKE CAMPGROUND USFS CARSON,"87571, Taos, New Mexico",87571,New Mexico,Region 6,Transient non-community system,30,TAOS,Rio Arriba,3,4,1,-105.570425,36.405402,-105.570425,36.405402,-105.822425,-105.318425,36.153402,36.657402
NM3591209,CAMP THUNDERBIRD,"88049, Mimbres, New Mexico",88049,New Mexico,Region 6,Transient non-community system,25,MIMBRES,Grant,4,11,12,-108.281668,33.032112,-108.281668,33.032112,-108.729668,-107.833668,32.584112,33.480112
NM3598401,POLK MIDDLE SCHOOL,"87106, Unm, New Mexico",87106,New Mexico,Region 6,Non-Transient non-community system,850,ALBUQUERQUE,Bernalillo,5,0,10,-106.608562,35.1022,-106.608562,35.1022,-106.742562,-106.474562,34.9682,35.2362
NM3590708,INTREPID POTASH  WEST,"88220, Carlsbad, New Mexico",88220,New Mexico,Region 6,Non-Transient non-community system,353,CARLSBAD,Eddy,20,8,9,-104.235265,32.423494,-104.235265,32.423494,-104.851265,-103.619265,31.807494,33.039494
NM3500224,LA VIDA MISSION COMMUNITY WATER SUPPLY,"87499, Farmington, New Mexico",87499,New Mexico,Region 6,Community water system,42,FARMINGTON,San Juan,4,43,8,-108.176672,36.747621,-108.176672,36.747621,-108.181672,-108.171672,36.742621,36.752621
NM3566221,LA ASSOCIATION DE AGUA DE LOS BRAZOS,"87551, Rutheron, New Mexico",87551,New Mexico,Region 6,Community water system,32,LOS OJOS,Rio Arriba,5,53,9,-106.572001,36.729331,-106.572001,36.729331,-106.577001,-106.567001,36.724331,36.734331
NM3577432,TRAILS END MHP,"87124, Albuquerque, New Mexico",87124,New Mexico,Region 6,Community water system,120,LOS LUNAS,Valencia,9,19,15,-106.649851,35.23943,-106.649851,35.23943,-106.919851,-106.379851,34.96943,35.50943
