PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
IA5715150,NEXTERA ENERGY DUANE ARNOLD LLC,"52324, Palo, Iowa",52324,Iowa,Region 7,Non-Transient non-community system,500,PALO,Linn,23,3,5,-91.795391,42.065561,-91.795391,42.065561,-91.895391,-91.695391,41.965561,42.165561
IA7139032,PAULLINA MUNICIPAL WATER SUPPLY,"51046, Paullina, Iowa",51046,Iowa,Region 7,Community water system,1074,PAULLINA,O'Brien,10,4,6,-95.687454,42.978848,-95.687454,42.978848,-95.830454,-95.544454,42.835848,43.121848
IA8150015,SAC CITY MUNICIPAL WATER PLANT,"50583, Sac City, Iowa",50583,Iowa,Region 7,Community water system,2257,SAC CITY,Sac,9,2,7,-94.994024,42.421148,-94.994024,42.421148,-95.133024,-94.855024,42.282148,42.560148
IA7700802,"SOUTHWEST POLK WATER SERVICE, INC.","50021, Ankeny, Iowa",50021,Iowa,Region 7,Community water system,327,WEST DES MOINES,Polk,10,9,5,-93.585502,41.733161,-93.585502,41.733161,-93.660502,-93.510502,41.658161,41.808161
IA7700800,FOX CREEK BENEFITTED WTR. DISTRICT,"50021, Ankeny, Iowa",50021,Iowa,Region 7,Community water system,518,BOONEVILLE,Dallas,10,15,7,-93.585502,41.733161,-93.585502,41.733161,-93.660502,-93.510502,41.658161,41.808161
IA7709396,"HICKORY HOLLOW WATER SERVICE, INC.","50021, Ankeny, Iowa",50021,Iowa,Region 7,Community water system,235,ANKENY,Polk,12,17,6,-93.585502,41.733161,-93.585502,41.733161,-93.660502,-93.510502,41.658161,41.808161
IA4515202,JOS LONGBRANCH,"52136, Cresco, Iowa",52136,Iowa,Region 7,Transient non-community system,27,CRESCO,Howard,5,43,13,-92.117306,43.372442,-92.117306,43.372442,-92.322306,-91.912306,43.167442,43.577442
IA7709601,AUTUMN RIDGE ESTATES MHP,"50208, Newton, Iowa",50208,Iowa,Region 7,Community water system,1032,ANKENY,Polk,5,5,5,-93.048262,41.699811,-93.048262,41.699811,-93.211262,-92.885262,41.536811,41.862811
IA4039071,RANDALL WATER SUPPLY,"50231, Randall, Iowa",50231,Iowa,Region 7,Community water system,173,RANDALL,Hamilton,7,4,6,-93.602941,42.238301,-93.602941,42.238301,-93.631941,-93.573941,42.209301,42.267301
IA5748201,LINCOLNWAY INVESTMENT GROUP,"52253, Lisbon, Iowa",52253,Iowa,Region 7,Transient non-community system,110,LISBON,Linn,4,77,4,-91.387141,41.921031,-91.387141,41.921031,-91.520141,-91.254141,41.788031,42.054031
IA7048501,MUSCATINE COM SCHOOL TRANSPORTATION BLDG,"52761, Muscatine, Iowa",52761,Iowa,Region 7,Transient non-community system,50,MUSCATINE,Muscatine,5,3,3,-91.048482,41.426171,-91.048482,41.426171,-91.298482,-90.798482,41.176171,41.676171
IA2570304,DEER HUNTERS RUN,"50021, Ankeny, Iowa",50021,Iowa,Region 7,Community water system,58,VAN METER,Dallas,7,2,5,-93.585502,41.733161,-93.585502,41.733161,-93.660502,-93.510502,41.658161,41.808161
IA2223801,ELKADER GRACE EVANGELICAL FREE CHURCH,"52043, Elkader, Iowa",52043,Iowa,Region 7,Transient non-community system,25,ELKADER,Clayton,4,4,2,-91.404241,42.8572,-91.404241,42.8572,-91.576241,-91.232241,42.6852,43.0292
IA3525079,COULTER WATER SUPPLY,"50431, Coulter, Iowa",50431,Iowa,Region 7,Community water system,281,COULTER,Franklin,9,7,7,-93.369541,42.736371,-93.369541,42.736371,-93.389541,-93.349541,42.716371,42.756371
IA4500901,HOWARD RESIDENTIAL CARE FACILITY,"52136, Cresco, Iowa",52136,Iowa,Region 7,Community water system,90,CRESCO,Howard,9,23,6,-92.117306,43.372442,-92.117306,43.372442,-92.322306,-91.912306,43.167442,43.577442
IA0743888,LA PORTE CITY GOLF CLUB,"50651, La Porte City, Iowa",50651,Iowa,Region 7,Transient non-community system,40,LA PORTE CITY,Black Hawk,5,12,13,-92.18843,42.311606,-92.18843,42.311606,-92.34743,-92.02943,42.152606,42.470606
IA5282802,CAMP IODISECA,"52333, Solon, Iowa",52333,Iowa,Region 7,Transient non-community system,25,SOLON,Johnson,9,23,14,-91.493812,41.80448,-91.493812,41.80448,-91.657812,-91.329812,41.64048,41.96848
IA4109101,HAWKEYE PRIDE EGG FARM LLP,"50588, Lakeside, Iowa",50588,Iowa,Region 7,Non-Transient non-community system,80,CORWITH,Hancock,7,1,1,-95.203473,42.645346,-95.203473,42.645346,-95.373473,-95.033473,42.475346,42.815346
IA8515060,COLLINS WATER SUPPLY,"50055, Collins, Iowa",50055,Iowa,Region 7,Community water system,503,COLLINS,Story,9,12,6,-93.294614,41.820909,-93.294614,41.820909,-93.438614,-93.150614,41.676909,41.964909
IA9845024,MANLY WATER SUPPLY,"50456, Manly, Iowa",50456,Iowa,Region 7,Community water system,1323,MANLY,Worth,11,1,7,-93.203836,43.287024,-93.203836,43.287024,-93.349836,-93.057836,43.141024,43.433024
IA9835401,HAPPY TIME RESORT LLC,"50450, Lake Mills, Iowa",50450,Iowa,Region 7,Transient non-community system,30,JOICE,Worth,4,1,3,-93.532325,43.417366,-93.532325,43.417366,-93.670325,-93.394325,43.279366,43.555366
IA4260208,LOYAL ORDER OF THE MOOSE-IOWA FALLS,"50126, Iowa Falls, Iowa",50126,Iowa,Region 7,Transient non-community system,71,IOWA FALLS,Hardin,5,11,14,-93.263168,42.523336,-93.263168,42.523336,-93.403168,-93.123168,42.383336,42.663336
IA5064055,PRAIRIE CITY WATER WORKS,"50228, Prairie City, Iowa",50228,Iowa,Region 7,Community water system,1680,PRAIRIE CITY,Jasper,13,7,7,-93.236662,41.59676,-93.236662,41.59676,-93.358662,-93.114662,41.47476,41.71876
