State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Delaware,NEW CASTLE,Wilmington Police Department,DE0020600,8542,2782,5760,12560,3723,8837,27,6,21,0,0,0,161,55,106,296,78,218,5743,966,4777,3804,349,3455,18384,2115,16269,307,91,216,27931,3430,24501,39.73873,-75.548965
Delaware,NEW CASTLE,Elsmere Police Department,DE0020700,213,93,120,265,105,160,0,0,0,0,0,0,1,0,1,3,1,2,266,60,206,141,12,129,679,105,574,6,2,4,1086,177,909,39.739624,-75.60179
Delaware,NEW CASTLE,Newport Police Department,DE0020800,80,37,43,99,41,58,0,0,0,0,0,0,1,0,1,0,0,0,58,16,42,23,4,19,208,43,165,2,0,2,289,63,226,39.575915,-75.644132
Delaware,NEW CASTLE,Delaware City Police Department,DE0020900,83,35,48,105,41,64,1,0,1,0,0,0,6,2,4,0,0,0,87,20,67,8,0,8,309,50,259,14,4,10,404,70,334,39.57391,-75.59376
Delaware,NEW CASTLE,Amtrak Police,DE002159E,8,4,4,11,5,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,3,0,3,65,32,33,0,0,0,70,33,37,,
Delaware,NEW CASTLE,Alcohol and Tobacco Enforcement,DE0021600,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,6,3,3,39.575915,-75.644132
Delaware,NEW CASTLE,University of Delaware,DE0021700,33,16,17,76,33,43,14,2,12,0,0,0,27,11,16,0,0,0,58,16,42,6,1,5,1241,207,1034,33,13,20,1305,224,1081,39.67637,-75.75021
Delaware,NEW CASTLE,Wilmington Fire Department,DE0022600,18,8,10,18,8,10,43,14,29,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,39.73873,-75.548965
Delaware,NEW CASTLE,Animal Welfare:,DE002500X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,,
Delaware,NEW CASTLE,Attorney General: New Castle County,DE0029Z0X,9,3,6,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,39.742977,-75.547295
Delaware,SUSSEX,Bridgeville Police Department,DE0030100,83,35,48,102,41,61,0,0,0,0,0,0,4,1,3,2,1,1,59,13,46,22,8,14,425,98,327,5,1,4,506,119,387,38.744175,-75.599144
Delaware,SUSSEX,Delmar Police Department,DE0030200,99,39,60,126,44,82,6,2,4,0,0,0,7,2,5,0,0,0,118,20,98,10,2,8,373,74,299,9,2,7,501,96,405,38.677511,-75.335495
Delaware,SUSSEX,Laurel Police Department,DE0030300,520,207,313,681,261,420,0,0,0,0,0,0,28,11,17,1,0,1,379,79,300,75,20,55,1523,419,1104,49,19,30,1977,518,1459,38.677511,-75.335495
Delaware,SUSSEX,Lewes Police Department,DE0030400,71,33,38,85,38,47,0,0,0,0,0,0,5,1,4,0,0,0,78,18,60,14,6,8,464,95,369,10,3,7,556,119,437,38.677511,-75.335495
Delaware,"KENT, SUSSEX",Milford Police Department,DE0030500,904,379,525,1242,480,762,1,0,1,0,0,0,51,16,35,8,3,5,576,135,441,165,52,113,5348,1642,3706,97,31,66,6089,1829,4260,38.91612,-75.42161
Delaware,SUSSEX,Milton Police Department,DE0030600,54,23,31,64,24,40,0,0,0,0,0,0,4,1,3,0,0,0,87,15,72,13,4,9,292,62,230,7,1,6,392,81,311,38.77769,-75.31031
