State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Georgia,BARTOW,White Police Department,GA0080500,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,3,1,2,34.240917,-84.838188
Georgia,BARTOW,Emerson Police Department,GA0080600,66,17,49,84,19,65,5,2,3,0,0,0,7,0,7,0,0,0,54,4,50,47,3,44,360,29,331,4,0,4,461,36,425,34.240917,-84.838188
Georgia,BARTOW,Euharlee Police Department,GA0080700,33,6,27,41,10,31,3,0,3,0,0,0,3,1,2,4,3,1,40,6,34,11,3,8,176,28,148,4,1,3,227,37,190,34.240917,-84.838188
Georgia,BARTOW,Chattahoochee Technical College,GA0081000,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,27,0,0,0,34,7,27,,
Georgia,BARTOW,Georgia Highlands College,GA0081100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,0,9,,
Georgia,BEN HILL,Ben Hill County Sheriff's Office,GA0090000,257,91,166,308,98,210,4,1,3,0,0,0,15,1,14,6,2,4,492,55,437,161,29,132,882,97,785,29,3,26,1535,181,1354,31.740775,-83.14719
Georgia,BEN HILL,Fitzgerald Police Department,GA0090100,491,131,360,638,162,476,15,5,10,0,0,0,13,2,11,11,3,8,754,123,631,188,37,151,3326,775,2551,26,7,19,4268,935,3333,31.740775,-83.14719
Georgia,BERRIEN,Berrien County Sheriff's Office,GA0100000,212,65,147,280,83,197,8,4,4,0,0,0,38,10,28,5,2,3,394,70,324,106,25,81,1053,183,870,51,14,37,1553,278,1275,31.191711,-83.27352
Georgia,BERRIEN,Nashville Police Department,GA0100100,227,42,185,309,65,244,4,1,3,2,0,2,20,6,14,2,1,1,471,97,374,62,18,44,1698,307,1391,19,4,15,2231,422,1809,31.274308,-83.231906
Georgia,BERRIEN,Alapaha Police Department,GA0100200,6,3,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,3,2,1,40,12,28,0,0,0,55,15,40,31.274308,-83.231906
Georgia,"BERRIEN, LANIER",Ray City Police Department,GA0100300,3,1,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,7,3,4,14030,2,14028,0,0,0,14054,5,14049,31.274308,-83.231906
Georgia,BERRIEN,Enigma Police Department,GA0100400,6,2,4,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,5,1,4,70,9,61,3,1,2,105,10,95,31.07462,-83.20011
Georgia,BIBB,Bibb County Sheriff's Office,GA0110000,7774,868,6906,10983,1377,9606,447,39,408,30,12,18,315,61,254,381,105,276,11761,570,11191,5488,463,5025,38384,3265,35119,429,59,370,55633,4298,51335,32.831833,-83.64161
Georgia,BIBB,Georgia Forestry Commission,GA0110200,0,0,0,0,0,0,85,2,83,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,11,1,10,0,0,0,16,1,15,32.808844,-83.694193
Georgia,BIBB,Bibb County Board of Education,GA0110400,52,25,27,66,32,34,4,2,2,0,0,0,0,0,0,0,0,0,3,0,3,9,3,6,323,137,186,0,0,0,335,140,195,32.841473,-83.660034
Georgia,BIBB,Mercer University,GA011099E,17,7,10,34,11,23,2,0,2,0,0,0,5,2,3,0,0,0,30,1,29,61,18,43,429,24,405,12,4,8,520,43,477,32.82903,-83.648766
Georgia,BIBB,Wesleyan College,GA011119E,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,12,1,11,3,1,2,14,1,13,32.876038,-83.71381
