State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Wyoming,GOSHEN,Torrington Police Department,WY0080100,249,110,139,284,118,166,2,1,1,4,1,3,13,2,11,2,1,1,177,39,138,51,18,33,700,181,519,29,5,24,928,238,690,42.066048,-104.17981
Wyoming,HOT SPRINGS,Hot Springs County Sheriff's Office,WY0090000,21,10,11,21,10,11,3,1,2,0,0,0,0,0,0,0,0,0,21,5,16,25,9,16,159,61,98,0,0,0,205,75,130,43.6472,-108.20895
Wyoming,HOT SPRINGS,Thermopolis Police Department,WY0090100,91,44,47,103,48,55,2,1,1,0,0,0,1,0,1,2,1,1,44,6,38,30,11,19,273,48,225,4,0,4,347,65,282,43.720871,-108.435652
Wyoming,JOHNSON,Johnson County Sheriff's Office,WY0100000,53,22,31,74,28,46,0,0,0,0,0,0,2,0,2,0,0,0,75,16,59,43,14,29,212,37,175,21,6,15,330,67,263,44.044048,-106.588541
Wyoming,JOHNSON,Buffalo Police Department,WY0100100,81,35,46,96,40,56,1,0,1,4,1,3,5,2,3,0,0,0,89,21,68,61,25,36,443,81,362,13,4,9,593,127,466,44.044048,-106.588541
Wyoming,LARAMIE,Laramie County Sheriff's Office,WY0110000,569,230,339,650,248,402,23,5,18,0,0,0,8,1,7,13,5,8,765,63,702,425,73,352,2044,239,1805,49,9,40,3234,375,2859,41.134678,-104.81936
Wyoming,LARAMIE,Cheyenne Police Department,WY0110100,1609,541,1068,2232,666,1566,85,10,75,0,0,0,100,4,96,43,17,26,2415,244,2171,2154,355,1799,16622,2313,14309,348,49,299,21191,2912,18279,41.136475,-104.81774
Wyoming,LARAMIE,Pine Bluffs Police Department,WY0110200,16,5,11,26,8,18,0,0,0,0,0,0,0,0,0,0,0,0,29,7,22,16,5,11,49,1,48,8,3,5,94,13,81,41.29283,-104.660395
Wyoming,LARAMIE,Wyoming Division of Criminal Investigation,WY0110400,196,84,112,242,100,142,5,0,5,18,8,10,25,8,17,9,2,7,5,2,3,9,2,7,8,1,7,35,13,22,22,5,17,,
Wyoming,LINCOLN,Lincoln County Sheriff's Office,WY0120000,118,29,89,156,32,124,4,0,4,0,0,0,10,2,8,0,0,0,126,2,124,43,3,40,442,20,422,36,2,34,611,25,586,41.79181,-110.540665
Wyoming,LINCOLN,Afton Police Department,WY0120100,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,5,14,1,0,1,155,53,102,0,0,0,175,58,117,42.228788,-110.679842
Wyoming,LINCOLN,Kemmerer Police Department,WY0120200,24,10,14,34,14,20,4,2,2,0,0,0,0,0,0,0,0,0,10,2,8,5,1,4,108,26,82,8,3,5,123,29,94,41.813946,-110.53512
Wyoming,LINCOLN,Diamondville Police Department,WY0120300,4,2,2,7,3,4,0,0,0,0,0,0,1,0,1,0,0,0,7,0,7,0,0,0,4,1,3,3,1,2,11,1,10,42.228788,-110.679842
Wyoming,LINCOLN,La Barge Police Department,WY0120400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.228788,-110.679842
