State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Virginia,BATH,Bath County Sheriff's Office,VA0090000,30,11,19,33,12,21,1,0,1,0,0,0,0,0,0,2,1,1,21,7,14,9,3,6,125,24,101,1,0,1,155,34,121,38.068988,-79.732898
Virginia,BATH,State Police: Bath County,VA009SP00,15,5,10,21,8,13,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,17,6,11,6,3,3,17,6,11,37.81733,-79.80464
Virginia,BEDFORD,Bedford County Sheriff's Office,VA0100000,726,336,390,998,442,556,34,12,22,0,0,0,115,44,71,27,13,14,1122,205,917,411,115,296,3448,610,2838,197,76,121,4981,930,4051,37.311317,-79.50447
Virginia,BEDFORD,Bedford Police Department,VA0100100,109,50,59,190,82,108,19,7,12,0,0,0,28,10,18,6,3,3,111,35,76,63,20,43,2071,666,1405,57,21,36,2245,721,1524,37.33405,-79.522026
Virginia,BEDFORD,State Police: Bedford County,VA010SP00,71,34,37,78,37,41,1,0,1,0,0,0,3,1,2,2,1,1,1,0,1,5,0,5,36,6,30,5,2,3,42,6,36,37.312408,-79.527947
Virginia,BLAND,Bland County Sheriff's Office,VA0110000,19,8,11,34,12,22,5,2,3,0,0,0,12,4,8,1,0,1,110,14,96,25,6,19,239,30,209,13,4,9,374,50,324,37.130612,-81.125853
Virginia,BLAND,State Police: Bland County,VA011SP00,25,12,13,42,17,25,0,0,0,0,0,0,8,2,6,4,1,3,20,4,16,11,3,8,22,7,15,11,3,8,53,14,39,37.130612,-81.125853
Virginia,BOTETOURT,Botetourt County Sheriff's Office,VA0120000,314,155,159,464,218,246,17,6,11,0,0,0,38,15,23,7,4,3,401,139,262,223,89,134,1973,506,1467,111,45,66,2597,734,1863,37.553005,-79.804564
Virginia,BOTETOURT,State Police: Botetourt County,VA012SP00,71,26,45,77,29,48,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,18,6,12,32,8,24,2,1,1,51,14,37,37.686653,-79.49071
Virginia,BRUNSWICK,Brunswick County Sheriff's Office,VA0130000,100,39,61,169,54,115,23,7,16,0,0,0,12,3,9,6,1,5,210,27,183,79,16,63,564,48,516,45,11,34,853,91,762,36.764531,-77.860916
Virginia,BRUNSWICK,Lawrenceville Police Department,VA0130100,9,2,7,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,29,2,27,6,1,5,59,13,46,2,1,1,94,16,78,36.75952,-77.847145
Virginia,BRUNSWICK,State Police: Brunswick County,VA013SP00,24,10,14,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,7,2,5,3,1,2,0,0,0,14,4,10,36.741623,-77.507034
Virginia,BUCHANAN,Buchanan County Sheriff's Office,VA0140000,373,167,206,620,241,379,32,7,25,0,0,0,64,16,48,16,6,10,570,101,469,271,49,222,1890,378,1512,214,61,153,2731,528,2203,37.26812,-82.038151
Virginia,BUCHANAN,Grundy Police Department,VA0140100,7,1,6,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,7,0,7,400,138,262,1,0,1,415,139,276,37.26812,-82.038151
Virginia,BUCHANAN,State Police: Buchanan County,VA014SP00,28,12,16,40,17,23,47,7,40,8,4,4,2,1,1,5,2,3,9,1,8,14,4,10,73,14,59,7,3,4,96,19,77,37.26812,-82.038151
Virginia,BUCKINGHAM,Buckingham County Sheriff's Office,VA0150000,142,56,86,230,87,143,19,5,14,0,0,0,27,8,19,8,3,5,261,40,221,206,56,150,967,152,815,57,20,37,1434,248,1186,37.573928,-78.529169
Virginia,BUCKINGHAM,State Police: Buckingham County,VA015SP00,34,13,21,43,17,26,4,1,3,0,0,0,6,3,3,2,1,1,3,1,2,7,1,6,16,5,11,6,3,3,26,7,19,37.573928,-78.529169
Virginia,CAMPBELL,Campbell County Sheriff's Office,VA0160000,832,335,497,1122,407,715,45,15,30,0,0,0,105,19,86,40,17,23,905,134,771,536,106,430,4509,554,3955,183,36,147,5950,794,5156,37.210151,-79.095428
Virginia,CAMPBELL,Altavista Police Department,VA0160100,44,9,35,61,13,48,2,1,1,0,0,0,5,2,3,1,0,1,59,5,54,28,3,25,935,158,777,9,3,6,1022,166,856,37.210151,-79.095428
Virginia,CAMPBELL,Brookneal Police Department,VA0160200,10,1,9,14,2,12,1,0,1,0,0,0,2,1,1,0,0,0,23,0,23,3,0,3,110,0,110,2,1,1,136,0,136,37.210151,-79.095428
Virginia,CAMPBELL,State Police: Campbell County,VA016SP00,67,29,38,68,29,39,5,0,5,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,17,4,13,0,0,0,20,4,16,37.210151,-79.095428
Virginia,CAROLINE,Caroline County Sheriff's Office,VA0170000,385,154,231,570,199,371,19,5,14,0,0,0,72,20,52,8,3,5,409,82,327,13,3,10,1917,339,1578,149,37,112,2339,424,1915,38.030319,-77.352348
Virginia,CAROLINE,Bowling Green Police Department,VA0170100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,19,3,16,0,0,0,21,4,17,38.030319,-77.352348
Virginia,CAROLINE,State Police: Caroline County,VA017SP00,99,41,58,108,44,64,9,1,8,1,0,1,3,1,2,1,0,1,16,4,12,99,15,84,99,17,82,4,1,3,214,36,178,38.030319,-77.352348
Virginia,CARROLL,Carroll County Sheriff's Office,VA0180000,198,71,127,303,95,208,13,2,11,0,0,0,45,11,34,7,2,5,515,54,461,306,43,263,1386,117,1269,87,21,66,2207,214,1993,36.731951,-80.727838
Virginia,CARROLL,Hillsville Police Department,VA0180100,22,9,13,44,19,25,2,1,1,0,0,0,6,3,3,2,0,2,78,9,69,42,11,31,432,63,369,20,10,10,552,83,469,36.731951,-80.727838
Virginia,CARROLL,State Police: Carroll County,VA018SP00,41,18,23,46,20,26,9,2,7,3,1,2,1,0,1,0,0,0,9,1,8,36,11,25,62,13,49,5,2,3,107,25,82,36.731951,-80.727838
Virginia,CHARLES CITY,Charles City County Sheriff's Office,VA0190000,89,36,53,117,42,75,6,2,4,0,0,0,12,1,11,4,2,2,98,18,80,45,6,39,218,14,204,21,4,17,361,38,323,37.361054,-77.05417
Virginia,CHARLES CITY,State Police: Charles City County,VA019SP00,4,2,2,5,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,2,0,2,0,0,0,6,0,6,37.361054,-77.05417
Virginia,CHARLOTTE,Charlotte County Sheriff's Office,VA0200000,149,66,83,233,98,135,1,0,1,0,0,0,36,15,21,10,5,5,263,54,209,119,32,87,737,138,599,57,22,35,1119,224,895,37.052235,-78.63804
Virginia,CHARLOTTE,State Police: Charlotte County,VA020SP00,12,5,7,19,8,11,4,1,3,2,1,1,3,1,2,0,0,0,0,0,0,2,1,1,6,1,5,7,3,4,8,2,6,37.014091,-78.661424
Virginia,CHESTERFIELD,Chesterfield County Police Department,VA0210100,3463,1418,2045,6605,2402,4203,404,119,285,13,2,11,677,190,487,155,65,90,7192,1164,6028,3535,720,2815,47096,9897,37199,1284,400,884,57823,11781,46042,37.378434,-77.585847
Virginia,CHESTERFIELD,State Police: Chesterfield County,VA021SP00,120,40,80,126,41,85,1,0,1,0,0,0,1,0,1,1,0,1,2,1,1,39,12,27,57,9,48,1,0,1,98,22,76,37.510227,-77.7662
Virginia,CLARKE,Clarke County Sheriff's Office,VA0220000,36,16,20,76,29,47,5,1,4,0,0,0,9,2,7,4,2,2,123,17,106,46,15,31,500,103,397,22,7,15,669,135,534,39.115864,-77.991226
Virginia,CLARKE,Berryville Police Department,VA0220100,12,5,7,22,8,14,1,0,1,1,0,1,6,2,4,0,0,0,84,35,49,9,2,7,284,37,247,8,2,6,377,74,303,39.150543,-77.98041
Virginia,CLARKE,State Police: Clarke County,VA022SP00,6,1,5,10,3,7,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,8,2,6,0,0,0,8,2,6,39.124973,-78.19413
Virginia,CRAIG,Craig County Sheriff's Office,VA0230000,35,16,19,46,19,27,0,0,0,0,0,0,5,1,4,0,0,0,38,10,28,23,8,15,143,29,114,10,3,7,204,47,157,37.473129,-80.231734
Virginia,CRAIG,State Police: Craig County,VA023SP00,11,5,6,24,10,14,1,0,1,0,0,0,3,2,1,4,1,3,2,0,2,3,1,2,6,2,4,9,4,5,11,3,8,37.473129,-80.231734
Virginia,CULPEPER,Culpeper County Sheriff's Office,VA0240000,275,129,146,367,169,198,18,8,10,0,0,0,18,5,13,8,6,2,212,50,162,197,72,125,1076,205,871,54,21,33,1485,327,1158,38.48593,-77.956476
Virginia,CULPEPER,Culpeper Police Department,VA0240100,309,137,172,474,184,290,19,6,13,0,0,0,35,11,24,6,2,4,165,47,118,184,65,119,3326,963,2363,56,15,41,3675,1075,2600,38.4783,-77.98682
Virginia,CULPEPER,State Police: Culpeper County,VA024SP00,40,17,23,58,23,35,5,1,4,3,1,2,4,2,2,6,2,4,0,0,0,3,0,3,12,1,11,11,4,7,15,1,14,38.494274,-77.926315
Virginia,CUMBERLAND,Cumberland County Sheriff's Office,VA0250000,147,65,82,188,77,111,8,4,4,1,0,1,9,1,8,1,0,1,108,28,80,57,19,38,275,61,214,30,7,23,440,108,332,37.520189,-78.252836
Virginia,CUMBERLAND,State Police: Cumberland County,VA025SP00,3,0,3,8,2,6,1,0,1,0,0,0,1,1,0,3,1,2,1,0,1,6,1,5,8,1,7,2,1,1,15,2,13,37.520189,-78.252836
Virginia,DICKENSON,Dickenson County Sheriff's Office,VA0260000,144,57,87,229,77,152,16,1,15,0,0,0,16,4,12,12,5,7,181,28,153,86,15,71,464,68,396,71,14,57,731,111,620,37.137081,-82.349208
Virginia,DICKENSON,Clintwood Police Department,VA0260100,20,10,10,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,28,7,21,5,2,3,251,87,164,0,0,0,284,96,188,37.137081,-82.349208
Virginia,DICKENSON,Haysi Police Department,VA0260200,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,2,1,1,41,6,35,0,0,0,56,7,49,37.137081,-82.349208
Virginia,DICKENSON,Clinchco Police Department,VA0260300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.137081,-82.349208
Virginia,DICKENSON,State Police: Dickenson County,VA026SP00,41,17,24,47,20,27,19,0,19,0,0,0,0,0,0,1,0,1,0,0,0,4,1,3,27,7,20,5,3,2,31,8,23,37.137081,-82.349208
Virginia,DINWIDDIE,Dinwiddie County Sheriff's Office,VA0270000,687,157,530,842,185,657,27,6,21,0,0,0,40,5,35,18,8,10,493,68,425,174,19,155,2026,166,1860,89,14,75,2693,253,2440,37.073498,-77.635492
Virginia,DINWIDDIE,State Police: Dinwiddie County,VA027SP00,55,12,43,68,16,52,1,1,0,0,0,0,9,3,6,0,0,0,0,0,0,11,4,7,17,2,15,12,4,8,28,6,22,37.073498,-77.635492
Virginia,ESSEX,Essex County Sheriff's Office,VA0280000,146,64,82,174,73,101,5,2,3,0,0,0,18,6,12,2,0,2,188,21,167,47,5,42,214,22,192,21,7,14,449,48,401,37.93948,-76.941871
