State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Utah,DAVIS,Centerville Police Department,UT0060400,97,29,68,269,55,214,26,4,22,0,0,0,24,1,23,2,0,2,499,50,449,227,20,207,3658,904,2754,146,20,126,4384,974,3410,41.037045,-112.202123
Utah,DAVIS,Farmington Police Department,UT0060500,79,26,53,167,42,125,19,3,16,0,0,0,51,10,41,0,0,0,311,29,282,206,24,182,2386,412,1974,72,13,59,2903,465,2438,41.037045,-112.202123
Utah,DAVIS,Kaysville Police Department,UT0060600,124,55,69,233,76,157,18,5,13,0,0,0,51,5,46,0,0,0,437,60,377,170,34,136,1963,327,1636,84,12,72,2570,421,2149,41.0332,-111.93719
Utah,DAVIS,North Salt Lake Police Department,UT0060700,127,45,82,233,70,163,7,1,6,0,0,0,53,11,42,4,2,2,569,41,528,377,22,355,2649,197,2452,73,15,58,3595,260,3335,41.037045,-112.202123
Utah,DAVIS,Sunset Police Department,UT0060800,91,31,60,113,32,81,1,0,1,0,0,0,14,0,14,2,0,2,123,3,120,64,1,63,594,34,560,18,0,18,781,38,743,41.1326,-112.02992
Utah,DAVIS,West Bountiful Police Department,UT0060900,37,14,23,110,16,94,4,0,4,0,0,0,23,1,22,0,0,0,76,5,71,148,13,135,889,71,818,71,2,69,1113,89,1024,40.89568,-111.90205
Utah,DAVIS,Woods Cross Police Department,UT0061000,164,62,102,225,73,152,7,2,5,0,0,0,24,4,20,2,1,1,189,13,176,239,25,214,1067,70,997,35,6,29,1495,108,1387,40.874252,-111.90201
Utah,DAVIS,Clinton Police Department,UT0061100,144,53,91,181,58,123,0,0,0,0,0,0,16,0,16,1,0,1,217,11,206,133,5,128,2464,454,2010,20,0,20,2814,470,2344,41.14598,-112.054855
Utah,DAVIS,Syracuse Police Department,UT0061200,148,64,84,290,104,186,21,6,15,0,0,0,63,16,47,0,0,0,328,50,278,122,25,97,2323,525,1798,131,37,94,2773,600,2173,41.088444,-112.06458
Utah,DAVIS,Davis Metropolitan Narcotics Strike Force,UT0061400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.037045,-112.202123
Utah,DUCHESNE,Duchesne County Sheriff's Office,UT0070000,375,162,213,534,193,341,32,7,25,0,0,0,50,7,43,18,1,17,534,62,472,403,70,333,1431,169,1262,138,29,109,2368,301,2067,40.289649,-110.42983
Utah,DUCHESNE,Roosevelt Police Department,UT0070200,156,63,93,413,108,305,14,5,9,0,0,0,61,11,50,2,1,1,295,47,248,329,65,264,2101,486,1615,230,36,194,2725,598,2127,40.289649,-110.42983
Utah,EMERY,Emery County Sheriff's Office,UT0080000,35,13,22,46,16,30,3,1,2,0,0,0,0,0,0,5,2,3,42,4,38,24,4,20,169,12,157,5,1,4,235,20,215,39.009025,-110.7211
Utah,GARFIELD,Garfield County Sheriff's Office,UT0090000,7,2,5,12,3,9,0,0,0,0,0,0,3,0,3,0,0,0,13,3,10,13,2,11,60,1,59,5,1,4,86,6,80,37.831674,-111.450898
Utah,GRAND,Grand County Sheriff's Office,UT0100000,88,31,57,108,36,72,3,0,3,0,0,0,11,3,8,0,0,0,68,10,58,57,12,45,328,29,299,9,2,7,453,51,402,38.573288,-109.548294
Utah,GRAND,Moab Police Department,UT0100100,280,108,172,419,130,289,22,8,14,0,0,0,68,10,58,4,2,2,146,28,118,90,12,78,1010,158,852,127,18,109,1246,198,1048,38.573284,-109.54643
Utah,IRON,Iron County Sheriff's Office,UT0110000,283,117,166,374,148,226,20,7,13,0,0,0,28,7,21,2,1,1,513,189,324,163,51,112,697,199,498,76,25,51,1373,439,934,37.716972,-113.0595
Utah,IRON,Cedar City Police Department,UT0110100,602,231,371,835,312,523,46,19,27,0,0,0,72,19,53,10,3,7,870,186,684,439,108,331,5237,1497,3740,164,56,108,6546,1791,4755,37.677555,-113.061646
Utah,IRON,Parowan Police Department,UT0110300,38,9,29,71,22,49,1,0,1,0,0,0,4,0,4,0,0,0,66,6,60,35,7,28,179,21,158,33,13,20,280,34,246,37.882727,-113.290059
Utah,IRON,Southern Utah University,UT0110400,4,0,4,9,1,8,1,1,0,0,0,0,4,1,3,0,0,0,32,4,28,9,1,8,180,16,164,5,1,4,221,21,200,37.882727,-113.290059
Utah,IRON,Brian Head Police Department,UT0110600,6,2,4,8,2,6,0,0,0,0,0,0,1,0,1,0,0,0,12,1,11,3,0,3,91,7,84,2,0,2,106,8,98,37.882727,-113.290059
