State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Arizona,NOT SPECIFIED,San Carlos Apache,AZ0048900,7060,2164,4896,7288,2207,5081,268,38,230,0,0,0,68,5,63,33,13,20,870,92,778,138,24,114,944,113,831,134,16,118,1952,229,1723,33.789618,-110.81187
Arizona,GRAHAM,Graham County Sheriff's Office,AZ0050000,154,32,122,173,38,135,89,1,88,0,0,0,0,0,0,8,3,5,177,5,172,84,4,80,564,31,533,4,0,4,825,40,785,32.931828,-109.87831
Arizona,GRAHAM,Pima Police Department,AZ0050100,29,15,14,29,15,14,2,1,1,0,0,0,0,0,0,0,0,0,81,21,60,42,19,23,229,65,164,0,0,0,352,105,247,32.931828,-109.87831
Arizona,GRAHAM,Safford Police Department,AZ0050300,229,58,171,243,64,179,5,0,5,0,0,0,0,0,0,0,0,0,305,25,280,140,13,127,2218,344,1874,0,0,0,2663,382,2281,32.834446,-109.71882
Arizona,GRAHAM,Thatcher Police Department,AZ0050500,16,7,9,16,7,9,1,0,1,0,0,0,0,0,0,0,0,0,77,14,63,6,3,3,539,110,429,0,0,0,622,127,495,32.931828,-109.87831
Arizona,GREENLEE,Greenlee County Sheriff's Office,AZ0060000,33,12,21,40,12,28,0,0,0,0,0,0,2,0,2,1,0,1,112,7,105,38,4,34,98,12,86,6,0,6,248,23,225,33.238872,-109.242323
Arizona,GREENLEE,Clifton Police Department,AZ0060100,9,4,5,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,41,2,39,3,0,3,29,2,27,0,0,0,73,4,69,33.238872,-109.242323
Arizona,MARICOPA,Maricopa County Sheriff's Office,AZ0070000,5971,1843,4128,7238,2088,5150,285,25,260,0,0,0,0,0,0,117,32,85,5063,316,4747,2948,321,2627,16961,1934,15027,525,92,433,24972,2571,22401,33.446075,-112.07512
Arizona,MARICOPA,Avondale Police Department,AZ0070100,2018,536,1482,3137,789,2348,133,15,118,0,0,0,59,9,50,72,35,37,3436,279,3157,2044,117,1927,22852,3146,19706,267,53,214,28332,3542,24790,33.346541,-112.495534
Arizona,MARICOPA,Buckeye Police Department,AZ0070300,1004,443,561,1485,582,903,52,16,36,0,0,0,94,8,86,31,14,17,1344,151,1193,706,82,624,9082,1584,7498,303,76,227,11132,1817,9315,33.375275,-112.573135
Arizona,MARICOPA,Chandler Police Department,AZ0070500,3930,1302,2628,6274,1788,4486,203,36,167,0,0,0,130,6,124,77,32,45,5681,532,5149,3274,286,2988,41511,6683,34828,1081,166,915,50466,7501,42965,33.300625,-111.8382
Arizona,MARICOPA,El Mirage Police Department,AZ0070700,769,256,513,1066,306,760,72,16,56,4,2,2,17,1,16,25,9,16,2156,136,2020,779,76,703,5130,863,4267,124,10,114,8065,1075,6990,33.346541,-112.495534
Arizona,MARICOPA,Gilbert Police Department,AZ0071100,1987,729,1258,2986,935,2051,171,33,138,0,0,0,428,56,372,38,16,22,3878,423,3455,1520,263,1257,24964,4542,20422,535,69,466,30362,5228,25134,33.330627,-111.78834
Arizona,MARICOPA,Glendale Police Department,AZ0071300,6403,1606,4797,10133,2234,7899,372,29,343,0,0,0,55,2,53,183,64,119,11563,763,10800,8502,1415,7087,61808,9262,52546,841,133,708,81873,11440,70433,33.536736,-112.18246
Arizona,MARICOPA,Goodyear Police Department,AZ0071500,1851,643,1208,2344,743,1601,45,7,38,0,0,0,30,4,26,17,6,11,2740,169,2571,1040,62,978,14672,2023,12649,215,36,179,18452,2254,16198,33.490746,-112.362495
Arizona,MARICOPA,Mesa Police Department,AZ0071700,16417,5641,10776,23575,7415,16160,385,126,259,18,7,11,573,68,505,288,131,157,16178,2966,13212,8599,1158,7441,78775,16920,61855,2497,401,2096,103552,21044,82508,33.41802,-111.83668
Arizona,MARICOPA,Paradise Valley Police Department,AZ0071900,67,24,43,111,30,81,1,0,1,0,0,0,8,0,8,0,0,0,424,36,388,77,10,67,1318,167,1151,30,2,28,1819,213,1606,33.531094,-111.94291
Arizona,MARICOPA,Peoria Police Department,AZ0072100,3449,1320,2129,4875,1683,3192,90,24,66,2,0,2,118,12,106,52,24,28,4488,483,4005,2099,203,1896,23163,3789,19374,575,104,471,29750,4475,25275,33.346541,-112.495534
Arizona,MARICOPA,Phoenix Police Department,AZ0072300,69531,17021,52510,107654,24107,83547,1980,332,1648,0,0,0,0,0,0,1792,709,1083,77141,4896,72245,56551,3615,52936,302251,41746,260505,8376,801,7575,435943,50257,385686,33.44825,-112.0817
Arizona,MARICOPA,Scottsdale Police Department,AZ0072500,2884,1113,1771,5010,1582,3428,156,33,123,2,0,2,124,7,117,81,41,40,6808,1065,5743,2754,475,2279,42745,8051,34694,1002,141,861,52307,9591,42716,33.5695,-111.88542
Arizona,MARICOPA,Surprise Police Department,AZ0072700,1270,481,789,1970,659,1311,117,22,95,32,16,16,62,5,57,44,18,26,2226,204,2022,1340,123,1217,17084,2718,14366,244,44,200,20650,3045,17605,33.346541,-112.495534
Arizona,MARICOPA,Tempe Police Department,AZ0072900,5764,1813,3951,8802,2299,6503,255,44,211,2,0,2,157,7,150,79,35,44,7839,627,7212,4301,382,3919,47607,4811,42796,1142,107,1035,59747,5820,53927,33.346541,-112.495534
Arizona,MARICOPA,Tolleson Police Department,AZ0073100,405,124,281,600,162,438,20,5,15,0,0,0,12,3,9,8,4,4,1269,92,1177,548,57,491,3816,711,3105,34,6,28,5633,860,4773,33.450283,-112.26505
Arizona,MARICOPA,Wickenburg Police Department,AZ0073300,153,58,95,196,67,129,10,4,6,0,0,0,0,0,0,0,0,0,299,33,266,168,28,140,852,146,706,37,7,30,1319,207,1112,33.969975,-112.731514
Arizona,MARICOPA,Maricopa Community College,AZ0076200,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,0,10,157,6,151,0,0,0,171,6,165,,
Arizona,NOT SPECIFIED,Salt River Tribal,AZ0078900,4305,1798,2507,4372,1805,2567,28,6,22,0,0,0,2,1,1,7,3,4,544,77,467,397,79,318,3654,695,2959,20,1,19,4595,851,3744,33.487743,-111.86525
Arizona,MARICOPA,Arizona State University: Main Campus,AZ0079700,212,84,128,364,114,250,33,13,20,0,0,0,11,2,9,1,1,0,515,63,452,175,29,146,5841,429,5412,103,19,84,6531,521,6010,33.346541,-112.495534
Arizona,MARICOPA,Litchfield Park,AZ007990X,26,10,16,34,11,23,1,0,1,0,0,0,0,0,0,0,0,0,23,1,22,15,1,14,118,5,113,0,0,0,156,7,149,,
Arizona,NOT SPECIFIED,Fort McDowell Tribal,AZ007B300,129,51,78,140,57,83,7,2,5,0,0,0,0,0,0,0,0,0,34,9,25,49,13,36,248,67,181,0,0,0,331,89,242,33.346541,-112.495534
Arizona,MOHAVE,Mohave County Sheriff's Office,AZ0080000,1807,832,975,2377,986,1391,145,40,105,0,0,0,17,1,16,107,47,60,5353,586,4767,1920,411,1509,11075,1822,9253,283,54,229,18348,2819,15529,35.717705,-113.749689
Arizona,MOHAVE,Kingman Police Department,AZ0080100,1016,415,601,1268,484,784,108,17,91,0,0,0,12,3,9,19,9,10,1496,160,1336,707,128,579,9909,2756,7153,82,18,64,12112,3044,9068,35.190815,-114.053375
Arizona,NOT SPECIFIED,Fort Mojave Tribal,AZ0080300,194,94,100,201,96,105,0,0,0,0,0,0,0,0,0,0,0,0,24,9,15,28,15,13,212,86,126,2,0,2,264,110,154,35.717705,-113.749689
Arizona,MOHAVE,Lake Havasu City Police Department,AZ0080400,1108,451,657,1500,569,931,109,29,80,0,0,0,115,24,91,14,7,7,1493,201,1292,724,186,538,6992,1600,5392,326,95,231,9209,1987,7222,34.47879,-114.31841
Arizona,MOHAVE,Bullhead City Police Department,AZ0080500,932,245,687,1188,276,912,48,5,43,0,0,0,3,0,3,10,2,8,1875,112,1763,833,70,763,6892,865,6027,74,6,68,9600,1047,8553,35.717705,-113.749689
Arizona,MOHAVE,Colorado City Police Department,AZ0080600,11,4,7,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,45,12,33,0,0,0,53,12,41,35.717705,-113.749689
Arizona,NOT SPECIFIED,Kaibab Paiute Tribal,AZ0080700,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,35.829692,-111.773728
Arizona,NAVAJO,Navajo County Sheriff's Office,AZ0090000,592,235,357,673,251,422,29,7,22,0,0,0,16,0,16,20,6,14,1098,104,994,352,62,290,1299,175,1124,37,6,31,2749,341,2408,35.390934,-110.320908
Arizona,NAVAJO,Holbrook Police Department,AZ0090100,268,104,164,297,114,183,10,1,9,0,0,0,0,0,0,4,2,2,316,46,270,112,20,92,1206,338,868,5,2,3,1634,404,1230,35.390934,-110.320908
Arizona,NAVAJO,Show Low Police Department,AZ0090300,600,247,353,674,257,417,19,5,14,0,0,0,21,2,19,2,1,1,391,61,330,140,26,114,3822,1273,2549,59,7,52,4353,1360,2993,35.390934,-110.320908
Arizona,NAVAJO,Snowflake-Taylor Police Department,AZ0090500,550,252,298,577,257,320,34,4,30,0,0,0,12,0,12,6,3,3,423,103,320,132,40,92,1136,334,802,14,0,14,1691,477,1214,34.500626,-110.07909
