PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
SD4602175,MID-DAKOTA RURAL WATER,"29111 Holly Rd, Pierre, South Dakota, 57501",57501,South Dakota,Region 8,Community water system,11463,"MILLER, PIERRE","Hand, Hughes, Hyde, Sully",21,1,4,-100.328083,44.461449,-100.328083,44.461449,-100.338083,-100.318083,44.451449,44.471449
SD4602176,CENTENNIAL HILLS HOME ASSOCIATION,"4840 Lazy Horse Ln, Spearfish, South Dakota, 57783",57783,South Dakota,Region 8,Community water system,25,SPEARFISH,Lawrence,4,24,8,-103.784141,44.445627,-103.783701,44.44651,-103.785141,-103.783141,44.444627,44.446627
SD4600643,GCC DACOTAH - EAST/WEST/NORTH,"57709, Rapid City, South Dakota",57709,South Dakota,Region 8,Non-Transient non-community system,100,RAPID CITY,Pennington,5,10,12,-103.214742,44.07852,-103.214742,44.07852,-103.219742,-103.209742,44.07352,44.08352
SD4600645,FISH-N-FRY CAMPGROUND,"57718, Blackhawk, South Dakota",57718,South Dakota,Region 8,Transient non-community system,90,"BLACK HAWK, DEADWOOD",Lawrence,3,16,5,-103.336565,44.180243,-103.336565,44.180243,-103.422565,-103.250565,44.094243,44.266243
SD4600646,BADLANDS/WHITE RIVER KOA KAMPGROUND,"20720 SD-44, Interior, South Dakota, 57750",57750,South Dakota,Region 8,Transient non-community system,183,INTERIOR,Jackson,8,19,7,-101.933351,43.697819,-101.933351,43.697819,-101.943351,-101.923351,43.687819,43.707819
SD4600649,SPOKANE CREEK CABINS & CAMPGROUND,"24631 Iron Mountain Rd, Keystone, South Dakota, 57751",57751,South Dakota,Region 8,Transient non-community system,100,KEYSTONE,Custer,4,7,5,-103.436473,43.882121,-103.436473,43.882121,-103.446473,-103.426473,43.872121,43.892121
SD4600650,CUSTER-MOUNT RUSHMORE KOA-REAR/CG,"12021 US Highway 16, Custer, South Dakota, 57730",57730,South Dakota,Region 8,Transient non-community system,125,CUSTER,Custer,6,56,6,-103.654537,43.741904,-103.654491,43.74187,-103.655537,-103.653537,43.740904,43.742904
SD4600655,CHRIS' CAMPGROUND,"701 Christensen Dr, Spearfish, South Dakota, 57783",57783,South Dakota,Region 8,Transient non-community system,50,SPEARFISH,Lawrence,5,5,5,-103.826519,44.470506,-103.827161,44.47068,-103.827519,-103.825519,44.469506,44.471506
SD4601000,EAST RIDGE ACRES,"57709, Rapid City, South Dakota",57709,South Dakota,Region 8,Community water system,118,"BLACK HAWK, PIEDMONT, RAPID CITY",Meade,6,10,8,-103.214742,44.07852,-103.214742,44.07852,-103.219742,-103.209742,44.07352,44.08352
SD4601004,CARPENTER CAFE,"57322, Carpenter, South Dakota",57322,South Dakota,Region 8,Transient non-community system,25,CARPENTER,Clark,2,7,7,-98.138905,44.603364,-98.138905,44.603364,-98.461905,-97.815905,44.280364,44.926364
SD4600085,CENTERVILLE,"57014, Centerville, South Dakota",57014,South Dakota,Region 8,Community water system,882,CENTERVILLE,Turner,9,73,8,-96.958572,43.117075,-96.958572,43.117075,-97.144572,-96.772572,42.931075,43.303075
SD4600086,CHAMBERLAIN,"57325, Chamberlain, South Dakota",57325,South Dakota,Region 8,Community water system,2387,CHAMBERLAIN,Brule,6,24,9,-99.330762,43.80779,-99.330762,43.80779,-99.718762,-98.942762,43.41979,44.19579
SD4600087,CHANCELLOR,"57015, Chancellor, South Dakota",57015,South Dakota,Region 8,Community water system,266,CHANCELLOR,Turner,2,6,10,-96.988201,43.37339,-96.988201,43.37339,-97.115201,-96.861201,43.24639,43.50039
SD4600088,CHESTER SANITARY DISTRICT,"23343 479th Ave, Egan, South Dakota, 57024",57024,South Dakota,Region 8,Community water system,363,"CHESTER, EGAN",Lake,6,40,7,-96.627919,44.00157,-96.628351,44.00157,-96.628919,-96.626919,44.00057,44.00257
SD4600415,VALE SANITARY DISTRICT,"57788, Vale, South Dakota",57788,South Dakota,Region 8,Community water system,120,VALE,Butte,4,37,12,-103.403987,44.619381,-103.403987,44.619381,-103.686987,-103.120987,44.336381,44.902381
SD4600416,LOURIE LANE HOMEOWNERS ASSOC,"5118 Airport Rd, Spearfish, South Dakota, 57783",57783,South Dakota,Region 8,Community water system,75,SPEARFISH,Lawrence,4,149,8,-103.777951,44.488867,-103.777951,44.48924,-103.778951,-103.776951,44.487867,44.489867
SD4600417,WALL,"57790, Creighton, South Dakota",57790,South Dakota,Region 8,Community water system,766,WALL,Pennington,15,28,9,-102.241599,43.993525,-102.241599,43.993525,-102.758599,-101.724599,43.476525,44.510525
SD4600418,WARNER,"57479, Warner, South Dakota",57479,South Dakota,Region 8,Community water system,496,WARNER,Brown,5,10,9,-98.497193,45.325682,-98.497193,45.325682,-98.665193,-98.329193,45.157682,45.493682
SD4600419,WENTWORTH,"57024, Egan, South Dakota",57024,South Dakota,Region 8,Community water system,171,"EGAN, WENTWORTH",Lake,3,35,9,-96.649032,43.998981,-96.649032,43.998981,-96.759032,-96.539032,43.888981,44.108981
SD4600421,WONDERLAND HOMES,"57709, Rapid City, South Dakota",57709,South Dakota,Region 8,Community water system,750,"PIEDMONT, RAPID CITY",Meade,5,12,8,-103.214742,44.07852,-103.214742,44.07852,-103.219742,-103.209742,44.07352,44.08352
SD4600274,RAPID VALLEY SANITARY DISTRICT,"4611 Teak Dr, Rapid City, South Dakota, 57703",57703,South Dakota,Region 8,Community water system,9792,RAPID CITY,Pennington,14,7,9,-103.142117,44.05594,-103.142591,44.05577,-103.143117,-103.141117,44.05494,44.05694
SD4602230,CAMP VOLUNTEER,"25177 Sidney Park Rd, Custer, South Dakota, 57730",57730,South Dakota,Region 8,Transient non-community system,35,CUSTER,Custer,4,7,2,-103.580018,43.756222,-103.581681,43.75604,-103.581018,-103.579018,43.755222,43.757222
SD4602231,RIMROCK HIGHLAND ESTATES COMM ASSOC,"5310 Ebony Pl, Piedmont, South Dakota, 57769",57769,South Dakota,Region 8,Community water system,68,"PIEDMONT, RAPID CITY",Meade,4,1,2,-103.30758,44.196637,-103.308921,44.1976,-103.30858,-103.30658,44.195637,44.197637
SD4602232,SHIRT TAIL GULCH DEVELOPMENT,"11824 Nemo Rd, Deadwood, South Dakota, 57732",57732,South Dakota,Region 8,Community water system,60,"CLAY CENTER, DEADWOOD",Lawrence,5,181,3,-103.689842,44.278083,-103.689842,44.278083,-103.699842,-103.679842,44.268083,44.288083
SD4602234,HIGH SHERIDAN RANCH,"57718, Blackhawk, South Dakota",57718,South Dakota,Region 8,Community water system,36,"BLACK HAWK, RAPID CITY",Pennington,4,0,3,-103.336565,44.180243,-103.336565,44.180243,-103.422565,-103.250565,44.094243,44.266243
SD4602235,HEARTLAND COUNTRY RANCHETTES,"57718, Blackhawk, South Dakota",57718,South Dakota,Region 8,Community water system,95,"BLACK HAWK, HERMOSA",Custer,3,1,3,-103.336565,44.180243,-103.336565,44.180243,-103.422565,-103.250565,44.094243,44.266243
SD4602236,FORT WELIKIT FAMILY CAMPGROUND,"24992 Sylvan Lake Rd, Custer, South Dakota, 57730",57730,South Dakota,Region 8,Transient non-community system,87,CUSTER,Custer,4,1,1,-103.586905,43.783115,-103.586021,43.78319,-103.587905,-103.585905,43.782115,43.784115
SD4602237,ELK CREEK VILLAGE,"57709, Rapid City, South Dakota",57709,South Dakota,Region 8,Community water system,110,"PIEDMONT, RAPID CITY",Meade,4,58,2,-103.214742,44.07852,-103.214742,44.07852,-103.219742,-103.209742,44.07352,44.08352
SD4602238,HIGH COUNTRY-HC WEST WELL,"12138 Ray Smith Dr, Hill City, South Dakota, 57745",57745,South Dakota,Region 8,Transient non-community system,125,HILL CITY,Pennington,6,1,1,-103.631129,43.968497,-103.631031,43.96894,-103.632129,-103.630129,43.967497,43.969497
SD4602240,AUTUMN MEADOWS SANITARY DISTRICT,"5310 Ebony Pl, Piedmont, South Dakota, 57769",57769,South Dakota,Region 8,Community water system,68,"BLACK HAWK, PIEDMONT",Meade,4,42,2,-103.30758,44.196637,-103.308921,44.1976,-103.30858,-103.30658,44.195637,44.197637
SD4602241,DRY CREEK ESTATES,"12065 Quaal Rd, Black Hawk, South Dakota, 57718",57718,South Dakota,Region 8,Community water system,105,"BLACK HAWK, RAPID CITY",Meade,5,21,2,-103.34212,44.197056,-103.342471,44.19683,-103.34312,-103.34112,44.196056,44.198056
SD4602242,SANBORN CENTRAL SCHOOL DISTRICT,"40405 SD Highway 34, Artesian, South Dakota, 57314",57314,South Dakota,Region 8,Non-Transient non-community system,219,FORESTBURG,Sanborn,2,119,2,-98.114265,44.022534,-98.114265,44.022534,-98.124265,-98.104265,44.012534,44.032534
SD4600162,HOSMER,"1st St, Hosmer, South Dakota, 57448",57448,South Dakota,Region 8,Community water system,208,HOSMER,Edmunds,4,7,7,-99.475938,45.580783,-99.475938,45.580783,-99.476938,-99.474938,45.579783,45.581783
SD4600163,HOT SPRINGS,"303 N River St, Hot Springs, South Dakota, 57747",57747,South Dakota,Region 8,Community water system,3711,HOT SPRINGS,Fall River,10,3,9,-103.478006,43.432545,-103.477961,43.43257,-103.479006,-103.477006,43.431545,43.433545
SD4600164,HOVEN,"157th St, Hoven, South Dakota, 57450",57450,South Dakota,Region 8,Community water system,406,HOVEN,Potter,9,45,8,-99.668432,45.114824,-99.668432,45.114824,-99.804432,-99.532432,44.978824,45.250824
SD4600165,HOWARD,"57349, Howard, South Dakota",57349,South Dakota,Region 8,Community water system,858,HOWARD,Miner,7,5,8,-97.527902,44.011256,-97.527902,44.011256,-97.770902,-97.284902,43.768256,44.254256
SD4600166,HUDSON,"57034, Hudson, South Dakota",57034,South Dakota,Region 8,Community water system,296,HUDSON,Lincoln,3,13,11,-96.456781,43.129496,-96.456781,43.129496,-96.687781,-96.225781,42.898496,43.360496
SD4600520,TRIPP COUNTY WATER USER DISTRICT,"1052 W 1st St, Winner, South Dakota, 57580",57580,South Dakota,Region 8,Community water system,4844,"HAMILL, WINNER","Gregory, Lyman, Mellette, Todd, Tripp",35,57,10,-99.871875,43.377658,-99.871875,43.377658,-99.881875,-99.861875,43.367658,43.387658
SD4600521,WESTFIELD ADDITION,"108 Ponderosa Dr, Spearfish, South Dakota, 57783",57783,South Dakota,Region 8,Community water system,104,SPEARFISH,Lawrence,3,80,9,-103.897083,44.497228,-103.896801,44.49723,-103.898083,-103.896083,44.496228,44.498228
SD4600527,LARSSON'S CROOKED CREEK CG-NORTH WEL,"24184 Highway 385, Hill City, South Dakota, 57745",57745,South Dakota,Region 8,Transient non-community system,203,HILL CITY,Pennington,3,23,6,-103.593099,43.899062,-103.592051,43.89927,-103.594099,-103.592099,43.898062,43.900062
SD4600528,BEAR COUNTRY USA,"57718, Blackhawk, South Dakota",57718,South Dakota,Region 8,Transient non-community system,1021,"BLACK HAWK, RAPID CITY",Pennington,9,79,7,-103.336565,44.180243,-103.336565,44.180243,-103.422565,-103.250565,44.094243,44.266243
SD4600529,BEAVER LAKE CAMPGROUND,"12005 W US-16, Custer, South Dakota, 57730",57730,South Dakota,Region 8,Transient non-community system,400,CUSTER,Custer,6,22,8,-103.658068,43.739774,-103.656721,43.73854,-103.659068,-103.657068,43.738774,43.740774
SD4600532,BIG PINE CAMPGROUND,"12084 Big Pine Rd, Custer, South Dakota, 57730",57730,South Dakota,Region 8,Transient non-community system,111,CUSTER,Custer,3,1,8,-103.644876,43.749357,-103.645011,43.7498,-103.645876,-103.643876,43.748357,43.750357
SD4600534,BOULDER CANYON COUNTRY CLUB,"8545 Kings Ct, Rapid City, South Dakota, 57702",57702,South Dakota,Region 8,Transient non-community system,100,"RAPID CITY, STURGIS",Lawrence,3,26,7,-103.358837,44.102632,-103.358981,44.10223,-103.359837,-103.357837,44.101632,44.103632
SD4600535,NEMO GUEST RANCH,"57759, Nemo, South Dakota",57759,South Dakota,Region 8,Transient non-community system,65,NEMO,Lawrence,7,91,8,-103.657116,44.263652,-103.657116,44.263652,-103.862116,-103.452116,44.058652,44.468652
SD4600537,CALAMITY PEAK LODGE,"57730, Crazy Horse, South Dakota",57730,South Dakota,Region 8,Transient non-community system,28,CUSTER,Custer,5,8,7,-103.601412,43.76761,-103.601412,43.76761,-104.021412,-103.181412,43.34761,44.18761
