PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AZ0408130,CRRYS SHELTER,"86442, Bullhead City, Arizona",86442,Arizona,Region 9,Transient non-community system,25,MOHAVE VALLEY,Mohave,5,13,6,-114.630421,35.101176,-114.630421,35.101176,-114.852421,-114.408421,34.879176,35.323176
AZ0407875,USFS TNF RATTLESNAKE COVE,"85205, Mesa, Arizona",85205,Arizona,Region 9,Transient non-community system,150,BARTLETT RESERVOIR,Maricopa,5,25,6,-111.733792,33.423701,-111.733792,33.423701,-111.785792,-111.681792,33.371701,33.475701
AZ0410128,LOS CERROS WATER COMPANY INC,"85737, Tucson, Arizona",85737,Arizona,Region 9,Community water system,2535,CATALINA,Pima,19,130,22,-110.951342,32.398281,-110.951342,32.398281,-111.013342,-110.889342,32.336281,32.460281
AZ0415099,BOUSE COMMUNITY COUNTY PARK,"85344, Parker, Arizona",85344,Arizona,Region 9,Transient non-community system,50,BOUSE,La Paz,5,20,5,-114.292052,34.145266,-114.292052,34.145266,-115.474052,-113.110052,32.963266,35.327266
AZ0410119,WINTERHAVEN WATER DEVELOPMENT,"85733, Tucson, Arizona",85733,Arizona,Region 9,Community water system,810,TUCSON,Pima,11,176,17,-110.940252,32.235461,-110.940252,32.235461,-110.945252,-110.935252,32.230461,32.240461
AZ0420213,TUCSON MEDICAL CENTER,"85712, Tucson, Arizona",85712,Arizona,Region 9,Non-Transient non-community system,3000,TUCSON,Pima,11,112,17,-110.898891,32.244185,-110.898891,32.244185,-110.942891,-110.854891,32.200185,32.288185
AZ0411022,BIDEGAIN WATER COMPANY,"85501, Globe, Arizona",85501,Arizona,Region 9,Community water system,49,KEARNY,Pinal,7,155,19,-110.781302,33.396291,-110.781302,33.396291,-111.489302,-110.073302,32.688291,34.104291
AZ0413202,COLDWATER CANYON 3,"85324, Black Cyn Cty, Arizona",85324,Arizona,Region 9,Community water system,86,BLACK CANYON CITY,Yavapai,8,40,6,-112.150474,34.066878,-112.150474,34.066878,-112.839474,-111.461474,33.377878,34.755878
AZ0402703,FORT BOWIE NATIONAL HISTORIC SITE,"85605, Bowie, Arizona",85605,Arizona,Region 9,Transient non-community system,200,BOWIE,Cochise,10,12,13,-109.486255,32.328149,-109.486255,32.328149,-109.733255,-109.239255,32.081149,32.575149
AZ0414086,RIVER RV RANCH,"89126, Las Vegas, Nevada",89126,Arizona,Region 9,Community water system,71,YUMA,Yuma,5,99,22,-115.206091,36.149301,-115.206091,36.149301,-115.211091,-115.201091,36.144301,36.154301
AZ0404389,PLEASANT VALLEY COMMUNITY,"85554, Young, Arizona",85554,Arizona,Region 9,Transient non-community system,25,YOUNG,Gila,3,35,9,-110.935953,34.101308,-110.935953,34.101308,-111.086953,-110.784953,33.950308,34.252308
AZ0407372,CACTUS RANCH TRAILER PARK,"85342, Morristown, Arizona",85342,Arizona,Region 9,Transient non-community system,79,MORRISTOWN,Maricopa,4,34,16,-112.57063,33.858075,-112.57063,33.858075,-112.94063,-112.20063,33.488075,34.228075
AZ0407604,WINTERSBURG GENERAL STORE,"85354, Tonopah, Arizona",85354,Arizona,Region 9,Transient non-community system,600,WINTERSBURG,Maricopa,4,34,23,-113.034582,33.387748,-113.034582,33.387748,-113.369582,-112.699582,33.052748,33.722748
AZ0413113,PHILADELPHIA WATER SYSTEM,"86343, Crown King, Arizona",86343,Arizona,Region 9,Community water system,42,CROWN KING,Yavapai,14,65,15,-112.338912,34.20554,-112.338912,34.20554,-112.639912,-112.037912,33.90454,34.50654
AZ0407713,TRIPLE G DAIRY,"85326, Buckeye, Arizona",85326,Arizona,Region 9,Community water system,84,BUCKEYE,Maricopa,7,32,9,-112.578377,33.28047,-112.578377,33.28047,-112.954377,-112.202377,32.90447,33.65647
AZ0409009,CLAY SPRINGS DWID,"85929, Lakeside, Arizona",85929,Arizona,Region 9,Community water system,380,CLAY SPRINGS,Navajo,11,108,17,-110.015791,34.186642,-110.015791,34.186642,-110.182791,-109.848791,34.019642,34.353642
AZ0409028,SKY HI DWID,"85929, Lakeside, Arizona",85929,Arizona,Region 9,Community water system,360,PINETOP,Navajo,7,64,14,-110.015791,34.186642,-110.015791,34.186642,-110.182791,-109.848791,34.019642,34.353642
AZ0409013,PORTER CREEK DWID,"85929, Lakeside, Arizona",85929,Arizona,Region 9,Community water system,300,LAKESIDE,Navajo,6,95,17,-110.015791,34.186642,-110.015791,34.186642,-110.182791,-109.848791,34.019642,34.353642
AZ0409060,WONDERLAND ACRES DWID,"85929, Lakeside, Arizona",85929,Arizona,Region 9,Community water system,380,LAKESIDE,Navajo,17,149,13,-110.015791,34.186642,-110.015791,34.186642,-110.182791,-109.848791,34.019642,34.353642
AZ0407906,WASTE MANAGEMENT PHOENIX SOUTH,"85212, Mesa, Arizona",85212,Arizona,Region 9,Transient non-community system,25,QUEEN CREEK,Maricopa,4,9,5,-111.627145,33.361579,-111.627145,33.361579,-111.712145,-111.542145,33.276579,33.446579
AZ0411036,MARICOPA CONSOLIDATED  DWID,"85139, Mobile, Arizona",85139,Arizona,Region 9,Community water system,1028,MARICOPA,Pinal,18,79,26,-112.079,32.878739,-112.079,32.878739,-112.647,-111.511,32.310739,33.446739
AZ0408032,EPCOR WATER - MOHAVE,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,36330,BULLHEAD CITY,Mohave,39,334,15,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0408068,EPCOR WATER - NORTH MOHAVE VALLEY,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,5051,BULLHEAD CITY,Mohave,26,63,10,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0412001,EPCOR WATER - TUBAC,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,1565,TUBAC,Santa Cruz,18,116,18,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0407695,EPCOR WATER - AGUA FRIA,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,80959,SURPRISE,Maricopa,64,246,46,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0407504,EPCOR WATER - ANTHEM,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,25302,ANTHEM,Maricopa,11,115,23,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0407150,EPCOR WATER - SUN CITY WEST,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,25362,SUN CITY WEST,Maricopa,24,99,29,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
AZ0407099,EPCOR WATER - SUN CITY,"85363, Youngtown, Arizona",85363,Arizona,Region 9,Community water system,38016,SUN CITY,Maricopa,55,295,22,-112.307596,33.579039,-112.307596,33.579039,-112.335596,-112.279596,33.551039,33.607039
