PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
CA2210513,YOSEMITE NPS-BADGER PASS,"95389, Tuolumne Mdws, California",95389,California,Region 9,Transient non-community system,1000,,Mariposa,7,0,9,-119.721005,37.646473,-119.721005,37.646473,-120.135005,-119.307005,37.232473,38.060473
CA2210515,YOSEMITE NPS-EL PORTAL,"95389, Tuolumne Mdws, California",95389,California,Region 9,Community water system,635,,Mariposa,13,9,8,-119.721005,37.646473,-119.721005,37.646473,-120.135005,-119.307005,37.232473,38.060473
CA2010500,YOSEMITE NPS-MARIPOSA GROVE,"95389, Tuolumne Mdws, California",95389,California,Region 9,Transient non-community system,3500,,Madera,3,0,4,-119.721005,37.646473,-119.721005,37.646473,-120.135005,-119.307005,37.232473,38.060473
CA2210508,YOSEMITE NPS-CRANE FLAT,"95389, Tuolumne Mdws, California",95389,California,Region 9,Transient non-community system,500,,Mariposa,5,1,5,-119.721005,37.646473,-119.721005,37.646473,-120.135005,-119.307005,37.232473,38.060473
CA5510504,YOSEMITE NPS-WHITE WOLF,"95389, Tuolumne Mdws, California",95389,California,Region 9,Transient non-community system,300,,Tuolumne,7,0,5,-119.721005,37.646473,-119.721005,37.646473,-120.135005,-119.307005,37.232473,38.060473
CA5510503,YOSEMITE NPS-HODGDON MEADOW,"95389, Tuolumne Mdws, California",95389,California,Region 9,Community water system,51,,Tuolumne,7,8,6,-119.721005,37.646473,-119.721005,37.646473,-120.135005,-119.307005,37.232473,38.060473
CA5510500,YOSEMITE NPS-TUOLUMNE MEADOWS,"95389, Tuolumne Mdws, California",95389,California,Region 9,Transient non-community system,2500,,Tuolumne,3,4,5,-119.721005,37.646473,-119.721005,37.646473,-120.135005,-119.307005,37.232473,38.060473
CA3210005,GRAEAGLE WATER COMPANY,"96103, Graeagle, California",96103,California,Region 9,Community water system,737,,Plumas,3,2,15,-120.649161,39.790551,-120.649161,39.790551,-120.858161,-120.440161,39.581551,39.999551
CA0800861,RESERVATION RANCH,"95567, Smith River, California",95567,California,Region 9,Community water system,50,,Del Norte,3,3,9,-124.202459,41.951565,-124.202459,41.951565,-124.355459,-124.049459,41.798565,42.104565
CA2410304,CDPR FOUR RIVERS DISTRICT-SAN LUIS CREEK,"22708 Broadway St, Columbia, California, 95310",95310,California,Region 9,Transient non-community system,650,,Merced,3,6,4,-120.401995,38.034126,-120.402271,38.03415,-120.402995,-120.400995,38.033126,38.035126
