PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NH0087040,BLACKWATER SKI AREA,"03216, Andover, New Hampshire",03216,New Hampshire,Region 1,Transient non-community system,25,ANDOVER,Merrimack,1,2,3,-71.819645,43.436659,-71.819645,43.436659,-71.948645,-71.690645,43.307659,43.565659
NH0088020,FOODSTOP,"89 Main St, Lebanon, New Hampshire, 03784",03784,New Hampshire,Region 1,Transient non-community system,150,ANDOVER,Merrimack,3,7,3,-72.310369,43.649071,-72.311171,43.64922,-72.311369,-72.309369,43.648071,43.650071
NH0091010,ANTRIM SEWER AND WATER DEPT,"9 Smith Rd, Antrim, Town of, New Hampshire, 03440",03440,New Hampshire,Region 1,Community water system,920,ANTRIM,Hillsborough,3,11,5,-71.94083,43.040995,-71.940331,43.04162,-71.94183,-71.93983,43.039995,43.041995
NH0097010,PUMP AND CIRCUMSTANCE,"708 Upper Straw Rd, Hopkinton, Town of, New Hampshire, 03229",03229,New Hampshire,Region 1,Transient non-community system,32,ANTRIM,Hillsborough,1,5,3,-71.62954,43.185412,-71.630241,43.1852,-71.63054,-71.62854,43.184412,43.186412
NH0097040,HARBOR CAMPS/LOWER,"02492, Needham, Massachusetts",02492,New Hampshire,Region 1,Transient non-community system,95,ANTRIM,Hillsborough,2,1,3,-71.239144,42.277906,-71.239144,42.277906,-71.300144,-71.178144,42.216906,42.338906
NH0097050,HARBOR CAMPS/DINING HALL,"02492, Needham, Massachusetts",02492,New Hampshire,Region 1,Transient non-community system,95,ANTRIM,Hillsborough,2,1,3,-71.239144,42.277906,-71.239144,42.277906,-71.300144,-71.178144,42.216906,42.338906
NH0097060,HARBOR CAMP/REC HALL,"02492, Needham, Massachusetts",02492,New Hampshire,Region 1,Transient non-community system,95,ANTRIM,Hillsborough,2,0,1,-71.239144,42.277906,-71.239144,42.277906,-71.300144,-71.178144,42.216906,42.338906
NH0098070,BREEZY POINT CONDOS,"110 Breezy Point Rd, Antrim, Town of, New Hampshire, 03440",03440,New Hampshire,Region 1,Transient non-community system,35,ANTRIM,Hillsborough,1,3,4,-71.960587,43.095411,-71.960431,43.09548,-71.961587,-71.959587,43.094411,43.096411
NH1997070,TOAH NIPI/RETREAT HEBRON,"252 Old Ashburnham Rd, Rindge, New Hampshire, 03461",03461,New Hampshire,Region 1,Transient non-community system,62,RINDGE,Cheshire,2,3,3,-71.957467,42.716467,-71.957467,42.716467,-71.967467,-71.947467,42.706467,42.726467
NH1997080,TOAH NIPI/RETREAT BETHEL,"252 Old Ashburnham Rd, Rindge, New Hampshire, 03461",03461,New Hampshire,Region 1,Transient non-community system,88,RINDGE,Cheshire,2,8,8,-71.957467,42.716467,-71.957467,42.716467,-71.967467,-71.947467,42.706467,42.726467
NH1997090,WELLINGTON REC COMPLEX,"115 Main St, Rindge, New Hampshire, 03461",03461,New Hampshire,Region 1,Transient non-community system,25,RINDGE,Cheshire,2,3,4,-72.012838,42.753529,-72.012838,42.753529,-72.022838,-72.002838,42.743529,42.763529
NH1997100,WOODMORE CAMPGROUND,"03461, Rindge, New Hampshire",03461,New Hampshire,Region 1,Transient non-community system,313,RINDGE,Cheshire,7,12,4,-72.016586,42.782514,-72.016586,42.782514,-72.104586,-71.928586,42.694514,42.870514
NH1998030,EMMAS 321 PUB AND KITCHEN,"03461, Rindge, New Hampshire",03461,New Hampshire,Region 1,Transient non-community system,50,RINDGE,Cheshire,2,5,5,-72.016586,42.782514,-72.016586,42.782514,-72.104586,-71.928586,42.694514,42.870514
NH1998040,RINDGE PIZZA HAVEN,"1343 RT-119, Rindge, Town of, New Hampshire, 03461",03461,New Hampshire,Region 1,Transient non-community system,100,RINDGE,Cheshire,2,9,3,-72.029926,42.761122,-72.030081,42.76047,-72.030926,-72.028926,42.760122,42.762122
NH1998060,FOUR STAR CATERING,"18 Lisa Dr, Rindge, Town of, New Hampshire, 03461",03461,New Hampshire,Region 1,Transient non-community system,100,RINDGE,Cheshire,1,19,4,-72.036418,42.747472,-72.035971,42.74592,-72.037418,-72.035418,42.746472,42.748472
