PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MN5010417,The Joint,"27289 437th Pl, Aitkin, Minnesota, 56431",56431,Minnesota,Region 5,Transient non-community system,75,,Aitkin,5,0,5,-93.763309,46.405646,-93.763571,46.4061,-93.764309,-93.762309,46.404646,46.406646
MN5110570,Erickson's Landing,"56601, Wilton, Minnesota",56601,Minnesota,Region 5,Transient non-community system,25,,Cass,3,0,10,-94.882862,47.47615,-94.882862,47.47615,-95.265862,-94.499862,47.09315,47.85915
MN5110572,Godfrey's,"964 MN-371, Backus, Minnesota, 56435",56435,Minnesota,Region 5,Transient non-community system,200,,Cass,5,1,10,-94.502154,46.841154,-94.502154,46.841154,-94.512154,-94.492154,46.831154,46.851154
MN5110575,Our Savior's Lutheran Church,"56662, Outing, Minnesota",56662,Minnesota,Region 5,Transient non-community system,50,,Cass,3,1,9,-93.922811,46.827492,-93.922811,46.827492,-94.155811,-93.689811,46.594492,47.060492
MN5010421,Roberts Glad Post 1727,"36558 410th Ave, Aitkin, Minnesota, 56431",56431,Minnesota,Region 5,Transient non-community system,25,,Aitkin,4,0,5,-93.707592,46.541942,-93.706771,46.54197,-93.708592,-93.706592,46.540942,46.542942
MN5010422,Prairie River Retreat,"17000 510th Ln, Mcgregor, Minnesota, 55760",55760,Minnesota,Region 5,Transient non-community system,150,,Aitkin,3,0,5,-93.215671,46.752697,-93.215641,46.75442,-93.216671,-93.214671,46.751697,46.753697
MN5010425,Aitkin County Parks - Snake River Campgr,"502 Minnesota Ave N, Aitkin, Minnesota, 56431",56431,Minnesota,Region 5,Transient non-community system,25,,Aitkin,3,2,5,-93.706692,46.536839,-93.706191,46.53684,-93.707692,-93.705692,46.535839,46.537839
MN5010426,Savanna Portage State Park,"55626 Lake Pl, Mcgregor, Minnesota, 55760",55760,Minnesota,Region 5,Transient non-community system,100,,Aitkin,23,3,7,-93.174447,46.820715,-93.173841,46.82061,-93.175447,-93.173447,46.819715,46.821715
MN5010428,Fisherman's Bay/Birch Hollow,"50933 State Highway 65, Mcgregor, Minnesota, 55760",55760,Minnesota,Region 5,Transient non-community system,30,,Aitkin,4,0,5,-93.326994,46.752343,-93.327901,46.75213,-93.327994,-93.325994,46.751343,46.753343
MN5010431,Sunrise Cafe,"22167 MN-47, Aitkin, Minnesota, 56431",56431,Minnesota,Region 5,Transient non-community system,120,,Aitkin,4,0,5,-93.516655,46.336204,-93.517841,46.33645,-93.517655,-93.515655,46.335204,46.337204
MN5010432,Bethesda Lutheran Church - Malmo,"21590 State Highway 47, Isle, Minnesota, 56342",56342,Minnesota,Region 5,Transient non-community system,160,,Aitkin,7,1,8,-93.519907,46.328486,-93.517371,46.328,-93.520907,-93.518907,46.327486,46.329486
