PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AK2225058,KENDALL AUTOMOTIVE GROUP - SHOWROOM,"2701 E Mountain Village Dr, Wasilla, Alaska, 99654",99654,Alaska,Region 10,Non-Transient non-community system,55,WASILLA,Matanuska-Susitna Borough,5,25,6,-149.386889,61.572851,-149.386889,61.572851,-149.396889,-149.376889,61.562851,61.582851
AK2242953,COPPER RIVER SEAFOODS - KENAI,"1118 E 5th Ave, Anchorage, Alaska, 99501",99501,Alaska,Region 10,Transient non-community system,122,KENAI,Kenai Peninsula Borough,7,7,5,-149.86168,61.217522,-149.861681,61.21726,-149.86268,-149.86068,61.216522,61.218522
AK2272756,MERTARVIK WATER SYSTEM,"99559, Bethel, Alaska",99559,Alaska,Region 10,Community water system,80,NEWTOK,Bethel Census Area,5,0,0,-161.790509,60.784468,-161.790509,60.784468,-165.613509,-157.967509,56.961468,64.607468
AK2218544,LIONS CLUB OF EAGLE RIVER,"99577, Eagle River, Alaska",99577,Alaska,Region 10,Transient non-community system,56,EAGLE RIVER,Anchorage Municipality,3,18,5,-149.570864,61.326138,-149.570864,61.326138,-150.319864,-148.821864,60.577138,62.075138
AK2291130,TATITLEK WATER SYSTEM,"99677, Tatitlek, Alaska",99677,Alaska,Region 10,Community water system,95,TATITLEK,Valdez-Cordova Census Area,5,636,8,-146.665244,60.886894,-146.665244,60.886894,-146.846244,-146.484244,60.705894,61.067894
AK2340222,DEERING UTILITY SYSTEM,"99736, Deering, Alaska",99736,Alaska,Region 10,Community water system,160,DEERING,Northwest Arctic Borough,9,598,7,-163.515291,65.822285,-163.515291,65.822285,-164.449291,-162.581291,64.888285,66.756285
AK2218820,ERNIE TURNER CENTER,"99508, Anchorage, Alaska",99508,Alaska,Region 10,Non-Transient non-community system,31,EAGLE RIVER,Anchorage Municipality,4,0,1,-149.800085,61.207593,-149.800085,61.207593,-149.868085,-149.732085,61.139593,61.275593
AK2248925,KENAI FJORDS TOURS,"99664, Seward, Alaska",99664,Alaska,Region 10,Transient non-community system,306,SEWARD,Kenai Peninsula Borough,5,64,5,-149.38081,60.187185,-149.38081,60.187185,-150.82481,-147.93681,58.743185,61.631185
AK2220310,BIRCHVIEW TOWNHOME CONDOS,"179 E Nelson Ave, Wasilla, Alaska, 99654",99654,Alaska,Region 10,Community water system,25,WASILLA,Matanuska-Susitna Borough,2,28,2,-149.44821,61.585017,-149.448211,61.58548,-149.44921,-149.44721,61.584017,61.586017
AK2340125,BUCKLAND WATER SYSTEM,"99727, Buckland, Alaska",99727,Alaska,Region 10,Community water system,600,BUCKLAND,Northwest Arctic Borough,8,564,8,-160.0607,66.01637,-160.0607,66.01637,-163.1017,-157.0197,62.97537,69.05737
