PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
SC3250015,BGWC HEATHERWOOD-BLUE RIDGE (SC3250015),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,573,WEST COLUMBIA,Lexington,9,1,33,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC3250013,BGWC MURRAY LODGE (3250013),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,146,HILTON,Lexington,5,39,31,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC3250012,BGWC I-20 (3250012),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,5680,WEST COLUMBIA,Lexington,43,10,32,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC3250005,BGWC LAKEWOOD ESTATES (SC3250005),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,492,CHAPIN,Lexington,10,9,34,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC3250002,BGWC WESTSIDE TERRACE (3250002),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,159,WEST COLUMBIA,Lexington,5,2,31,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC1470853,TAW CAW CAMPGROUND & MARINA (1470853),"1328 Joyner Dr, Summerton, South Carolina, 29148",29148,South Carolina,Region 4,Transient non-community system,15,,Clarendon,2,1,23,-80.315063,33.530515,-80.314091,33.52998,-80.316063,-80.314063,33.529515,33.531515
SC4650061,BGWC BROWN BOROUGH (SC4650061),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,205,CLOVER,York,5,17,22,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650059,BGWC CAMERON ACRES (4650059),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,70,CLOVER,York,3,15,21,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650057,BGWC MALLARD LAKE (SC4650057),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,118,MCCONNELLS,York,5,17,23,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
SC4650056,BGWC FARM POND (SC4650056),"29601, Greenville, South Carolina",29601,South Carolina,Region 4,Community water system,75,MCCONNELLS,York,3,12,25,-82.398722,34.847291,-82.398722,34.847291,-82.424722,-82.372722,34.821291,34.873291
