PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NN3503063,Carson-Huerfano NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1098,Huerfano,,11,67,7,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503060,Casamero Cup NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,27,"Smith Lake, Northeast of",,5,74,7,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503059,Sanostee-Tocito NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,2139,"Sanostee, Tocito, Littlewater, Mittenroc",,21,77,7,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503057,Mittenrock NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,369,"Red Valley, East of",,7,67,6,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503054,Keyah 1 NAPI NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,150,"NAPI Region I Complex, Southeast of Farm",,5,48,4,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503045,Dzilth-Na-O-Dith-Hle NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,526,Dzilth-Na-O-Dith-Hle,,9,93,6,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503041,Ojo Encino North NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,1233,"Ojo Encino, North of",,13,72,5,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503039,Crownpoint-Littlewater-Three Mile Point NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,4585,"Crownpoint, Littlewater, Three Mile Poin",,18,68,8,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503031,Narbona Pass NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,948,"Narbona Pass, Sheep Springs",,14,44,6,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503029,Standing Rock NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,849,Standing Rock,,7,72,8,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503028,Toadlena NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,948,"Toadlena, Two Grey Hills",,10,109,8,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
NN3503016,Newcomb NTUA,"86504, Fort Defiance, Arizona",86504,Navajo Nation,Region 9,Community water system,634,Newcomb,,11,29,5,-109.083181,35.787951,-109.083181,35.787951,-109.088181,-109.078181,35.782951,35.792951
