State,County,Farms with direct sales (%) 2012 (PCT_LOCLFARM12),Units,FIPS,FID
Arizona,Yavapai,13.297872340425531,Percent,4025.0,35
Arizona,Yuma,6.405693950177936,Percent,4027.0,42
Arkansas,Arkansas,0.6097560975609756,Percent,5001.0,46
Arkansas,Ashley,5.319148936170213,Percent,5003.0,50
Arkansas,Baxter,3.2085561497326207,Percent,5005.0,54
Arkansas,Benton,3.013444598980065,Percent,5007.0,59
Arkansas,Boone,2.02808112324493,Percent,5009.0,62
Arkansas,Bradley,3.2432432432432434,Percent,5011.0,68
Arkansas,Calhoun,6.521739130434782,Percent,5013.0,72
Arkansas,Carroll,3.374777975133215,Percent,5015.0,74
Arkansas,Chicot,1.2779552715654952,Percent,5017.0,77
Arkansas,Clark,2.8871391076115485,Percent,5019.0,86
Arkansas,Clay,0.32786885245901637,Percent,5021.0,93
Arkansas,Cleburne,1.7565872020075282,Percent,5023.0,97
Arkansas,Cleveland,0.0,Percent,5025.0,103
Arkansas,Columbia,2.877697841726619,Percent,5027.0,107
Arkansas,Conway,1.2254901960784315,Percent,5029.0,109
Arkansas,Craighead,2.401372212692967,Percent,5031.0,114
Arkansas,Crawford,5.417607223476298,Percent,5033.0,115
Arkansas,Crittenden,1.9011406844106464,Percent,5035.0,119
Arkansas,Cross,2.1538461538461537,Percent,5037.0,124
Arkansas,Dallas,4.444444444444445,Percent,5039.0,128
Arkansas,Desha,2.0491803278688523,Percent,5041.0,130
Arkansas,Drew,2.5974025974025974,Percent,5043.0,136
Arkansas,Faulkner,4.270186335403727,Percent,5045.0,141
Arkansas,Franklin,2.0506634499396865,Percent,5047.0,144
Arkansas,Fulton,4.913678618857902,Percent,5049.0,146
Arkansas,Garland,6.3711911357340725,Percent,5051.0,151
Arkansas,Grant,9.72762645914397,Percent,5053.0,155
Arkansas,Greene,2.250351617440225,Percent,5055.0,162
Arkansas,Hempstead,2.0053475935828877,Percent,5057.0,172
Arkansas,Hot Spring,5.410447761194029,Percent,5059.0,184
