State,County,Direct farm sales per capita (% change) 2007 - 12 (PCH_PC_DIRSALES_07_12),Units,FIPS,FID
Arkansas,Ashley,629.7843024728696,% change,5003.0,50
Arkansas,Baxter,-54.35169304305324,% change,5005.0,54
Arkansas,Benton,-43.216304648423396,% change,5007.0,59
Arkansas,Boone,-11.423995944998943,% change,5009.0,62
Arkansas,Bradley,-27.329168073848926,% change,5011.0,68
Arkansas,Calhoun,nan,% change,5013.0,72
Arkansas,Carroll,-62.60420953197865,% change,5015.0,74
Arkansas,Chicot,nan,% change,5017.0,77
Arkansas,Clark,-64.19838725898495,% change,5019.0,86
Arkansas,Clay,nan,% change,5021.0,93
Arkansas,Cleburne,31.979695431472084,% change,5023.0,97
Arkansas,Cleveland,-100.0,% change,5025.0,103
Arkansas,Columbia,-89.65565333720049,% change,5027.0,107
Arkansas,Conway,-72.74036407874817,% change,5029.0,109
Arkansas,Craighead,-43.20580672916271,% change,5031.0,114
Arkansas,Crawford,49.756767233025386,% change,5033.0,115
Arkansas,Crittenden,1134.4965034965035,% change,5035.0,119
Arkansas,Cross,nan,% change,5037.0,124
Arkansas,Dallas,nan,% change,5039.0,128
Arkansas,Desha,nan,% change,5041.0,130
Arkansas,Drew,-21.001598295151837,% change,5043.0,136
Arkansas,Faulkner,176.27786606522872,% change,5045.0,141
Arkansas,Franklin,1.6215312604480114,% change,5047.0,144
Arkansas,Fulton,618.161985630307,% change,5049.0,146
Arkansas,Garland,-72.42609773394804,% change,5051.0,151
Arkansas,Grant,67.66017001089352,% change,5053.0,155
Arkansas,Greene,-59.786991486398456,% change,5055.0,162
Arkansas,Hempstead,-23.901432139725447,% change,5057.0,172
Arkansas,Hot Spring,29.675409666751882,% change,5059.0,184
Arkansas,Howard,30.774204870028104,% change,5061.0,191
Arkansas,Independence,-14.19790454016297,% change,5063.0,200
Arkansas,Izard,200.79905297425276,% change,5065.0,203
Arkansas,Jackson,-35.29591726768438,% change,5067.0,209
Arkansas,Jefferson,44.220322512001935,% change,5069.0,213
Arkansas,Johnson,316.0436212244058,% change,5071.0,218
Arkansas,Lafayette,153.03050665233167,% change,5073.0,222
Arkansas,Lawrence,116.41314553990611,% change,5075.0,230
Arkansas,Lee,nan,% change,5077.0,237
Arkansas,Lincoln,nan,% change,5079.0,244
Arkansas,Little River,103.05189775367931,% change,5081.0,251
Arkansas,Logan,-70.78307121948187,% change,5083.0,258
Arkansas,Lonoke,-47.20045147137487,% change,5085.0,268
Arkansas,Madison,-7.94950027147691,% change,5087.0,277
Arkansas,Marion,-77.7940459609422,% change,5089.0,282
Arkansas,Miller,-26.593258014987274,% change,5091.0,287
Arkansas,Mississippi,87.34122628195074,% change,5093.0,294
Arkansas,Monroe,nan,% change,5095.0,300
Arkansas,Montgomery,-64.41428877923192,% change,5097.0,304
Arkansas,Nevada,nan,% change,5099.0,307
Arkansas,Newton,-81.87312477819957,% change,5101.0,311
