State,County,Direct farm sales 2007 (DIRSALES07),Units,FIPS,FID
Alabama,Autauga,100.0,"1,000 dollars",1001.0,5
Alabama,Baldwin,715.0,"1,000 dollars",1003.0,20
Alabama,Barbour,11.0,"1,000 dollars",1005.0,25
Alabama,Bibb,46.0,"1,000 dollars",1007.0,29
Alabama,Blount,429.0,"1,000 dollars",1009.0,33
Alabama,Bullock,42.0,"1,000 dollars",1011.0,37
Alabama,Butler,10.0,"1,000 dollars",1013.0,39
Alabama,Calhoun,80.0,"1,000 dollars",1015.0,43
Alabama,Chambers,67.0,"1,000 dollars",1017.0,47
Alabama,Cherokee,54.0,"1,000 dollars",1019.0,51
Alabama,Chilton,569.0,"1,000 dollars",1021.0,56
Alabama,Choctaw,nan,"1,000 dollars",1023.0,58
Alabama,Clarke,35.0,"1,000 dollars",1025.0,61
Alabama,Clay,31.0,"1,000 dollars",1027.0,65
Alabama,Cleburne,25.0,"1,000 dollars",1029.0,67
Alabama,Coffee,95.0,"1,000 dollars",1031.0,70
Alabama,Colbert,68.0,"1,000 dollars",1033.0,73
Alabama,Conecuh,12.0,"1,000 dollars",1035.0,80
Alabama,Coosa,12.0,"1,000 dollars",1037.0,82
Alabama,Covington,125.0,"1,000 dollars",1039.0,88
Alabama,Crenshaw,15.0,"1,000 dollars",1041.0,90
Alabama,Cullman,253.0,"1,000 dollars",1043.0,98
Alabama,Dale,18.0,"1,000 dollars",1045.0,101
Alabama,Dallas,44.0,"1,000 dollars",1047.0,110
Alabama,DeKalb,265.0,"1,000 dollars",1049.0,112
Alabama,Elmore,101.0,"1,000 dollars",1051.0,118
Alabama,Escambia,29.0,"1,000 dollars",1053.0,122
Alabama,Etowah,55.0,"1,000 dollars",1055.0,131
Alabama,Fayette,18.0,"1,000 dollars",1057.0,134
Alabama,Franklin,58.0,"1,000 dollars",1059.0,138
Alabama,Geneva,465.0,"1,000 dollars",1061.0,140
Alabama,Greene,168.0,"1,000 dollars",1063.0,148
Alabama,Hale,42.0,"1,000 dollars",1065.0,150
Alabama,Henry,55.0,"1,000 dollars",1067.0,158
Alabama,Houston,152.0,"1,000 dollars",1069.0,160
Alabama,Jackson,197.0,"1,000 dollars",1071.0,164
Alabama,Jefferson,59.0,"1,000 dollars",1073.0,171
Alabama,Lamar,68.0,"1,000 dollars",1075.0,174
Alabama,Lauderdale,184.0,"1,000 dollars",1077.0,176
Alabama,Lawrence,101.0,"1,000 dollars",1079.0,181
Alabama,Lee,232.0,"1,000 dollars",1081.0,187
Alabama,Limestone,295.0,"1,000 dollars",1083.0,197
Alabama,Lowndes,16.0,"1,000 dollars",1085.0,205
Alabama,Macon,78.0,"1,000 dollars",1087.0,210
Alabama,Madison,283.0,"1,000 dollars",1089.0,217
Alabama,Marengo,60.0,"1,000 dollars",1091.0,220
Alabama,Marion,44.0,"1,000 dollars",1093.0,224
Alabama,Marshall,142.0,"1,000 dollars",1095.0,231
Alabama,Mobile,360.0,"1,000 dollars",1097.0,240
Alabama,Monroe,62.0,"1,000 dollars",1099.0,250
Alabama,Montgomery,40.0,"1,000 dollars",1101.0,256
Alabama,Morgan,378.0,"1,000 dollars",1103.0,262
Alabama,Perry,41.0,"1,000 dollars",1105.0,264
Alabama,Pickens,18.0,"1,000 dollars",1107.0,273
Alabama,Pike,170.0,"1,000 dollars",1109.0,279
Alabama,Randolph,148.0,"1,000 dollars",1111.0,284
Alabama,Russell,nan,"1,000 dollars",1113.0,288
Alabama,St. Clair,259.0,"1,000 dollars",1115.0,292
Alabama,Shelby,51.0,"1,000 dollars",1117.0,298
Alabama,Sumter,30.0,"1,000 dollars",1119.0,303
Alabama,Talladega,90.0,"1,000 dollars",1121.0,306
Alabama,Tallapoosa,56.0,"1,000 dollars",1123.0,308
Alabama,Tuscaloosa,277.0,"1,000 dollars",1125.0,313
Alabama,Walker,138.0,"1,000 dollars",1127.0,317
Alabama,Washington,125.0,"1,000 dollars",1129.0,319
Alabama,Wilcox,9.0,"1,000 dollars",1131.0,326
Alabama,Winston,43.0,"1,000 dollars",1133.0,332
Alaska,Aleutians East,nan,"1,000 dollars",2013.0,346
Alaska,Aleutians West,nan,"1,000 dollars",2016.0,381
Alaska,Anchorage,836.0,"1,000 dollars",2020.0,400
Alaska,Bethel,nan,"1,000 dollars",2050.0,411
Alaska,Bristol Bay,nan,"1,000 dollars",2060.0,423
Alaska,Denali,nan,"1,000 dollars",2068.0,426
Alaska,Dillingham,nan,"1,000 dollars",2070.0,445
Alaska,Fairbanks North Star,564.0,"1,000 dollars",2090.0,454
Alaska,Haines,nan,"1,000 dollars",2100.0,462
Alaska,Hoonah-Angoon,nan,"1,000 dollars",2105.0,476
Alaska,Juneau,37.0,"1,000 dollars",2110.0,482
Alaska,Kenai Peninsula,155.0,"1,000 dollars",2122.0,494
Alaska,Ketchikan Gateway,nan,"1,000 dollars",2130.0,514
Alaska,Kodiak Island,nan,"1,000 dollars",2150.0,533
Alaska,Lake and Peninsula,nan,"1,000 dollars",2164.0,544
Alaska,Matanuska-Susitna,nan,"1,000 dollars",2170.0,556
Alaska,Nome,nan,"1,000 dollars",2180.0,571
Alaska,North Slope,nan,"1,000 dollars",2185.0,614
Alaska,Northwest Arctic,nan,"1,000 dollars",2188.0,638
Alaska,Petersburg,nan,"1,000 dollars",2195.0,645
Alaska,Prince of Wales-Hyder,nan,"1,000 dollars",2198.0,669
Alaska,Sitka,nan,"1,000 dollars",2220.0,679
Alaska,Skagway,nan,"1,000 dollars",2230.0,683
Alaska,Southeast Fairbanks,nan,"1,000 dollars",2240.0,690
Alaska,Valdez-Cordova,nan,"1,000 dollars",2261.0,710
Alaska,Wade Hampton,nan,"1,000 dollars",2270.0,725
Alaska,Wrangell,nan,"1,000 dollars",2275.0,733
Alaska,Yakutat,nan,"1,000 dollars",2282.0,744
Alaska,Yukon-Koyukuk,nan,"1,000 dollars",2290.0,753
Arizona,Apache,122.0,"1,000 dollars",4001.0,761
Arizona,Cochise,1304.0,"1,000 dollars",4003.0,763
Arizona,Coconino,163.0,"1,000 dollars",4005.0,771
Arizona,Gila,31.0,"1,000 dollars",4007.0,787
Arizona,Graham,535.0,"1,000 dollars",4009.0,0
Arizona,Greenlee,nan,"1,000 dollars",4011.0,1
Arizona,La Paz,nan,"1,000 dollars",4012.0,3
Arizona,Maricopa,1549.0,"1,000 dollars",4013.0,9
Arizona,Mohave,29.0,"1,000 dollars",4015.0,15
Arizona,Navajo,152.0,"1,000 dollars",4017.0,17
Arizona,Pima,312.0,"1,000 dollars",4019.0,21
Arizona,Pinal,264.0,"1,000 dollars",4021.0,26
Arizona,Santa Cruz,43.0,"1,000 dollars",4023.0,32
Arizona,Yavapai,541.0,"1,000 dollars",4025.0,35
Arizona,Yuma,183.0,"1,000 dollars",4027.0,42
Arkansas,Arkansas,11.0,"1,000 dollars",5001.0,46
Arkansas,Ashley,18.0,"1,000 dollars",5003.0,50
Arkansas,Baxter,166.0,"1,000 dollars",5005.0,54
Arkansas,Benton,448.0,"1,000 dollars",5007.0,59
Arkansas,Boone,189.0,"1,000 dollars",5009.0,62
Arkansas,Bradley,63.0,"1,000 dollars",5011.0,68
Arkansas,Calhoun,40.0,"1,000 dollars",5013.0,72
Arkansas,Carroll,334.0,"1,000 dollars",5015.0,74
Arkansas,Chicot,40.0,"1,000 dollars",5017.0,77
Arkansas,Clark,51.0,"1,000 dollars",5019.0,86
Arkansas,Clay,27.0,"1,000 dollars",5021.0,93
Arkansas,Cleburne,12.0,"1,000 dollars",5023.0,97
Arkansas,Cleveland,3.0,"1,000 dollars",5025.0,103
Arkansas,Columbia,59.0,"1,000 dollars",5027.0,107
Arkansas,Conway,69.0,"1,000 dollars",5029.0,109
Arkansas,Craighead,140.0,"1,000 dollars",5031.0,114
Arkansas,Crawford,100.0,"1,000 dollars",5033.0,115
Arkansas,Crittenden,4.0,"1,000 dollars",5035.0,119
Arkansas,Cross,nan,"1,000 dollars",5037.0,124
Arkansas,Dallas,nan,"1,000 dollars",5039.0,128
Arkansas,Desha,nan,"1,000 dollars",5041.0,130
Arkansas,Drew,40.0,"1,000 dollars",5043.0,136
Arkansas,Faulkner,109.0,"1,000 dollars",5045.0,141
Arkansas,Franklin,112.0,"1,000 dollars",5047.0,144
Arkansas,Fulton,25.0,"1,000 dollars",5049.0,146
Arkansas,Garland,142.0,"1,000 dollars",5051.0,151
Arkansas,Grant,37.0,"1,000 dollars",5053.0,155
Arkansas,Greene,66.0,"1,000 dollars",5055.0,162
Arkansas,Hempstead,66.0,"1,000 dollars",5057.0,172
Arkansas,Hot Spring,141.0,"1,000 dollars",5059.0,184
Arkansas,Howard,107.0,"1,000 dollars",5061.0,191
Arkansas,Independence,125.0,"1,000 dollars",5063.0,200
Arkansas,Izard,12.0,"1,000 dollars",5065.0,203
Arkansas,Jackson,111.0,"1,000 dollars",5067.0,209
Arkansas,Jefferson,41.0,"1,000 dollars",5069.0,213
Arkansas,Johnson,48.0,"1,000 dollars",5071.0,218
Arkansas,Lafayette,55.0,"1,000 dollars",5073.0,222
Arkansas,Lawrence,30.0,"1,000 dollars",5075.0,230
Arkansas,Lee,13.0,"1,000 dollars",5077.0,237
Arkansas,Lincoln,nan,"1,000 dollars",5079.0,244
Arkansas,Little River,12.0,"1,000 dollars",5081.0,251
Arkansas,Logan,269.0,"1,000 dollars",5083.0,258
Arkansas,Lonoke,1101.0,"1,000 dollars",5085.0,268
Arkansas,Madison,191.0,"1,000 dollars",5087.0,277
Arkansas,Marion,173.0,"1,000 dollars",5089.0,282
Arkansas,Miller,92.0,"1,000 dollars",5091.0,287
Arkansas,Mississippi,28.0,"1,000 dollars",5093.0,294
Arkansas,Monroe,nan,"1,000 dollars",5095.0,300
Arkansas,Montgomery,20.0,"1,000 dollars",5097.0,304
Arkansas,Nevada,nan,"1,000 dollars",5099.0,307
Arkansas,Newton,69.0,"1,000 dollars",5101.0,311
Arkansas,Ouachita,17.0,"1,000 dollars",5103.0,316
Arkansas,Perry,57.0,"1,000 dollars",5105.0,318
Arkansas,Phillips,14.0,"1,000 dollars",5107.0,322
Arkansas,Pike,nan,"1,000 dollars",5109.0,327
Arkansas,Poinsett,3.0,"1,000 dollars",5111.0,333
Arkansas,Polk,42.0,"1,000 dollars",5113.0,337
Arkansas,Pope,176.0,"1,000 dollars",5115.0,340
Arkansas,Prairie,11.0,"1,000 dollars",5117.0,345
Arkansas,Pulaski,250.0,"1,000 dollars",5119.0,350
Arkansas,Randolph,31.0,"1,000 dollars",5121.0,353
Arkansas,St. Francis,12.0,"1,000 dollars",5123.0,357
Arkansas,Saline,50.0,"1,000 dollars",5125.0,360
Arkansas,Scott,35.0,"1,000 dollars",5127.0,364
Arkansas,Searcy,134.0,"1,000 dollars",5129.0,372
Arkansas,Sebastian,101.0,"1,000 dollars",5131.0,378
Arkansas,Sevier,32.0,"1,000 dollars",5133.0,390
Arkansas,Sharp,167.0,"1,000 dollars",5135.0,394
Arkansas,Stone,30.0,"1,000 dollars",5137.0,399
Arkansas,Union,51.0,"1,000 dollars",5139.0,403
Arkansas,Van Buren,117.0,"1,000 dollars",5141.0,407
Arkansas,Washington,600.0,"1,000 dollars",5143.0,417
Arkansas,White,239.0,"1,000 dollars",5145.0,428
Arkansas,Woodruff,nan,"1,000 dollars",5147.0,435
Arkansas,Yell,99.0,"1,000 dollars",5149.0,438
California,Alameda,322.0,"1,000 dollars",6001.0,457
California,Alpine,nan,"1,000 dollars",6003.0,461
California,Amador,154.0,"1,000 dollars",6005.0,472
California,Butte,3878.0,"1,000 dollars",6007.0,486
California,Calaveras,316.0,"1,000 dollars",6009.0,489
California,Colusa,373.0,"1,000 dollars",6011.0,497
California,Contra Costa,1776.0,"1,000 dollars",6013.0,503
California,Del Norte,51.0,"1,000 dollars",6015.0,511
California,El Dorado,2762.0,"1,000 dollars",6017.0,522
California,Fresno,17170.0,"1,000 dollars",6019.0,527
California,Glenn,3083.0,"1,000 dollars",6021.0,537
California,Humboldt,1192.0,"1,000 dollars",6023.0,551
California,Imperial,613.0,"1,000 dollars",6025.0,557
California,Inyo,nan,"1,000 dollars",6027.0,562
California,Kern,5815.0,"1,000 dollars",6029.0,84
California,Kings,473.0,"1,000 dollars",6031.0,94
California,Lake,575.0,"1,000 dollars",6033.0,100
California,Lassen,171.0,"1,000 dollars",6035.0,104
California,Los Angeles,3541.0,"1,000 dollars",6037.0,139
California,Madera,1734.0,"1,000 dollars",6039.0,153
California,Marin,1654.0,"1,000 dollars",6041.0,168
California,Mariposa,33.0,"1,000 dollars",6043.0,178
