State,County,WIC-authorized stores per 1000 pop 2011 (WICSPTH11),Units,FIPS,FID
Alaska,Sitka,0.3376097083091736,"# per 1,000 pop",2220,679
Alaska,Skagway,0,"# per 1,000 pop",2230,683
Alaska,Southeast Fairbanks,0.4196978211402893,"# per 1,000 pop",2240,690
Alaska,Valdez-Cordova,0.5134524703025818,"# per 1,000 pop",2261,710
Alaska,Wade Hampton,0,"# per 1,000 pop",2270,725
Alaska,Wrangell,0.8350730538368225,"# per 1,000 pop",2275,733
Alaska,Yakutat,3.0487804412841797,"# per 1,000 pop",2282,744
Alaska,Yukon-Koyukuk,1.5982950925827026,"# per 1,000 pop",2290,753
Arizona,Apache,0.36018064618110657,"# per 1,000 pop",4001,761
Arizona,Cochise,0.12020043283700943,"# per 1,000 pop",4003,763
Arizona,Coconino,0.16385018825531006,"# per 1,000 pop",4005,771
Arizona,Gila,0.1684005707502365,"# per 1,000 pop",4007,787
Arizona,Graham,0.13464748859405518,"# per 1,000 pop",4009,0
Arizona,Greenlee,0.11659087985754013,"# per 1,000 pop",4011,1
Arizona,La Paz,0.38819876313209534,"# per 1,000 pop",4012,3
Arizona,Maricopa,0.10735303908586502,"# per 1,000 pop",4013,9
Arizona,Mohave,0.10848072916269302,"# per 1,000 pop",4015,15
Arizona,Navajo,0.2417592704296112,"# per 1,000 pop",4017,17
Arizona,Pima,0.08903215080499649,"# per 1,000 pop",4019,21
Arizona,Pinal,0.08712641149759293,"# per 1,000 pop",4021,26
Arizona,Santa Cruz,0.10485697537660599,"# per 1,000 pop",4023,32
Arizona,Yavapai,0.10899285972118378,"# per 1,000 pop",4025,35
Arizona,Yuma,0.12815268337726593,"# per 1,000 pop",4027,42
Arkansas,Arkansas,0.2649427652359009,"# per 1,000 pop",5001,46
Arkansas,Ashley,0.27686771750450134,"# per 1,000 pop",5003,50
Arkansas,Baxter,0.12092775851488113,"# per 1,000 pop",5005,54
Arkansas,Benton,0.09600530564785004,"# per 1,000 pop",5007,59
Arkansas,Boone,0.10790396481752396,"# per 1,000 pop",5009,62
Arkansas,Bradley,0.174871027469635,"# per 1,000 pop",5011,68
Arkansas,Calhoun,0.1907304972410202,"# per 1,000 pop",5013,72
Arkansas,Carroll,0.18206976354122162,"# per 1,000 pop",5015,74
Arkansas,Chicot,0.3417634963989258,"# per 1,000 pop",5017,77
Arkansas,Clark,0.1744667887687683,"# per 1,000 pop",5019,86
Arkansas,Clay,0.18898828327655792,"# per 1,000 pop",5021,93
Arkansas,Cleburne,0.11587485671043396,"# per 1,000 pop",5023,97
Arkansas,Cleveland,0.11530035734176636,"# per 1,000 pop",5025,103
Arkansas,Columbia,0.24288548529148102,"# per 1,000 pop",5027,107
Arkansas,Conway,0.14199839532375336,"# per 1,000 pop",5029,109
Arkansas,Craighead,0.1626148521900177,"# per 1,000 pop",5031,114
Arkansas,Crawford,0.12943518161773682,"# per 1,000 pop",5033,115
Arkansas,Crittenden,0.25736966729164124,"# per 1,000 pop",5035,119
Arkansas,Cross,0.22461815178394318,"# per 1,000 pop",5037,124
Arkansas,Dallas,0.12417732179164886,"# per 1,000 pop",5039,128
Arkansas,Desha,0.23568229377269745,"# per 1,000 pop",5041,130
Arkansas,Drew,0.10676916688680649,"# per 1,000 pop",5043,136
Arkansas,Faulkner,0.08600670844316483,"# per 1,000 pop",5045,141
Arkansas,Franklin,0.11110493540763855,"# per 1,000 pop",5047,144
Arkansas,Fulton,0.08170602470636368,"# per 1,000 pop",5049,146
Arkansas,Garland,0.1239003837108612,"# per 1,000 pop",5051,151
Arkansas,Grant,0.111451655626297,"# per 1,000 pop",5053,155
Arkansas,Greene,0.09355193376541138,"# per 1,000 pop",5055,162
Arkansas,Hempstead,0.17788846790790558,"# per 1,000 pop",5057,172
Arkansas,Hot Spring,0.15089328587055206,"# per 1,000 pop",5059,184
Arkansas,Howard,0.36179450154304504,"# per 1,000 pop",5061,191
Arkansas,Independence,0.16268539428710938,"# per 1,000 pop",5063,200
Arkansas,Izard,0.294789582490921,"# per 1,000 pop",5065,203
Arkansas,Jackson,0.27953261137008667,"# per 1,000 pop",5067,209
Arkansas,Jefferson,0.11837121099233627,"# per 1,000 pop",5069,213
Arkansas,Johnson,0.07791803032159805,"# per 1,000 pop",5071,218
Arkansas,Lafayette,0.26542800664901733,"# per 1,000 pop",5073,222
Arkansas,Lawrence,0.28935185074806213,"# per 1,000 pop",5075,230
Arkansas,Lee,0.09715340286493301,"# per 1,000 pop",5077,237
Arkansas,Lincoln,0.06973987072706223,"# per 1,000 pop",5079,244
Arkansas,Little River,0.23178552091121674,"# per 1,000 pop",5081,251
Arkansas,Logan,0.08992806077003479,"# per 1,000 pop",5083,258
Arkansas,Lonoke,0.12950199842453003,"# per 1,000 pop",5085,268
Arkansas,Madison,0.12771391868591309,"# per 1,000 pop",5087,277
Arkansas,Marion,0.23992322385311127,"# per 1,000 pop",5089,282
Arkansas,Miller,0.11426743119955063,"# per 1,000 pop",5091,287
Arkansas,Mississippi,0.26073354482650757,"# per 1,000 pop",5093,294
Arkansas,Monroe,0.3704618513584137,"# per 1,000 pop",5095,300
Arkansas,Montgomery,0.21283388137817383,"# per 1,000 pop",5097,304
Arkansas,Nevada,0.11101243644952774,"# per 1,000 pop",5099,307
