State,County,National School Lunch Program participants (% children) 2012 (PCT_NSLP12),Units,FIPS,FID
Arkansas,Baxter,68.05999927825862,Percent,5005,54
Arkansas,Benton,68.05999927825862,Percent,5007,59
Arkansas,Boone,68.05999927825862,Percent,5009,62
Arkansas,Bradley,68.05999927825862,Percent,5011,68
Arkansas,Calhoun,68.05999927825862,Percent,5013,72
Arkansas,Carroll,68.05999927825862,Percent,5015,74
Arkansas,Chicot,68.05999927825862,Percent,5017,77
Arkansas,Clark,68.05999927825862,Percent,5019,86
Arkansas,Clay,68.05999927825862,Percent,5021,93
Arkansas,Cleburne,68.05999927825862,Percent,5023,97
Arkansas,Cleveland,68.05999927825862,Percent,5025,103
Arkansas,Columbia,68.05999927825862,Percent,5027,107
Arkansas,Conway,68.05999927825862,Percent,5029,109
Arkansas,Craighead,68.05999927825862,Percent,5031,114
Arkansas,Crawford,68.05999927825862,Percent,5033,115
Arkansas,Crittenden,68.05999927825862,Percent,5035,119
Arkansas,Cross,68.05999927825862,Percent,5037,124
Arkansas,Dallas,68.05999927825862,Percent,5039,128
Arkansas,Desha,68.05999927825862,Percent,5041,130
Arkansas,Drew,68.05999927825862,Percent,5043,136
Arkansas,Faulkner,68.05999927825862,Percent,5045,141
Arkansas,Franklin,68.05999927825862,Percent,5047,144
Arkansas,Fulton,68.05999927825862,Percent,5049,146
Arkansas,Garland,68.05999927825862,Percent,5051,151
Arkansas,Grant,68.05999927825862,Percent,5053,155
Arkansas,Greene,68.05999927825862,Percent,5055,162
Arkansas,Hempstead,68.05999927825862,Percent,5057,172
Arkansas,Hot Spring,68.05999927825862,Percent,5059,184
Arkansas,Howard,68.05999927825862,Percent,5061,191
Arkansas,Independence,68.05999927825862,Percent,5063,200
Arkansas,Izard,68.05999927825862,Percent,5065,203
Arkansas,Jackson,68.05999927825862,Percent,5067,209
Arkansas,Jefferson,68.05999927825862,Percent,5069,213
Arkansas,Johnson,68.05999927825862,Percent,5071,218
Arkansas,Lafayette,68.05999927825862,Percent,5073,222
Arkansas,Lawrence,68.05999927825862,Percent,5075,230
Arkansas,Lee,68.05999927825862,Percent,5077,237
Arkansas,Lincoln,68.05999927825862,Percent,5079,244
Arkansas,Little River,68.05999927825862,Percent,5081,251
Arkansas,Logan,68.05999927825862,Percent,5083,258
Arkansas,Lonoke,68.05999927825862,Percent,5085,268
Arkansas,Madison,68.05999927825862,Percent,5087,277
Arkansas,Marion,68.05999927825862,Percent,5089,282
Arkansas,Miller,68.05999927825862,Percent,5091,287
Arkansas,Mississippi,68.05999927825862,Percent,5093,294
Arkansas,Monroe,68.05999927825862,Percent,5095,300
Arkansas,Montgomery,68.05999927825862,Percent,5097,304
Arkansas,Nevada,68.05999927825862,Percent,5099,307
Arkansas,Newton,68.05999927825862,Percent,5101,311
Arkansas,Ouachita,68.05999927825862,Percent,5103,316
Arkansas,Perry,68.05999927825862,Percent,5105,318
Arkansas,Phillips,68.05999927825862,Percent,5107,322
Arkansas,Pike,68.05999927825862,Percent,5109,327
Arkansas,Poinsett,68.05999927825862,Percent,5111,333
Arkansas,Polk,68.05999927825862,Percent,5113,337
Arkansas,Pope,68.05999927825862,Percent,5115,340
Arkansas,Prairie,68.05999927825862,Percent,5117,345
Arkansas,Pulaski,68.05999927825862,Percent,5119,350
Arkansas,Randolph,68.05999927825862,Percent,5121,353
Arkansas,St. Francis,68.05999927825862,Percent,5123,357
Arkansas,Saline,68.05999927825862,Percent,5125,360
Arkansas,Scott,68.05999927825862,Percent,5127,364
Arkansas,Searcy,68.05999927825862,Percent,5129,372
Arkansas,Sebastian,68.05999927825862,Percent,5131,378
Arkansas,Sevier,68.05999927825862,Percent,5133,390
Arkansas,Sharp,68.05999927825862,Percent,5135,394
Arkansas,Stone,68.05999927825862,Percent,5137,399
Arkansas,Union,68.05999927825862,Percent,5139,403
Arkansas,Van Buren,68.05999927825862,Percent,5141,407
Arkansas,Washington,68.05999927825862,Percent,5143,417
Arkansas,White,68.05999927825862,Percent,5145,428
Arkansas,Woodruff,68.05999927825862,Percent,5147,435
Arkansas,Yell,68.05999927825862,Percent,5149,438
California,Alameda,49.791957068295744,Percent,6001,457
California,Alpine,49.791957068295744,Percent,6003,461
California,Amador,49.791957068295744,Percent,6005,472
California,Butte,49.791957068295744,Percent,6007,486
California,Calaveras,49.791957068295744,Percent,6009,489
California,Colusa,49.791957068295744,Percent,6011,497
California,Contra Costa,49.791957068295744,Percent,6013,503
California,Del Norte,49.791957068295744,Percent,6015,511
California,El Dorado,49.791957068295744,Percent,6017,522
California,Fresno,49.791957068295744,Percent,6019,527
California,Glenn,49.791957068295744,Percent,6021,537
California,Humboldt,49.791957068295744,Percent,6023,551
California,Imperial,49.791957068295744,Percent,6025,557
California,Inyo,49.791957068295744,Percent,6027,562
California,Kern,49.791957068295744,Percent,6029,84
California,Kings,49.791957068295744,Percent,6031,94
California,Lake,49.791957068295744,Percent,6033,100
California,Lassen,49.791957068295744,Percent,6035,104
California,Los Angeles,49.791957068295744,Percent,6037,139
California,Madera,49.791957068295744,Percent,6039,153
California,Marin,49.791957068295744,Percent,6041,168
California,Mariposa,49.791957068295744,Percent,6043,178
California,Mendocino,49.791957068295744,Percent,6045,190
California,Merced,49.791957068295744,Percent,6047,204
California,Modoc,49.791957068295744,Percent,6049,207
California,Mono,49.791957068295744,Percent,6051,214
California,Monterey,49.791957068295744,Percent,6053,228
California,Napa,49.791957068295744,Percent,6055,236
California,Nevada,49.791957068295744,Percent,6057,243
California,Orange,49.791957068295744,Percent,6059,257
California,Placer,49.791957068295744,Percent,6061,266
California,Plumas,49.791957068295744,Percent,6063,275
California,Riverside,49.791957068295744,Percent,6065,281
California,Sacramento,49.791957068295744,Percent,6067,289
California,San Benito,49.791957068295744,Percent,6069,295
California,San Bernardino,49.791957068295744,Percent,6071,302
California,San Diego,49.791957068295744,Percent,6073,315
California,San Francisco,49.791957068295744,Percent,6075,331
California,San Joaquin,49.791957068295744,Percent,6077,339
California,San Luis Obispo,49.791957068295744,Percent,6079,351
California,San Mateo,49.791957068295744,Percent,6081,368
California,Santa Barbara,49.791957068295744,Percent,6083,391
California,Santa Clara,49.791957068295744,Percent,6085,406
California,Santa Cruz,49.791957068295744,Percent,6087,415
California,Shasta,49.791957068295744,Percent,6089,431
California,Sierra,49.791957068295744,Percent,6091,439
California,Siskiyou,49.791957068295744,Percent,6093,446
California,Solano,49.791957068295744,Percent,6095,453
California,Sonoma,49.791957068295744,Percent,6097,463
California,Stanislaus,49.791957068295744,Percent,6099,473
California,Sutter,49.791957068295744,Percent,6101,483
California,Tehama,49.791957068295744,Percent,6103,492
California,Trinity,49.791957068295744,Percent,6105,500
California,Tulare,49.791957068295744,Percent,6107,501
California,Tuolumne,49.791957068295744,Percent,6109,513
California,Ventura,49.791957068295744,Percent,6111,521
California,Yolo,49.791957068295744,Percent,6113,525
California,Yuba,49.791957068295744,Percent,6115,541
Colorado,Adams,44.34082798339872,Percent,8001,545
Colorado,Alamosa,44.34082798339872,Percent,8003,549
Colorado,Arapahoe,44.34082798339872,Percent,8005,558
Colorado,Archuleta,44.34082798339872,Percent,8007,560
Colorado,Baca,44.34082798339872,Percent,8009,563
Colorado,Bent,44.34082798339872,Percent,8011,564
Colorado,Boulder,44.34082798339872,Percent,8013,570
Colorado,Broomfield,44.34082798339872,Percent,8014,577
Colorado,Chaffee,44.34082798339872,Percent,8015,582
Colorado,Cheyenne,44.34082798339872,Percent,8017,587
