State,County,Low income & low access to store (%) 2010 (PCT_LACCESS_LOWI10),Units,FIPS,FID
Arkansas,Ashley,11.295935625215302,Percent,5003,50
Arkansas,Baxter,5.417412457135957,Percent,5005,54
Arkansas,Benton,6.337604080438106,Percent,5007,59
Arkansas,Boone,10.75854711505753,Percent,5009,62
Arkansas,Bradley,4.695199341664424,Percent,5011,68
Arkansas,Calhoun,31.882145474192065,Percent,5013,72
Arkansas,Carroll,4.054455867199045,Percent,5015,74
Arkansas,Chicot,2.9488222745699493,Percent,5017,77
Arkansas,Clark,3.9120268310087103,Percent,5019,86
Arkansas,Clay,5.026389121019536,Percent,5021,93
Arkansas,Cleburne,4.828485801481441,Percent,5023,97
Arkansas,Cleveland,8.802406468211739,Percent,5025,103
Arkansas,Columbia,7.383176757441552,Percent,5027,107
Arkansas,Conway,9.387720081095896,Percent,5029,109
Arkansas,Craighead,10.299671912498939,Percent,5031,114
Arkansas,Crawford,9.61216870350289,Percent,5033,115
Arkansas,Crittenden,4.3933260868378845,Percent,5035,119
Arkansas,Cross,7.9143439719895365,Percent,5037,124
Arkansas,Dallas,9.761683868084772,Percent,5039,128
Arkansas,Desha,15.900870813520296,Percent,5041,130
Arkansas,Drew,7.395063376220433,Percent,5043,136
Arkansas,Faulkner,9.075142413303515,Percent,5045,141
Arkansas,Franklin,5.560227611628579,Percent,5047,144
Arkansas,Fulton,9.298290460522908,Percent,5049,146
Arkansas,Garland,11.528254532615282,Percent,5051,151
Arkansas,Grant,4.044513280357844,Percent,5053,155
Arkansas,Greene,8.26647109906322,Percent,5055,162
Arkansas,Hempstead,10.5990308997244,Percent,5057,172
Arkansas,Hot Spring,8.63914138970018,Percent,5059,184
Arkansas,Howard,7.332938356844296,Percent,5061,191
Arkansas,Independence,7.765735892649958,Percent,5063,200
Arkansas,Izard,2.6508893576883032,Percent,5065,203
Arkansas,Jackson,8.555724861060565,Percent,5067,209
Arkansas,Jefferson,6.8680469517693545,Percent,5069,213
Arkansas,Johnson,4.363783918084925,Percent,5071,218
Arkansas,Lafayette,8.877386186942694,Percent,5073,222
Arkansas,Lawrence,13.092812551055355,Percent,5075,230
Arkansas,Lee,15.84247310732425,Percent,5077,237
Arkansas,Lincoln,20.631812683921677,Percent,5079,244
Arkansas,Little River,3.5518669004706855,Percent,5081,251
Arkansas,Logan,6.836103118108889,Percent,5083,258
Arkansas,Lonoke,6.34203180934433,Percent,5085,268
Arkansas,Madison,11.980011281340333,Percent,5087,277
Arkansas,Marion,5.500449333075986,Percent,5089,282
Arkansas,Miller,9.878698285993373,Percent,5091,287
Arkansas,Mississippi,6.876866991962026,Percent,5093,294
Arkansas,Monroe,6.246559007452718,Percent,5095,300
Arkansas,Montgomery,9.857647806307842,Percent,5097,304
Arkansas,Nevada,10.851664956109069,Percent,5099,307
Arkansas,Newton,15.177458174618847,Percent,5101,311
Arkansas,Ouachita,15.431004467255857,Percent,5103,316
Arkansas,Perry,5.169892861343878,Percent,5105,318
Arkansas,Phillips,24.055400534224663,Percent,5107,322
Arkansas,Pike,9.118749329422371,Percent,5109,327
Arkansas,Poinsett,5.482350351509539,Percent,5111,333
Arkansas,Polk,18.84879621538631,Percent,5113,337
Arkansas,Pope,5.908888867672264,Percent,5115,340
Arkansas,Prairie,1.6030508922195066,Percent,5117,345
Arkansas,Pulaski,10.11942941701229,Percent,5119,350
Arkansas,Randolph,14.172658787258333,Percent,5121,353
Arkansas,St. Francis,14.666874338948013,Percent,5123,357
Arkansas,Saline,6.154961371620232,Percent,5125,360
Arkansas,Scott,7.411013477241102,Percent,5127,364
Arkansas,Searcy,19.128490329937765,Percent,5129,372
Arkansas,Sebastian,5.2942796008584905,Percent,5131,378
Arkansas,Sevier,19.856970795545962,Percent,5133,390
Arkansas,Sharp,8.833366202334743,Percent,5135,394
Arkansas,Stone,12.359567105258835,Percent,5137,399
Arkansas,Union,11.18941594388208,Percent,5139,403
Arkansas,Van Buren,6.487081966450823,Percent,5141,407
Arkansas,Washington,7.299587997357005,Percent,5143,417
Arkansas,White,5.799070862253581,Percent,5145,428
Arkansas,Woodruff,2.4578336546614463,Percent,5147,435
Arkansas,Yell,3.4823670659864283,Percent,5149,438
California,Alameda,1.6041283834354363,Percent,6001,457
California,Alpine,12.988234210225446,Percent,6003,461
California,Amador,3.150091993240267,Percent,6005,472
California,Butte,7.219096293896546,Percent,6007,486
California,Calaveras,2.147078151470328,Percent,6009,489
California,Colusa,2.682317730746038,Percent,6011,497
California,Contra Costa,2.7035880115957007,Percent,6013,503
California,Del Norte,10.217322437568228,Percent,6015,511
California,El Dorado,4.7528178279527395,Percent,6017,522
California,Fresno,5.452083782743715,Percent,6019,527
California,Glenn,5.338263352642451,Percent,6021,537
California,Humboldt,6.502850073742629,Percent,6023,551
California,Imperial,8.04700348996058,Percent,6025,557
California,Inyo,10.77763595701294,Percent,6027,562
California,Kern,5.404176247450153,Percent,6029,84
California,Kings,5.640467801076545,Percent,6031,94
California,Lake,7.7333895985471885,Percent,6033,100
California,Lassen,29.7211497002903,Percent,6035,104
California,Los Angeles,1.4194373143387478,Percent,6037,139
California,Madera,7.533121558259438,Percent,6039,153
California,Marin,1.9766009182367188,Percent,6041,168
California,Mariposa,5.920276932377568,Percent,6043,178
California,Mendocino,7.483601001042259,Percent,6045,190
California,Merced,5.504610525983862,Percent,6047,204
California,Modoc,14.99259641795251,Percent,6049,207
California,Mono,8.151813032759048,Percent,6051,214
California,Monterey,3.1179967115721454,Percent,6053,228
California,Napa,2.644000259102371,Percent,6055,236
California,Nevada,5.342882286195587,Percent,6057,243
California,Orange,0.958060706381229,Percent,6059,257
California,Placer,2.2393955665572767,Percent,6061,266
California,Plumas,1.7841065009327437,Percent,6063,275
California,Riverside,6.178630951014253,Percent,6065,281
California,Sacramento,3.660329803322167,Percent,6067,289
California,San Benito,2.976676622404965,Percent,6069,295
California,San Bernardino,7.462555844367904,Percent,6071,302
California,San Diego,2.7273860467904023,Percent,6073,315
California,San Francisco,1.3772819302227302,Percent,6075,331
California,San Joaquin,3.5830415126474597,Percent,6077,339
California,San Luis Obispo,3.989261325722286,Percent,6079,351
California,San Mateo,1.5337128354547072,Percent,6081,368
California,Santa Barbara,2.957704950089456,Percent,6083,391
California,Santa Clara,1.2660099961217575,Percent,6085,406
California,Santa Cruz,4.03508569191366,Percent,6087,415
California,Shasta,7.412959860116521,Percent,6089,431
California,Sierra,21.442735734925094,Percent,6091,439
California,Siskiyou,8.444224913767574,Percent,6093,446
California,Solano,4.068232376766132,Percent,6095,453
California,Sonoma,3.8230314714243883,Percent,6097,463
California,Stanislaus,4.823790834363295,Percent,6099,473
California,Sutter,10.438959672874507,Percent,6101,483
California,Tehama,8.129370901058602,Percent,6103,492
California,Trinity,6.83298918430766,Percent,6105,500
California,Tulare,8.055912989967162,Percent,6107,501
California,Tuolumne,8.69000896906972,Percent,6109,513
California,Ventura,2.4686806964889385,Percent,6111,521
California,Yolo,2.3453707662658614,Percent,6113,525
California,Yuba,11.840800232384298,Percent,6115,541
Colorado,Adams,4.530165917941319,Percent,8001,545
Colorado,Alamosa,2.7146425642240595,Percent,8003,549
Colorado,Arapahoe,3.5388218500914155,Percent,8005,558
Colorado,Archuleta,7.740627042537571,Percent,8007,560
Colorado,Baca,8.348911683371595,Percent,8009,563
Colorado,Bent,12.655470281088183,Percent,8011,564
Colorado,Boulder,2.842224929111839,Percent,8013,570
Colorado,Broomfield,1.2809184864363579,Percent,8014,577
Colorado,Chaffee,1.8575576760675838,Percent,8015,582
Colorado,Cheyenne,11.55432960025414,Percent,8017,587
Colorado,Clear Creek,2.375325375246743,Percent,8019,591
Colorado,Conejos,2.2059772546030643,Percent,8021,596
Colorado,Costilla,55.3490597109231,Percent,8023,599
Colorado,Crowley,29.969303365571527,Percent,8025,605
Colorado,Custer,8.158253554929072,Percent,8027,610
Colorado,Delta,1.6631966186788483,Percent,8029,617
Colorado,Denver,6.376195427380056,Percent,8031,628
Colorado,Dolores,8.649281924754458,Percent,8033,636
Colorado,Douglas,1.593316070101711,Percent,8035,644
Colorado,Eagle,4.227529943944192,Percent,8037,648
Colorado,Elbert,6.536306181815905,Percent,8039,655
Colorado,El Paso,8.65383857793539,Percent,8041,661
Colorado,Fremont,10.356164314609325,Percent,8043,664
Colorado,Garfield,4.806646289251981,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,4.283009631507431,Percent,8049,677
Colorado,Gunnison,2.1378800334903096,Percent,8051,682
Colorado,Hinsdale,26.789306649159194,Percent,8053,688
Colorado,Huerfano,11.228410973041454,Percent,8055,693
Colorado,Jackson,8.090996465051004,Percent,8057,701
Colorado,Jefferson,4.306724209867214,Percent,8059,706
Colorado,Kiowa,35.63486131665093,Percent,8061,711
Colorado,Kit Carson,8.403673530003447,Percent,8063,716
Colorado,Lake,26.537234725376607,Percent,8065,721
Colorado,La Plata,4.443089986244419,Percent,8067,727
Colorado,Larimer,5.108574169500584,Percent,8069,734
