State,County,Agritourism receipts 2012 (AGRITRSM_RCT12),Units,FIPS,FID
Alabama,Autauga,146000.0,Dollars,1001.0,5
Alabama,Baldwin,204000.0,Dollars,1003.0,20
Alabama,Barbour,304000.0,Dollars,1005.0,25
Alabama,Bibb,21000.0,Dollars,1007.0,29
Alabama,Blount,30000.0,Dollars,1009.0,33
Alabama,Bullock,466000.0,Dollars,1011.0,37
Alabama,Butler,73000.0,Dollars,1013.0,39
Alabama,Calhoun,203000.0,Dollars,1015.0,43
Alabama,Chambers,26000.0,Dollars,1017.0,47
Alabama,Cherokee,15000.0,Dollars,1019.0,51
Alabama,Chilton,14000.0,Dollars,1021.0,56
Alabama,Choctaw,nan,Dollars,1023.0,58
Alabama,Clarke,17000.0,Dollars,1025.0,61
Alabama,Clay,2000.0,Dollars,1027.0,65
Alabama,Cleburne,80000.0,Dollars,1029.0,67
Alabama,Coffee,44000.0,Dollars,1031.0,70
Alabama,Colbert,1000.0,Dollars,1033.0,73
Alabama,Conecuh,224000.0,Dollars,1035.0,80
Alabama,Coosa,87000.0,Dollars,1037.0,82
Alabama,Covington,13000.0,Dollars,1039.0,88
Alabama,Crenshaw,nan,Dollars,1041.0,90
Alabama,Cullman,104000.0,Dollars,1043.0,98
Alabama,Dale,nan,Dollars,1045.0,101
Alabama,Dallas,456000.0,Dollars,1047.0,110
Alabama,DeKalb,nan,Dollars,1049.0,112
Alabama,Elmore,nan,Dollars,1051.0,118
Alabama,Escambia,nan,Dollars,1053.0,122
Alabama,Etowah,87000.0,Dollars,1055.0,131
Alabama,Fayette,nan,Dollars,1057.0,134
Alabama,Franklin,nan,Dollars,1059.0,138
Alabama,Geneva,24000.0,Dollars,1061.0,140
Alabama,Greene,309000.0,Dollars,1063.0,148
Alabama,Hale,42000.0,Dollars,1065.0,150
Alabama,Henry,87000.0,Dollars,1067.0,158
Alabama,Houston,325000.0,Dollars,1069.0,160
Alabama,Jackson,92000.0,Dollars,1071.0,164
Alabama,Jefferson,19000.0,Dollars,1073.0,171
Alabama,Lamar,65000.0,Dollars,1075.0,174
Alabama,Lauderdale,nan,Dollars,1077.0,176
Alabama,Lawrence,23000.0,Dollars,1079.0,181
Alabama,Lee,214000.0,Dollars,1081.0,187
Alabama,Limestone,nan,Dollars,1083.0,197
Alabama,Lowndes,205000.0,Dollars,1085.0,205
Alabama,Macon,382000.0,Dollars,1087.0,210
Alabama,Madison,nan,Dollars,1089.0,217
Alabama,Marengo,167000.0,Dollars,1091.0,220
Alabama,Marion,16000.0,Dollars,1093.0,224
Alabama,Marshall,89000.0,Dollars,1095.0,231
Alabama,Mobile,nan,Dollars,1097.0,240
Alabama,Monroe,nan,Dollars,1099.0,250
Alabama,Montgomery,235000.0,Dollars,1101.0,256
