State,County,SNAP benefits per capita 2012 (PC_SNAPBEN12),Units,FIPS,FID
Alabama,Autauga,18.471487045288086,Dollars/capita,1001,5
Alabama,Baldwin,15.890722274780273,Dollars/capita,1003,20
Alabama,Barbour,31.116222381591797,Dollars/capita,1005,25
Alabama,Bibb,22.435049057006836,Dollars/capita,1007,29
Alabama,Blount,20.27230453491211,Dollars/capita,1009,33
Alabama,Bullock,33.89244842529297,Dollars/capita,1011,37
Alabama,Butler,32.66789245605469,Dollars/capita,1013,39
Alabama,Calhoun,29.975231170654297,Dollars/capita,1015,43
Alabama,Chambers,28.581974029541016,Dollars/capita,1017,47
Alabama,Cherokee,27.422502517700195,Dollars/capita,1019,51
Alabama,Chilton,28.1759586334228,Dollars/capita,1021,56
Alabama,Choctaw,31.942089080810547,Dollars/capita,1023,58
Alabama,Clarke,33.350563049316406,Dollars/capita,1025,61
Alabama,Clay,19.744678497314453,Dollars/capita,1027,65
Alabama,Cleburne,23.725568771362305,Dollars/capita,1029,67
Alabama,Coffee,16.165163040161133,Dollars/capita,1031,70
Alabama,Colbert,22.532634735107422,Dollars/capita,1033,73
Alabama,Conecuh,39.97648620605469,Dollars/capita,1035,80
Alabama,Coosa,23.28809356689453,Dollars/capita,1037,82
Alabama,Covington,27.797616958618164,Dollars/capita,1039,88
Alabama,Crenshaw,27.707914352416992,Dollars/capita,1041,90
Alabama,Cullman,18.9764347076416,Dollars/capita,1043,98
Alabama,Dale,27.477279663085938,Dollars/capita,1045,101
Alabama,Dallas,53.308406829833984,Dollars/capita,1047,110
Alabama,DeKalb,26.102746963500977,Dollars/capita,1049,112
Alabama,Elmore,20.399110794067383,Dollars/capita,1051,118
Alabama,Escambia,34.0209846496582,Dollars/capita,1053,122
Alabama,Etowah,21.875429153442383,Dollars/capita,1055,131
Alabama,Fayette,28.505664825439453,Dollars/capita,1057,134
Alabama,Franklin,27.320634841918945,Dollars/capita,1059,138
Alabama,Geneva,29.046592712402344,Dollars/capita,1061,140
Alabama,Greene,49.04729461669922,Dollars/capita,1063,148
Alabama,Hale,34.04948043823242,Dollars/capita,1065,150
Alabama,Henry,24.708087921142578,Dollars/capita,1067,158
Alabama,Houston,24.835851669311523,Dollars/capita,1069,160
Alabama,Jackson,22.5414981842041,Dollars/capita,1071,164
Alabama,Jefferson,24.61500358581543,Dollars/capita,1073,171
Alabama,Lamar,26.254825592041016,Dollars/capita,1075,174
Alabama,Lauderdale,18.50922393798828,Dollars/capita,1077,176
Alabama,Lawrence,24.567371368408203,Dollars/capita,1079,181
Alabama,Lee,15.91007137298584,Dollars/capita,1081,187
Alabama,Limestone,18.053869247436523,Dollars/capita,1083,197
Alabama,Lowndes,52.208187103271484,Dollars/capita,1085,205
Alabama,Macon,52.888736724853516,Dollars/capita,1087,210
Alabama,Madison,14.795721054077148,Dollars/capita,1089,217
Alabama,Marengo,32.40422439575195,Dollars/capita,1091,220
Alabama,Marion,25.83934783935547,Dollars/capita,1093,224
Alabama,Marshall,23.25748062133789,Dollars/capita,1095,231
Alabama,Mobile,31.458189010620117,Dollars/capita,1097,240
Alabama,Monroe,30.843700408935547,Dollars/capita,1099,250
Alabama,Montgomery,32.351051330566406,Dollars/capita,1101,256
Alabama,Morgan,19.231035232543945,Dollars/capita,1103,262
Alabama,Perry,58.87503433227539,Dollars/capita,1105,264
Alabama,Pickens,27.537582397460938,Dollars/capita,1107,273
Alabama,Pike,31.058935165405273,Dollars/capita,1109,279
Alabama,Randolph,33.73350524902344,Dollars/capita,1111,284
Alabama,Russell,36.66330337524414,Dollars/capita,1113,288
Alabama,St. Clair,19.745023727416992,Dollars/capita,1115,292
Alabama,Shelby,9.558759689331055,Dollars/capita,1117,298
Alabama,Sumter,43.65877151489258,Dollars/capita,1119,303
Alabama,Talladega,27.776424407958984,Dollars/capita,1121,306
Alabama,Tallapoosa,27.901639938354492,Dollars/capita,1123,308
Alabama,Tuscaloosa,18.678529739379883,Dollars/capita,1125,313
Alabama,Walker,24.97452735900879,Dollars/capita,1127,317
Alabama,Washington,24.786075592041016,Dollars/capita,1129,319
Alabama,Wilcox,56.26805877685547,Dollars/capita,1131,326
Alabama,Winston,19.977121353149414,Dollars/capita,1133,332
Alaska,Aleutians East,11.475988388061523,Dollars/capita,2013,346
Alaska,Aleutians West,6.9139275550842285,Dollars/capita,2016,381
Alaska,Anchorage,15.65752124786377,Dollars/capita,2020,400
Alaska,Bethel,91.87622833251953,Dollars/capita,2050,411
Alaska,Bristol Bay,17.006803512573242,Dollars/capita,2060,423
