State,County,SNAP-authorized stores per 1000 pop 2012 (SNAPSPTH12),Units,FIPS,FID
Alabama,Autauga,0.6740041551080207,"# per 1,000 pop",1001,5
Alabama,Baldwin,0.7250554711113442,"# per 1,000 pop",1003,20
Alabama,Barbour,1.2805901743808439,"# per 1,000 pop",1005,25
Alabama,Bibb,0.7191220073461079,"# per 1,000 pop",1007,29
Alabama,Blount,0.6571438453290908,"# per 1,000 pop",1009,33
Alabama,Bullock,1.3684679523900452,"# per 1,000 pop",1011,37
Alabama,Butler,1.3419018072585809,"# per 1,000 pop",1013,39
Alabama,Calhoun,1.1758002546264719,"# per 1,000 pop",1015,43
Alabama,Chambers,1.005460310004697,"# per 1,000 pop",1017,47
Alabama,Cherokee,1.191345451750509,"# per 1,000 pop",1019,51
Alabama,Chilton,1.0668887925329194,"# per 1,000 pop",1021,56
Alabama,Choctaw,1.1980733025257344,"# per 1,000 pop",1023,58
Alabama,Clarke,1.5963859412053043,"# per 1,000 pop",1025,61
Alabama,Clay,0.7567299342513336,"# per 1,000 pop",1027,65
Alabama,Cleburne,1.1236965120460265,"# per 1,000 pop",1029,67
Alabama,Coffee,0.7316787637555607,"# per 1,000 pop",1031,70
Alabama,Colbert,1.0239503361128457,"# per 1,000 pop",1033,73
Alabama,Conecuh,1.7525614359448425,"# per 1,000 pop",1035,80
Alabama,Coosa,0.4559547692868868,"# per 1,000 pop",1037,82
Alabama,Covington,1.2844157554999343,"# per 1,000 pop",1039,88
Alabama,Crenshaw,1.4379038557125612,"# per 1,000 pop",1041,90
Alabama,Cullman,0.9634510193933367,"# per 1,000 pop",1043,98
Alabama,Dale,0.72522665397933,"# per 1,000 pop",1045,101
Alabama,Dallas,1.2967369665297996,"# per 1,000 pop",1047,110
Alabama,DeKalb,1.1794222472331646,"# per 1,000 pop",1049,112
Alabama,Elmore,0.815463418869141,"# per 1,000 pop",1051,118
Alabama,Escambia,1.112017687003211,"# per 1,000 pop",1053,122
Alabama,Etowah,0.9675070886657985,"# per 1,000 pop",1055,131
Alabama,Fayette,0.745843883098785,"# per 1,000 pop",1057,134
Alabama,Franklin,0.9681685085482193,"# per 1,000 pop",1059,138
Alabama,Geneva,0.8602230391246768,"# per 1,000 pop",1061,140
Alabama,Greene,1.7087276550998949,"# per 1,000 pop",1063,148
Alabama,Hale,0.9802010224417295,"# per 1,000 pop",1065,150
Alabama,Henry,1.0171419756657218,"# per 1,000 pop",1067,158
Alabama,Houston,1.170190131718922,"# per 1,000 pop",1069,160
Alabama,Jackson,1.0389357274436208,"# per 1,000 pop",1071,164
Alabama,Jefferson,0.8357209270378635,"# per 1,000 pop",1073,171
Alabama,Lamar,0.8649507913130887,"# per 1,000 pop",1075,174
Alabama,Lauderdale,0.8716762839215347,"# per 1,000 pop",1077,176
Alabama,Lawrence,0.8028449277932107,"# per 1,000 pop",1079,181
Alabama,Lee,0.5981605854616984,"# per 1,000 pop",1081,187
Alabama,Limestone,0.7082772415786313,"# per 1,000 pop",1083,197
Alabama,Lowndes,1.5351079180866416,"# per 1,000 pop",1085,205
Alabama,Macon,0.6330654979303628,"# per 1,000 pop",1087,210
Alabama,Madison,0.6633535424196494,"# per 1,000 pop",1089,217
Alabama,Marengo,1.254023495580282,"# per 1,000 pop",1091,220
Alabama,Marion,0.7529044525780108,"# per 1,000 pop",1093,224
Alabama,Marshall,0.940814833572494,"# per 1,000 pop",1095,231
Alabama,Mobile,1.119335678301316,"# per 1,000 pop",1097,240
Alabama,Monroe,1.1319057310562488,"# per 1,000 pop",1099,250
Alabama,Montgomery,0.8476392829572729,"# per 1,000 pop",1101,256
Alabama,Morgan,0.8333679416365576,"# per 1,000 pop",1103,262
Alabama,Perry,1.841665848148512,"# per 1,000 pop",1105,264
Alabama,Pickens,1.2325002147212916,"# per 1,000 pop",1107,273
Alabama,Pike,1.2104956502521447,"# per 1,000 pop",1109,279
Alabama,Randolph,0.8011760382212422,"# per 1,000 pop",1111,284
Alabama,Russell,0.9137553326415311,"# per 1,000 pop",1113,288
Alabama,St. Clair,0.7723562928462211,"# per 1,000 pop",1115,292
Alabama,Shelby,0.5047086789986445,"# per 1,000 pop",1117,298
Alabama,Sumter,1.2598992080633553,"# per 1,000 pop",1119,303
Alabama,Talladega,1.091582886915682,"# per 1,000 pop",1121,306
Alabama,Tallapoosa,0.8360053115688562,"# per 1,000 pop",1123,308
Alabama,Tuscaloosa,0.766212142574204,"# per 1,000 pop",1125,313
Alabama,Walker,0.942550953121618,"# per 1,000 pop",1127,317
Alabama,Washington,1.0131120073255793,"# per 1,000 pop",1129,319
Alabama,Wilcox,1.8443997317236758,"# per 1,000 pop",1131,326
Alabama,Winston,1.0542835020186936,"# per 1,000 pop",1133,332
Alaska,Aleutians East,1.5817779183802594,"# per 1,000 pop",2013,346
Alaska,Aleutians West,0.9765038158764499,"# per 1,000 pop",2016,381
Alaska,Anchorage,0.38930377415357825,"# per 1,000 pop",2020,400
