State,County,Students eligible for free lunch (%) 2010 (PCT_FREE_LUNCH10),Units,FIPS,FID
Alabama,Autauga,36.11672051696284,Percent,1001,5
Alabama,Baldwin,36.76193857624712,Percent,1003,20
Alabama,Barbour,66.38896120801874,Percent,1005,25
Alabama,Bibb,53.502277904328025,Percent,1007,29
Alabama,Blount,43.93136026221922,Percent,1009,33
Alabama,Bullock,90.12032932235591,Percent,1011,37
Alabama,Butler,67.87410926365796,Percent,1013,39
Alabama,Calhoun,50.98239209791712,Percent,1015,43
Alabama,Chambers,65.1300962917435,Percent,1017,47
Alabama,Cherokee,50.82087723597157,Percent,1019,51
Alabama,Chilton,52.30945412902405,Percent,1021,56
Alabama,Choctaw,68.34369700395703,Percent,1023,58
Alabama,Clarke,60.064935064935064,Percent,1025,61
Alabama,Clay,52.42013552758954,Percent,1027,65
Alabama,Cleburne,48.55751217684526,Percent,1029,67
Alabama,Coffee,36.33523645373263,Percent,1031,70
Alabama,Colbert,44.412811387900355,Percent,1033,73
Alabama,Conecuh,81.27559976594499,Percent,1035,80
Alabama,Coosa,64.99608457321848,Percent,1037,82
Alabama,Covington,47.01964133219471,Percent,1039,88
Alabama,Crenshaw,50.369725967812094,Percent,1041,90
Alabama,Cullman,44.75885249745955,Percent,1043,98
Alabama,Dale,51.878546235239995,Percent,1045,101
Alabama,Dallas,77.0073447030997,Percent,1047,110
Alabama,DeKalb,58.71183605186114,Percent,1049,112
Alabama,Elmore,41.046619326952765,Percent,1051,118
Alabama,Escambia,61.70940170940171,Percent,1053,122
Alabama,Etowah,48.66143693188893,Percent,1055,131
Alabama,Fayette,48.2815734989648,Percent,1057,134
Alabama,Franklin,56.986823855755894,Percent,1059,138
Alabama,Geneva,54.08394068861523,Percent,1061,140
Alabama,Greene,87.27544910179641,Percent,1063,148
Alabama,Hale,67.64592191727871,Percent,1065,150
Alabama,Henry,53.35664335664335,Percent,1067,158
Alabama,Houston,53.645467882885754,Percent,1069,160
Alabama,Jackson,50.0,Percent,1071,164
Alabama,Jefferson,42.51865614504323,Percent,1073,171
Alabama,Lamar,50.10570824524313,Percent,1075,174
Alabama,Lauderdale,41.55695913553002,Percent,1077,176
Alabama,Lawrence,50.25871766029246,Percent,1079,181
Alabama,Lee,39.77475953405191,Percent,1081,187
Alabama,Limestone,39.22536389493057,Percent,1083,197
Alabama,Lowndes,90.77172153264975,Percent,1085,205
Alabama,Macon,98.06009889691897,Percent,1087,210
Alabama,Madison,32.126497709679356,Percent,1089,217
Alabama,Marengo,61.985750402206385,Percent,1091,220
Alabama,Marion,47.643131701395916,Percent,1093,224
Alabama,Marshall,48.562451834726424,Percent,1095,231
Alabama,Mobile,62.85339113100983,Percent,1097,240
Alabama,Monroe,60.888215997981334,Percent,1099,250
Alabama,Montgomery,64.53724891939994,Percent,1101,256
