State,County,WIC redemptions per WIC-authorized stores 2011 (REDEMP_WICS11),Units,FIPS,FID
Arizona,Yavapai,97926.5625,Dollars/store,4025,35
Arizona,Yuma,217506.578125,Dollars/store,4027,42
Arkansas,Arkansas,111842.6796875,Dollars/store,5001,46
Arkansas,Ashley,97133.46875,Dollars/store,5003,50
Arkansas,Baxter,136238.484375,Dollars/store,5005,54
Arkansas,Benton,174442.46875,Dollars/store,5007,59
Arkansas,Boone,212978.609375,Dollars/store,5009,62
Arkansas,Bradley,187000.34375,Dollars/store,5011,68
Arkansas,Calhoun,47267.41015625,Dollars/store,5013,72
Arkansas,Carroll,106486.328125,Dollars/store,5015,74
Arkansas,Chicot,110595.8984375,Dollars/store,5017,77
Arkansas,Clark,119881.6953125,Dollars/store,5019,86
Arkansas,Clay,122751.125,Dollars/store,5021,93
Arkansas,Cleburne,45507.5625,Dollars/store,5023,97
Arkansas,Cleveland,96893.8828125,Dollars/store,5025,103
Arkansas,Columbia,95770.28125,Dollars/store,5027,107
Arkansas,Conway,170068.21875,Dollars/store,5029,109
Arkansas,Craighead,144046.390625,Dollars/store,5031,114
Arkansas,Crawford,151770.703125,Dollars/store,5033,115
Arkansas,Crittenden,141939.75,Dollars/store,5035,119
Arkansas,Cross,110210.8125,Dollars/store,5037,124
Arkansas,Dallas,256271.234375,Dollars/store,5039,128
Arkansas,Desha,182569.796875,Dollars/store,5041,130
Arkansas,Drew,277460.65625,Dollars/store,5043,136
Arkansas,Faulkner,176945.65625,Dollars/store,5045,141
Arkansas,Franklin,168498.296875,Dollars/store,5047,144
Arkansas,Fulton,127559.3828125,Dollars/store,5049,146
Arkansas,Garland,154824.8125,Dollars/store,5051,151
Arkansas,Grant,182286.109375,Dollars/store,5053,155
Arkansas,Greene,277015.84375,Dollars/store,5055,162
Arkansas,Hempstead,209902.1875,Dollars/store,5057,172
Arkansas,Hot Spring,128256.515625,Dollars/store,5059,184
Arkansas,Howard,113659.8203125,Dollars/store,5061,191
Arkansas,Independence,169704.921875,Dollars/store,5063,200
Arkansas,Izard,49460.5234375,Dollars/store,5065,203
Arkansas,Jackson,72532.609375,Dollars/store,5067,209
Arkansas,Jefferson,213168.625,Dollars/store,5069,213
Arkansas,Johnson,444193.125,Dollars/store,5071,218
Arkansas,Lafayette,75181.4140625,Dollars/store,5073,222
Arkansas,Lawrence,77579.9140625,Dollars/store,5075,230
Arkansas,Lee,234675.390625,Dollars/store,5077,237
Arkansas,Lincoln,228491.421875,Dollars/store,5079,244
Arkansas,Little River,87889.21875,Dollars/store,5081,251
Arkansas,Logan,269681.8125,Dollars/store,5083,258
Arkansas,Lonoke,136958.46875,Dollars/store,5085,268
Arkansas,Madison,109073.4140625,Dollars/store,5087,277
Arkansas,Marion,75007.9296875,Dollars/store,5089,282
Arkansas,Miller,211439.640625,Dollars/store,5091,287
Arkansas,Mississippi,125373.6328125,Dollars/store,5093,294
Arkansas,Monroe,96147.3359375,Dollars/store,5095,300
Arkansas,Montgomery,41853.6953125,Dollars/store,5097,304
Arkansas,Nevada,138164.875,Dollars/store,5099,307
Arkansas,Newton,73386.296875,Dollars/store,5101,311
Arkansas,Ouachita,99327.5625,Dollars/store,5103,316
Arkansas,Perry,118322.4375,Dollars/store,5105,318
Arkansas,Phillips,158020.1875,Dollars/store,5107,322
Arkansas,Pike,85534.6953125,Dollars/store,5109,327
Arkansas,Poinsett,143437.5,Dollars/store,5111,333
Arkansas,Polk,118200.0625,Dollars/store,5113,337
Arkansas,Pope,190983.984375,Dollars/store,5115,340
Arkansas,Prairie,14421.04296875,Dollars/store,5117,345
Arkansas,Pulaski,184239.28125,Dollars/store,5119,350
Arkansas,Randolph,239136.375,Dollars/store,5121,353
Arkansas,St. Francis,149792.5625,Dollars/store,5123,357
Arkansas,Saline,169176.375,Dollars/store,5125,360
Arkansas,Scott,199127.015625,Dollars/store,5127,364
Arkansas,Searcy,73182.78125,Dollars/store,5129,372
Arkansas,Sebastian,245318.265625,Dollars/store,5131,378
Arkansas,Sevier,257326.15625,Dollars/store,5133,390
Arkansas,Sharp,107686.4140625,Dollars/store,5135,394
Arkansas,Stone,106573.8671875,Dollars/store,5137,399
Arkansas,Union,162015.53125,Dollars/store,5139,403
Arkansas,Van Buren,93968.9140625,Dollars/store,5141,407
Arkansas,Washington,176286.96875,Dollars/store,5143,417
Arkansas,White,130804.75,Dollars/store,5145,428
Arkansas,Woodruff,56475.44140625,Dollars/store,5147,435
Arkansas,Yell,210115.953125,Dollars/store,5149,438
California,Alameda,148067.796875,Dollars/store,6001,457
California,Alpine,0,Dollars/store,6003,461
California,Amador,45391.86328125,Dollars/store,6005,472
California,Butte,166392.8125,Dollars/store,6007,486
California,Calaveras,42555.421875,Dollars/store,6009,489
California,Colusa,107747.84375,Dollars/store,6011,497
California,Contra Costa,134051.203125,Dollars/store,6013,503
California,Del Norte,122277.8203125,Dollars/store,6015,511
California,El Dorado,96233.1640625,Dollars/store,6017,522
California,Fresno,158991.40625,Dollars/store,6019,527
California,Glenn,137192.46875,Dollars/store,6021,537
California,Humboldt,100736.2265625,Dollars/store,6023,551
California,Imperial,175651.125,Dollars/store,6025,557
California,Inyo,101920.6328125,Dollars/store,6027,562
California,Kern,168846.0,Dollars/store,6029,84
California,Kings,225998.78125,Dollars/store,6031,94
California,Lake,119372.375,Dollars/store,6033,100
California,Lassen,84507.40625,Dollars/store,6035,104
California,Los Angeles,220361.984375,Dollars/store,6037,139
California,Madera,214021.046875,Dollars/store,6039,153
California,Marin,98565.125,Dollars/store,6041,168
California,Mariposa,93199.5078125,Dollars/store,6043,178
California,Mendocino,105865.046875,Dollars/store,6045,190
California,Merced,175657.65625,Dollars/store,6047,204
California,Modoc,55467.7109375,Dollars/store,6049,207
California,Mono,95314.7578125,Dollars/store,6051,214
California,Monterey,172406.171875,Dollars/store,6053,228
California,Napa,128104.375,Dollars/store,6055,236
California,Nevada,89307.546875,Dollars/store,6057,243
California,Orange,158096.015625,Dollars/store,6059,257
California,Placer,79763.0625,Dollars/store,6061,266
California,Plumas,51489.2421875,Dollars/store,6063,275
California,Riverside,226208.109375,Dollars/store,6065,281
California,Sacramento,206907.40625,Dollars/store,6067,289
California,San Benito,183957.890625,Dollars/store,6069,295
California,San Bernardino,253021.359375,Dollars/store,6071,302
California,San Diego,165275.671875,Dollars/store,6073,315
California,San Francisco,120212.9453125,Dollars/store,6075,331
California,San Joaquin,211708.3125,Dollars/store,6077,339
California,San Luis Obispo,93023.7265625,Dollars/store,6079,351
California,San Mateo,145550.859375,Dollars/store,6081,368
California,Santa Barbara,224300.765625,Dollars/store,6083,391
California,Santa Clara,160034.0,Dollars/store,6085,406
California,Santa Cruz,249006.640625,Dollars/store,6087,415
California,Shasta,172227.921875,Dollars/store,6089,431
California,Sierra,29613.890625,Dollars/store,6091,439
California,Siskiyou,65641.859375,Dollars/store,6093,446
California,Solano,155016.09375,Dollars/store,6095,453
California,Sonoma,120396.6328125,Dollars/store,6097,463
California,Stanislaus,135625.796875,Dollars/store,6099,473
California,Sutter,219887.59375,Dollars/store,6101,483
California,Tehama,207431.859375,Dollars/store,6103,492
California,Trinity,69982.234375,Dollars/store,6105,500
California,Tulare,219587.90625,Dollars/store,6107,501
California,Tuolumne,93581.3125,Dollars/store,6109,513
California,Ventura,166332.09375,Dollars/store,6111,521
California,Yolo,120100.8203125,Dollars/store,6113,525
California,Yuba,111755.59375,Dollars/store,6115,541
Colorado,Adams,298347.71875,Dollars/store,8001,545
Colorado,Alamosa,172606.65625,Dollars/store,8003,549
Colorado,Arapahoe,195152.015625,Dollars/store,8005,558
Colorado,Archuleta,90404.90625,Dollars/store,8007,560
Colorado,Baca,29513.939453125,Dollars/store,8009,563
Colorado,Bent,77905.1328125,Dollars/store,8011,564
