State,County,Direct farm sales per capita 2007 (PC_DIRSALES07),Units,FIPS,FID
Arizona,Navajo,1.4215305769356663,Dollars,4017.0,17
Arizona,Pima,0.3264045596206175,Dollars,4019.0,21
Arizona,Pinal,0.8622547962923044,Dollars,4021.0,26
Arizona,Santa Cruz,0.9484317790815652,Dollars,4023.0,32
Arizona,Yavapai,2.59133125452046,Dollars,4025.0,35
Arizona,Yuma,0.9767449308005572,Dollars,4027.0,42
Arkansas,Arkansas,0.5660183184110322,Dollars,5001.0,46
Arkansas,Ashley,0.8097530253272752,Dollars,5003.0,50
Arkansas,Baxter,4.000867658046324,Dollars,5005.0,54
Arkansas,Benton,2.1997014690863383,Dollars,5007.0,59
Arkansas,Boone,5.141597976005876,Dollars,5009.0,62
Arkansas,Bradley,5.367640794070035,Dollars,5011.0,68
Arkansas,Calhoun,7.068386640749249,Dollars,5013.0,72
Arkansas,Carroll,12.50983182890745,Dollars,5015.0,74
Arkansas,Chicot,3.2485990416632826,Dollars,5017.0,77
Arkansas,Clark,2.2040710488785167,Dollars,5019.0,86
Arkansas,Clay,1.6399416909620992,Dollars,5021.0,93
Arkansas,Cleburne,0.4697592483852026,Dollars,5023.0,97
Arkansas,Cleveland,0.33723021582733814,Dollars,5025.0,103
Arkansas,Columbia,2.37453213667646,Dollars,5027.0,107
Arkansas,Conway,3.2869664634146343,Dollars,5029.0,109
Arkansas,Craighead,1.5325670498084292,Dollars,5031.0,114
Arkansas,Crawford,1.6608536787908985,Dollars,5033.0,115
Arkansas,Crittenden,0.07930528569729173,Dollars,5035.0,119
Arkansas,Cross,nan,Dollars,5037.0,124
Arkansas,Dallas,nan,Dollars,5039.0,128
Arkansas,Desha,nan,Dollars,5041.0,130
Arkansas,Drew,2.158079309414621,Dollars,5043.0,136
Arkansas,Faulkner,1.031835436447457,Dollars,5045.0,141
Arkansas,Franklin,6.141360969457696,Dollars,5047.0,144
Arkansas,Fulton,2.023636069289299,Dollars,5049.0,146
Arkansas,Garland,1.498633288655768,Dollars,5051.0,151
Arkansas,Grant,2.116341588972144,Dollars,5053.0,155
Arkansas,Greene,1.6129820616843442,Dollars,5055.0,162
Arkansas,Hempstead,2.879832446112226,Dollars,5057.0,172
Arkansas,Hot Spring,4.321044405626552,Dollars,5059.0,184
Arkansas,Howard,7.821637426900585,Dollars,5061.0,191
Arkansas,Independence,3.5023816195012607,Dollars,5063.0,200
Arkansas,Izard,0.885478158205431,Dollars,5065.0,203
Arkansas,Jackson,6.133274394960769,Dollars,5067.0,209
Arkansas,Jefferson,0.5203838147941311,Dollars,5069.0,213
Arkansas,Johnson,1.9116651399896452,Dollars,5071.0,218
Arkansas,Lafayette,7.0108349267049075,Dollars,5073.0,222
Arkansas,Lawrence,1.7355085039916696,Dollars,5075.0,230
Arkansas,Lee,1.2011457082139887,Dollars,5077.0,237
Arkansas,Lincoln,nan,Dollars,5079.0,244
Arkansas,Little River,0.9155413138017853,Dollars,5081.0,251
Arkansas,Logan,11.820019333860621,Dollars,5083.0,258
Arkansas,Lonoke,17.101849982137033,Dollars,5085.0,268
Arkansas,Madison,12.440565361818537,Dollars,5087.0,277
Arkansas,Marion,10.300684727597499,Dollars,5089.0,282
Arkansas,Miller,2.1540622804963707,Dollars,5091.0,287
Arkansas,Mississippi,0.5976520811099253,Dollars,5093.0,294
Arkansas,Monroe,nan,Dollars,5095.0,300
Arkansas,Montgomery,2.110149820637265,Dollars,5097.0,304
Arkansas,Nevada,nan,Dollars,5099.0,307
Arkansas,Newton,8.186995728523968,Dollars,5101.0,311
Arkansas,Ouachita,0.6427707199032063,Dollars,5103.0,316
Arkansas,Perry,5.430640243902439,Dollars,5105.0,318
Arkansas,Phillips,0.6147091108671789,Dollars,5107.0,322
Arkansas,Pike,nan,Dollars,5109.0,327
Arkansas,Poinsett,0.12090436464756378,Dollars,5111.0,333
Arkansas,Polk,2.0611473720371007,Dollars,5113.0,337
Arkansas,Pope,2.943488368203636,Dollars,5115.0,340
Arkansas,Prairie,1.2289129706178081,Dollars,5117.0,345
Arkansas,Pulaski,0.6695179203166552,Dollars,5119.0,350
Arkansas,Randolph,1.7170710091946384,Dollars,5121.0,353
Arkansas,St. Francis,0.42262449813340847,Dollars,5123.0,357
Arkansas,Saline,0.4997850924102636,Dollars,5125.0,360
Arkansas,Scott,3.1009125542659697,Dollars,5127.0,364
Arkansas,Searcy,16.19335347432024,Dollars,5129.0,372
Arkansas,Sebastian,0.8214988694223481,Dollars,5131.0,378
Arkansas,Sevier,1.9575457270447176,Dollars,5133.0,390
Arkansas,Sharp,9.539586427510567,Dollars,5135.0,394
Arkansas,Stone,2.4529844644317254,Dollars,5137.0,399
Arkansas,Union,1.2066150897863581,Dollars,5139.0,403
Arkansas,Van Buren,6.792058516196447,Dollars,5141.0,407
Arkansas,Washington,3.0844205915918694,Dollars,5143.0,417
Arkansas,White,3.2484743044323325,Dollars,5145.0,428
Arkansas,Woodruff,nan,Dollars,5147.0,435
Arkansas,Yell,4.57634170018028,Dollars,5149.0,438
California,Alameda,0.2211971436716665,Dollars,6001.0,457
California,Alpine,nan,Dollars,6003.0,461
California,Amador,3.973578284652699,Dollars,6005.0,472
California,Butte,17.832426690700743,Dollars,6007.0,486
California,Calaveras,6.829774358087663,Dollars,6009.0,489
California,Colusa,17.698695136417555,Dollars,6011.0,497
California,Contra Costa,1.7598934550989345,Dollars,6013.0,503
California,Del Norte,1.7948266760513814,Dollars,6015.0,511
California,El Dorado,15.543574909676185,Dollars,6017.0,522
California,Fresno,19.164379479269098,Dollars,6019.0,527
California,Glenn,110.999099909991,Dollars,6021.0,537
California,Humboldt,9.030234619434701,Dollars,6023.0,551
California,Imperial,3.7242703346375365,Dollars,6025.0,557
California,Inyo,nan,Dollars,6027.0,562
California,Kern,7.239060801886264,Dollars,6029.0,84
California,Kings,3.1445286531046404,Dollars,6031.0,94
California,Lake,8.973578663170873,Dollars,6033.0,100
California,Lassen,4.801347746735926,Dollars,6035.0,104
California,Los Angeles,0.3650380362211337,Dollars,6037.0,139
California,Madera,11.871264556676046,Dollars,6039.0,153
California,Marin,6.716805821773172,Dollars,6041.0,168
California,Mariposa,1.796798431885005,Dollars,6043.0,178
California,Mendocino,13.896704987883451,Dollars,6045.0,190
California,Merced,57.31471795284461,Dollars,6047.0,204
California,Modoc,5.354330708661418,Dollars,6049.0,207
California,Mono,0.4386606228980845,Dollars,6051.0,214
California,Monterey,6.8194922162355605,Dollars,6053.0,228
California,Napa,8.658726986114358,Dollars,6055.0,236
California,Nevada,4.080004908276582,Dollars,6057.0,243
California,Orange,0.9189430176874359,Dollars,6059.0,257
California,Placer,5.239755275467065,Dollars,6061.0,266
California,Plumas,1.9354526539894519,Dollars,6063.0,275
California,Riverside,2.412317371528198,Dollars,6065.0,281
California,Sacramento,2.5319278491066575,Dollars,6067.0,289
California,San Benito,12.316910785619175,Dollars,6069.0,295
California,San Bernardino,1.5872211131530032,Dollars,6071.0,302
California,San Diego,3.907932878589609,Dollars,6073.0,315
California,San Francisco,0.0,Dollars,6075.0,331
California,San Joaquin,17.71793797150042,Dollars,6077.0,339
California,San Luis Obispo,16.284202915096852,Dollars,6079.0,351
California,San Mateo,1.4239409439229573,Dollars,6081.0,368
California,Santa Barbara,11.19046403221453,Dollars,6083.0,391
California,Santa Clara,1.1349126707187858,Dollars,6085.0,406
California,Santa Cruz,32.89723020560275,Dollars,6087.0,415
California,Shasta,3.4891360989645874,Dollars,6089.0,431
California,Sierra,nan,Dollars,6091.0,439
California,Siskiyou,7.016754750927696,Dollars,6093.0,446
California,Solano,3.275010226752204,Dollars,6095.0,453
California,Sonoma,10.276962315665147,Dollars,6097.0,463
California,Stanislaus,8.329493495906142,Dollars,6099.0,473
California,Sutter,12.801342527350767,Dollars,6101.0,483
California,Tehama,14.85188343765588,Dollars,6103.0,492
California,Trinity,6.521101992966003,Dollars,6105.0,500
