State,County,Direct farm sales (%) 2007 (PCT_LOCLSALE07),Units,FIPS,FID
Arizona,Yuma,0.019063135437847926,Percent,4027.0,42
Arkansas,Arkansas,0.00610938012007709,Percent,5001.0,46
Arkansas,Ashley,0.027815122154744795,Percent,5003.0,50
Arkansas,Baxter,0.9473804360232849,Percent,5005.0,54
Arkansas,Benton,0.10323603490668432,Percent,5007.0,59
Arkansas,Boone,0.15775372056724565,Percent,5009.0,62
Arkansas,Bradley,0.21101992966002345,Percent,5011.0,68
Arkansas,Calhoun,1.3675213675213675,Percent,5013.0,72
Arkansas,Carroll,0.12791592783090588,Percent,5015.0,74
Arkansas,Chicot,0.03098205364542589,Percent,5017.0,77
Arkansas,Clark,0.3021864075368845,Percent,5019.0,86
Arkansas,Clay,0.019004715985077778,Percent,5021.0,93
Arkansas,Cleburne,0.021381989237732085,Percent,5023.0,97
Arkansas,Cleveland,0.002026205592327435,Percent,5025.0,103
Arkansas,Columbia,0.130701579495359,Percent,5027.0,107
Arkansas,Conway,0.05165405259730052,Percent,5029.0,109
Arkansas,Craighead,0.08808632459810614,Percent,5031.0,114
Arkansas,Crawford,0.17087299010645388,Percent,5033.0,115
Arkansas,Crittenden,0.004014935560284257,Percent,5035.0,119
Arkansas,Cross,nan,Percent,5037.0,124
Arkansas,Dallas,nan,Percent,5039.0,128
Arkansas,Desha,nan,Percent,5041.0,130
Arkansas,Drew,0.06976176357738323,Percent,5043.0,136
Arkansas,Faulkner,0.5489524576954069,Percent,5045.0,141
Arkansas,Franklin,0.09983153428589256,Percent,5047.0,144
Arkansas,Fulton,0.09701202949165696,Percent,5049.0,146
Arkansas,Garland,1.1599411860807058,Percent,5051.0,151
Arkansas,Grant,0.1926782273603083,Percent,5053.0,155
Arkansas,Greene,0.05700761829080795,Percent,5055.0,162
Arkansas,Hempstead,0.03949305281298244,Percent,5057.0,172
Arkansas,Hot Spring,0.8719312349267208,Percent,5059.0,184
Arkansas,Howard,0.05813258575914637,Percent,5061.0,191
Arkansas,Independence,0.10110814527218312,Percent,5063.0,200
Arkansas,Izard,0.02977519726068185,Percent,5065.0,203
Arkansas,Jackson,0.10388103282079118,Percent,5067.0,209
Arkansas,Jefferson,0.030162139893476148,Percent,5069.0,213
Arkansas,Johnson,0.03564321145335195,Percent,5071.0,218
Arkansas,Lafayette,0.06026538684899685,Percent,5073.0,222
Arkansas,Lawrence,0.027771092144483735,Percent,5075.0,230
Arkansas,Lee,0.010156805450298064,Percent,5077.0,237
Arkansas,Lincoln,nan,Percent,5079.0,244
Arkansas,Little River,0.018041314610457947,Percent,5081.0,251
Arkansas,Logan,0.19228157456450726,Percent,5083.0,258
Arkansas,Lonoke,0.7228441059646128,Percent,5085.0,268
Arkansas,Madison,0.11927957633892886,Percent,5087.0,277
Arkansas,Marion,0.49709786793862415,Percent,5089.0,282
Arkansas,Miller,0.18876441380442366,Percent,5091.0,287
Arkansas,Mississippi,0.01431522117016708,Percent,5093.0,294
Arkansas,Monroe,nan,Percent,5095.0,300
Arkansas,Montgomery,0.04145163630334307,Percent,5097.0,304
Arkansas,Nevada,nan,Percent,5099.0,307
Arkansas,Newton,0.36275695284159615,Percent,5101.0,311
Arkansas,Ouachita,0.10199184065274777,Percent,5103.0,316
Arkansas,Perry,0.17291590826356024,Percent,5105.0,318
Arkansas,Phillips,0.007563969571230982,Percent,5107.0,322
Arkansas,Pike,nan,Percent,5109.0,327
Arkansas,Poinsett,0.0019460300985988585,Percent,5111.0,333
Arkansas,Polk,0.030989677485999303,Percent,5113.0,337
Arkansas,Pope,0.11822951304219316,Percent,5115.0,340
Arkansas,Prairie,0.010775123179249073,Percent,5117.0,345
Arkansas,Pulaski,0.9119095385737734,Percent,5119.0,350
Arkansas,Randolph,0.04824977820666469,Percent,5121.0,353
Arkansas,St. Francis,0.013085722386399573,Percent,5123.0,357
Arkansas,Saline,0.893814801573114,Percent,5125.0,360
Arkansas,Scott,0.031098395322801342,Percent,5127.0,364
Arkansas,Searcy,1.0923616206081355,Percent,5129.0,372
Arkansas,Sebastian,0.14992058661995872,Percent,5131.0,378
Arkansas,Sevier,0.021481700276576893,Percent,5133.0,390
Arkansas,Sharp,0.2947145504279538,Percent,5135.0,394
Arkansas,Stone,0.06867345770859563,Percent,5137.0,399
Arkansas,Union,0.06878785017736476,Percent,5139.0,403
Arkansas,Van Buren,0.7547413237001677,Percent,5141.0,407
Arkansas,Washington,0.14355268981852548,Percent,5143.0,417
Arkansas,White,0.2004360952700436,Percent,5145.0,428
Arkansas,Woodruff,nan,Percent,5147.0,435
Arkansas,Yell,0.060935451507075286,Percent,5149.0,438
California,Alameda,0.6394217403391715,Percent,6001.0,457
California,Alpine,nan,Percent,6003.0,461
California,Amador,0.7439254142311965,Percent,6005.0,472
California,Butte,1.1313840929380394,Percent,6007.0,486
California,Calaveras,1.915383682870651,Percent,6009.0,489
California,Colusa,0.09655707998964536,Percent,6011.0,497
California,Contra Costa,2.50812032198842,Percent,6013.0,503
California,Del Norte,0.1568844592100406,Percent,6015.0,511
California,El Dorado,13.84599959895729,Percent,6017.0,522
California,Fresno,0.4602543434660771,Percent,6019.0,527
California,Glenn,0.7604103206647609,Percent,6021.0,537
California,Humboldt,0.7954939804062892,Percent,6023.0,551
California,Imperial,0.04751006198009228,Percent,6025.0,557
California,Inyo,nan,Percent,6027.0,562
California,Kern,0.18148355865071109,Percent,6029.0,84
California,Kings,0.03482012058215119,Percent,6031.0,94
California,Lake,0.9410493928185657,Percent,6033.0,100
California,Lassen,0.3080859037186509,Percent,6035.0,104
California,Los Angeles,1.0865962931140296,Percent,6037.0,139
California,Madera,0.1751301103602489,Percent,6039.0,153
California,Marin,2.8580809040797637,Percent,6041.0,168
California,Mariposa,0.28785764131193303,Percent,6043.0,178
California,Mendocino,0.9884974838245866,Percent,6045.0,190
California,Merced,0.6112663533595835,Percent,6047.0,204
California,Modoc,0.07202270833627543,Percent,6049.0,207
California,Mono,0.061412487205731836,Percent,6051.0,214
California,Monterey,0.12595996272613347,Percent,6053.0,228
California,Napa,0.3046159397985501,Percent,6055.0,236
California,Nevada,4.214195183776933,Percent,6057.0,243
California,Orange,0.8008561491126371,Percent,6059.0,257
California,Placer,3.833837395481231,Percent,6061.0,266
California,Plumas,nan,Percent,6063.0,275
California,Riverside,0.4946439916959886,Percent,6065.0,281
California,Sacramento,1.0102877745645535,Percent,6067.0,289
California,San Benito,0.2988409815983954,Percent,6069.0,295
California,San Bernardino,0.4251937374690888,Percent,6071.0,302
California,San Diego,1.1031301995291136,Percent,6073.0,315
California,San Francisco,0.0,Percent,6075.0,331
California,San Joaquin,0.7566701654484854,Percent,6077.0,339
California,San Luis Obispo,0.763279802071683,Percent,6079.0,351
California,San Mateo,0.7288823312430837,Percent,6081.0,368
California,Santa Barbara,0.4837458452728087,Percent,6083.0,391
California,Santa Clara,0.823559829947399,Percent,6085.0,406
California,Santa Cruz,1.8624683460843017,Percent,6087.0,415
California,Shasta,1.378847229994404,Percent,6089.0,431
California,Sierra,nan,Percent,6091.0,439
California,Siskiyou,0.22875241949674466,Percent,6093.0,446
California,Solano,0.5472891381321763,Percent,6095.0,453
California,Sonoma,0.7416855704091702,Percent,6097.0,463
California,Stanislaus,0.2323455808200096,Percent,6099.0,473
California,Sutter,0.3746768805473431,Percent,6101.0,483
California,Tehama,0.6456441752123001,Percent,6103.0,492
California,Trinity,2.8102305020524154,Percent,6105.0,500
California,Tulare,0.3501334627081026,Percent,6107.0,501
California,Tuolumne,1.0239639736235457,Percent,6109.0,513
California,Ventura,0.34193942939190086,Percent,6111.0,521
California,Yolo,1.6459363019527926,Percent,6113.0,525
California,Yuba,0.5756848435465729,Percent,6115.0,541
Colorado,Adams,1.4729076239262764,Percent,8001.0,545
Colorado,Alamosa,0.12142693052410489,Percent,8003.0,549
Colorado,Arapahoe,0.613837350442171,Percent,8005.0,558
Colorado,Archuleta,2.679658952496955,Percent,8007.0,560
Colorado,Baca,0.020683081239546052,Percent,8009.0,563
Colorado,Bent,0.08027243979567016,Percent,8011.0,564
Colorado,Boulder,2.1006551693745044,Percent,8013.0,570
Colorado,Broomfield,0.0,Percent,8014.0,577
Colorado,Chaffee,0.2471882338400692,Percent,8015.0,582
Colorado,Cheyenne,0.04641480773017525,Percent,8017.0,587
Colorado,Clear Creek,nan,Percent,8019.0,591
Colorado,Conejos,0.11086825683423612,Percent,8021.0,596
Colorado,Costilla,0.0075018754688672175,Percent,8023.0,599
Colorado,Crowley,0.05769820234038333,Percent,8025.0,605
Colorado,Custer,0.2849002849002849,Percent,8027.0,610
Colorado,Delta,3.2670940170940175,Percent,8029.0,617
Colorado,Denver,nan,Percent,8031.0,628
Colorado,Dolores,0.20341281500734545,Percent,8033.0,636
Colorado,Douglas,2.1328649394642745,Percent,8035.0,644
Colorado,Eagle,1.0339123242349049,Percent,8037.0,648
Colorado,Elbert,2.003732442785581,Percent,8039.0,655
Colorado,El Paso,1.7603936788169343,Percent,8041.0,661
Colorado,Fremont,1.0566663213508753,Percent,8043.0,664
Colorado,Garfield,1.3151375940188261,Percent,8045.0,667
Colorado,Gilpin,0.9146341463414633,Percent,8047.0,672
Colorado,Grand,0.3416978109983983,Percent,8049.0,677
Colorado,Gunnison,0.6802721088435374,Percent,8051.0,682
Colorado,Hinsdale,nan,Percent,8053.0,688
Colorado,Huerfano,nan,Percent,8055.0,693
Colorado,Jackson,0.056606443700174536,Percent,8057.0,701
Colorado,Jefferson,1.0353830917439453,Percent,8059.0,706
Colorado,Kiowa,0.048252668518789295,Percent,8061.0,711
Colorado,Kit Carson,0.014837411643213663,Percent,8063.0,716
Colorado,Lake,1.3071895424836601,Percent,8065.0,721
Colorado,La Plata,1.652266181597696,Percent,8067.0,727
Colorado,Larimer,0.6540589901891152,Percent,8069.0,734
Colorado,Las Animas,0.16537386305469148,Percent,8071.0,741
Colorado,Lincoln,0.05777170313798983,Percent,8073.0,747
Colorado,Logan,0.05971405112337059,Percent,8075.0,749
Colorado,Mesa,7.723338232892372,Percent,8077.0,751
Colorado,Mineral,0.0,Percent,8079.0,757
Colorado,Moffat,1.4768752429071124,Percent,8081.0,758
Colorado,Montezuma,1.165973081393169,Percent,8083.0,766
Colorado,Montrose,0.9008338296605122,Percent,8085.0,769
Colorado,Morgan,0.305550324685186,Percent,8087.0,775
Colorado,Otero,0.04047235737990952,Percent,8089.0,777
Colorado,Ouray,1.6648168701442843,Percent,8091.0,780
Colorado,Park,1.0452299505891296,Percent,8093.0,782
Colorado,Phillips,0.039165495198729916,Percent,8095.0,785
Colorado,Pitkin,0.8386778490379871,Percent,8097.0,789
Colorado,Prowers,0.001898823109436771,Percent,8099.0,792
Colorado,Pueblo,1.0192686442914864,Percent,8101.0,795
Colorado,Rio Blanco,0.10923343828310736,Percent,8103.0,799
