State,County,Seniors low access to store (%) 2010 (PCT_LACCESS_SENIORS10),Units,FIPS,FID
Alabama,Autauga,4.376377981518517,Percent,1001,5
Alabama,Baldwin,3.5135701330134474,Percent,1003,20
Alabama,Barbour,2.8051664425341336,Percent,1005,25
Alabama,Bibb,0.6570077390187039,Percent,1007,29
Alabama,Blount,0.34026909600807365,Percent,1009,33
Alabama,Bullock,5.079604368155754,Percent,1011,37
Alabama,Butler,1.217140537140822,Percent,1013,39
Alabama,Calhoun,4.195726759292253,Percent,1015,43
Alabama,Chambers,3.4219069626227387,Percent,1017,47
Alabama,Cherokee,0.03548555018051245,Percent,1019,51
Alabama,Chilton,0.5537991645907088,Percent,1021,56
Alabama,Choctaw,3.166733861361743,Percent,1023,58
Alabama,Clarke,2.8224925706530946,Percent,1025,61
Alabama,Clay,0.9669749166293855,Percent,1027,65
Alabama,Cleburne,0.1948820721404495,Percent,1029,67
Alabama,Coffee,2.9901205557716426,Percent,1031,70
Alabama,Colbert,2.927991264922099,Percent,1033,73
Alabama,Conecuh,5.889327345441858,Percent,1035,80
Alabama,Coosa,4.901327847721172,Percent,1037,82
Alabama,Covington,1.7401120356194837,Percent,1039,88
Alabama,Crenshaw,5.602071574201157,Percent,1041,90
Alabama,Cullman,1.456254466268587,Percent,1043,98
Alabama,Dale,2.7370592518106704,Percent,1045,101
Alabama,Dallas,2.9075926878267686,Percent,1047,110
Alabama,DeKalb,0.3631794016229366,Percent,1049,112
Alabama,Elmore,2.0077321581219247,Percent,1051,118
Alabama,Escambia,2.095940465707221,Percent,1053,122
Alabama,Etowah,4.619493041665279,Percent,1055,131
Alabama,Fayette,0.38649309634172496,Percent,1057,134
Alabama,Franklin,1.259193919867736,Percent,1059,138
Alabama,Geneva,0.34871401020835907,Percent,1061,140
Alabama,Greene,5.774881213421813,Percent,1063,148
Alabama,Hale,0.07464651802912944,Percent,1065,150
Alabama,Henry,0.3162287194758698,Percent,1067,158
Alabama,Houston,2.580396638019587,Percent,1069,160
Alabama,Jackson,1.3577030239343546,Percent,1071,164
Alabama,Jefferson,4.077737736162717,Percent,1073,171
Alabama,Lamar,0.08966554898703584,Percent,1075,174
Alabama,Lauderdale,2.5259336946739905,Percent,1077,176
Alabama,Lawrence,0.5611883213238126,Percent,1079,181
Alabama,Lee,2.4989150120869894,Percent,1081,187
Alabama,Limestone,1.8343569056311397,Percent,1083,197
Alabama,Lowndes,7.3861348882438715,Percent,1085,205
Alabama,Macon,4.897176294583395,Percent,1087,210
Alabama,Madison,3.7099119656697663,Percent,1089,217
Alabama,Marengo,4.1962351354885525,Percent,1091,220
Alabama,Marion,0.32302710397064205,Percent,1093,224
Alabama,Marshall,1.8035907029689526,Percent,1095,231
Alabama,Mobile,3.5276776186481578,Percent,1097,240
Alabama,Monroe,5.01915170693892,Percent,1099,250
Alabama,Montgomery,3.262853768046477,Percent,1101,256
Alabama,Morgan,1.6623616119116744,Percent,1103,262
Alabama,Perry,2.191450000127287,Percent,1105,264
Alabama,Pickens,0.7181176743385292,Percent,1107,273
Alabama,Pike,1.3161386586204293,Percent,1109,279
Alabama,Randolph,0.8147914363246366,Percent,1111,284
Alabama,Russell,2.278698439913215,Percent,1113,288
Alabama,St. Clair,0.5928539284415489,Percent,1115,292
Alabama,Shelby,2.844829439808919,Percent,1117,298
Alabama,Sumter,2.770527533037128,Percent,1119,303
Alabama,Talladega,2.130513572049203,Percent,1121,306
Alabama,Tallapoosa,2.0872959531571795,Percent,1123,308
Alabama,Tuscaloosa,2.295739194533249,Percent,1125,313
Alabama,Walker,1.7334447797997703,Percent,1127,317
Alabama,Washington,1.5123583698321539,Percent,1129,319
Alabama,Wilcox,6.641377206024936,Percent,1131,326
Alabama,Winston,0.6987952500726843,Percent,1133,332
Alaska,Aleutians East,1.3857121192210824,Percent,2013,346
Alaska,Aleutians West,0.7419777422844992,Percent,2016,381
Alaska,Anchorage,2.079894532875525,Percent,2020,400
Alaska,Bethel,5.036281070973391,Percent,2050,411
Alaska,Bristol Bay,4.235690524559469,Percent,2060,423
Alaska,Denali,7.502738229294305,Percent,2068,426
Alaska,Dillingham,2.558375626172395,Percent,2070,445
Alaska,Fairbanks North Star,2.381774659891608,Percent,2090,454
Alaska,Haines,2.3273853652342305,Percent,2100,462
Alaska,Hoonah-Angoon,10.744186043037441,Percent,2105,476
Alaska,Juneau,2.3040037735077954,Percent,2110,482
Alaska,Kenai Peninsula,2.4488889869407218,Percent,2122,494
Alaska,Ketchikan Gateway,0.7909773014906656,Percent,2130,514
Alaska,Kodiak Island,0.717356710643288,Percent,2150,533
Alaska,Lake and Peninsula,7.786633923757328,Percent,2164,544
Alaska,Matanuska-Susitna,1.8868197669993143,Percent,2170,556
Alaska,Nome,3.1592340081568375,Percent,2180,571
Alaska,North Slope,1.1734392062928845,Percent,2185,614
Alaska,Northwest Arctic,3.2699720741938982,Percent,2188,638
Alaska,Petersburg,0.3964144828927732,Percent,2195,645
Alaska,Prince of Wales-Hyder,2.8213446802130235,Percent,2198,669
Alaska,Sitka,1.8227371443793716,Percent,2220,679
Alaska,Skagway,0.07238055063358481,Percent,2230,683
Alaska,Southeast Fairbanks,3.031013094176839,Percent,2240,690
Alaska,Valdez-Cordova,2.881388396835077,Percent,2261,710
Alaska,Wade Hampton,3.322273273102145,Percent,2270,725
Alaska,Wrangell,2.977694159186661,Percent,2275,733
Alaska,Yakutat,0.09524745892912131,Percent,2282,744
Alaska,Yukon-Koyukuk,10.182533987229062,Percent,2290,753
Arizona,Apache,7.848549496598927,Percent,4001,761
Arizona,Cochise,7.686568193742177,Percent,4003,763
Arizona,Coconino,3.356048055046421,Percent,4005,771
Arizona,Gila,5.654098766398623,Percent,4007,787
Arizona,Graham,3.368027620415019,Percent,4009,0
Arizona,Greenlee,8.183115235830911,Percent,4011,1
Arizona,La Paz,20.9818727894151,Percent,4012,3
Arizona,Maricopa,2.0290471846219282,Percent,4013,9
Arizona,Mohave,10.687429107717273,Percent,4015,15
Arizona,Navajo,3.93809515679178,Percent,4017,17
Arizona,Pima,4.488708283720001,Percent,4019,21
Arizona,Pinal,4.331848419743939,Percent,4021,26
Arizona,Santa Cruz,4.009242723498376,Percent,4023,32
Arizona,Yavapai,8.281396546554756,Percent,4025,35
Arizona,Yuma,4.236925229398154,Percent,4027,42
Arkansas,Arkansas,4.114527362149404,Percent,5001,46
Arkansas,Ashley,3.221872721241661,Percent,5003,50
Arkansas,Baxter,3.5979582007008166,Percent,5005,54
Arkansas,Benton,2.504054022567582,Percent,5007,59
Arkansas,Boone,5.920985513533019,Percent,5009,62
Arkansas,Bradley,2.0400460395646594,Percent,5011,68
Arkansas,Calhoun,12.21379712921522,Percent,5013,72
Arkansas,Carroll,1.3969426452686986,Percent,5015,74
Arkansas,Chicot,0.8757709436103052,Percent,5017,77
Arkansas,Clark,1.7236728765947902,Percent,5019,86
Arkansas,Clay,2.595056443187036,Percent,5021,93
Arkansas,Cleburne,2.8162588023686443,Percent,5023,97
Arkansas,Cleveland,4.282018058260697,Percent,5025,103
Arkansas,Columbia,2.7441030852857646,Percent,5027,107
Arkansas,Conway,3.6054507384566024,Percent,5029,109
Arkansas,Craighead,2.4776062595898094,Percent,5031,114
Arkansas,Crawford,2.6034030971146285,Percent,5033,115
Arkansas,Crittenden,1.2264374518730994,Percent,5035,119
Arkansas,Cross,2.652206759757146,Percent,5037,124
Arkansas,Dallas,3.2604207247281787,Percent,5039,128
Arkansas,Desha,4.934152993527337,Percent,5041,130
Arkansas,Drew,2.67935832680624,Percent,5043,136
Arkansas,Faulkner,2.095835757369393,Percent,5045,141
Arkansas,Franklin,1.432926610996574,Percent,5047,144
Arkansas,Fulton,3.9758730031517024,Percent,5049,146
Arkansas,Garland,7.129987119053414,Percent,5051,151
Arkansas,Grant,1.7184170320731587,Percent,5053,155
Arkansas,Greene,3.042572695968496,Percent,5055,162
Arkansas,Hempstead,4.317583622860162,Percent,5057,172
Arkansas,Hot Spring,3.15130303453133,Percent,5059,184
Arkansas,Howard,2.9824664292933356,Percent,5061,191
Arkansas,Independence,2.8188234091527544,Percent,5063,200
Arkansas,Izard,1.1313579440361858,Percent,5065,203
Arkansas,Jackson,1.9230091820965605,Percent,5067,209
Arkansas,Jefferson,2.690790031249577,Percent,5069,213
Arkansas,Johnson,1.5856515303315777,Percent,5071,218
Arkansas,Lafayette,3.7161634914525186,Percent,5073,222
Arkansas,Lawrence,4.433150731683119,Percent,5075,230
Arkansas,Lee,5.167482562425537,Percent,5077,237
Arkansas,Lincoln,1.7995987341123107,Percent,5079,244
