State,County,Direct farm sales per capita 2012 (PC_DIRSALES12),Units,FIPS,FID
Alabama,Autauga,5.582238332578161,Dollars,1001.0,5
Alabama,Baldwin,3.403432845227841,Dollars,1003.0,20
Alabama,Barbour,0.4786626900843183,Dollars,1005.0,25
Alabama,Bibb,0.8833141948591113,Dollars,1007.0,29
Alabama,Blount,8.567571309886459,Dollars,1009.0,33
Alabama,Bullock,5.468602677729587,Dollars,1011.0,37
Alabama,Butler,6.419051352410819,Dollars,1013.0,39
Alabama,Calhoun,2.4299575396893065,Dollars,1015.0,43
Alabama,Chambers,1.966250917094644,Dollars,1017.0,47
Alabama,Cherokee,1.1912538907889174,Dollars,1019.0,51
Alabama,Chilton,19.085978442456003,Dollars,1021.0,56
Alabama,Choctaw,1.9198109724580965,Dollars,1023.0,58
Alabama,Clarke,1.670378619153675,Dollars,1025.0,61
Alabama,Clay,2.89833531510107,Dollars,1027.0,65
Alabama,Cleburne,0.6031767307821192,Dollars,1029.0,67
Alabama,Coffee,2.0127801770464893,Dollars,1031.0,70
Alabama,Colbert,1.321779997062711,Dollars,1033.0,73
Alabama,Conecuh,1.4619883040935673,Dollars,1035.0,80
Alabama,Coosa,2.5011165698972757,Dollars,1037.0,82
Alabama,Covington,1.7716431328996773,Dollars,1039.0,88
Alabama,Crenshaw,0.35839724750913915,Dollars,1041.0,90
Alabama,Cullman,3.3468534600741533,Dollars,1043.0,98
Alabama,Dale,0.8147206104443208,Dollars,1045.0,101
Alabama,Dallas,3.2026556326998152,Dollars,1047.0,110
Alabama,DeKalb,2.368131713230526,Dollars,1049.0,112
Alabama,Elmore,1.6162721304953251,Dollars,1051.0,118
Alabama,Escambia,1.3146132407845612,Dollars,1053.0,122
Alabama,Etowah,1.3335252074639037,Dollars,1055.0,131
Alabama,Fayette,3.0070754716981134,Dollars,1057.0,134
Alabama,Franklin,1.5166835187057635,Dollars,1059.0,138
Alabama,Geneva,7.109531215285492,Dollars,1061.0,140
Alabama,Greene,15.393322014714204,Dollars,1063.0,148
Alabama,Hale,2.8569573404324395,Dollars,1065.0,150
Alabama,Henry,1.217461881848223,Dollars,1067.0,158
