State,County,Greenhouse veg and fresh herb sq feet 2007 (GHVEG_SQFT07),Units,FIPS,FID
Arkansas,Benton,nan,Sq ft,5007.0,59
Arkansas,Boone,0.0,Sq ft,5009.0,62
Arkansas,Bradley,0.0,Sq ft,5011.0,68
Arkansas,Calhoun,0.0,Sq ft,5013.0,72
Arkansas,Carroll,4730.0,Sq ft,5015.0,74
Arkansas,Chicot,0.0,Sq ft,5017.0,77
Arkansas,Clark,0.0,Sq ft,5019.0,86
Arkansas,Clay,0.0,Sq ft,5021.0,93
Arkansas,Cleburne,0.0,Sq ft,5023.0,97
Arkansas,Cleveland,0.0,Sq ft,5025.0,103
Arkansas,Columbia,0.0,Sq ft,5027.0,107
Arkansas,Conway,0.0,Sq ft,5029.0,109
Arkansas,Craighead,0.0,Sq ft,5031.0,114
Arkansas,Crawford,0.0,Sq ft,5033.0,115
Arkansas,Crittenden,0.0,Sq ft,5035.0,119
Arkansas,Cross,0.0,Sq ft,5037.0,124
Arkansas,Dallas,0.0,Sq ft,5039.0,128
Arkansas,Desha,0.0,Sq ft,5041.0,130
Arkansas,Drew,0.0,Sq ft,5043.0,136
Arkansas,Faulkner,nan,Sq ft,5045.0,141
Arkansas,Franklin,0.0,Sq ft,5047.0,144
Arkansas,Fulton,0.0,Sq ft,5049.0,146
Arkansas,Garland,0.0,Sq ft,5051.0,151
Arkansas,Grant,0.0,Sq ft,5053.0,155
Arkansas,Greene,nan,Sq ft,5055.0,162
Arkansas,Hempstead,0.0,Sq ft,5057.0,172
Arkansas,Hot Spring,0.0,Sq ft,5059.0,184
Arkansas,Howard,0.0,Sq ft,5061.0,191
Arkansas,Independence,0.0,Sq ft,5063.0,200
Arkansas,Izard,0.0,Sq ft,5065.0,203
Arkansas,Jackson,0.0,Sq ft,5067.0,209
Arkansas,Jefferson,0.0,Sq ft,5069.0,213
Arkansas,Johnson,0.0,Sq ft,5071.0,218
Arkansas,Lafayette,0.0,Sq ft,5073.0,222
Arkansas,Lawrence,0.0,Sq ft,5075.0,230
Arkansas,Lee,0.0,Sq ft,5077.0,237
Arkansas,Lincoln,nan,Sq ft,5079.0,244
Arkansas,Little River,0.0,Sq ft,5081.0,251
Arkansas,Logan,0.0,Sq ft,5083.0,258
Arkansas,Lonoke,0.0,Sq ft,5085.0,268
Arkansas,Madison,0.0,Sq ft,5087.0,277
Arkansas,Marion,0.0,Sq ft,5089.0,282
Arkansas,Miller,nan,Sq ft,5091.0,287
Arkansas,Mississippi,0.0,Sq ft,5093.0,294
Arkansas,Monroe,0.0,Sq ft,5095.0,300
Arkansas,Montgomery,0.0,Sq ft,5097.0,304
Arkansas,Nevada,0.0,Sq ft,5099.0,307
Arkansas,Newton,nan,Sq ft,5101.0,311
Arkansas,Ouachita,0.0,Sq ft,5103.0,316
Arkansas,Perry,nan,Sq ft,5105.0,318
Arkansas,Phillips,0.0,Sq ft,5107.0,322
Arkansas,Pike,0.0,Sq ft,5109.0,327
Arkansas,Poinsett,0.0,Sq ft,5111.0,333
Arkansas,Polk,0.0,Sq ft,5113.0,337
Arkansas,Pope,nan,Sq ft,5115.0,340
Arkansas,Prairie,0.0,Sq ft,5117.0,345
Arkansas,Pulaski,0.0,Sq ft,5119.0,350
Arkansas,Randolph,0.0,Sq ft,5121.0,353
Arkansas,St. Francis,0.0,Sq ft,5123.0,357
Arkansas,Saline,0.0,Sq ft,5125.0,360
Arkansas,Scott,0.0,Sq ft,5127.0,364
Arkansas,Searcy,0.0,Sq ft,5129.0,372
Arkansas,Sebastian,0.0,Sq ft,5131.0,378
Arkansas,Sevier,0.0,Sq ft,5133.0,390
Arkansas,Sharp,0.0,Sq ft,5135.0,394
Arkansas,Stone,0.0,Sq ft,5137.0,399
Arkansas,Union,nan,Sq ft,5139.0,403
Arkansas,Van Buren,0.0,Sq ft,5141.0,407
Arkansas,Washington,18920.0,Sq ft,5143.0,417
Arkansas,White,0.0,Sq ft,5145.0,428
Arkansas,Woodruff,0.0,Sq ft,5147.0,435
Arkansas,Yell,nan,Sq ft,5149.0,438
California,Alameda,0.0,Sq ft,6001.0,457
California,Alpine,0.0,Sq ft,6003.0,461
California,Amador,0.0,Sq ft,6005.0,472
California,Butte,nan,Sq ft,6007.0,486
California,Calaveras,0.0,Sq ft,6009.0,489
California,Colusa,0.0,Sq ft,6011.0,497
California,Contra Costa,0.0,Sq ft,6013.0,503
California,Del Norte,nan,Sq ft,6015.0,511
California,El Dorado,nan,Sq ft,6017.0,522
California,Fresno,75520.0,Sq ft,6019.0,527
California,Glenn,0.0,Sq ft,6021.0,537
California,Humboldt,19520.0,Sq ft,6023.0,551
California,Imperial,0.0,Sq ft,6025.0,557
California,Inyo,0.0,Sq ft,6027.0,562
California,Kern,nan,Sq ft,6029.0,84
California,Kings,nan,Sq ft,6031.0,94
California,Lake,11660.0,Sq ft,6033.0,100
California,Lassen,nan,Sq ft,6035.0,104
California,Los Angeles,309898.0,Sq ft,6037.0,139
California,Madera,nan,Sq ft,6039.0,153
California,Marin,nan,Sq ft,6041.0,168
California,Mariposa,0.0,Sq ft,6043.0,178
California,Mendocino,8532.0,Sq ft,6045.0,190
California,Merced,nan,Sq ft,6047.0,204
California,Modoc,nan,Sq ft,6049.0,207
California,Mono,0.0,Sq ft,6051.0,214
California,Monterey,773748.0,Sq ft,6053.0,228
California,Napa,nan,Sq ft,6055.0,236
California,Nevada,68836.0,Sq ft,6057.0,243
California,Orange,0.0,Sq ft,6059.0,257
California,Placer,nan,Sq ft,6061.0,266
California,Plumas,0.0,Sq ft,6063.0,275
