State,County,WIC redemptions per capita 2011 (PC_WIC_REDEMP11),Units,FIPS,FID
Alabama,Autauga,15.612932205200195,Dollars/capita,1001,5
Alabama,Baldwin,17.10749626159668,Dollars/capita,1003,20
Alabama,Barbour,21.934051513671875,Dollars/capita,1005,25
Alabama,Bibb,21.48293685913086,Dollars/capita,1007,29
Alabama,Blount,17.110687255859375,Dollars/capita,1009,33
Alabama,Bullock,nan,Dollars/capita,1011,37
Alabama,Butler,36.56119155883789,Dollars/capita,1013,39
Alabama,Calhoun,22.09410285949707,Dollars/capita,1015,43
Alabama,Chambers,11.316189765930176,Dollars/capita,1017,47
Alabama,Cherokee,24.97646141052246,Dollars/capita,1019,51
Alabama,Chilton,21.231494903564453,Dollars/capita,1021,56
Alabama,Choctaw,nan,Dollars/capita,1023,58
Alabama,Clarke,30.088899612426758,Dollars/capita,1025,61
Alabama,Clay,nan,Dollars/capita,1027,65
Alabama,Cleburne,20.466106414794922,Dollars/capita,1029,67
Alabama,Coffee,23.05166244506836,Dollars/capita,1031,70
Alabama,Colbert,23.089128494262695,Dollars/capita,1033,73
Alabama,Conecuh,nan,Dollars/capita,1035,80
Alabama,Coosa,nan,Dollars/capita,1037,82
Alabama,Covington,22.461713790893555,Dollars/capita,1039,88
Alabama,Crenshaw,25.77839469909668,Dollars/capita,1041,90
Alabama,Cullman,22.228618621826172,Dollars/capita,1043,98
Alabama,Dale,17.901012420654297,Dollars/capita,1045,101
Alabama,Dallas,41.67624282836914,Dollars/capita,1047,110
Alabama,DeKalb,26.682174682617188,Dollars/capita,1049,112
Alabama,Elmore,19.105304718017578,Dollars/capita,1051,118
Alabama,Escambia,27.762649536132812,Dollars/capita,1053,122
Alabama,Etowah,23.434494018554688,Dollars/capita,1055,131
Alabama,Fayette,21.257856369018555,Dollars/capita,1057,134
Alabama,Franklin,33.51803970336914,Dollars/capita,1059,138
Alabama,Geneva,20.52393913269043,Dollars/capita,1061,140
Alabama,Greene,nan,Dollars/capita,1063,148
Alabama,Hale,29.223073959350586,Dollars/capita,1065,150
Alabama,Henry,nan,Dollars/capita,1067,158
Alabama,Houston,27.214563369750977,Dollars/capita,1069,160
Alabama,Jackson,19.335996627807617,Dollars/capita,1071,164
Alabama,Jefferson,25.318265914916992,Dollars/capita,1073,171
Alabama,Lamar,18.197528839111328,Dollars/capita,1075,174
Alabama,Lauderdale,19.270261764526367,Dollars/capita,1077,176
Alabama,Lawrence,19.551088333129883,Dollars/capita,1079,181
Alabama,Lee,13.501198768615723,Dollars/capita,1081,187
Alabama,Limestone,16.301740646362305,Dollars/capita,1083,197
Alabama,Lowndes,28.588794708251953,Dollars/capita,1085,205
Alabama,Macon,19.684545516967773,Dollars/capita,1087,210
Alabama,Madison,14.928847312927246,Dollars/capita,1089,217
Alabama,Marengo,30.603290557861328,Dollars/capita,1091,220
Alabama,Marion,20.958234786987305,Dollars/capita,1093,224
Alabama,Marshall,36.47017288208008,Dollars/capita,1095,231
Alabama,Mobile,24.57821273803711,Dollars/capita,1097,240
Alabama,Monroe,28.66276741027832,Dollars/capita,1099,250
Alabama,Montgomery,26.34539031982422,Dollars/capita,1101,256
Alabama,Morgan,24.887231826782227,Dollars/capita,1103,262
Alabama,Perry,44.16257858276367,Dollars/capita,1105,264
Alabama,Pickens,27.38373374938965,Dollars/capita,1107,273
Alabama,Pike,29.831153869628906,Dollars/capita,1109,279
Alabama,Randolph,23.00321388244629,Dollars/capita,1111,284
Alabama,Russell,25.492694854736328,Dollars/capita,1113,288
Alabama,St. Clair,20.6651611328125,Dollars/capita,1115,292
Alabama,Shelby,13.748557090759277,Dollars/capita,1117,298
Alabama,Sumter,31.516714096069336,Dollars/capita,1119,303
Alabama,Talladega,22.16517448425293,Dollars/capita,1121,306
Alabama,Tallapoosa,25.838333129882812,Dollars/capita,1123,308
Alabama,Tuscaloosa,18.483631134033203,Dollars/capita,1125,313
Alabama,Walker,27.266016006469727,Dollars/capita,1127,317
Alabama,Washington,14.48908805847168,Dollars/capita,1129,319
Alabama,Wilcox,33.28605651855469,Dollars/capita,1131,326
Alabama,Winston,28.492746353149414,Dollars/capita,1133,332
Alaska,Aleutians East,nan,Dollars/capita,2013,346
Alaska,Aleutians West,7.28776216506958,Dollars/capita,2016,381
Alaska,Anchorage,22.316598892211914,Dollars/capita,2020,400
Alaska,Bethel,59.83818435668945,Dollars/capita,2050,411
Alaska,Bristol Bay,nan,Dollars/capita,2060,423
Alaska,Denali,nan,Dollars/capita,2068,426
Alaska,Dillingham,81.95877075195312,Dollars/capita,2070,445
Alaska,Fairbanks North Star,24.87321662902832,Dollars/capita,2090,454
Alaska,Haines,nan,Dollars/capita,2100,462
