State,County,Students eligible for reduced-price lunch (%) 2010 (PCT_REDUCED_LUNCH10),Units,FIPS,FID
Alabama,Autauga,6.88610662358643,Percent,1001,5
Alabama,Baldwin,5.542339783419138,Percent,1003,20
Alabama,Barbour,4.582140067690705,Percent,1005,25
Alabama,Bibb,9.253986332574032,Percent,1007,29
Alabama,Blount,8.097946592114143,Percent,1009,33
Alabama,Bullock,0.1266624445851805,Percent,1011,37
Alabama,Butler,7.244655581947744,Percent,1013,39
Alabama,Calhoun,7.096843461455873,Percent,1015,43
Alabama,Chambers,5.736529399713174,Percent,1017,47
Alabama,Cherokee,9.629992648860574,Percent,1019,51
Alabama,Chilton,6.820206133095813,Percent,1021,56
Alabama,Choctaw,8.083663086489542,Percent,1023,58
Alabama,Clarke,7.345779220779221,Percent,1025,61
Alabama,Clay,11.907066795740562,Percent,1027,65
Alabama,Cleburne,10.228550018733609,Percent,1029,67
Alabama,Coffee,7.939243778950771,Percent,1031,70
Alabama,Colbert,7.34282325029656,Percent,1033,73
Alabama,Conecuh,3.3352837916910474,Percent,1035,80
Alabama,Coosa,7.909162098668755,Percent,1037,82
Alabama,Covington,5.943637916310846,Percent,1039,88
Alabama,Crenshaw,9.351892127011745,Percent,1041,90
Alabama,Cullman,8.918940045337294,Percent,1043,98
Alabama,Dale,6.517405305934673,Percent,1045,101
Alabama,Dallas,4.568654301008341,Percent,1047,110
Alabama,DeKalb,7.185278126306985,Percent,1049,112
Alabama,Elmore,6.614695893794381,Percent,1051,118
Alabama,Escambia,7.145299145299146,Percent,1053,122
Alabama,Etowah,8.000249034989416,Percent,1055,131
Alabama,Fayette,9.27536231884058,Percent,1057,134
Alabama,Franklin,8.78987517337032,Percent,1059,138
Alabama,Geneva,6.132194018597638,Percent,1061,140
Alabama,Greene,5.61377245508982,Percent,1063,148
Alabama,Hale,7.267104754541941,Percent,1065,150
Alabama,Henry,7.237762237762238,Percent,1067,158
Alabama,Houston,6.16827199081457,Percent,1069,160
Alabama,Jackson,9.8,Percent,1071,164
Alabama,Jefferson,4.8909215267923685,Percent,1073,171
Alabama,Lamar,7.780126849894292,Percent,1075,174
Alabama,Lauderdale,7.381477817517693,Percent,1077,176
Alabama,Lawrence,8.188976377952756,Percent,1079,181
Alabama,Lee,6.694378655324085,Percent,1081,187
Alabama,Limestone,5.73866488204785,Percent,1083,197
Alabama,Lowndes,1.8888289260658393,Percent,1085,205
Alabama,Macon,0.0,Percent,1087,210
Alabama,Madison,4.658652211309584,Percent,1089,217
Alabama,Marengo,6.182486784647208,Percent,1091,220
Alabama,Marion,8.436172364960552,Percent,1093,224
Alabama,Marshall,6.402276364929753,Percent,1095,231
Alabama,Mobile,5.291967915961335,Percent,1097,240
