State,County,SNAP participants (% pop) 2017 (PCT_SNAP17),Units,FIPS,FID
Arkansas,Baxter,12.926964616135853,Percent,5005,54
Arkansas,Benton,12.926964616135853,Percent,5007,59
Arkansas,Boone,12.926964616135853,Percent,5009,62
Arkansas,Bradley,12.926964616135853,Percent,5011,68
Arkansas,Calhoun,12.926964616135853,Percent,5013,72
Arkansas,Carroll,12.926964616135853,Percent,5015,74
Arkansas,Chicot,12.926964616135853,Percent,5017,77
Arkansas,Clark,12.926964616135853,Percent,5019,86
Arkansas,Clay,12.926964616135853,Percent,5021,93
Arkansas,Cleburne,12.926964616135853,Percent,5023,97
Arkansas,Cleveland,12.926964616135853,Percent,5025,103
Arkansas,Columbia,12.926964616135853,Percent,5027,107
Arkansas,Conway,12.926964616135853,Percent,5029,109
Arkansas,Craighead,12.926964616135853,Percent,5031,114
Arkansas,Crawford,12.926964616135853,Percent,5033,115
Arkansas,Crittenden,12.926964616135853,Percent,5035,119
Arkansas,Cross,12.926964616135853,Percent,5037,124
Arkansas,Dallas,12.926964616135853,Percent,5039,128
Arkansas,Desha,12.926964616135853,Percent,5041,130
Arkansas,Drew,12.926964616135853,Percent,5043,136
Arkansas,Faulkner,12.926964616135853,Percent,5045,141
Arkansas,Franklin,12.926964616135853,Percent,5047,144
Arkansas,Fulton,12.926964616135853,Percent,5049,146
Arkansas,Garland,12.926964616135853,Percent,5051,151
Arkansas,Grant,12.926964616135853,Percent,5053,155
Arkansas,Greene,12.926964616135853,Percent,5055,162
Arkansas,Hempstead,12.926964616135853,Percent,5057,172
Arkansas,Hot Spring,12.926964616135853,Percent,5059,184
Arkansas,Howard,12.926964616135853,Percent,5061,191
Arkansas,Independence,12.926964616135853,Percent,5063,200
Arkansas,Izard,12.926964616135853,Percent,5065,203
Arkansas,Jackson,12.926964616135853,Percent,5067,209
Arkansas,Jefferson,12.926964616135853,Percent,5069,213
Arkansas,Johnson,12.926964616135853,Percent,5071,218
Arkansas,Lafayette,12.926964616135853,Percent,5073,222
Arkansas,Lawrence,12.926964616135853,Percent,5075,230
Arkansas,Lee,12.926964616135853,Percent,5077,237
Arkansas,Lincoln,12.926964616135853,Percent,5079,244
Arkansas,Little River,12.926964616135853,Percent,5081,251
Arkansas,Logan,12.926964616135853,Percent,5083,258
Arkansas,Lonoke,12.926964616135853,Percent,5085,268
Arkansas,Madison,12.926964616135853,Percent,5087,277
Arkansas,Marion,12.926964616135853,Percent,5089,282
Arkansas,Miller,12.926964616135853,Percent,5091,287
Arkansas,Mississippi,12.926964616135853,Percent,5093,294
Arkansas,Monroe,12.926964616135853,Percent,5095,300
Arkansas,Montgomery,12.926964616135853,Percent,5097,304
Arkansas,Nevada,12.926964616135853,Percent,5099,307
Arkansas,Newton,12.926964616135853,Percent,5101,311
Arkansas,Ouachita,12.926964616135853,Percent,5103,316
Arkansas,Perry,12.926964616135853,Percent,5105,318
Arkansas,Phillips,12.926964616135853,Percent,5107,322
Arkansas,Pike,12.926964616135853,Percent,5109,327
Arkansas,Poinsett,12.926964616135853,Percent,5111,333
Arkansas,Polk,12.926964616135853,Percent,5113,337
Arkansas,Pope,12.926964616135853,Percent,5115,340
Arkansas,Prairie,12.926964616135853,Percent,5117,345
Arkansas,Pulaski,12.926964616135853,Percent,5119,350
Arkansas,Randolph,12.926964616135853,Percent,5121,353
Arkansas,St. Francis,12.926964616135853,Percent,5123,357
Arkansas,Saline,12.926964616135853,Percent,5125,360
Arkansas,Scott,12.926964616135853,Percent,5127,364
Arkansas,Searcy,12.926964616135853,Percent,5129,372
Arkansas,Sebastian,12.926964616135853,Percent,5131,378
Arkansas,Sevier,12.926964616135853,Percent,5133,390
Arkansas,Sharp,12.926964616135853,Percent,5135,394
Arkansas,Stone,12.926964616135853,Percent,5137,399
Arkansas,Union,12.926964616135853,Percent,5139,403
Arkansas,Van Buren,12.926964616135853,Percent,5141,407
Arkansas,Washington,12.926964616135853,Percent,5143,417
Arkansas,White,12.926964616135853,Percent,5145,428
Arkansas,Woodruff,12.926964616135853,Percent,5147,435
Arkansas,Yell,12.926964616135853,Percent,5149,438
California,Alameda,10.400642664415725,Percent,6001,457
California,Alpine,10.400642664415725,Percent,6003,461
California,Amador,10.400642664415725,Percent,6005,472
California,Butte,10.400642664415725,Percent,6007,486
California,Calaveras,10.400642664415725,Percent,6009,489
California,Colusa,10.400642664415725,Percent,6011,497
California,Contra Costa,10.400642664415725,Percent,6013,503
California,Del Norte,10.400642664415725,Percent,6015,511
California,El Dorado,10.400642664415725,Percent,6017,522
California,Fresno,10.400642664415725,Percent,6019,527
California,Glenn,10.400642664415725,Percent,6021,537
California,Humboldt,10.400642664415725,Percent,6023,551
California,Imperial,10.400642664415725,Percent,6025,557
California,Inyo,10.400642664415725,Percent,6027,562
California,Kern,10.400642664415725,Percent,6029,84
California,Kings,10.400642664415725,Percent,6031,94
California,Lake,10.400642664415725,Percent,6033,100
California,Lassen,10.400642664415725,Percent,6035,104
California,Los Angeles,10.400642664415725,Percent,6037,139
California,Madera,10.400642664415725,Percent,6039,153
California,Marin,10.400642664415725,Percent,6041,168
California,Mariposa,10.400642664415725,Percent,6043,178
California,Mendocino,10.400642664415725,Percent,6045,190
California,Merced,10.400642664415725,Percent,6047,204
California,Modoc,10.400642664415725,Percent,6049,207
California,Mono,10.400642664415725,Percent,6051,214
California,Monterey,10.400642664415725,Percent,6053,228
California,Napa,10.400642664415725,Percent,6055,236
California,Nevada,10.400642664415725,Percent,6057,243
California,Orange,10.400642664415725,Percent,6059,257
California,Placer,10.400642664415725,Percent,6061,266
California,Plumas,10.400642664415725,Percent,6063,275
California,Riverside,10.400642664415725,Percent,6065,281
California,Sacramento,10.400642664415725,Percent,6067,289
California,San Benito,10.400642664415725,Percent,6069,295
California,San Bernardino,10.400642664415725,Percent,6071,302
California,San Diego,10.400642664415725,Percent,6073,315
California,San Francisco,10.400642664415725,Percent,6075,331
California,San Joaquin,10.400642664415725,Percent,6077,339
California,San Luis Obispo,10.400642664415725,Percent,6079,351
California,San Mateo,10.400642664415725,Percent,6081,368
California,Santa Barbara,10.400642664415725,Percent,6083,391
California,Santa Clara,10.400642664415725,Percent,6085,406
California,Santa Cruz,10.400642664415725,Percent,6087,415
California,Shasta,10.400642664415725,Percent,6089,431
California,Sierra,10.400642664415725,Percent,6091,439
California,Siskiyou,10.400642664415725,Percent,6093,446
California,Solano,10.400642664415725,Percent,6095,453
California,Sonoma,10.400642664415725,Percent,6097,463
California,Stanislaus,10.400642664415725,Percent,6099,473
California,Sutter,10.400642664415725,Percent,6101,483
California,Tehama,10.400642664415725,Percent,6103,492
California,Trinity,10.400642664415725,Percent,6105,500
California,Tulare,10.400642664415725,Percent,6107,501
California,Tuolumne,10.400642664415725,Percent,6109,513
California,Ventura,10.400642664415725,Percent,6111,521
