State,County,SNAP benefits per capita (% change) 2012-17 (PCH_PC_SNAPBEN_12_17),Units,FIPS,FID
Arkansas,Baxter,-31.864337921142578,% change,5005,54
Arkansas,Benton,-48.54352569580078,% change,5007,59
Arkansas,Boone,-32.84440612792969,% change,5009,62
Arkansas,Bradley,-27.208913803100586,% change,5011,68
Arkansas,Calhoun,-36.42353820800781,% change,5013,72
Arkansas,Carroll,-33.243408203125,% change,5015,74
Arkansas,Chicot,-26.46041488647461,% change,5017,77
Arkansas,Clark,-36.78456497192383,% change,5019,86
Arkansas,Clay,-26.18057632446289,% change,5021,93
Arkansas,Cleburne,-29.166034698486328,% change,5023,97
Arkansas,Cleveland,-25.22341537475586,% change,5025,103
Arkansas,Columbia,-33.78627395629883,% change,5027,107
Arkansas,Conway,-34.142066955566406,% change,5029,109
Arkansas,Craighead,-32.86268997192383,% change,5031,114
Arkansas,Crawford,-37.716651916503906,% change,5033,115
Arkansas,Crittenden,-22.300491333007812,% change,5035,119
Arkansas,Cross,-21.854063034057617,% change,5037,124
Arkansas,Dallas,-37.2081413269043,% change,5039,128
Arkansas,Desha,-31.840517044067383,% change,5041,130
Arkansas,Drew,-33.81196212768555,% change,5043,136
Arkansas,Faulkner,-29.686433792114258,% change,5045,141
Arkansas,Franklin,-38.878578186035156,% change,5047,144
Arkansas,Fulton,-18.898151397705078,% change,5049,146
Arkansas,Garland,-18.78279685974121,% change,5051,151
Arkansas,Grant,-32.59104919433594,% change,5053,155
Arkansas,Greene,-33.7416877746582,% change,5055,162
Arkansas,Hempstead,-38.41098403930664,% change,5057,172
Arkansas,Hot Spring,-27.6439208984375,% change,5059,184
Arkansas,Howard,-25.947744369506836,% change,5061,191
Arkansas,Independence,-34.65290069580078,% change,5063,200
Arkansas,Izard,-36.672393798828125,% change,5065,203
Arkansas,Jackson,-28.1610107421875,% change,5067,209
Arkansas,Jefferson,-30.1976375579834,% change,5069,213
Arkansas,Johnson,-23.133893966674805,% change,5071,218
Arkansas,Lafayette,-33.309669494628906,% change,5073,222
Arkansas,Lawrence,-31.29949378967285,% change,5075,230
Arkansas,Lee,-28.389606475830078,% change,5077,237
Arkansas,Lincoln,-40.15394973754883,% change,5079,244
Arkansas,Little River,-31.345932006835938,% change,5081,251
Arkansas,Logan,-43.0262565612793,% change,5083,258
Arkansas,Lonoke,-34.20935821533203,% change,5085,268
Arkansas,Madison,-28.08833122253418,% change,5087,277
Arkansas,Marion,-34.61819839477539,% change,5089,282
Arkansas,Miller,-12.453219413757324,% change,5091,287
Arkansas,Mississippi,-21.609840393066406,% change,5093,294
Arkansas,Monroe,-29.10809326171875,% change,5095,300
Arkansas,Montgomery,-32.41392517089844,% change,5097,304
Arkansas,Nevada,-28.08411407470703,% change,5099,307
Arkansas,Newton,-38.17218780517578,% change,5101,311
Arkansas,Ouachita,-32.40884780883789,% change,5103,316
Arkansas,Perry,-33.561561584472656,% change,5105,318
Arkansas,Phillips,-20.647903442382812,% change,5107,322
Arkansas,Pike,-32.162620544433594,% change,5109,327
Arkansas,Poinsett,-30.551788330078125,% change,5111,333
Arkansas,Polk,-29.497745513916016,% change,5113,337
Arkansas,Pope,-31.023962020874023,% change,5115,340
Arkansas,Prairie,-35.616844177246094,% change,5117,345
Arkansas,Pulaski,-29.454326629638672,% change,5119,350
Arkansas,Randolph,-42.011295318603516,% change,5121,353
Arkansas,St. Francis,-31.291303634643555,% change,5123,357
Arkansas,Saline,-39.360408782958984,% change,5125,360
Arkansas,Scott,-35.85576248168945,% change,5127,364
Arkansas,Searcy,-45.137760162353516,% change,5129,372
Arkansas,Sebastian,-29.43804931640625,% change,5131,378
Arkansas,Sevier,-33.640235900878906,% change,5133,390
Arkansas,Sharp,-22.952810287475586,% change,5135,394
Arkansas,Stone,-23.48280143737793,% change,5137,399
Arkansas,Union,-23.93671226501465,% change,5139,403
Arkansas,Van Buren,-24.432537078857422,% change,5141,407
Arkansas,Washington,-51.89334487915039,% change,5143,417
Arkansas,White,-20.866107940673828,% change,5145,428
Arkansas,Woodruff,-31.99994659423828,% change,5147,435
Arkansas,Yell,-39.53109359741211,% change,5149,438
California,Alameda,-21.04759979248047,% change,6001,457
California,Alpine,-9.11571979522705,% change,6003,461
California,Amador,-17.400217056274414,% change,6005,472
California,Butte,0.34571096301078796,% change,6007,486
California,Calaveras,-6.902352333068848,% change,6009,489
California,Colusa,-15.888664245605469,% change,6011,497
California,Contra Costa,-16.35388946533203,% change,6013,503
California,Del Norte,-5.4404988288879395,% change,6015,511
California,El Dorado,-6.9683380126953125,% change,6017,522
California,Fresno,-4.630908489227295,% change,6019,527
California,Glenn,-6.6278395652771,% change,6021,537
California,Humboldt,29.205678939819336,% change,6023,551
California,Imperial,8.078132629394531,% change,6025,557
California,Inyo,-0.11567839980125427,% change,6027,562
California,Kern,4.593343257904053,% change,6029,84
California,Kings,1.2395985126495361,% change,6031,94
California,Lake,10.346223831176758,% change,6033,100
California,Lassen,9.627120971679688,% change,6035,104
California,Los Angeles,-5.306594371795654,% change,6037,139
California,Madera,-1.464873194694519,% change,6039,153
California,Marin,-2.309246301651001,% change,6041,168
California,Mariposa,4.677739143371582,% change,6043,178
California,Mendocino,-15.539069175720215,% change,6045,190
California,Merced,-7.275938987731934,% change,6047,204
California,Modoc,28.361696243286133,% change,6049,207
California,Mono,0.8103376626968384,% change,6051,214
California,Monterey,-2.1249074935913086,% change,6053,228
California,Napa,-22.583297729492188,% change,6055,236
California,Nevada,-4.308874607086182,% change,6057,243
California,Orange,2.9979639053344727,% change,6059,257
California,Placer,-20.384876251220703,% change,6061,266
California,Plumas,30.568037033081055,% change,6063,275
California,Riverside,-7.517082691192627,% change,6065,281
California,Sacramento,-7.512522220611572,% change,6067,289
California,San Benito,-27.807270050048828,% change,6069,295
California,San Bernardino,-5.358673572540283,% change,6071,302
California,San Diego,-2.225666046142578,% change,6073,315
California,San Francisco,-8.008407592773438,% change,6075,331
California,San Joaquin,-11.767949104309082,% change,6077,339
California,San Luis Obispo,-8.615448951721191,% change,6079,351
California,San Mateo,-16.23447036743164,% change,6081,368
California,Santa Barbara,11.406272888183594,% change,6083,391
California,Santa Clara,-21.830934524536133,% change,6085,406
California,Santa Cruz,8.517315864562988,% change,6087,415
California,Shasta,-10.748785972595215,% change,6089,431
California,Sierra,-2.10152006149292,% change,6091,439
California,Siskiyou,1.335787057876587,% change,6093,446
California,Solano,-10.739483833312988,% change,6095,453
California,Sonoma,-19.33333969116211,% change,6097,463
California,Stanislaus,-13.344588279724121,% change,6099,473
California,Sutter,0.01988520473241806,% change,6101,483
California,Tehama,-12.138972282409668,% change,6103,492
California,Trinity,15.81782341003418,% change,6105,500
California,Tulare,2.4408488273620605,% change,6107,501
California,Tuolumne,-8.685558319091797,% change,6109,513
California,Ventura,2.88032865524292,% change,6111,521
California,Yolo,3.0080785751342773,% change,6113,525
California,Yuba,-9.716700553894043,% change,6115,541
Colorado,Adams,-20.48184585571289,% change,8001,545
Colorado,Alamosa,-15.408273696899414,% change,8003,549
Colorado,Arapahoe,-19.482318878173828,% change,8005,558
Colorado,Archuleta,-20.77996253967285,% change,8007,560
Colorado,Baca,-9.176614761352539,% change,8009,563
Colorado,Bent,-14.773759841918945,% change,8011,564
Colorado,Boulder,-17.710899353027344,% change,8013,570
Colorado,Broomfield,-24.99998664855957,% change,8014,577
Colorado,Chaffee,-19.61556053161621,% change,8015,582
