State,County,Asian low access to store (%) 2015 (PCT_LACCESS_NHASIAN15),Units,FIPS,FID
Arkansas,Arkansas,0.11586818501067722,Percent,5001,46
Arkansas,Ashley,0.034605620505242615,Percent,5003,50
Arkansas,Baxter,0.055458158769541105,Percent,5005,54
Arkansas,Benton,0.29452271517918943,Percent,5007,59
Arkansas,Boone,0.0897792530403997,Percent,5009,62
Arkansas,Bradley,0.05311629335371524,Percent,5011,68
Arkansas,Calhoun,0.06087070443577794,Percent,5013,72
Arkansas,Carroll,0.06838268076390039,Percent,5015,74
Arkansas,Chicot,0.40929404746084497,Percent,5017,77
Arkansas,Clark,0.24906739160456184,Percent,5019,86
Arkansas,Clay,0.011274498923088853,Percent,5021,93
Arkansas,Cleburne,0.011537107127974008,Percent,5023,97
Arkansas,Cleveland,0.011508804235239959,Percent,5025,103
Arkansas,Columbia,0.270197884005824,Percent,5027,107
Arkansas,Conway,0.06147164038347624,Percent,5029,109
Arkansas,Craighead,0.3840097298149239,Percent,5031,114
Arkansas,Crawford,0.4517115907747305,Percent,5033,115
Arkansas,Crittenden,0.13028897083354585,Percent,5035,119
Arkansas,Cross,0.04202254819326732,Percent,5037,124
Arkansas,Dallas,0.01232134056185313,Percent,5039,128
Arkansas,Desha,0.07777878209190497,Percent,5041,130
Arkansas,Drew,0.12705322373102165,Percent,5043,136
Arkansas,Faulkner,0.28805193116162825,Percent,5045,141
Arkansas,Franklin,0.04859473502650803,Percent,5047,144
Arkansas,Fulton,0.0005130500507207489,Percent,5049,146
Arkansas,Garland,0.24161591002557486,Percent,5051,151
Arkansas,Grant,0.01704810495203103,Percent,5053,155
Arkansas,Greene,0.06786454293394868,Percent,5055,162
Arkansas,Hempstead,0.12251283831301207,Percent,5057,172
Arkansas,Hot Spring,0.10018736211913888,Percent,5059,184
Arkansas,Howard,0.326257523647989,Percent,5061,191
Arkansas,Independence,0.173168390597724,Percent,5063,200
Arkansas,Izard,0.01621548166372335,Percent,5065,203
Arkansas,Jackson,0.048426901773887095,Percent,5067,209
Arkansas,Jefferson,0.23278041896595725,Percent,5069,213
Arkansas,Johnson,0.015058215992220205,Percent,5071,218
Arkansas,Lafayette,0.22093298380921256,Percent,5073,222
Arkansas,Lawrence,0.017226529067345852,Percent,5075,230
Arkansas,Lee,0.32881009126195027,Percent,5077,237
Arkansas,Lincoln,0.11379359739488468,Percent,5079,244
Arkansas,Little River,0.08602569475663731,Percent,5081,251
Arkansas,Logan,0.16768873237275356,Percent,5083,258
Arkansas,Lonoke,0.1271814214592956,Percent,5085,268
Arkansas,Madison,0.1190496842535083,Percent,5087,277
Arkansas,Marion,0.0278824726483908,Percent,5089,282
Arkansas,Miller,0.17810165065175856,Percent,5091,287
Arkansas,Mississippi,0.07128994012194988,Percent,5093,294
Arkansas,Monroe,0.016550970025948457,Percent,5095,300
Arkansas,Montgomery,0.04705782015042332,Percent,5097,304
Arkansas,Nevada,0.1307626901558453,Percent,5099,307
Arkansas,Newton,0.11212888951450649,Percent,5101,311
Arkansas,Ouachita,0.0487380617640513,Percent,5103,316
Arkansas,Perry,0.02577208861924423,Percent,5105,318
Arkansas,Phillips,0.12559568415145286,Percent,5107,322
Arkansas,Pike,0.09090218765546187,Percent,5109,327
Arkansas,Poinsett,0.05592660620810845,Percent,5111,333
Arkansas,Polk,0.09614461264392606,Percent,5113,337
Arkansas,Pope,0.21318019050030604,Percent,5115,340
Arkansas,Prairie,0.034423408329479405,Percent,5117,345
Arkansas,Pulaski,0.3816210662373128,Percent,5119,350
Arkansas,Randolph,0.07886584634207747,Percent,5121,353
Arkansas,St. Francis,0.14275489617647322,Percent,5123,357
Arkansas,Saline,0.16376010179308145,Percent,5125,360
Arkansas,Scott,0.33932354548436483,Percent,5127,364
Arkansas,Searcy,0.04897635581792861,Percent,5129,372
Arkansas,Sebastian,0.4430578533741124,Percent,5131,378
Arkansas,Sevier,0.09606718325533885,Percent,5133,390
Arkansas,Sharp,0.04760664341876703,Percent,5135,394
Arkansas,Stone,0.06643145872047224,Percent,5137,399
Arkansas,Union,0.1122990033018485,Percent,5139,403
Arkansas,Van Buren,0.0045861187913909685,Percent,5141,407
Arkansas,Washington,0.31567130030066676,Percent,5143,417
Arkansas,White,0.034388658702577846,Percent,5145,428
Arkansas,Woodruff,0.0,Percent,5147,435
Arkansas,Yell,0.14356164612765426,Percent,5149,438
California,Alameda,2.0363592034788653,Percent,6001,457
California,Alpine,0.3404255300378128,Percent,6003,461
California,Amador,0.19854125914038437,Percent,6005,472
California,Butte,0.9081262982307499,Percent,6007,486
California,Calaveras,0.13161274222009872,Percent,6009,489
California,Colusa,0.0837245293810234,Percent,6011,497
California,Contra Costa,2.473586865732533,Percent,6013,503
California,Del Norte,0.7727534931406431,Percent,6015,511
California,El Dorado,1.13285281859925,Percent,6017,522
California,Fresno,1.1739677109034123,Percent,6019,527
California,Glenn,0.15336656040214494,Percent,6021,537
California,Humboldt,0.26526425149446525,Percent,6023,551
California,Imperial,0.22610162457643931,Percent,6025,557
California,Inyo,0.5466519418940472,Percent,6027,562
California,Kern,0.5142919537317691,Percent,6029,84
California,Kings,0.8309324234310115,Percent,6031,94
California,Lake,0.18459904431704788,Percent,6033,100
California,Lassen,0.40554425086208057,Percent,6035,104
California,Los Angeles,0.7842086382111644,Percent,6037,139
California,Madera,0.4106970883620489,Percent,6039,153
California,Marin,0.624814105333221,Percent,6041,168
California,Mariposa,0.32285613221348364,Percent,6043,178
California,Mendocino,0.3736589405154028,Percent,6045,190
California,Merced,1.1655288514696727,Percent,6047,204
California,Modoc,0.06525156771825708,Percent,6049,207
California,Mono,0.5797541413700507,Percent,6051,214
California,Monterey,0.7143877840250181,Percent,6053,228
California,Napa,0.23252124240591204,Percent,6055,236
California,Nevada,0.3318634724872038,Percent,6057,243
California,Orange,0.964374690193138,Percent,6059,257
California,Placer,0.8370412415803256,Percent,6061,266
California,Plumas,0.05960503010046134,Percent,6063,275
California,Riverside,0.9643747501835779,Percent,6065,281
California,Sacramento,1.8195618927181016,Percent,6067,289
California,San Benito,0.6043755659415567,Percent,6069,295
California,San Bernardino,1.1423987429670155,Percent,6071,302
California,San Diego,1.3079329714778376,Percent,6073,315
California,San Francisco,0.10002430486287346,Percent,6075,331
California,San Joaquin,1.997982802648087,Percent,6077,339
California,San Luis Obispo,0.4053547866253259,Percent,6079,351
California,San Mateo,1.849353625434372,Percent,6081,368
California,Santa Barbara,0.5331588159603109,Percent,6083,391
California,Santa Clara,2.351460087518441,Percent,6085,406
California,Santa Cruz,0.9957838186371816,Percent,6087,415
California,Shasta,0.5907550047648839,Percent,6089,431
California,Sierra,0.2540189990182108,Percent,6091,439
California,Siskiyou,0.23044286200962139,Percent,6093,446
California,Solano,3.098162933078961,Percent,6095,453
