State,County,Children low access to store (% change) 2010 - 15 (LACCESS_CHILD_10_15),Units,FIPS,FID
Arkansas,Boone,-23.813500444102058,% change,5009,62
Arkansas,Bradley,-4.55029574214134,% change,5011,68
Arkansas,Calhoun,-0.4015288759983989,% change,5013,72
Arkansas,Carroll,-16.021050360732136,% change,5015,74
Arkansas,Chicot,1012.5020904312752,% change,5017,77
Arkansas,Clark,307.97531074305886,% change,5019,86
Arkansas,Clay,2.728350345577573,% change,5021,93
Arkansas,Cleburne,-30.403630749792892,% change,5023,97
Arkansas,Cleveland,-13.578364284859523,% change,5025,103
Arkansas,Columbia,3.4586068887774872,% change,5027,107
Arkansas,Conway,-23.25466985760234,% change,5029,109
Arkansas,Craighead,-35.95672709419126,% change,5031,114
Arkansas,Crawford,-16.716978552749588,% change,5033,115
Arkansas,Crittenden,1.6564157320051898,% change,5035,119
Arkansas,Cross,-21.138089548086867,% change,5037,124
Arkansas,Dallas,112.61921015575416,% change,5039,128
Arkansas,Desha,21.002938371461468,% change,5041,130
Arkansas,Drew,11.613570307478241,% change,5043,136
Arkansas,Faulkner,-27.096727272278887,% change,5045,141
Arkansas,Franklin,-34.39925771206044,% change,5047,144
Arkansas,Fulton,1.159096911232269,% change,5049,146
Arkansas,Garland,-12.39130631529774,% change,5051,151
Arkansas,Grant,0.3008642492505426,% change,5053,155
Arkansas,Greene,3.698661777487998,% change,5055,162
Arkansas,Hempstead,20.88532334452962,% change,5057,172
Arkansas,Hot Spring,-14.906517538101049,% change,5059,184
Arkansas,Howard,179.14542901669324,% change,5061,191
Arkansas,Independence,-17.409127124471013,% change,5063,200
Arkansas,Izard,-82.25837372703633,% change,5065,203
Arkansas,Jackson,18.301408391263656,% change,5067,209
Arkansas,Jefferson,12.481135400193688,% change,5069,213
Arkansas,Johnson,-36.3683053799908,% change,5071,218
Arkansas,Lafayette,0.10811540098272655,% change,5073,222
Arkansas,Lawrence,21.630003783857195,% change,5075,230
Arkansas,Lee,1.1614148281001029,% change,5077,237
Arkansas,Lincoln,-7.117451240435857,% change,5079,244
Arkansas,Little River,119.72184041095872,% change,5081,251
Arkansas,Logan,-30.290396327885954,% change,5083,258
Arkansas,Lonoke,-5.737626611879055,% change,5085,268
Arkansas,Madison,-7.74808753772655,% change,5087,277
Arkansas,Marion,0.0,% change,5089,282
Arkansas,Miller,36.605938211432175,% change,5091,287
Arkansas,Mississippi,-6.386906660768231,% change,5093,294
Arkansas,Monroe,0.0,% change,5095,300
Arkansas,Montgomery,-7.989247042771592,% change,5097,304
Arkansas,Nevada,8.874951084960076,% change,5099,307
Arkansas,Newton,20.652745774247965,% change,5101,311
Arkansas,Ouachita,-10.101506592583375,% change,5103,316
Arkansas,Perry,34.0078713358341,% change,5105,318
Arkansas,Phillips,35.38651835965227,% change,5107,322
Arkansas,Pike,18.43223399431829,% change,5109,327
Arkansas,Poinsett,219.192126478191,% change,5111,333
Arkansas,Polk,3.5435247508265446,% change,5113,337
Arkansas,Pope,-4.199816824342674,% change,5115,340
Arkansas,Prairie,452.84489321399155,% change,5117,345
Arkansas,Pulaski,-7.653066851059173,% change,5119,350
Arkansas,Randolph,13.210553995333205,% change,5121,353
Arkansas,St. Francis,5.585547915401179,% change,5123,357
Arkansas,Saline,-2.272267172315212,% change,5125,360
Arkansas,Scott,-3.0128436889304515,% change,5127,364
Arkansas,Searcy,0.4378763111448859,% change,5129,372
Arkansas,Sebastian,-28.04441944496322,% change,5131,378
Arkansas,Sevier,-34.5188309597008,% change,5133,390
Arkansas,Sharp,12.15015002389823,% change,5135,394
Arkansas,Stone,2.9061100955444803,% change,5137,399
Arkansas,Union,22.66356068434517,% change,5139,403
Arkansas,Van Buren,-21.113537412657976,% change,5141,407
Arkansas,Washington,-24.557777381274082,% change,5143,417
Arkansas,White,-15.217488263205734,% change,5145,428
Arkansas,Woodruff,0.345025937833603,% change,5147,435
Arkansas,Yell,82.61084649043164,% change,5149,438
California,Alameda,-33.14889045180534,% change,6001,457
California,Alpine,-8.796209147819857,% change,6003,461
California,Amador,34.576544943213264,% change,6005,472
California,Butte,-5.187891201773611,% change,6007,486
California,Calaveras,17.38188651693192,% change,6009,489
California,Colusa,0.0,% change,6011,497
California,Contra Costa,-1.9233267840567474,% change,6013,503
California,Del Norte,18.982842891219867,% change,6015,511
California,El Dorado,4.329664993875601,% change,6017,522
California,Fresno,-29.127070843737368,% change,6019,527
California,Glenn,-39.21113963425407,% change,6021,537
California,Humboldt,-1.7465519787631463,% change,6023,551
California,Imperial,11.007384381022915,% change,6025,557
California,Inyo,-0.013467987364097832,% change,6027,562
California,Kern,-7.647280625346922,% change,6029,84
California,Kings,-16.220891685551983,% change,6031,94
California,Lake,4.897423159591242,% change,6033,100
California,Lassen,3.1320810502920864,% change,6035,104
California,Los Angeles,0.9808428298940105,% change,6037,139
California,Madera,7.92486451297426,% change,6039,153
California,Marin,-19.49682117249277,% change,6041,168
California,Mariposa,1.3509845920231423,% change,6043,178
California,Mendocino,-1.7059024097903976,% change,6045,190
