State,County,Supercenters & club stores (% change) 2011-16 (PCH_SUPERC_11_16),Units,FIPS,FID
Alaska,North Slope,0.0,% change,2185,614
Alaska,Northwest Arctic,0.0,% change,2188,638
Alaska,Petersburg,0.0,% change,2195,645
Alaska,Prince of Wales-Hyder,0.0,% change,2198,669
Alaska,Sitka,0.0,% change,2220,679
Alaska,Skagway,0.0,% change,2230,683
Alaska,Southeast Fairbanks,0.0,% change,2240,690
Alaska,Valdez-Cordova,0.0,% change,2261,710
Alaska,Wade Hampton,0.0,% change,2270,725
Alaska,Wrangell,0.0,% change,2275,733
Alaska,Yakutat,0.0,% change,2282,744
Alaska,Yukon-Koyukuk,0.0,% change,2290,753
Arizona,Apache,0.0,% change,4001,761
Arizona,Cochise,50.0,% change,4003,763
Arizona,Coconino,0.0,% change,4005,771
Arizona,Gila,100.0,% change,4007,787
Arizona,Graham,0.0,% change,4009,0
Arizona,Greenlee,0.0,% change,4011,1
Arizona,La Paz,0.0,% change,4012,3
Arizona,Maricopa,14.117647059,% change,4013,9
Arizona,Mohave,33.333333333,% change,4015,15
Arizona,Navajo,50.0,% change,4017,17
Arizona,Pima,41.666666667,% change,4019,21
Arizona,Pinal,16.666666667,% change,4021,26
Arizona,Santa Cruz,0.0,% change,4023,32
Arizona,Yavapai,20.0,% change,4025,35
Arizona,Yuma,20.0,% change,4027,42
Arkansas,Arkansas,0.0,% change,5001,46
Arkansas,Ashley,0.0,% change,5003,50
Arkansas,Baxter,0.0,% change,5005,54
Arkansas,Benton,0.0,% change,5007,59
Arkansas,Boone,0.0,% change,5009,62
Arkansas,Bradley,0.0,% change,5011,68
Arkansas,Calhoun,0.0,% change,5013,72
Arkansas,Carroll,0.0,% change,5015,74
Arkansas,Chicot,0.0,% change,5017,77
Arkansas,Clark,0.0,% change,5019,86
Arkansas,Clay,0.0,% change,5021,93
Arkansas,Cleburne,0.0,% change,5023,97
Arkansas,Cleveland,0.0,% change,5025,103
Arkansas,Columbia,0.0,% change,5027,107
Arkansas,Conway,0.0,% change,5029,109
Arkansas,Craighead,66.666666667,% change,5031,114
Arkansas,Crawford,0.0,% change,5033,115
Arkansas,Crittenden,0.0,% change,5035,119
Arkansas,Cross,0.0,% change,5037,124
Arkansas,Dallas,0.0,% change,5039,128
Arkansas,Desha,0.0,% change,5041,130
Arkansas,Drew,0.0,% change,5043,136
Arkansas,Faulkner,0.0,% change,5045,141
Arkansas,Franklin,0.0,% change,5047,144
Arkansas,Fulton,0.0,% change,5049,146
Arkansas,Garland,0.0,% change,5051,151
Arkansas,Grant,0.0,% change,5053,155
Arkansas,Greene,0.0,% change,5055,162
Arkansas,Hempstead,0.0,% change,5057,172
Arkansas,Hot Spring,0.0,% change,5059,184
Arkansas,Howard,0.0,% change,5061,191
Arkansas,Independence,0.0,% change,5063,200
Arkansas,Izard,0.0,% change,5065,203
Arkansas,Jackson,0.0,% change,5067,209
Arkansas,Jefferson,0.0,% change,5069,213
Arkansas,Johnson,0.0,% change,5071,218
Arkansas,Lafayette,0.0,% change,5073,222
Arkansas,Lawrence,0.0,% change,5075,230
Arkansas,Lee,0.0,% change,5077,237
Arkansas,Lincoln,0.0,% change,5079,244
Arkansas,Little River,0.0,% change,5081,251
Arkansas,Logan,0.0,% change,5083,258
Arkansas,Lonoke,100.0,% change,5085,268
Arkansas,Madison,0.0,% change,5087,277
Arkansas,Marion,0.0,% change,5089,282
Arkansas,Miller,0.0,% change,5091,287
Arkansas,Mississippi,100.0,% change,5093,294
Arkansas,Monroe,0.0,% change,5095,300
Arkansas,Montgomery,0.0,% change,5097,304
Arkansas,Nevada,0.0,% change,5099,307
Arkansas,Newton,0.0,% change,5101,311
Arkansas,Ouachita,nan,% change,5103,316
Arkansas,Perry,0.0,% change,5105,318
Arkansas,Phillips,0.0,% change,5107,322
Arkansas,Pike,0.0,% change,5109,327
Arkansas,Poinsett,0.0,% change,5111,333
Arkansas,Polk,0.0,% change,5113,337
Arkansas,Pope,0.0,% change,5115,340
Arkansas,Prairie,0.0,% change,5117,345
Arkansas,Pulaski,42.857142857,% change,5119,350
Arkansas,Randolph,0.0,% change,5121,353
Arkansas,St. Francis,0.0,% change,5123,357
Arkansas,Saline,0.0,% change,5125,360
Arkansas,Scott,0.0,% change,5127,364
Arkansas,Searcy,0.0,% change,5129,372
Arkansas,Sebastian,25.0,% change,5131,378
Arkansas,Sevier,0.0,% change,5133,390
Arkansas,Sharp,0.0,% change,5135,394
Arkansas,Stone,0.0,% change,5137,399
Arkansas,Union,0.0,% change,5139,403
Arkansas,Van Buren,0.0,% change,5141,407
Arkansas,Washington,20.0,% change,5143,417
Arkansas,White,100.0,% change,5145,428
Arkansas,Woodruff,0.0,% change,5147,435
Arkansas,Yell,0.0,% change,5149,438
California,Alameda,0.0,% change,6001,457
California,Alpine,0.0,% change,6003,461
California,Amador,0.0,% change,6005,472
California,Butte,0.0,% change,6007,486
California,Calaveras,0.0,% change,6009,489
California,Colusa,0.0,% change,6011,497
California,Contra Costa,0.0,% change,6013,503
California,Del Norte,nan,% change,6015,511
California,El Dorado,0.0,% change,6017,522
California,Fresno,100.0,% change,6019,527
California,Glenn,nan,% change,6021,537
California,Humboldt,100.0,% change,6023,551
California,Imperial,0.0,% change,6025,557
California,Inyo,0.0,% change,6027,562
California,Kern,100.0,% change,6029,84
California,Kings,100.0,% change,6031,94
California,Lake,0.0,% change,6033,100
California,Lassen,0.0,% change,6035,104
California,Los Angeles,36.585365854,% change,6037,139
California,Madera,0.0,% change,6039,153
California,Marin,0.0,% change,6041,168
California,Mariposa,0.0,% change,6043,178
California,Mendocino,0.0,% change,6045,190
California,Merced,50.0,% change,6047,204
California,Modoc,0.0,% change,6049,207
California,Mono,0.0,% change,6051,214
California,Monterey,66.666666667,% change,6053,228
California,Napa,100.0,% change,6055,236
California,Nevada,0.0,% change,6057,243
California,Orange,50.0,% change,6059,257
California,Placer,33.333333333,% change,6061,266
California,Plumas,0.0,% change,6063,275
California,Riverside,58.823529412,% change,6065,281
California,Sacramento,83.333333333,% change,6067,289
California,San Benito,0.0,% change,6069,295
California,San Bernardino,63.636363636,% change,6071,302
California,San Diego,107.692307692,% change,6073,315
California,San Francisco,0.0,% change,6075,331
California,San Joaquin,150.0,% change,6077,339
California,San Luis Obispo,0.0,% change,6079,351
California,San Mateo,0.0,% change,6081,368
California,Santa Barbara,0.0,% change,6083,391
California,Santa Clara,22.222222222,% change,6085,406
California,Santa Cruz,0.0,% change,6087,415
California,Shasta,50.0,% change,6089,431
California,Sierra,0.0,% change,6091,439
California,Siskiyou,nan,% change,6093,446
California,Solano,60.0,% change,6095,453
California,Sonoma,0.0,% change,6097,463
California,Stanislaus,33.333333333,% change,6099,473
California,Sutter,0.0,% change,6101,483
California,Tehama,0.0,% change,6103,492
California,Trinity,0.0,% change,6105,500
California,Tulare,33.333333333,% change,6107,501
California,Tuolumne,-100.0,% change,6109,513
California,Ventura,100.0,% change,6111,521
California,Yolo,0.0,% change,6113,525
California,Yuba,0.0,% change,6115,541
Colorado,Adams,-8.333333333,% change,8001,545
Colorado,Alamosa,0.0,% change,8003,549
Colorado,Arapahoe,25.0,% change,8005,558
Colorado,Archuleta,nan,% change,8007,560
Colorado,Baca,0.0,% change,8009,563
Colorado,Bent,0.0,% change,8011,564
Colorado,Boulder,0.0,% change,8013,570
Colorado,Broomfield,0.0,% change,8014,577
Colorado,Chaffee,0.0,% change,8015,582
Colorado,Cheyenne,0.0,% change,8017,587
Colorado,Clear Creek,0.0,% change,8019,591
Colorado,Conejos,0.0,% change,8021,596
Colorado,Costilla,0.0,% change,8023,599
Colorado,Crowley,0.0,% change,8025,605
Colorado,Custer,0.0,% change,8027,610
Colorado,Delta,0.0,% change,8029,617
Colorado,Denver,42.857142857,% change,8031,628
Colorado,Dolores,0.0,% change,8033,636
Colorado,Douglas,28.571428571,% change,8035,644
Colorado,Eagle,0.0,% change,8037,648
Colorado,Elbert,0.0,% change,8039,655
Colorado,El Paso,7.142857143,% change,8041,661
Colorado,Fremont,0.0,% change,8043,664
Colorado,Garfield,0.0,% change,8045,667
Colorado,Gilpin,0.0,% change,8047,672
Colorado,Grand,0.0,% change,8049,677
Colorado,Gunnison,0.0,% change,8051,682
Colorado,Hinsdale,0.0,% change,8053,688
Colorado,Huerfano,0.0,% change,8055,693
Colorado,Jackson,0.0,% change,8057,701
Colorado,Jefferson,7.692307692,% change,8059,706
Colorado,Kiowa,0.0,% change,8061,711
Colorado,Kit Carson,0.0,% change,8063,716
Colorado,Lake,0.0,% change,8065,721
Colorado,La Plata,0.0,% change,8067,727
Colorado,Larimer,50.0,% change,8069,734
Colorado,Las Animas,0.0,% change,8071,741
Colorado,Lincoln,0.0,% change,8073,747
Colorado,Logan,0.0,% change,8075,749
Colorado,Mesa,0.0,% change,8077,751
Colorado,Mineral,0.0,% change,8079,757
Colorado,Moffat,0.0,% change,8081,758
Colorado,Montezuma,0.0,% change,8083,766
Colorado,Montrose,0.0,% change,8085,769
Colorado,Morgan,0.0,% change,8087,775
Colorado,Otero,0.0,% change,8089,777
Colorado,Ouray,0.0,% change,8091,780
Colorado,Park,0.0,% change,8093,782
Colorado,Phillips,0.0,% change,8095,785
Colorado,Pitkin,0.0,% change,8097,789
Colorado,Prowers,0.0,% change,8099,792
Colorado,Pueblo,0.0,% change,8101,795
Colorado,Rio Blanco,0.0,% change,8103,799
Colorado,Rio Grande,0.0,% change,8105,802
Colorado,Routt,0.0,% change,8107,809
Colorado,Saguache,0.0,% change,8109,811
Colorado,San Juan,0.0,% change,8111,347
Colorado,San Miguel,0.0,% change,8113,359
Colorado,Sedgwick,0.0,% change,8115,366
Colorado,Summit,0.0,% change,8117,373
Colorado,Teller,0.0,% change,8119,375
Colorado,Washington,0.0,% change,8121,377
Colorado,Weld,33.333333333,% change,8123,382
Colorado,Yuma,0.0,% change,8125,385
Connecticut,Fairfield,25.0,% change,9001,410
Connecticut,Hartford,16.666666667,% change,9003,432
Connecticut,Litchfield,0.0,% change,9005,443
Connecticut,Middlesex,0.0,% change,9007,450
Connecticut,New Haven,11.111111111,% change,9009,466
Connecticut,New London,0.0,% change,9011,517
Connecticut,Tolland,0.0,% change,9013,524
Connecticut,Windham,50.0,% change,9015,529
Delaware,Kent,50.0,% change,10001,532
Delaware,New Castle,0.0,% change,10003,536
Delaware,Sussex,0.0,% change,10005,609
District of Columbia,District of Columbia,nan,% change,11001,630
Florida,Alachua,0.0,% change,12001,639
Florida,Baker,0.0,% change,12003,641
Florida,Bay,100.0,% change,12005,658
Florida,Bradford,0.0,% change,12007,665
Florida,Brevard,0.0,% change,12009,686
Florida,Broward,52.380952381,% change,12011,695
Florida,Calhoun,0.0,% change,12013,699
Florida,Charlotte,50.0,% change,12015,743
Florida,Citrus,200.0,% change,12017,843
Florida,Clay,0.0,% change,12019,852
Florida,Collier,16.666666667,% change,12021,894
Florida,Columbia,0.0,% change,12023,903
Florida,DeSoto,0.0,% change,12027,906
Florida,Dixie,0.0,% change,12029,918
Florida,Duval,10.526315789,% change,12031,924
Florida,Escambia,0.0,% change,12033,931
Florida,Flagler,100.0,% change,12035,935
Florida,Franklin,0.0,% change,12037,937
Florida,Gadsden,0.0,% change,12039,938
Florida,Gilchrist,0.0,% change,12041,939
Florida,Glades,0.0,% change,12043,940
Florida,Gulf,0.0,% change,12045,941
Florida,Hamilton,0.0,% change,12047,942
Florida,Hardee,0.0,% change,12049,943
Florida,Hendry,100.0,% change,12051,944
Florida,Hernando,25.0,% change,12053,945
Florida,Highlands,0.0,% change,12055,946
Florida,Hillsborough,36.842105263,% change,12057,947
Florida,Holmes,0.0,% change,12059,948
Florida,Indian River,0.0,% change,12061,949
Florida,Jackson,0.0,% change,12063,950
Florida,Jefferson,0.0,% change,12065,951
Florida,Lafayette,0.0,% change,12067,952
Florida,Lake,0.0,% change,12069,953
Florida,Lee,38.461538462,% change,12071,954
Florida,Leon,0.0,% change,12073,955
Florida,Levy,0.0,% change,12075,956
Florida,Liberty,0.0,% change,12077,957
Florida,Madison,0.0,% change,12079,958
Florida,Manatee,33.333333333,% change,12081,959
Florida,Marion,16.666666667,% change,12083,960
Florida,Martin,-33.333333333,% change,12085,961
Florida,Miami-Dade,44.444444444,% change,12086,962
Florida,Monroe,0.0,% change,12087,963
Florida,Nassau,0.0,% change,12089,964
Florida,Okaloosa,0.0,% change,12091,965
Florida,Okeechobee,0.0,% change,12093,966
Florida,Orange,15.0,% change,12095,967
Florida,Osceola,12.5,% change,12097,968
Florida,Palm Beach,22.222222222,% change,12099,969
Florida,Pasco,50.0,% change,12101,970
Florida,Pinellas,62.5,% change,12103,971
Florida,Polk,22.222222222,% change,12105,972
Florida,Putnam,0.0,% change,12107,973
Florida,St. Johns,0.0,% change,12109,974
Florida,St. Lucie,0.0,% change,12111,975
Florida,Santa Rosa,0.0,% change,12113,976
Florida,Sarasota,40.0,% change,12115,977
Florida,Seminole,25.0,% change,12117,978
Florida,Sumter,0.0,% change,12119,979
Florida,Suwannee,0.0,% change,12121,980
Florida,Taylor,0.0,% change,12123,981
Florida,Union,0.0,% change,12125,982
Florida,Volusia,25.0,% change,12127,983
Florida,Wakulla,0.0,% change,12129,984
Florida,Walton,0.0,% change,12131,985
Florida,Washington,0.0,% change,12133,986
Georgia,Appling,0.0,% change,13001,987
Georgia,Atkinson,0.0,% change,13003,988
Georgia,Bacon,0.0,% change,13005,989
Georgia,Baker,0.0,% change,13007,990
Georgia,Baldwin,0.0,% change,13009,991
Georgia,Banks,0.0,% change,13011,992
Georgia,Barrow,0.0,% change,13013,993
Georgia,Bartow,0.0,% change,13015,994
Georgia,Ben Hill,0.0,% change,13017,995
Georgia,Berrien,0.0,% change,13019,996
Georgia,Bibb,0.0,% change,13021,997
Georgia,Bleckley,nan,% change,13023,998
Georgia,Brantley,0.0,% change,13025,999
Georgia,Brooks,0.0,% change,13027,565
Georgia,Bryan,0.0,% change,13029,573
Georgia,Bulloch,0.0,% change,13031,579
Georgia,Burke,0.0,% change,13033,583
Georgia,Butts,0.0,% change,13035,588
Georgia,Calhoun,0.0,% change,13037,592
Georgia,Camden,0.0,% change,13039,603
Georgia,Candler,0.0,% change,13043,616
Georgia,Carroll,0.0,% change,13045,620
Georgia,Catoosa,200.0,% change,13047,626
Georgia,Charlton,0.0,% change,13049,635
Georgia,Chatham,16.666666667,% change,13051,646
Georgia,Chattahoochee,0.0,% change,13053,656
Georgia,Chattooga,0.0,% change,13055,659
Georgia,Cherokee,60.0,% change,13057,662
Georgia,Clarke,0.0,% change,13059,666
Georgia,Clay,0.0,% change,13061,670
Georgia,Clayton,0.0,% change,13063,673
Georgia,Clinch,0.0,% change,13065,676
Georgia,Cobb,0.0,% change,13067,680
Georgia,Coffee,0.0,% change,13069,684
Georgia,Colquitt,0.0,% change,13071,689
Georgia,Columbia,50.0,% change,13073,692
Georgia,Cook,nan,% change,13075,697
Georgia,Coweta,0.0,% change,13077,700
Georgia,Crawford,0.0,% change,13079,704
Georgia,Crisp,0.0,% change,13081,707
Georgia,Dade,0.0,% change,13083,708
Georgia,Dawson,0.0,% change,13085,713
Georgia,Decatur,0.0,% change,13087,714
Georgia,DeKalb,55.555555556,% change,13089,718
Georgia,Dodge,0.0,% change,13091,720
Georgia,Dooly,0.0,% change,13093,724
Georgia,Dougherty,0.0,% change,13095,728
Georgia,Douglas,0.0,% change,13097,731
Georgia,Early,0.0,% change,13099,735
Georgia,Echols,0.0,% change,13101,737
Georgia,Effingham,0.0,% change,13103,742
Georgia,Elbert,0.0,% change,13105,746
Georgia,Emanuel,0.0,% change,13107,750
Georgia,Evans,0.0,% change,13109,754
Georgia,Fannin,nan,% change,13111,755
Georgia,Fayette,0.0,% change,13113,760
Georgia,Floyd,-25.0,% change,13115,764
Georgia,Forsyth,40.0,% change,13117,768
Georgia,Franklin,0.0,% change,13119,772
Georgia,Fulton,36.363636364,% change,13121,779
Georgia,Gilmer,0.0,% change,13123,781
Georgia,Glascock,0.0,% change,13125,783
Georgia,Glynn,100.0,% change,13127,793
Georgia,Gordon,0.0,% change,13129,796
Georgia,Grady,0.0,% change,13131,797
Georgia,Greene,0.0,% change,13133,800
Georgia,Gwinnett,-11.111111111,% change,13135,804
Georgia,Habersham,nan,% change,13137,806
Georgia,Hall,66.666666667,% change,13139,808
Georgia,Hancock,0.0,% change,13141,810
Georgia,Haralson,0.0,% change,13143,813
Georgia,Harris,0.0,% change,13145,814
Georgia,Hart,0.0,% change,13147,816
Georgia,Heard,0.0,% change,13149,817
Georgia,Henry,-14.285714286,% change,13151,820
Georgia,Houston,33.333333333,% change,13153,823
Georgia,Irwin,0.0,% change,13155,825
Georgia,Jackson,0.0,% change,13157,828
Georgia,Jasper,0.0,% change,13159,830
Georgia,Jeff Davis,0.0,% change,13161,832
Georgia,Jefferson,0.0,% change,13163,834
Georgia,Jenkins,0.0,% change,13165,835
Georgia,Johnson,0.0,% change,13167,837
Georgia,Jones,0.0,% change,13169,839
Georgia,Lamar,0.0,% change,13171,841
Georgia,Lanier,0.0,% change,13173,845
Georgia,Laurens,0.0,% change,13175,847
Georgia,Lee,0.0,% change,13177,849
Georgia,Liberty,0.0,% change,13179,855
Georgia,Lincoln,0.0,% change,13181,857
Georgia,Long,0.0,% change,13183,860
Georgia,Lowndes,0.0,% change,13185,863
Georgia,Lumpkin,0.0,% change,13187,865
Georgia,McDuffie,0.0,% change,13189,868
Georgia,McIntosh,0.0,% change,13191,871
Georgia,Macon,0.0,% change,13193,874
Georgia,Madison,0.0,% change,13195,875
Georgia,Marion,0.0,% change,13197,877
Georgia,Meriwether,0.0,% change,13199,879
Georgia,Miller,0.0,% change,13201,881
Georgia,Mitchell,nan,% change,13205,883
Georgia,Monroe,nan,% change,13207,885
Georgia,Montgomery,0.0,% change,13209,887
Georgia,Morgan,0.0,% change,13211,890
Georgia,Murray,0.0,% change,13213,892
Georgia,Muscogee,0.0,% change,13215,896
Georgia,Newton,0.0,% change,13217,899
Georgia,Oconee,0.0,% change,13219,901
Georgia,Oglethorpe,0.0,% change,13221,905
Georgia,Paulding,0.0,% change,13223,908
Georgia,Peach,0.0,% change,13225,910
Georgia,Pickens,0.0,% change,13227,912
Georgia,Pierce,0.0,% change,13229,915
Georgia,Pike,0.0,% change,13231,7
Georgia,Polk,0.0,% change,13233,8
Georgia,Pulaski,0.0,% change,13235,11
Georgia,Putnam,0.0,% change,13237,13
Georgia,Quitman,0.0,% change,13239,16
Georgia,Rabun,0.0,% change,13241,18
Georgia,Randolph,0.0,% change,13243,23
Georgia,Richmond,100.0,% change,13245,24
Georgia,Rockdale,0.0,% change,13247,28
Georgia,Schley,0.0,% change,13249,31
Georgia,Screven,0.0,% change,13251,34
Georgia,Seminole,0.0,% change,13253,38
Georgia,Spalding,0.0,% change,13255,41
Georgia,Stephens,0.0,% change,13257,45
Georgia,Stewart,0.0,% change,13259,48
Georgia,Sumter,0.0,% change,13261,52
Georgia,Talbot,0.0,% change,13263,57
Georgia,Taliaferro,0.0,% change,13265,60
Georgia,Tattnall,0.0,% change,13267,63
Georgia,Taylor,0.0,% change,13269,69
Georgia,Telfair,0.0,% change,13271,75
Georgia,Terrell,0.0,% change,13273,78
Georgia,Thomas,0.0,% change,13275,83
Georgia,Tift,0.0,% change,13277,87
Georgia,Toombs,0.0,% change,13279,91
Georgia,Towns,0.0,% change,13281,95
Georgia,Treutlen,0.0,% change,13283,102
Georgia,Troup,100.0,% change,13285,105
Georgia,Turner,0.0,% change,13287,108
Georgia,Twiggs,0.0,% change,13289,116
Georgia,Union,0.0,% change,13291,120
Georgia,Upson,0.0,% change,13293,123
Georgia,Walker,0.0,% change,13295,126
Georgia,Walton,0.0,% change,13297,127
Georgia,Ware,0.0,% change,13299,132
Georgia,Warren,0.0,% change,13301,135
Georgia,Washington,0.0,% change,13303,143
Georgia,Wayne,0.0,% change,13305,147
Georgia,Webster,0.0,% change,13307,149
Georgia,Wheeler,0.0,% change,13309,154
Georgia,White,0.0,% change,13311,157
Georgia,Whitfield,0.0,% change,13313,159
Georgia,Wilcox,0.0,% change,13315,163
Georgia,Wilkes,0.0,% change,13317,167
Georgia,Wilkinson,0.0,% change,13319,169
Georgia,Worth,nan,% change,13321,173
Hawaii,Hawaii,-50.0,% change,15001,198
Hawaii,Honolulu,10.0,% change,15003,234
Hawaii,Kalawao,0.0,% change,15005,247
Hawaii,Kauai,-50.0,% change,15007,261
Hawaii,Maui,0.0,% change,15009,323
Idaho,Ada,44.444444444,% change,16001,336
Idaho,Adams,0.0,% change,16003,338
Idaho,Bannock,-25.0,% change,16005,343
Idaho,Bear Lake,0.0,% change,16007,349
Idaho,Benewah,0.0,% change,16009,354
Idaho,Bingham,0.0,% change,16011,362
Idaho,Blaine,0.0,% change,16013,371
Idaho,Boise,0.0,% change,16015,380
Idaho,Bonner,0.0,% change,16017,387
Idaho,Bonneville,0.0,% change,16019,395
Idaho,Boundary,0.0,% change,16021,405
Idaho,Butte,0.0,% change,16023,414
Idaho,Camas,0.0,% change,16025,429
Idaho,Canyon,-16.666666667,% change,16027,441
Idaho,Caribou,0.0,% change,16029,449
Idaho,Cassia,0.0,% change,16031,456
Idaho,Clark,0.0,% change,16033,464
Idaho,Clearwater,0.0,% change,16035,474
Idaho,Custer,0.0,% change,16037,484
Idaho,Elmore,0.0,% change,16039,490
Idaho,Franklin,0.0,% change,16041,498
Idaho,Fremont,0.0,% change,16043,502
Idaho,Gem,0.0,% change,16045,510
Idaho,Gooding,0.0,% change,16047,519
Idaho,Idaho,0.0,% change,16049,528
Idaho,Jefferson,0.0,% change,16051,540
Idaho,Jerome,0.0,% change,16053,547
Idaho,Kootenai,-16.666666667,% change,16055,552
Idaho,Latah,nan,% change,16057,559
Idaho,Lemhi,0.0,% change,16059,566
Idaho,Lewis,0.0,% change,16061,574
Idaho,Lincoln,0.0,% change,16063,578
Idaho,Madison,0.0,% change,16065,581
Idaho,Minidoka,0.0,% change,16067,585
Idaho,Nez Perce,0.0,% change,16069,589
Idaho,Oneida,0.0,% change,16071,593
Idaho,Owyhee,0.0,% change,16073,601
Idaho,Payette,0.0,% change,16075,606
Idaho,Power,0.0,% change,16077,613
Idaho,Shoshone,0.0,% change,16079,621
Idaho,Teton,0.0,% change,16081,627
Idaho,Twin Falls,0.0,% change,16083,634
Idaho,Valley,0.0,% change,16085,643
Idaho,Washington,0.0,% change,16087,649
Illinois,Adams,0.0,% change,17001,650
Illinois,Alexander,0.0,% change,17003,651
Illinois,Bond,0.0,% change,17005,652
Illinois,Boone,0.0,% change,17007,653
Illinois,Brown,0.0,% change,17009,654
Illinois,Bureau,0.0,% change,17011,2
Illinois,Calhoun,0.0,% change,17013,4
Illinois,Carroll,0.0,% change,17015,6
Illinois,Cass,nan,% change,17017,10
Illinois,Champaign,0.0,% change,17019,12
Illinois,Christian,0.0,% change,17021,14
Illinois,Clark,nan,% change,17023,19
Illinois,Clay,0.0,% change,17025,22
Illinois,Clinton,nan,% change,17027,27
Illinois,Coles,0.0,% change,17029,30
Illinois,Cook,88.888888889,% change,17031,36
Illinois,Crawford,nan,% change,17033,40
Illinois,Cumberland,0.0,% change,17035,44
Illinois,DeKalb,0.0,% change,17037,49
Illinois,De Witt,0.0,% change,17039,53
Illinois,Douglas,0.0,% change,17041,55
Illinois,DuPage,40.0,% change,17043,64
Illinois,Edgar,-50.0,% change,17045,66
Illinois,Edwards,0.0,% change,17047,71
Illinois,Effingham,0.0,% change,17049,76
Illinois,Fayette,0.0,% change,17051,79
Illinois,Ford,0.0,% change,17053,81
Illinois,Franklin,0.0,% change,17055,85
Illinois,Fulton,0.0,% change,17057,89
Illinois,Gallatin,0.0,% change,17059,92
Illinois,Greene,0.0,% change,17061,96
Illinois,Grundy,0.0,% change,17063,99
Illinois,Hamilton,0.0,% change,17065,106
Illinois,Hancock,0.0,% change,17067,111
