State,County,White low access to store (%) 2015 (PCT_LACCESS_WHITE15),Units,FIPS,FID
Arkansas,Baxter,10.76847337002568,Percent,5005,54
Arkansas,Benton,12.504711360670104,Percent,5007,59
Arkansas,Boone,21.980689412313417,Percent,5009,62
Arkansas,Bradley,7.446768227013913,Percent,5011,68
Arkansas,Calhoun,47.629333135089794,Percent,5013,72
Arkansas,Carroll,6.220898548886759,Percent,5015,74
Arkansas,Chicot,26.942990510385595,Percent,5017,77
Arkansas,Clark,28.218525251337116,Percent,5019,86
Arkansas,Clay,10.039741895605236,Percent,5021,93
Arkansas,Cleburne,8.82332431394074,Percent,5023,97
Arkansas,Cleveland,18.372000518377373,Percent,5025,103
Arkansas,Columbia,11.663021817785475,Percent,5027,107
Arkansas,Conway,15.128472071485731,Percent,5029,109
Arkansas,Craighead,12.456920568984167,Percent,5031,114
Arkansas,Crawford,14.309973772044119,Percent,5033,115
Arkansas,Crittenden,7.146683724444894,Percent,5035,119
Arkansas,Cross,11.555230363235813,Percent,5037,124
Arkansas,Dallas,21.133040908708843,Percent,5039,128
Arkansas,Desha,16.100781955539283,Percent,5041,130
Arkansas,Drew,15.556319495341183,Percent,5043,136
Arkansas,Faulkner,13.255635977073835,Percent,5045,141
Arkansas,Franklin,5.9013720776225105,Percent,5047,144
Arkansas,Fulton,18.76840902241919,Percent,5049,146
Arkansas,Garland,24.817975179110952,Percent,5051,151
Arkansas,Grant,10.760308992735618,Percent,5053,155
Arkansas,Greene,21.95346106085897,Percent,5055,162
Arkansas,Hempstead,17.223853205831176,Percent,5057,172
Arkansas,Hot Spring,14.251655802816149,Percent,5059,184
Arkansas,Howard,32.913284829653854,Percent,5061,191
Arkansas,Independence,13.760648758858432,Percent,5063,200
Arkansas,Izard,1.0426468203946773,Percent,5065,203
Arkansas,Jackson,11.027266275427628,Percent,5067,209
Arkansas,Jefferson,8.1162666702507,Percent,5069,213
Arkansas,Johnson,5.226319106813078,Percent,5071,218
Arkansas,Lafayette,12.823591303189222,Percent,5073,222
Arkansas,Lawrence,29.315212221518983,Percent,5075,230
Arkansas,Lee,20.972828215529738,Percent,5077,237
