State,County,SNAP-authorized stores per 1000 pop (% change) 2012-17 (PCH_SNAPSPTH_12_17),Units,FIPS,FID
Arkansas,Boone,-19.02375215406413,% change,5009,62
Arkansas,Bradley,10.285912541067175,% change,5011,68
Arkansas,Calhoun,-13.305562362166118,% change,5013,72
Arkansas,Carroll,-19.916148085644977,% change,5015,74
Arkansas,Chicot,-3.9164973600778037,% change,5017,77
Arkansas,Clark,32.837974342857244,% change,5019,86
Arkansas,Clay,-8.403649875358639,% change,5021,93
Arkansas,Cleburne,4.196213945915586,% change,5023,97
Arkansas,Cleveland,-30.839454459821035,% change,5025,103
Arkansas,Columbia,-1.1081867174002642,% change,5027,107
Arkansas,Conway,14.76615682588506,% change,5029,109
Arkansas,Craighead,5.675566909532422,% change,5031,114
Arkansas,Crawford,14.109767304255818,% change,5033,115
Arkansas,Crittenden,7.363803701816981,% change,5035,119
Arkansas,Cross,12.352911276590355,% change,5037,124
Arkansas,Dallas,42.04552855303565,% change,5039,128
Arkansas,Desha,-12.179730783847049,% change,5041,130
Arkansas,Drew,28.72036104560572,% change,5043,136
Arkansas,Faulkner,23.604760587554235,% change,5045,141
Arkansas,Franklin,21.303389997698375,% change,5047,144
Arkansas,Fulton,-3.1402944836167466,% change,5049,146
Arkansas,Garland,11.817369528669012,% change,5051,151
Arkansas,Grant,15.655695804333277,% change,5053,155
Arkansas,Greene,25.93057380514196,% change,5055,162
Arkansas,Hempstead,16.962366118397373,% change,5057,172
Arkansas,Hot Spring,0.33891956962228625,% change,5059,184
Arkansas,Howard,56.662709600830965,% change,5061,191
Arkansas,Independence,-15.809995495573537,% change,5063,200
Arkansas,Izard,-30.072206948638424,% change,5065,203
Arkansas,Jackson,-5.503355704697996,% change,5067,209
Arkansas,Jefferson,-1.053549618336759,% change,5069,213
Arkansas,Johnson,15.089770883218911,% change,5071,218
Arkansas,Lafayette,-33.94117572516569,% change,5073,222
Arkansas,Lawrence,-15.107096890735438,% change,5075,230
Arkansas,Lee,17.83516504496018,% change,5077,237
Arkansas,Lincoln,41.020941279926866,% change,5079,244
Arkansas,Little River,13.242036842247213,% change,5081,251
Arkansas,Logan,36.56112341826564,% change,5083,258
Arkansas,Lonoke,14.149120047072492,% change,5085,268
Arkansas,Madison,36.47481908106479,% change,5087,277
Arkansas,Marion,-9.60654348041737,% change,5089,282
Arkansas,Miller,29.21755297118328,% change,5091,287
Arkansas,Mississippi,-12.357338074266837,% change,5093,294
Arkansas,Monroe,22.76327138712461,% change,5095,300
Arkansas,Montgomery,-9.158328571602265,% change,5097,304
Arkansas,Nevada,1.5403285444306314,% change,5099,307
Arkansas,Newton,-20.226958822606846,% change,5101,311
Arkansas,Ouachita,27.886871382346524,% change,5103,316
Arkansas,Perry,-36.41898302702323,% change,5105,318
Arkansas,Phillips,-0.04948761412155986,% change,5107,322
Arkansas,Pike,4.278033548881581,% change,5109,327
Arkansas,Poinsett,6.311811124178893,% change,5111,333
Arkansas,Polk,8.82850008479384,% change,5113,337
Arkansas,Pope,21.127079692481786,% change,5115,340
Arkansas,Prairie,-1.597203852295982,% change,5117,345
Arkansas,Pulaski,14.634903914871048,% change,5119,350
Arkansas,Randolph,16.308468290583694,% change,5121,353
Arkansas,St. Francis,-5.04570303612232,% change,5123,357
Arkansas,Saline,9.867341750309091,% change,5125,360
Arkansas,Scott,-15.404011915614996,% change,5127,364
Arkansas,Searcy,-31.826309067688385,% change,5129,372
Arkansas,Sebastian,7.262348739129494,% change,5131,378
Arkansas,Sevier,-0.48827225597525264,% change,5133,390
Arkansas,Sharp,13.623736391584135,% change,5135,394
Arkansas,Stone,-5.364661143555628,% change,5137,399
Arkansas,Union,-16.912971074510562,% change,5139,403
Arkansas,Van Buren,37.28878648233487,% change,5141,407
Arkansas,Washington,1.0662274572254593,% change,5143,417
Arkansas,White,21.902443686148498,% change,5145,428
Arkansas,Woodruff,35.06315629280169,% change,5147,435
Arkansas,Yell,42.850877631015,% change,5149,438
California,Alameda,-9.663703040704975,% change,6001,457
California,Alpine,0,% change,6003,461
California,Amador,-2.223034980389936,% change,6005,472
California,Butte,-6.307402581288869,% change,6007,486
California,Calaveras,35.465229582667625,% change,6009,489
California,Colusa,5.986176171913405,% change,6011,497
California,Contra Costa,-2.236552762096146,% change,6013,503
California,Del Norte,1.4151801965780884,% change,6015,511
California,El Dorado,14.685078442790198,% change,6017,522
California,Fresno,-6.6250200422186625,% change,6019,527
California,Glenn,33.312133556608984,% change,6021,537
California,Humboldt,6.83567708526303,% change,6023,551
California,Imperial,11.641574389559413,% change,6025,557
California,Inyo,7.513585577333915,% change,6027,562
California,Kern,0.3478610131217164,% change,6029,84
California,Kings,-4.258097743151128,% change,6031,94
California,Lake,15.166422664778018,% change,6033,100
California,Lassen,6.118067665415478,% change,6035,104
California,Los Angeles,-7.33847965041903,% change,6037,139
California,Madera,-5.909064387675947,% change,6039,153
California,Marin,6.817312804854524,% change,6041,168
California,Mariposa,-35.255613999256695,% change,6043,178
California,Mendocino,-3.975508273482833,% change,6045,190
California,Merced,-1.6241620723949932,% change,6047,204
California,Modoc,25.754411709372764,% change,6049,207
California,Mono,13.929277244494653,% change,6051,214
California,Monterey,-2.3343150082059445,% change,6053,228
California,Napa,5.520097017666547,% change,6055,236
California,Nevada,-0.5126098419712458,% change,6057,243
California,Orange,13.545934826367805,% change,6059,257
California,Placer,12.659264964511973,% change,6061,266
California,Plumas,16.394859290907522,% change,6063,275
California,Riverside,6.7493028067036915,% change,6065,281
California,Sacramento,-2.2503155368760295,% change,6067,289
California,San Benito,11.174899268859926,% change,6069,295
California,San Bernardino,3.7283605300512246,% change,6071,302
California,San Diego,1.7028567003971289,% change,6073,315
California,San Francisco,-21.12208055977634,% change,6075,331
California,San Joaquin,-0.4323902837569993,% change,6077,339
California,San Luis Obispo,13.27232068588932,% change,6079,351
California,San Mateo,-0.8300368274156829,% change,6081,368
California,Santa Barbara,7.560816708300186,% change,6083,391
California,Santa Clara,-1.8027913277537646,% change,6085,406
California,Santa Cruz,10.448712121797236,% change,6087,415
California,Shasta,14.175396118778325,% change,6089,431
California,Sierra,54.35145048349447,% change,6091,439
California,Siskiyou,22.403055126686613,% change,6093,446
California,Solano,-1.9901332455820882,% change,6095,453
California,Sonoma,3.635990769393491,% change,6097,463
California,Stanislaus,-3.1503007838048296,% change,6099,473
California,Sutter,-13.533921918392103,% change,6101,483
California,Tehama,2.032658726501875,% change,6103,492
California,Trinity,42.09339000842091,% change,6105,500
California,Tulare,-1.1802128499801838,% change,6107,501
California,Tuolumne,11.625173725158968,% change,6109,513
California,Ventura,2.5585164663642064,% change,6111,521
California,Yolo,1.9423687409890513,% change,6113,525
California,Yuba,-5.445041733898343,% change,6115,541
Colorado,Adams,-0.8367371270068168,% change,8001,545
Colorado,Alamosa,23.934048240736676,% change,8003,549
Colorado,Arapahoe,-8.022860503805425,% change,8005,558
Colorado,Archuleta,17.93254559971421,% change,8007,560
Colorado,Baca,-26.743646705563556,% change,8009,563
Colorado,Bent,-39.39452262119826,% change,8011,564
Colorado,Boulder,6.510737489815919,% change,8013,570
Colorado,Broomfield,1.2748385931174107,% change,8014,577
Colorado,Chaffee,-4.461769259552981,% change,8015,582
Colorado,Cheyenne,-19.588979223125552,% change,8017,587
Colorado,Clear Creek,51.234680732539516,% change,8019,591
Colorado,Conejos,-10.334707390398187,% change,8021,596
Colorado,Costilla,-25.511238025055277,% change,8023,599
Colorado,Crowley,38.51118760757316,% change,8025,605
Colorado,Custer,0.5886809128499721,% change,8027,610
Colorado,Delta,-1.1042149432120643,% change,8029,617
Colorado,Denver,-13.695164780181255,% change,8031,628
Colorado,Dolores,92.93662312530236,% change,8033,636
Colorado,Douglas,6.074345398104949,% change,8035,644
Colorado,Eagle,9.396463550797456,% change,8037,648
Colorado,Elbert,-14.630418512181645,% change,8039,655
Colorado,El Paso,-1.8706084501515552,% change,8041,661
Colorado,Fremont,-40.65013293238183,% change,8043,664
Colorado,Garfield,19.815119796015438,% change,8045,667
Colorado,Gilpin,-74.51568114047471,% change,8047,672
Colorado,Grand,-19.035052283534778,% change,8049,677
Colorado,Gunnison,-16.812935175812576,% change,8051,682
Colorado,Hinsdale,0,% change,8053,688
Colorado,Huerfano,-16.507077342199235,% change,8055,693
Colorado,Jackson,94.65703971119136,% change,8057,701
Colorado,Jefferson,6.596266498230556,% change,8059,706
Colorado,Kiowa,109.88372093023256,% change,8061,711
Colorado,Kit Carson,1.7686504610226264,% change,8063,716
Colorado,Lake,8.559090092533557,% change,8065,721
Colorado,La Plata,5.547742112530099,% change,8067,727
Colorado,Larimer,-10.80028935213115,% change,8069,734
Colorado,Las Animas,-0.746827737978181,% change,8071,741
Colorado,Lincoln,-5.773680730857065,% change,8073,747
Colorado,Logan,-24.672179114829408,% change,8075,749
Colorado,Mesa,23.323595705557857,% change,8077,751
Colorado,Mineral,0.27197563098344596,% change,8079,757
Colorado,Moffat,-12.701561992713106,% change,8081,758
Colorado,Montezuma,60.42803143541909,% change,8083,766
Colorado,Montrose,4.511238520999568,% change,8085,769
Colorado,Morgan,8.54072329648047,% change,8087,775
Colorado,Otero,-10.96447155191405,% change,8089,777
Colorado,Ouray,6.304755944931169,% change,8091,780
Colorado,Park,11.903099692823222,% change,8093,782
Colorado,Phillips,-13.21542130365658,% change,8095,785
Colorado,Pitkin,-3.5047512576858626,% change,8097,789
Colorado,Prowers,-5.252692626346303,% change,8099,792
Colorado,Pueblo,-6.584780972694869,% change,8101,795
Colorado,Rio Blanco,60.21028037383178,% change,8103,799
Colorado,Rio Grande,64.06407502770656,% change,8105,802
Colorado,Routt,-1.8518657436183275,% change,8107,809
Colorado,Saguache,-57.32021405338923,% change,8109,811
Colorado,San Juan,-3.4965034965035002,% change,8111,347
Colorado,San Miguel,6.120439119058454,% change,8113,359
Colorado,Sedgwick,44.023748577929496,% change,8115,366
Colorado,Summit,21.412862965280468,% change,8117,373
Colorado,Teller,23.548771357133997,% change,8119,375
Colorado,Washington,54.426893479141356,% change,8121,377
Colorado,Weld,-10.647513141937184,% change,8123,382
Colorado,Yuma,-5.8405707196029875,% change,8125,385
Connecticut,Fairfield,-8.12093285275082,% change,9001,410
Connecticut,Hartford,-4.23312593324675,% change,9003,432
Connecticut,Litchfield,19.132059713822112,% change,9005,443
Connecticut,Middlesex,20.310708891620198,% change,9007,450
Connecticut,New Haven,-7.199929811775433,% change,9009,466
Connecticut,New London,0.9371013100171851,% change,9011,517
Connecticut,Tolland,7.627513308833484,% change,9013,524
Connecticut,Windham,-2.0496840299719996,% change,9015,529
Delaware,Kent,-19.973511360290498,% change,10001,532
Delaware,New Castle,-2.470595971188808,% change,10003,536
Delaware,Sussex,3.0600337001527644,% change,10005,609
District of Columbia,District of Columbia,-21.488902441569,% change,11001,630
Florida,Alachua,-6.6067682937751515,% change,12001,639
Florida,Baker,24.530793652019526,% change,12003,641
Florida,Bay,7.315022015349802,% change,12005,658
Florida,Bradford,-3.1691780196064014,% change,12007,665
Florida,Brevard,-8.859977312008734,% change,12009,686
Florida,Broward,-7.907608229986324,% change,12011,695
Florida,Calhoun,-8.88510411951689,% change,12013,699
Florida,Charlotte,-11.618488582278198,% change,12015,743
Florida,Citrus,-2.0323820252225078,% change,12017,843
Florida,Clay,-7.24559326233104,% change,12019,852
Florida,Collier,-10.075404837577702,% change,12021,894
Florida,Columbia,4.786791183031122,% change,12023,903
Florida,DeSoto,-7.170170315821656,% change,12027,906
Florida,Dixie,-17.728441615422664,% change,12029,918
Florida,Duval,-8.829402091694183,% change,12031,924
Florida,Escambia,-2.3599006447069533,% change,12033,931
Florida,Flagler,4.230909906888634,% change,12035,935
Florida,Franklin,-4.560199947875194,% change,12037,937
Florida,Gadsden,-7.789961241297687,% change,12039,938
Florida,Gilchrist,0.2796386128037478,% change,12041,939
Florida,Glades,-15.411492142020396,% change,12043,940
Florida,Gulf,1.317553630363043,% change,12045,941
Florida,Hamilton,20.13921499934157,% change,12047,942
Florida,Hardee,3.3366984746235238,% change,12049,943
Florida,Hendry,8.200929475658779,% change,12051,944
Florida,Hernando,5.59105604327494,% change,12053,945
Florida,Highlands,-1.9983846071396292,% change,12055,946
Florida,Hillsborough,-13.259396279552064,% change,12057,947
Florida,Holmes,0.4964604988286379,% change,12059,948
Florida,Indian River,1.519037490719193,% change,12061,949
Florida,Jackson,0.47434737598046617,% change,12063,950
Florida,Jefferson,-2.505074639489157,% change,12065,951
Florida,Lafayette,-23.237984916141976,% change,12067,952
Florida,Lake,-11.673561328608994,% change,12069,953
Florida,Lee,-9.214353260346599,% change,12071,954
Florida,Leon,1.7251116352195708,% change,12073,955
Florida,Levy,-14.482853563512728,% change,12075,956
