State,County,Children low access to store (%) 2015 (PCT_LACCESS_CHILD15),Units,FIPS,FID
Arkansas,Ashley,5.103235139211916,Percent,5003,50
Arkansas,Baxter,2.0810199532175173,Percent,5005,54
Arkansas,Benton,4.387602644324715,Percent,5007,59
Arkansas,Boone,5.063131593144974,Percent,5009,62
Arkansas,Bradley,2.404014199656083,Percent,5011,68
Arkansas,Calhoun,13.722779519290201,Percent,5013,72
Arkansas,Carroll,1.8374863102255667,Percent,5015,74
Arkansas,Chicot,14.108470193872371,Percent,5017,77
Arkansas,Clark,7.544577365616874,Percent,5019,86
Arkansas,Clay,2.145034313209712,Percent,5021,93
Arkansas,Cleburne,2.1446523842075975,Percent,5023,97
Arkansas,Cleveland,5.048248009064898,Percent,5025,103
Arkansas,Columbia,2.7724633968373333,Percent,5027,107
Arkansas,Conway,4.012230748235745,Percent,5029,109
Arkansas,Craighead,4.055234341679904,Percent,5031,114
Arkansas,Crawford,4.721193267827371,Percent,5033,115
Arkansas,Crittenden,3.4457954093972343,Percent,5035,119
Arkansas,Cross,3.272432239971231,Percent,5037,124
Arkansas,Dallas,8.811309301798817,Percent,5039,128
Arkansas,Desha,9.456961974983164,Percent,5041,130
Arkansas,Drew,4.449403735712583,Percent,5043,136
Arkansas,Faulkner,3.992663109003003,Percent,5045,141
Arkansas,Franklin,1.5691328062411087,Percent,5047,144
Arkansas,Fulton,4.476090020635565,Percent,5049,146
Arkansas,Garland,5.9716488285071225,Percent,5051,151
Arkansas,Grant,3.033166960506111,Percent,5053,155
Arkansas,Greene,6.249608943313518,Percent,5055,162
Arkansas,Hempstead,7.53264348412557,Percent,5057,172
Arkansas,Hot Spring,3.654770036124867,Percent,5059,184
Arkansas,Howard,9.864739387623903,Percent,5061,191
Arkansas,Independence,3.736535713437935,Percent,5063,200
Arkansas,Izard,0.252739437986499,Percent,5065,203
Arkansas,Jackson,4.1610731158367615,Percent,5067,209
Arkansas,Jefferson,3.7134729484552977,Percent,5069,213
Arkansas,Johnson,1.2920614780498434,Percent,5071,218
Arkansas,Lafayette,5.485578723096507,Percent,5073,222
Arkansas,Lawrence,7.260626808335514,Percent,5075,230
Arkansas,Lee,7.124879871629748,Percent,5077,237
Arkansas,Lincoln,2.4976448995677516,Percent,5079,244
Arkansas,Little River,3.7906060562873813,Percent,5081,251
Arkansas,Logan,2.328550627505852,Percent,5083,258
Arkansas,Lonoke,5.129521562558429,Percent,5085,268
Arkansas,Madison,5.178979212084952,Percent,5087,277
Arkansas,Marion,2.170512322771813,Percent,5089,282
Arkansas,Miller,8.273938810273826,Percent,5091,287
Arkansas,Mississippi,3.53388520750355,Percent,5093,294
Arkansas,Monroe,2.706294763268352,Percent,5095,300
Arkansas,Montgomery,4.500864131018995,Percent,5097,304
Arkansas,Nevada,6.409913125214637,Percent,5099,307
Arkansas,Newton,8.838022231263134,Percent,5101,311
Arkansas,Ouachita,5.740753822140697,Percent,5103,316
Arkansas,Perry,3.1463894936946097,Percent,5105,318
Arkansas,Phillips,13.80996352382925,Percent,5107,322
Arkansas,Pike,5.003139043315331,Percent,5109,327
Arkansas,Poinsett,9.015614822222592,Percent,5111,333
Arkansas,Polk,9.573051809714404,Percent,5113,337
Arkansas,Pope,2.859186092243061,Percent,5115,340
Arkansas,Prairie,8.179285089827504,Percent,5117,345
Arkansas,Pulaski,6.888026701847324,Percent,5119,350
Arkansas,Randolph,8.060749474635873,Percent,5121,353
Arkansas,St. Francis,6.655110041413299,Percent,5123,357
Arkansas,Saline,5.569552858364429,Percent,5125,360
Arkansas,Scott,3.9353324893672035,Percent,5127,364
Arkansas,Searcy,6.731783229007468,Percent,5129,372
Arkansas,Sebastian,2.4680770788284927,Percent,5131,378
Arkansas,Sevier,6.745627005091159,Percent,5133,390
Arkansas,Sharp,4.195659909554888,Percent,5135,394
Arkansas,Stone,5.617414071639567,Percent,5137,399
Arkansas,Union,6.504501397183195,Percent,5139,403
Arkansas,Van Buren,2.10838682509342,Percent,5141,407
Arkansas,Washington,3.946104240580952,Percent,5143,417
Arkansas,White,3.057807095232835,Percent,5145,428
Arkansas,Woodruff,0.990535813012533,Percent,5147,435
Arkansas,Yell,2.7153525993141985,Percent,5149,438
California,Alameda,1.6999895021050926,Percent,6001,457
California,Alpine,8.854059181559233,Percent,6003,461
California,Amador,1.243891412590478,Percent,6005,472
California,Butte,4.527862974469718,Percent,6007,486
California,Calaveras,2.2416762078664707,Percent,6009,489
California,Colusa,1.8942682689861712,Percent,6011,497
California,Contra Costa,4.480443230864183,Percent,6013,503
California,Del Norte,7.438045088145438,Percent,6015,511
California,El Dorado,7.153217125723193,Percent,6017,522
California,Fresno,2.696395876011876,Percent,6019,527
California,Glenn,2.1270590473839985,Percent,6021,537
California,Humboldt,3.2119193642178976,Percent,6023,551
California,Imperial,3.904610598263144,Percent,6025,557
California,Inyo,8.084104543906612,Percent,6027,562
California,Kern,3.9404396884337403,Percent,6029,84
California,Kings,3.9186426353247503,Percent,6031,94
California,Lake,3.8844837759155024,Percent,6033,100
California,Lassen,5.3163096705844675,Percent,6035,104
California,Los Angeles,1.5390656151803033,Percent,6037,139
California,Madera,5.975025729041248,Percent,6039,153
California,Marin,2.50176629942008,Percent,6041,168
California,Mariposa,2.519187200260583,Percent,6043,178
California,Mendocino,3.879054106317733,Percent,6045,190
California,Merced,5.129788851421892,Percent,6047,204
California,Modoc,5.088923235570577,Percent,6049,207
California,Mono,10.001047051869032,Percent,6051,214
California,Monterey,3.1108234329696405,Percent,6053,228
California,Napa,1.8922263592624409,Percent,6055,236
California,Nevada,5.221945215884208,Percent,6057,243
California,Orange,1.541870004103232,Percent,6059,257
California,Placer,3.6943701982467165,Percent,6061,266
California,Plumas,1.4707575773723347,Percent,6063,275
California,Riverside,5.374629923147539,Percent,6065,281
California,Sacramento,3.3480505285321835,Percent,6067,289
California,San Benito,4.728432604364128,Percent,6069,295
California,San Bernardino,5.976861005315963,Percent,6071,302
California,San Diego,2.995926860905728,Percent,6073,315
California,San Francisco,0.11587493008095076,Percent,6075,331
California,San Joaquin,3.666825642391268,Percent,6077,339
California,San Luis Obispo,3.0303936200969486,Percent,6079,351
California,San Mateo,2.181055755683575,Percent,6081,368
California,Santa Barbara,3.081917107010439,Percent,6083,391
California,Santa Clara,1.7901930692945667,Percent,6085,406
California,Santa Cruz,2.5247512465071003,Percent,6087,415
California,Shasta,5.250569240225264,Percent,6089,431
California,Sierra,15.773421492406298,Percent,6091,439
California,Siskiyou,3.8856255854564363,Percent,6093,446
California,Solano,4.36255670647601,Percent,6095,453
California,Sonoma,3.1356151051064525,Percent,6097,463
California,Stanislaus,3.446396836983107,Percent,6099,473
California,Sutter,9.508356783434541,Percent,6101,483
California,Tehama,4.879694299256528,Percent,6103,492
California,Trinity,2.489557572130981,Percent,6105,500
California,Tulare,4.52005338508898,Percent,6107,501
California,Tuolumne,5.99500079879646,Percent,6109,513
California,Ventura,4.001628784111546,Percent,6111,521
California,Yolo,1.52816977025444,Percent,6113,525
California,Yuba,6.798008610483902,Percent,6115,541
Colorado,Adams,4.381709638324966,Percent,8001,545
Colorado,Alamosa,1.6820054784582907,Percent,8003,549
Colorado,Arapahoe,3.2946185399340737,Percent,8005,558
Colorado,Archuleta,6.328003521849429,Percent,8007,560
Colorado,Baca,5.323808968205069,Percent,8009,563
Colorado,Bent,4.379943090219696,Percent,8011,564
Colorado,Boulder,3.543407126562412,Percent,8013,570
Colorado,Broomfield,8.146468739004312,Percent,8014,577
Colorado,Chaffee,1.6917505739211243,Percent,8015,582
Colorado,Cheyenne,8.507603615736983,Percent,8017,587
Colorado,Clear Creek,2.1219202435264966,Percent,8019,591
Colorado,Conejos,1.456233483146778,Percent,8021,596
Colorado,Costilla,20.868205379618246,Percent,8023,599
Colorado,Crowley,1.448355745835602,Percent,8025,605
Colorado,Custer,4.016168080478284,Percent,8027,610
Colorado,Delta,2.38065798075252,Percent,8029,617
Colorado,Denver,2.5836157842633773,Percent,8031,628
Colorado,Dolores,22.383720848435612,Percent,8033,636
Colorado,Douglas,5.871640562377734,Percent,8035,644
Colorado,Eagle,3.7293235132388642,Percent,8037,648
Colorado,Elbert,6.703023713826865,Percent,8039,655
Colorado,El Paso,6.815047140593222,Percent,8041,661
Colorado,Fremont,6.178638059726273,Percent,8043,664
Colorado,Garfield,4.704318434705705,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.4696387572146069,Percent,8049,677
Colorado,Gunnison,1.9269002752665754,Percent,8051,682
Colorado,Hinsdale,2.3035283917330127,Percent,8053,688
Colorado,Huerfano,5.7462726098597825,Percent,8055,693
Colorado,Jackson,4.745551312896241,Percent,8057,701
Colorado,Jefferson,5.346534962045187,Percent,8059,706
