State,County,Households no car & low access to store (% change) 2010 - 15 (PCH_LACCESS_HHNV_10_15),Units,FIPS,FID
Arkansas,Benton,-42.09331824491059,% change,5007,59
Arkansas,Boone,-13.451465811638217,% change,5009,62
Arkansas,Bradley,41.171649456659786,% change,5011,68
Arkansas,Calhoun,62.63582366762225,% change,5013,72
Arkansas,Carroll,46.291359092670135,% change,5015,74
Arkansas,Chicot,228.3838880868974,% change,5017,77
Arkansas,Clark,-4.996819318279154,% change,5019,86
Arkansas,Clay,-12.15589999274042,% change,5021,93
Arkansas,Cleburne,-21.3282827699897,% change,5023,97
Arkansas,Cleveland,-33.463842216688214,% change,5025,103
Arkansas,Columbia,-24.429208549894373,% change,5027,107
Arkansas,Conway,-19.740480986941407,% change,5029,109
Arkansas,Craighead,-5.263292441866478,% change,5031,114
Arkansas,Crawford,-25.79283285535085,% change,5033,115
Arkansas,Crittenden,-2.6910280237820103,% change,5035,119
Arkansas,Cross,12.744785312018896,% change,5037,124
Arkansas,Dallas,-3.7328155113059385,% change,5039,128
Arkansas,Desha,5.414333787061029,% change,5041,130
Arkansas,Drew,13.957537532651978,% change,5043,136
Arkansas,Faulkner,-24.558600185631278,% change,5045,141
Arkansas,Franklin,-20.484249100576022,% change,5047,144
Arkansas,Fulton,20.66943361170565,% change,5049,146
Arkansas,Garland,-15.009044700157236,% change,5051,151
Arkansas,Grant,-18.146915479063043,% change,5053,155
Arkansas,Greene,-30.269753173923498,% change,5055,162
Arkansas,Hempstead,34.53802691701336,% change,5057,172
Arkansas,Hot Spring,-6.30465266317268,% change,5059,184
Arkansas,Howard,44.95587870253889,% change,5061,191
Arkansas,Independence,-3.1999148858073667,% change,5063,200
Arkansas,Izard,26.621067109544207,% change,5065,203
Arkansas,Jackson,18.613986831170667,% change,5067,209
Arkansas,Jefferson,20.695158377079768,% change,5069,213
Arkansas,Johnson,8.48283336063792,% change,5071,218
Arkansas,Lafayette,-2.856302030671307,% change,5073,222
Arkansas,Lawrence,30.7679610977795,% change,5075,230
Arkansas,Lee,15.921701782011835,% change,5077,237
Arkansas,Lincoln,3.1714145348071003,% change,5079,244
Arkansas,Little River,3.852930613451824,% change,5081,251
Arkansas,Logan,-3.2938061770836633,% change,5083,258
Arkansas,Lonoke,12.306219677927388,% change,5085,268
Arkansas,Madison,16.481494391151518,% change,5087,277
Arkansas,Marion,63.297462738434284,% change,5089,282
Arkansas,Miller,89.89543064151607,% change,5091,287
Arkansas,Mississippi,-7.906620866365845,% change,5093,294
Arkansas,Monroe,18.575670991003516,% change,5095,300
Arkansas,Montgomery,-13.622961966691975,% change,5097,304
Arkansas,Nevada,24.928963531941626,% change,5099,307
Arkansas,Newton,-40.65800973680706,% change,5101,311
Arkansas,Ouachita,1.966339622076104,% change,5103,316
Arkansas,Perry,21.08571694976877,% change,5105,318
Arkansas,Phillips,1.1578336252255592,% change,5107,322
Arkansas,Pike,-35.26305508301573,% change,5109,327
Arkansas,Poinsett,172.5852541385605,% change,5111,333
Arkansas,Polk,47.44161494565117,% change,5113,337
Arkansas,Pope,6.585899089137609,% change,5115,340
Arkansas,Prairie,-4.567806019970034,% change,5117,345
Arkansas,Pulaski,-20.60632188312933,% change,5119,350
Arkansas,Randolph,50.33931282915805,% change,5121,353
Arkansas,St. Francis,-25.78829655485085,% change,5123,357
Arkansas,Saline,-12.832442155153817,% change,5125,360
Arkansas,Scott,-12.358369901449796,% change,5127,364
Arkansas,Searcy,-30.70976082923706,% change,5129,372
Arkansas,Sebastian,2.8656884699169782,% change,5131,378
Arkansas,Sevier,-14.626197077936887,% change,5133,390
Arkansas,Sharp,19.143900568390855,% change,5135,394
Arkansas,Stone,-15.855444152840551,% change,5137,399
Arkansas,Union,-28.78684130117212,% change,5139,403
Arkansas,Van Buren,-29.652056987201554,% change,5141,407
Arkansas,Washington,-4.21257645261748,% change,5143,417
Arkansas,White,-13.602266638386881,% change,5145,428
Arkansas,Woodruff,25.741255148408637,% change,5147,435
Arkansas,Yell,21.807745547086473,% change,5149,438
California,Alameda,-44.86745573679969,% change,6001,457
California,Alpine,28.061224751815743,% change,6003,461
California,Amador,-4.517919016461735,% change,6005,472
California,Butte,-3.539885574107364,% change,6007,486
California,Calaveras,18.520907849126313,% change,6009,489
California,Colusa,-10.03863918512405,% change,6011,497
California,Contra Costa,-1.290446191409535,% change,6013,503
California,Del Norte,9.534105927128564,% change,6015,511
California,El Dorado,44.87472390378572,% change,6017,522
California,Fresno,-18.97402543577729,% change,6019,527
California,Glenn,-11.532552497841039,% change,6021,537
California,Humboldt,-1.683293876217679,% change,6023,551
California,Imperial,-3.0807454961173057,% change,6025,557
California,Inyo,31.96775395207507,% change,6027,562
California,Kern,8.069177325977915,% change,6029,84
California,Kings,-17.49539265511418,% change,6031,94
California,Lake,30.807262032642512,% change,6033,100
California,Lassen,3.752248923833464,% change,6035,104
California,Los Angeles,13.979014709739863,% change,6037,139
California,Madera,28.570245921079213,% change,6039,153
California,Marin,-17.870428903236544,% change,6041,168
California,Mariposa,-20.518495506090368,% change,6043,178
California,Mendocino,22.39471207860623,% change,6045,190
California,Merced,-15.12860471055487,% change,6047,204
California,Modoc,-9.128484958420074,% change,6049,207
California,Mono,-39.050654493624755,% change,6051,214
California,Monterey,-18.590454419153847,% change,6053,228
California,Napa,-30.56521596936641,% change,6055,236
California,Nevada,-0.26957992616528914,% change,6057,243
California,Orange,-9.363815200553358,% change,6059,257
California,Placer,20.60107862096854,% change,6061,266
California,Plumas,97.3918893637064,% change,6063,275
California,Riverside,11.881279854293943,% change,6065,281
California,Sacramento,9.217337611759868,% change,6067,289
California,San Benito,161.41633738630475,% change,6069,295
California,San Bernardino,0.44166755188819384,% change,6071,302
California,San Diego,-3.7976173513296656,% change,6073,315
California,San Francisco,-76.17078466949067,% change,6075,331
California,San Joaquin,47.89921034130196,% change,6077,339
California,San Luis Obispo,-10.538644248525564,% change,6079,351
California,San Mateo,0.9776607460598796,% change,6081,368
California,Santa Barbara,-3.9667025082085186,% change,6083,391
California,Santa Clara,-15.808400495756015,% change,6085,406
California,Santa Cruz,1.5734943005447402,% change,6087,415
California,Shasta,20.71952607727773,% change,6089,431
California,Sierra,-64.58451365703782,% change,6091,439
California,Siskiyou,-0.5291852047881367,% change,6093,446
California,Solano,-19.951843009538273,% change,6095,453
California,Sonoma,0.59283688816926,% change,6097,463
California,Stanislaus,-8.785618879209958,% change,6099,473
California,Sutter,9.667003475166485,% change,6101,483
California,Tehama,16.74851963193866,% change,6103,492
California,Trinity,59.68444421582385,% change,6105,500
California,Tulare,-12.501475468904601,% change,6107,501
California,Tuolumne,42.8338065316541,% change,6109,513
California,Ventura,28.56100758898044,% change,6111,521
California,Yolo,-8.81219256032838,% change,6113,525
California,Yuba,57.3542937929176,% change,6115,541
Colorado,Adams,-1.204771922214016,% change,8001,545
Colorado,Alamosa,-10.248227782438224,% change,8003,549
Colorado,Arapahoe,-44.12099059411242,% change,8005,558
Colorado,Archuleta,37.929347125554415,% change,8007,560
Colorado,Baca,-8.917267898037286,% change,8009,563
Colorado,Bent,-15.717811669413539,% change,8011,564
Colorado,Boulder,39.795877288309875,% change,8013,570
Colorado,Broomfield,274.24040369041177,% change,8014,577
Colorado,Chaffee,17.642429770213763,% change,8015,582
Colorado,Cheyenne,-68.10057769721841,% change,8017,587
Colorado,Clear Creek,-50.204882232744495,% change,8019,591
Colorado,Conejos,-6.624200312995175,% change,8021,596
Colorado,Costilla,12.9730195566089,% change,8023,599
Colorado,Crowley,-27.091738557016686,% change,8025,605
Colorado,Custer,63.04938229752746,% change,8027,610
Colorado,Delta,48.59735628026549,% change,8029,617
Colorado,Denver,-50.58017990104584,% change,8031,628
Colorado,Dolores,7527.600269913827,% change,8033,636
Colorado,Douglas,31.938035551194904,% change,8035,644
Colorado,Eagle,-19.86992649303986,% change,8037,648
Colorado,Elbert,83.07847476577771,% change,8039,655
Colorado,El Paso,-39.68914349967253,% change,8041,661
Colorado,Fremont,30.705850482601594,% change,8043,664
