State,County,Full-service restaurants per 1000 pop 2016 (FSRPTH16),Units,FIPS,FID
Alabama,Autauga,0.560801766,Count,1001,5
Alabama,Baldwin,1.137300069,Count,1003,20
Alabama,Barbour,0.543183053,Count,1005,25
Alabama,Bibb,0.309282905,Count,1007,29
Alabama,Blount,0.208470866,Count,1009,33
Alabama,Bullock,0.095776267,Count,1011,37
Alabama,Butler,0.450788881,Count,1013,39
Alabama,Calhoun,0.652287354,Count,1015,43
Alabama,Chambers,0.533855325,Count,1017,47
Alabama,Cherokee,0.465730032,Count,1019,51
Alabama,Chilton,0.524754734,Count,1021,56
Alabama,Choctaw,0.536398467,Count,1023,58
Alabama,Clarke,0.533880903,Count,1025,61
Alabama,Clay,0.596569724,Count,1027,65
Alabama,Cleburne,0.134471862,Count,1029,67
Alabama,Coffee,0.605267782,Count,1031,70
Alabama,Colbert,0.662653929,Count,1033,73
Alabama,Conecuh,0.239712345,Count,1035,80
Alabama,Coosa,0.092515496,Count,1037,82
Alabama,Covington,0.50821163,Count,1039,88
Alabama,Crenshaw,0.431437406,Count,1041,90
Alabama,Cullman,0.522339107,Count,1043,98
Alabama,Dale,0.548468351,Count,1045,101
Alabama,Dallas,0.299393728,Count,1047,110
Alabama,DeKalb,0.449337228,Count,1049,112
Alabama,Elmore,0.492368291,Count,1051,118
Alabama,Escambia,0.506991141,Count,1053,122
Alabama,Etowah,0.564608765,Count,1055,131
Alabama,Fayette,0.544201234,Count,1057,134
Alabama,Franklin,0.538366533,Count,1059,138
Alabama,Geneva,0.716548499,Count,1061,140
Alabama,Greene,0.235626767,Count,1063,148
Alabama,Hale,0.269414697,Count,1065,150
Alabama,Henry,0.468055231,Count,1067,158
Alabama,Houston,0.700757394,Count,1069,160
Alabama,Jackson,0.49952929,Count,1071,164
Alabama,Jefferson,0.594167158,Count,1073,171
Alabama,Lamar,0.501828088,Count,1075,174
Alabama,Lauderdale,0.747408442,Count,1077,176
Alabama,Lawrence,0.451372171,Count,1079,181
Alabama,Lee,0.64157803,Count,1081,187
Alabama,Limestone,0.473525613,Count,1083,197
Alabama,Lowndes,0.195293428,Count,1085,205
Alabama,Macon,0.157298658,Count,1087,210
Alabama,Madison,0.625855991,Count,1089,217
