State,County,Low income & low access to store (% change) 2010 - 15 (PCH_LACCESS_LOWI_10_15),Units,FIPS,FID
Arkansas,Boone,-3.737878023046902,% change,5009,62
Arkansas,Bradley,10.186603458270078,% change,5011,68
Arkansas,Calhoun,2.0966456767504678,% change,5013,72
Arkansas,Carroll,-5.947940281416137,% change,5015,74
Arkansas,Chicot,1032.3520029773301,% change,5017,77
Arkansas,Clark,448.45399147797036,% change,5019,86
Arkansas,Clay,-14.326033017216835,% change,5021,93
Arkansas,Cleburne,-32.46577820604938,% change,5023,97
Arkansas,Cleveland,-37.33191250400462,% change,5025,103
Arkansas,Columbia,-1.9665174751453118,% change,5027,107
Arkansas,Conway,-32.8850629700437,% change,5029,109
Arkansas,Craighead,-16.833280547840346,% change,5031,114
Arkansas,Crawford,-18.46905215813806,% change,5033,115
Arkansas,Crittenden,12.74379876621056,% change,5035,119
Arkansas,Cross,-18.930581766917996,% change,5037,124
Arkansas,Dallas,87.54721851389839,% change,5039,128
Arkansas,Desha,25.821277139008753,% change,5041,130
Arkansas,Drew,45.884100876200826,% change,5043,136
Arkansas,Faulkner,-38.68176594417955,% change,5045,141
Arkansas,Franklin,-34.54468009129556,% change,5047,144
Arkansas,Fulton,30.519905227575666,% change,5049,146
Arkansas,Garland,-7.055893827765793,% change,5051,151
Arkansas,Grant,9.42906591553788,% change,5053,155
Arkansas,Greene,14.497115367363254,% change,5055,162
Arkansas,Hempstead,36.748128320016505,% change,5057,172
Arkansas,Hot Spring,-22.32502210920229,% change,5059,184
Arkansas,Howard,182.166816171338,% change,5061,191
Arkansas,Independence,-5.82140998493198,% change,5063,200
Arkansas,Izard,-79.40110326482109,% change,5065,203
Arkansas,Jackson,21.602647710956575,% change,5067,209
Arkansas,Jefferson,3.4054498469177483,% change,5069,213
Arkansas,Johnson,-33.4557404641992,% change,5071,218
Arkansas,Lafayette,5.972912769930487,% change,5073,222
Arkansas,Lawrence,18.845067319757252,% change,5075,230
Arkansas,Lee,72.48719524743838,% change,5077,237
Arkansas,Lincoln,-18.652417050106415,% change,5079,244
Arkansas,Little River,38.252182988815036,% change,5081,251
Arkansas,Logan,-28.124453138366075,% change,5083,258
Arkansas,Lonoke,4.653426789077178,% change,5085,268
Arkansas,Madison,0.5676627621850387,% change,5087,277
Arkansas,Marion,22.084748326913896,% change,5089,282
Arkansas,Miller,38.801734573490585,% change,5091,287
Arkansas,Mississippi,5.402684312451496,% change,5093,294
Arkansas,Monroe,1.5053953731202783,% change,5095,300
Arkansas,Montgomery,13.56487982561014,% change,5097,304
Arkansas,Nevada,32.095603579932614,% change,5099,307
Arkansas,Newton,40.47513284288904,% change,5101,311
Arkansas,Ouachita,-11.796169839832094,% change,5103,316
Arkansas,Perry,21.3493357838324,% change,5105,318
Arkansas,Phillips,29.00589890763936,% change,5107,322
Arkansas,Pike,20.47450100636453,% change,5109,327
Arkansas,Poinsett,247.85998791832503,% change,5111,333
Arkansas,Polk,8.590335864644118,% change,5113,337
Arkansas,Pope,4.216496610963041,% change,5115,340
Arkansas,Prairie,1126.394935359848,% change,5117,345
Arkansas,Pulaski,3.0429319846010077,% change,5119,350
Arkansas,Randolph,2.9581698745730964,% change,5121,353
Arkansas,St. Francis,3.089087435099539,% change,5123,357
Arkansas,Saline,-0.4886484214031659,% change,5125,360
Arkansas,Scott,5.694574476249992,% change,5127,364
Arkansas,Searcy,-13.586606029597908,% change,5129,372
Arkansas,Sebastian,-29.737273934111858,% change,5131,378
Arkansas,Sevier,-43.781662194766845,% change,5133,390
Arkansas,Sharp,15.279043104269743,% change,5135,394
Arkansas,Stone,9.79132234561926,% change,5137,399
Arkansas,Union,20.531744182168634,% change,5139,403
Arkansas,Van Buren,-5.994079481547049,% change,5141,407
Arkansas,Washington,-16.974428402472682,% change,5143,417
Arkansas,White,-10.143759390247745,% change,5145,428
Arkansas,Woodruff,7.134356638657563,% change,5147,435
Arkansas,Yell,57.55675947324558,% change,5149,438
California,Alameda,-37.502539721196364,% change,6001,457
California,Alpine,-3.952941733395466,% change,6003,461
California,Amador,13.373151637407455,% change,6005,472
California,Butte,3.0307908420171756,% change,6007,486
California,Calaveras,27.97464599232809,% change,6009,489
California,Colusa,10.033270846617716,% change,6011,497
California,Contra Costa,9.798921193000435,% change,6013,503
California,Del Norte,37.03501817389249,% change,6015,511
California,El Dorado,27.440298306536786,% change,6017,522
California,Fresno,-23.662287316846836,% change,6019,527
California,Glenn,-33.16256459124099,% change,6021,537
California,Humboldt,-4.772818706806268,% change,6023,551
California,Imperial,14.387511800264866,% change,6025,557
California,Inyo,13.1218570320336,% change,6027,562
California,Kern,-0.5277910997872622,% change,6029,84
California,Kings,-13.75398578689618,% change,6031,94
California,Lake,14.332737362556761,% change,6033,100
California,Lassen,-75.44451817101331,% change,6035,104
California,Los Angeles,16.08793015425026,% change,6037,139
California,Madera,24.521740338068394,% change,6039,153
California,Marin,-13.693662096579985,% change,6041,168
California,Mariposa,3.4860275010238277,% change,6043,178
California,Mendocino,-9.677683220062516,% change,6045,190
California,Merced,33.20409681205527,% change,6047,204
California,Modoc,-21.974973831430205,% change,6049,207
California,Mono,84.74780524376652,% change,6051,214
California,Monterey,11.407465940352125,% change,6053,228
California,Napa,-12.282909428037186,% change,6055,236
California,Nevada,26.763132517073192,% change,6057,243
California,Orange,-6.985099420110041,% change,6059,257
California,Placer,35.073124707124045,% change,6061,266
California,Plumas,30.968927754534338,% change,6063,275
California,Riverside,10.836742339700415,% change,6065,281
California,Sacramento,20.826019416755194,% change,6067,289
California,San Benito,5.148426785101548,% change,6069,295
California,San Bernardino,7.2596655881508525,% change,6071,302
California,San Diego,12.724788891556177,% change,6073,315
California,San Francisco,-76.62405393829104,% change,6075,331
California,San Joaquin,33.110530331028706,% change,6077,339
California,San Luis Obispo,11.648949189483405,% change,6079,351
California,San Mateo,-28.291330424746896,% change,6081,368
California,Santa Barbara,5.806864275265674,% change,6083,391
California,Santa Clara,-21.59724638194257,% change,6085,406
California,Santa Cruz,-5.782291926159624,% change,6087,415
