State,County,American Indian or Alaska Native low access to store (%) 2015 (PCT_LACCESS_NHNA15),Units,FIPS,FID
Arizona,Yuma,0.24264968247205226,Percent,4027,42
Arkansas,Arkansas,0.09236018561455439,Percent,5001,46
Arkansas,Ashley,0.08602362074842997,Percent,5003,50
Arkansas,Baxter,0.057984011751478326,Percent,5005,54
Arkansas,Benton,0.2570643245519298,Percent,5007,59
Arkansas,Boone,0.1745085896648083,Percent,5009,62
Arkansas,Bradley,0.03515558218856943,Percent,5011,68
Arkansas,Calhoun,0.22137965863838674,Percent,5013,72
Arkansas,Carroll,0.06802652753863805,Percent,5015,74
Arkansas,Chicot,0.08474576294176611,Percent,5017,77
Arkansas,Clark,0.14486517388940162,Percent,5019,86
Arkansas,Clay,0.014155095969528323,Percent,5021,93
Arkansas,Cleburne,0.06552943101576857,Percent,5023,97
Arkansas,Cleveland,0.161123256337376,Percent,5025,103
Arkansas,Columbia,0.11340916352904609,Percent,5027,107
Arkansas,Conway,0.0986929794221022,Percent,5029,109
Arkansas,Craighead,0.06935833153224412,Percent,5031,114
Arkansas,Crawford,0.2820603118242445,Percent,5033,115
Arkansas,Crittenden,0.044135227711830184,Percent,5035,119
Arkansas,Cross,0.05296119025028092,Percent,5037,124
Arkansas,Dallas,0.16029496126468581,Percent,5039,128
Arkansas,Desha,0.08557414062239392,Percent,5041,130
Arkansas,Drew,0.04856387833293657,Percent,5043,136
Arkansas,Faulkner,0.07709510410497099,Percent,5045,141
Arkansas,Franklin,0.11508767734083035,Percent,5047,144
Arkansas,Fulton,0.10046078553374274,Percent,5049,146
Arkansas,Garland,0.1680804049323898,Percent,5051,151
Arkansas,Grant,0.07806553943723184,Percent,5053,155
Arkansas,Greene,0.0884887905393483,Percent,5055,162
Arkansas,Hempstead,0.10723288385485294,Percent,5057,172
Arkansas,Hot Spring,0.10284749567052731,Percent,5059,184
Arkansas,Howard,0.38372803313665893,Percent,5061,191
Arkansas,Independence,0.054417078525937725,Percent,5063,200
Arkansas,Izard,0.024494310096151942,Percent,5065,203
Arkansas,Jackson,0.06321062138977385,Percent,5067,209
Arkansas,Jefferson,0.0389070727160966,Percent,5069,213
Arkansas,Johnson,0.0448001642377733,Percent,5071,218
Arkansas,Lafayette,0.049172048029893396,Percent,5073,222
Arkansas,Lawrence,0.1578403622669957,Percent,5075,230
Arkansas,Lee,0.11115560979285685,Percent,5077,237
Arkansas,Lincoln,0.05006172272936211,Percent,5079,244
Arkansas,Little River,0.17293942757235062,Percent,5081,251
Arkansas,Logan,0.13350006107180334,Percent,5083,258
Arkansas,Lonoke,0.08941213383841946,Percent,5085,268
Arkansas,Madison,0.2615281865453401,Percent,5087,277
Arkansas,Marion,0.08410779589649252,Percent,5089,282
Arkansas,Miller,0.228988260014555,Percent,5091,287
Arkansas,Mississippi,0.03570533720832552,Percent,5093,294
Arkansas,Monroe,0.021205264895203337,Percent,5095,300
Arkansas,Montgomery,0.16912567940967324,Percent,5097,304
Arkansas,Nevada,0.08828508497926843,Percent,5099,307
Arkansas,Newton,0.44185708759888476,Percent,5101,311
Arkansas,Ouachita,0.08369113264947281,Percent,5103,316
Arkansas,Perry,0.06855999273063446,Percent,5105,318
Arkansas,Phillips,0.0992365481884235,Percent,5107,322
Arkansas,Pike,0.24842970031984593,Percent,5109,327
Arkansas,Poinsett,0.12778863466356996,Percent,5111,333
Arkansas,Polk,0.7090616933565096,Percent,5113,337
Arkansas,Pope,0.05788117481838926,Percent,5115,340
Arkansas,Prairie,0.13868937357216637,Percent,5117,345
Arkansas,Pulaski,0.11741658644801724,Percent,5119,350
Arkansas,Randolph,0.2157326672787523,Percent,5121,353
Arkansas,St. Francis,0.16296046514984358,Percent,5123,357
Arkansas,Saline,0.120608472527255,Percent,5125,360
Arkansas,Scott,0.4599322710940372,Percent,5127,364
Arkansas,Searcy,0.5181387741316266,Percent,5129,372
Arkansas,Sebastian,0.18356166023930606,Percent,5131,378
Arkansas,Sevier,0.41700161303712974,Percent,5133,390
Arkansas,Sharp,0.2034846608813832,Percent,5135,394
Arkansas,Stone,0.24649133385719946,Percent,5137,399
Arkansas,Union,0.0858700148448015,Percent,5139,403
Arkansas,Van Buren,0.07888873709877306,Percent,5141,407
Arkansas,Washington,0.14947055241481544,Percent,5143,417
Arkansas,White,0.08837660681521407,Percent,5145,428
Arkansas,Woodruff,0.0,Percent,5147,435
Arkansas,Yell,0.08603899992908315,Percent,5149,438
California,Alameda,0.02880478768695744,Percent,6001,457
California,Alpine,2.1151291550173617,Percent,6003,461
California,Amador,0.2518643987845457,Percent,6005,472
California,Butte,0.4157682048597614,Percent,6007,486
California,Calaveras,0.17477571508742704,Percent,6009,489
California,Colusa,0.28911806725471356,Percent,6011,497
California,Contra Costa,0.08330656943137951,Percent,6013,503
California,Del Norte,3.341164742939472,Percent,6015,511
California,El Dorado,0.3045895090388467,Percent,6017,522
California,Fresno,0.17316598920574347,Percent,6019,527
California,Glenn,0.6580555059861923,Percent,6021,537
California,Humboldt,0.740320640782145,Percent,6023,551
California,Imperial,0.2238658577233195,Percent,6025,557
California,Inyo,5.314545353410914,Percent,6027,562
California,Kern,0.1896695326801023,Percent,6029,84
California,Kings,0.19938189870239506,Percent,6031,94
California,Lake,0.8898324819998252,Percent,6033,100
California,Lassen,1.388719152828961,Percent,6035,104
California,Los Angeles,0.04016827444065537,Percent,6037,139
California,Madera,0.43575836962647596,Percent,6039,153
California,Marin,0.0447347761875678,Percent,6041,168
California,Mariposa,0.47017499757668507,Percent,6043,178
California,Mendocino,0.786363570419252,Percent,6045,190
California,Merced,0.1568113374398842,Percent,6047,204
California,Modoc,1.4925468992770596,Percent,6049,207
California,Mono,1.7773147332871286,Percent,6051,214
California,Monterey,0.12708822883096008,Percent,6053,228
California,Napa,0.07226076774961666,Percent,6055,236
California,Nevada,0.25774163980929593,Percent,6057,243
California,Orange,0.02137451949444923,Percent,6059,257
California,Placer,0.127541068616297,Percent,6061,266
California,Plumas,0.15678715365934373,Percent,6063,275
California,Riverside,0.19451178404249872,Percent,6065,281
California,Sacramento,0.11903210267485347,Percent,6067,289
California,San Benito,0.16929064603635746,Percent,6069,295
California,San Bernardino,0.24666337826521686,Percent,6071,302
California,San Diego,0.09803613216864758,Percent,6073,315
California,San Francisco,0.005607351575660149,Percent,6075,331
California,San Joaquin,0.11597365805708645,Percent,6077,339
California,San Luis Obispo,0.13192862963887003,Percent,6079,351
California,San Mateo,0.028742040869940054,Percent,6081,368
California,Santa Barbara,0.15398988286462353,Percent,6083,391
California,Santa Clara,0.03864693314841186,Percent,6085,406
California,Santa Cruz,0.10547361843803119,Percent,6087,415
California,Shasta,0.6736784768803824,Percent,6089,431
California,Sierra,1.2651315746087932,Percent,6091,439
California,Siskiyou,1.0911237464121446,Percent,6093,446
California,Solano,0.10699564112742171,Percent,6095,453
California,Sonoma,0.17998386588096854,Percent,6097,463
