State,County,SNAP-authorized stores per 1000 pop 2017 (SNAPSPTH17),Units,FIPS,FID
Alaska,Skagway,0,"# per 1,000 pop",2230,683
Alaska,Southeast Fairbanks,0.8589818041037552,"# per 1,000 pop",2240,690
Alaska,Valdez-Cordova,1.535891355895667,"# per 1,000 pop",2261,710
Alaska,Wade Hampton,0,"# per 1,000 pop",2270,725
Alaska,Wrangell,0,"# per 1,000 pop",2275,733
Alaska,Yakutat,3.3057851239669422,"# per 1,000 pop",2282,744
Alaska,Yukon-Koyukuk,5.902454178316248,"# per 1,000 pop",2290,753
Arizona,Apache,0.6424042677987878,"# per 1,000 pop",4001,761
Arizona,Cochise,0.7494629516816828,"# per 1,000 pop",4003,763
Arizona,Coconino,0.6612159269572465,"# per 1,000 pop",4005,771
Arizona,Gila,0.8364329638698342,"# per 1,000 pop",4007,787
Arizona,Graham,0.6517019875798501,"# per 1,000 pop",4009,0
Arizona,Greenlee,1.0664551383747576,"# per 1,000 pop",4011,1
Arizona,La Paz,1.7029917641538435,"# per 1,000 pop",4012,3
Arizona,Maricopa,0.481189719233635,"# per 1,000 pop",4013,9
Arizona,Mohave,0.7275579150579151,"# per 1,000 pop",4015,15
Arizona,Navajo,0.856614902651835,"# per 1,000 pop",4017,17
Arizona,Pima,0.5901462924016403,"# per 1,000 pop",4019,21
Arizona,Pinal,0.3813789454029601,"# per 1,000 pop",4021,26
Arizona,Santa Cruz,0.5896736778325975,"# per 1,000 pop",4023,32
Arizona,Yavapai,0.6406098430396314,"# per 1,000 pop",4025,35
Arizona,Yuma,0.5336474987231008,"# per 1,000 pop",4027,42
Arkansas,Arkansas,1.057494295096566,"# per 1,000 pop",5001,46
Arkansas,Ashley,0.9696133050666403,"# per 1,000 pop",5003,50
Arkansas,Baxter,0.8181195341151817,"# per 1,000 pop",5005,54
Arkansas,Benton,0.5157091000125172,"# per 1,000 pop",5007,59
Arkansas,Boone,0.7936295622553347,"# per 1,000 pop",5009,62
Arkansas,Bradley,0.9434830633284241,"# per 1,000 pop",5011,68
Arkansas,Calhoun,0.7623403849818944,"# per 1,000 pop",5013,72
Arkansas,Carroll,0.688877755511022,"# per 1,000 pop",5015,74
Arkansas,Chicot,1.253604111821487,"# per 1,000 pop",5017,77
Arkansas,Clark,0.7625712106939398,"# per 1,000 pop",5019,86
Arkansas,Clay,0.8322162645218946,"# per 1,000 pop",5021,93
Arkansas,Cleburne,0.8949483658043224,"# per 1,000 pop",5023,97
Arkansas,Cleveland,0.48768593026091195,"# per 1,000 pop",5025,103
Arkansas,Columbia,0.8182728798972928,"# per 1,000 pop",5027,107
Arkansas,Conway,1.0558105437623508,"# per 1,000 pop",5029,109
Arkansas,Craighead,0.909458681479407,"# per 1,000 pop",5031,114
Arkansas,Crawford,0.6984570448917391,"# per 1,000 pop",5033,115
Arkansas,Crittenden,1.3504273504273505,"# per 1,000 pop",5035,119
Arkansas,Cross,1.1119017968333038,"# per 1,000 pop",5037,124
Arkansas,Dallas,1.6006131926597231,"# per 1,000 pop",5039,128
Arkansas,Desha,1.2892440213079452,"# per 1,000 pop",5041,130
Arkansas,Drew,1.0244244352186338,"# per 1,000 pop",5043,136
Arkansas,Faulkner,0.5944005046338978,"# per 1,000 pop",5045,141
Arkansas,Franklin,0.8570896217626235,"# per 1,000 pop",5047,144
Arkansas,Fulton,0.6290612470620767,"# per 1,000 pop",5049,146
Arkansas,Garland,0.8058140242048288,"# per 1,000 pop",5051,151
Arkansas,Grant,0.6376731810257822,"# per 1,000 pop",5053,155
Arkansas,Greene,0.8582484333266747,"# per 1,000 pop",5055,162
Arkansas,Hempstead,0.8538798164158393,"# per 1,000 pop",5057,172
Arkansas,Hot Spring,0.8538353090685253,"# per 1,000 pop",5059,184
Arkansas,Howard,1.2736805658604144,"# per 1,000 pop",5061,191
Arkansas,Independence,0.7465870307167236,"# per 1,000 pop",5063,200
Arkansas,Izard,0.9255199961030738,"# per 1,000 pop",5065,203
Arkansas,Jackson,1.1185682326621922,"# per 1,000 pop",5067,209
Arkansas,Jefferson,1.1321710193156334,"# per 1,000 pop",5069,213
Arkansas,Johnson,0.844255297780456,"# per 1,000 pop",5071,218
Arkansas,Lafayette,1.0201107548819586,"# per 1,000 pop",5073,222
Arkansas,Lawrence,1.1144730206757438,"# per 1,000 pop",5075,230
Arkansas,Lee,1.3168410345829702,"# per 1,000 pop",5077,237
Arkansas,Lincoln,0.708388294494113,"# per 1,000 pop",5079,244
Arkansas,Little River,1.0518650376244032,"# per 1,000 pop",5081,251
Arkansas,Logan,0.8593438296043949,"# per 1,000 pop",5083,258
Arkansas,Lonoke,0.7041802701491582,"# per 1,000 pop",5085,268
Arkansas,Madison,0.6324336454699391,"# per 1,000 pop",5087,277
Arkansas,Marion,0.6137894651408163,"# per 1,000 pop",5089,282
Arkansas,Miller,1.068570389232448,"# per 1,000 pop",5091,287
Arkansas,Mississippi,1.110873913834136,"# per 1,000 pop",5093,294
Arkansas,Monroe,2.5876264408374503,"# per 1,000 pop",5095,300
Arkansas,Montgomery,0.6727211570803902,"# per 1,000 pop",5097,304
Arkansas,Nevada,0.9006845202353789,"# per 1,000 pop",5099,307
Arkansas,Newton,0.830352580480327,"# per 1,000 pop",5101,311
Arkansas,Ouachita,1.3092843975196917,"# per 1,000 pop",5103,316
Arkansas,Perry,0.3946012111841257,"# per 1,000 pop",5105,318
Arkansas,Phillips,1.574951539952617,"# per 1,000 pop",5107,322
Arkansas,Pike,1.3984710050344955,"# per 1,000 pop",5109,327
Arkansas,Poinsett,1.1626783693522122,"# per 1,000 pop",5111,333
Arkansas,Polk,0.8284455048546906,"# per 1,000 pop",5113,337
Arkansas,Pope,0.6448917782825513,"# per 1,000 pop",5115,340
Arkansas,Prairie,0.9598286453281605,"# per 1,000 pop",5117,345
Arkansas,Pulaski,0.8080428609624761,"# per 1,000 pop",5119,350
Arkansas,Randolph,0.7784169656926962,"# per 1,000 pop",5121,353
Arkansas,St. Francis,1.2469469083429745,"# per 1,000 pop",5123,357
Arkansas,Saline,0.5992138984101976,"# per 1,000 pop",5125,360
Arkansas,Scott,1.0052656773575874,"# per 1,000 pop",5127,364
Arkansas,Searcy,1.02880658436214,"# per 1,000 pop",5129,372
Arkansas,Sebastian,0.9198040179953737,"# per 1,000 pop",5131,378
Arkansas,Sevier,1.1393514460999126,"# per 1,000 pop",5133,390
Arkansas,Sharp,0.9438663063684622,"# per 1,000 pop",5135,394
Arkansas,Stone,0.6912871234479274,"# per 1,000 pop",5137,399
Arkansas,Union,0.8301858095262238,"# per 1,000 pop",5139,403
Arkansas,Van Buren,0.8330304131830849,"# per 1,000 pop",5141,407
Arkansas,Washington,0.6939774823703857,"# per 1,000 pop",5143,417
Arkansas,White,0.93440990854173,"# per 1,000 pop",5145,428
Arkansas,Woodruff,1.5218383807639628,"# per 1,000 pop",5147,435
Arkansas,Yell,1.161548111322771,"# per 1,000 pop",5149,438
California,Alameda,0.5056547959042559,"# per 1,000 pop",6001,457
California,Alpine,0,"# per 1,000 pop",6003,461
California,Amador,0.7788363623811252,"# per 1,000 pop",6005,472
California,Butte,0.8148199836599883,"# per 1,000 pop",6007,486
California,Calaveras,0.9360630610904314,"# per 1,000 pop",6009,489
California,Colusa,1.0395169303676528,"# per 1,000 pop",6011,497
California,Contra Costa,0.4442501954352258,"# per 1,000 pop",6013,503
California,Del Norte,0.9798568134935082,"# per 1,000 pop",6015,511
California,El Dorado,0.5732316684921891,"# per 1,000 pop",6017,522
California,Fresno,0.8978979130760013,"# per 1,000 pop",6019,527
California,Glenn,1.139033245532854,"# per 1,000 pop",6021,537
California,Humboldt,0.9396434473580298,"# per 1,000 pop",6023,551
California,Imperial,0.633557585370745,"# per 1,000 pop",6025,557
California,Inyo,0.9107215503531935,"# per 1,000 pop",6027,562
California,Kern,0.7889019641652827,"# per 1,000 pop",6029,84
California,Kings,0.7400572503403264,"# per 1,000 pop",6031,94
California,Lake,0.9494754537247456,"# per 1,000 pop",6033,100
California,Lassen,0.751425301372354,"# per 1,000 pop",6035,104
California,Los Angeles,0.6014492176109419,"# per 1,000 pop",6037,139
California,Madera,0.8525081267129837,"# per 1,000 pop",6039,153
California,Marin,0.41609983841403053,"# per 1,000 pop",6041,168
California,Mariposa,0.5122659229324379,"# per 1,000 pop",6043,178
California,Mendocino,1.0452407462110023,"# per 1,000 pop",6045,190
California,Merced,0.8419731082040879,"# per 1,000 pop",6047,204
California,Modoc,1.2134552432554464,"# per 1,000 pop",6049,207
California,Mono,0.6352343308865048,"# per 1,000 pop",6051,214
California,Monterey,0.6173304681892123,"# per 1,000 pop",6053,228
California,Napa,0.45280538353680017,"# per 1,000 pop",6055,236
California,Nevada,0.5744017205335258,"# per 1,000 pop",6057,243
California,Orange,0.4364656469408224,"# per 1,000 pop",6059,257
California,Placer,0.5451023653040404,"# per 1,000 pop",6061,266
California,Plumas,1.3250097819514104,"# per 1,000 pop",6063,275
California,Riverside,0.48529546488086744,"# per 1,000 pop",6065,281
California,Sacramento,0.6138055618166555,"# per 1,000 pop",6067,289
California,San Benito,0.42834245288233014,"# per 1,000 pop",6069,295
California,San Bernardino,0.6306576484206634,"# per 1,000 pop",6071,302
California,San Diego,0.4906844115007855,"# per 1,000 pop",6073,315
California,San Francisco,0.49338714230845626,"# per 1,000 pop",6075,331
California,San Joaquin,0.6895404494623194,"# per 1,000 pop",6077,339
California,San Luis Obispo,0.5310421481625236,"# per 1,000 pop",6079,351
California,San Mateo,0.33769331483906095,"# per 1,000 pop",6081,368
California,Santa Barbara,0.5312581352969615,"# per 1,000 pop",6083,391
California,Santa Clara,0.3873103241419363,"# per 1,000 pop",6085,406
California,Santa Cruz,0.5675427182366368,"# per 1,000 pop",6087,415
California,Shasta,0.9217008205453137,"# per 1,000 pop",6089,431
California,Sierra,1.0003334444814937,"# per 1,000 pop",6091,439
California,Siskiyou,1.1781786118775606,"# per 1,000 pop",6093,446
California,Solano,0.5157613063408895,"# per 1,000 pop",6095,453
California,Sonoma,0.5987831958594549,"# per 1,000 pop",6097,463
California,Stanislaus,0.824056988605564,"# per 1,000 pop",6099,473
California,Sutter,0.8932759429407059,"# per 1,000 pop",6101,483
California,Tehama,0.9346744673528767,"# per 1,000 pop",6103,492
California,Trinity,1.6458153014923806,"# per 1,000 pop",6105,500
California,Tulare,0.960007291103777,"# per 1,000 pop",6107,501
California,Tuolumne,0.7388905274541611,"# per 1,000 pop",6109,513
California,Ventura,0.5072836171975391,"# per 1,000 pop",6111,521
California,Yolo,0.6750610026956803,"# per 1,000 pop",6113,525
California,Yuba,0.8816796700895309,"# per 1,000 pop",6115,541
Colorado,Adams,0.46820108101948904,"# per 1,000 pop",8001,545
Colorado,Alamosa,0.9465691901798482,"# per 1,000 pop",8003,549
Colorado,Arapahoe,0.43153586335164196,"# per 1,000 pop",8005,558
Colorado,Archuleta,0.8386531480786082,"# per 1,000 pop",8007,560
Colorado,Baca,1.1229646266142617,"# per 1,000 pop",8009,563
Colorado,Bent,0.6736274840013473,"# per 1,000 pop",8011,564
Colorado,Boulder,0.37879492569831597,"# per 1,000 pop",8013,570
Colorado,Broomfield,0.3170376006594382,"# per 1,000 pop",8014,577
Colorado,Chaffee,0.7807991309366195,"# per 1,000 pop",8015,582
Colorado,Cheyenne,0.8581752484191509,"# per 1,000 pop",8017,587
Colorado,Clear Creek,0.6702179513961424,"# per 1,000 pop",8019,591
Colorado,Conejos,0.9571521668295863,"# per 1,000 pop",8021,596
Colorado,Costilla,2.3834745762711864,"# per 1,000 pop",8023,599
Colorado,Crowley,0.5163511187607573,"# per 1,000 pop",8025,605
Colorado,Custer,0.7693885925318015,"# per 1,000 pop",8027,610
Colorado,Delta,0.408924365349385,"# per 1,000 pop",8029,617
Colorado,Denver,0.4841846420510694,"# per 1,000 pop",8031,628
Colorado,Dolores,0.9675858732462506,"# per 1,000 pop",8033,636
Colorado,Douglas,0.2661803345670581,"# per 1,000 pop",8035,644
Colorado,Eagle,0.3286350690133645,"# per 1,000 pop",8037,648
Colorado,Elbert,0.14299456620648415,"# per 1,000 pop",8039,655
