State,County,SNAP benefits per capita 2017 (PC_SNAPBEN17),Units,FIPS,FID
Arizona,Gila,27.329708099365234,Dollars/capita,4007,787
Arizona,Graham,20.1315860748291,Dollars/capita,4009,0
Arizona,Greenlee,11.017098426818848,Dollars/capita,4011,1
Arizona,La Paz,20.35904312133789,Dollars/capita,4012,3
Arizona,Maricopa,13.366548538208008,Dollars/capita,4013,9
Arizona,Mohave,20.160070419311523,Dollars/capita,4015,15
Arizona,Navajo,33.54182815551758,Dollars/capita,4017,17
Arizona,Pima,16.721111297607422,Dollars/capita,4019,21
Arizona,Pinal,14.18481731414795,Dollars/capita,4021,26
Arizona,Santa Cruz,28.172697067260742,Dollars/capita,4023,32
Arizona,Yavapai,10.051803588867188,Dollars/capita,4025,35
Arizona,Yuma,22.053815841674805,Dollars/capita,4027,42
Arkansas,Arkansas,18.297433853149414,Dollars/capita,5001,46
Arkansas,Ashley,18.615753173828125,Dollars/capita,5003,50
Arkansas,Baxter,11.687421798706055,Dollars/capita,5005,54
Arkansas,Benton,5.626799583435059,Dollars/capita,5007,59
Arkansas,Boone,13.380237579345703,Dollars/capita,5009,62
Arkansas,Bradley,21.431638717651367,Dollars/capita,5011,68
Arkansas,Calhoun,10.529826164245605,Dollars/capita,5013,72
Arkansas,Carroll,10.142308235168457,Dollars/capita,5015,74
Arkansas,Chicot,26.72527313232422,Dollars/capita,5017,77
Arkansas,Clark,11.348854064941406,Dollars/capita,5019,86
Arkansas,Clay,11.891197204589844,Dollars/capita,5021,93
Arkansas,Cleburne,10.180453300476074,Dollars/capita,5023,97
Arkansas,Cleveland,16.97756576538086,Dollars/capita,5025,103
Arkansas,Columbia,17.377717971801758,Dollars/capita,5027,107
Arkansas,Conway,15.765442848205566,Dollars/capita,5029,109
Arkansas,Craighead,13.25211238861084,Dollars/capita,5031,114
Arkansas,Crawford,12.9545259475708,Dollars/capita,5033,115
Arkansas,Crittenden,29.33333396911621,Dollars/capita,5035,119
Arkansas,Cross,16.55004119873047,Dollars/capita,5037,124
Arkansas,Dallas,14.867667198181152,Dollars/capita,5039,128
Arkansas,Desha,25.161510467529297,Dollars/capita,5041,130
Arkansas,Drew,17.666828155517578,Dollars/capita,5043,136
Arkansas,Faulkner,10.268571853637695,Dollars/capita,5045,141
Arkansas,Franklin,13.005403518676758,Dollars/capita,5047,144
Arkansas,Fulton,15.560625076293945,Dollars/capita,5049,146
Arkansas,Garland,15.604411125183105,Dollars/capita,5051,151
Arkansas,Grant,10.606477737426758,Dollars/capita,5053,155
Arkansas,Greene,14.621667861938477,Dollars/capita,5055,162
Arkansas,Hempstead,15.42320442199707,Dollars/capita,5057,172
Arkansas,Hot Spring,14.085800170898438,Dollars/capita,5059,184
Arkansas,Howard,17.009201049804688,Dollars/capita,5061,191
Arkansas,Independence,12.44533920288086,Dollars/capita,5063,200
Arkansas,Izard,11.483755111694336,Dollars/capita,5065,203
Arkansas,Jackson,18.864896774291992,Dollars/capita,5067,209
Arkansas,Jefferson,23.962478637695312,Dollars/capita,5069,213
Arkansas,Johnson,16.61833381652832,Dollars/capita,5071,218
Arkansas,Lafayette,17.4754695892334,Dollars/capita,5073,222
Arkansas,Lawrence,14.56379222869873,Dollars/capita,5075,230
Arkansas,Lee,26.899883270263672,Dollars/capita,5077,237
Arkansas,Lincoln,13.715863227844238,Dollars/capita,5079,244
Arkansas,Little River,15.090217590332031,Dollars/capita,5081,251
Arkansas,Logan,15.115243911743164,Dollars/capita,5083,258
Arkansas,Lonoke,9.971695899963379,Dollars/capita,5085,268
Arkansas,Madison,13.107697486877441,Dollars/capita,5087,277
Arkansas,Marion,13.792509078979492,Dollars/capita,5089,282
Arkansas,Miller,17.521522521972656,Dollars/capita,5091,287
Arkansas,Mississippi,23.219636917114258,Dollars/capita,5093,294
Arkansas,Monroe,22.688779830932617,Dollars/capita,5095,300
Arkansas,Montgomery,13.3142728805542,Dollars/capita,5097,304
Arkansas,Nevada,17.823545455932617,Dollars/capita,5099,307
Arkansas,Newton,11.529126167297363,Dollars/capita,5101,311
Arkansas,Ouachita,19.304088592529297,Dollars/capita,5103,316
Arkansas,Perry,13.1426362991333,Dollars/capita,5105,318
Arkansas,Phillips,36.43029022216797,Dollars/capita,5107,322
Arkansas,Pike,14.147865295410156,Dollars/capita,5109,327
Arkansas,Poinsett,20.72120475769043,Dollars/capita,5111,333
Arkansas,Polk,17.807435989379883,Dollars/capita,5113,337
Arkansas,Pope,10.882222175598145,Dollars/capita,5115,340
Arkansas,Prairie,12.002909660339355,Dollars/capita,5117,345
Arkansas,Pulaski,15.925212860107422,Dollars/capita,5119,350
Arkansas,Randolph,12.56383991241455,Dollars/capita,5121,353
Arkansas,St. Francis,24.713973999023438,Dollars/capita,5123,357
Arkansas,Saline,7.854032039642334,Dollars/capita,5125,360
Arkansas,Scott,16.5469913482666,Dollars/capita,5127,364
Arkansas,Searcy,10.886453628540039,Dollars/capita,5129,372
Arkansas,Sebastian,14.867779731750488,Dollars/capita,5131,378
Arkansas,Sevier,16.37939453125,Dollars/capita,5133,390
Arkansas,Sharp,18.517986297607422,Dollars/capita,5135,394
Arkansas,Stone,14.816143989562988,Dollars/capita,5137,399
Arkansas,Union,18.424633026123047,Dollars/capita,5139,403
Arkansas,Van Buren,15.292418479919434,Dollars/capita,5141,407
Arkansas,Washington,8.051862716674805,Dollars/capita,5143,417
Arkansas,White,14.151142120361328,Dollars/capita,5145,428
Arkansas,Woodruff,21.508649826049805,Dollars/capita,5147,435
Arkansas,Yell,11.781970024108887,Dollars/capita,5149,438
California,Alameda,9.500818252563477,Dollars/capita,6001,457
California,Alpine,15.625,Dollars/capita,6003,461
California,Amador,10.694437026977539,Dollars/capita,6005,472
California,Butte,19.186429977416992,Dollars/capita,6007,486
California,Calaveras,15.225166320800781,Dollars/capita,6009,489
California,Colusa,9.153099060058594,Dollars/capita,6011,497
California,Contra Costa,8.027151107788086,Dollars/capita,6013,503
California,Del Norte,26.107269287109375,Dollars/capita,6015,511
California,El Dorado,8.785436630249023,Dollars/capita,6017,522
California,Fresno,31.603748321533203,Dollars/capita,6019,527
California,Glenn,15.543057441711426,Dollars/capita,6021,537
California,Humboldt,21.645315170288086,Dollars/capita,6023,551
California,Imperial,29.8797607421875,Dollars/capita,6025,557
California,Inyo,14.372757911682129,Dollars/capita,6027,562
California,Kern,24.64957046508789,Dollars/capita,6029,84
California,Kings,21.071922302246094,Dollars/capita,6031,94
California,Lake,25.858938217163086,Dollars/capita,6033,100
California,Lassen,14.277080535888672,Dollars/capita,6035,104
California,Los Angeles,15.80477237701416,Dollars/capita,6037,139
California,Madera,24.251598358154297,Dollars/capita,6039,153
California,Marin,5.494242191314697,Dollars/capita,6041,168
California,Mariposa,15.0691556930542,Dollars/capita,6043,178
California,Mendocino,19.368196487426758,Dollars/capita,6045,190
California,Merced,27.146068572998047,Dollars/capita,6047,204
California,Modoc,18.38996124267578,Dollars/capita,6049,207
California,Mono,7.240495204925537,Dollars/capita,6051,214
California,Monterey,14.667688369750977,Dollars/capita,6053,228
California,Napa,5.820263385772705,Dollars/capita,6055,236
California,Nevada,10.22318172454834,Dollars/capita,6057,243
California,Orange,10.284682273864746,Dollars/capita,6059,257
California,Placer,5.577696323394775,Dollars/capita,6061,266
California,Plumas,15.571087837219238,Dollars/capita,6063,275
California,Riverside,15.360605239868164,Dollars/capita,6065,281
California,Sacramento,19.69780158996582,Dollars/capita,6067,289
California,San Benito,11.038799285888672,Dollars/capita,6069,295
California,San Bernardino,23.620479583740234,Dollars/capita,6071,302
California,San Diego,11.12222957611084,Dollars/capita,6073,315
California,San Francisco,8.572083473205566,Dollars/capita,6075,331
California,San Joaquin,19.730045318603516,Dollars/capita,6077,339
California,San Luis Obispo,8.323188781738281,Dollars/capita,6079,351
California,San Mateo,4.5480570793151855,Dollars/capita,6081,368
California,Santa Barbara,11.953400611877441,Dollars/capita,6083,391
California,Santa Clara,6.610718250274658,Dollars/capita,6085,406
California,Santa Cruz,13.26702880859375,Dollars/capita,6087,415
California,Shasta,17.71518325805664,Dollars/capita,6089,431
California,Sierra,12.976548194885254,Dollars/capita,6091,439
California,Siskiyou,20.118349075317383,Dollars/capita,6093,446
California,Solano,12.870835304260254,Dollars/capita,6095,453
California,Sonoma,8.290246963500977,Dollars/capita,6097,463
California,Stanislaus,20.954439163208008,Dollars/capita,6099,473
California,Sutter,17.815509796142578,Dollars/capita,6101,483
California,Tehama,19.24881935119629,Dollars/capita,6103,492
California,Trinity,19.579299926757812,Dollars/capita,6105,500
California,Tulare,35.9167594909668,Dollars/capita,6107,501
California,Tuolumne,12.578036308288574,Dollars/capita,6109,513
California,Ventura,11.51046085357666,Dollars/capita,6111,521
California,Yolo,12.267475128173828,Dollars/capita,6113,525
California,Yuba,23.42346954345703,Dollars/capita,6115,541
Colorado,Adams,13.05298900604248,Dollars/capita,8001,545
Colorado,Alamosa,27.74253273010254,Dollars/capita,8003,549
Colorado,Arapahoe,9.599145889282227,Dollars/capita,8005,558
Colorado,Archuleta,9.844786643981934,Dollars/capita,8007,560
Colorado,Baca,11.814523696899414,Dollars/capita,8009,563
Colorado,Bent,15.703940391540527,Dollars/capita,8011,564
Colorado,Boulder,6.467419624328613,Dollars/capita,8013,570
Colorado,Broomfield,3.393521785736084,Dollars/capita,8014,577
Colorado,Chaffee,7.3921308517456055,Dollars/capita,8015,582
Colorado,Cheyenne,6.594399452209473,Dollars/capita,8017,587
Colorado,Clear Creek,7.885941028594971,Dollars/capita,8019,591
Colorado,Conejos,24.539752960205078,Dollars/capita,8021,596
Colorado,Costilla,31.3603458404541,Dollars/capita,8023,599
Colorado,Crowley,14.902466773986816,Dollars/capita,8025,605
Colorado,Custer,9.67719841003418,Dollars/capita,8027,610
Colorado,Delta,13.418171882629395,Dollars/capita,8029,617
Colorado,Denver,15.39444637298584,Dollars/capita,8031,628
Colorado,Dolores,10.038702964782715,Dollars/capita,8033,636
Colorado,Douglas,2.194558620452881,Dollars/capita,8035,644
Colorado,Eagle,3.4156746864318848,Dollars/capita,8037,648
Colorado,Elbert,4.96256160736084,Dollars/capita,8039,655
Colorado,El Paso,11.32135009765625,Dollars/capita,8041,661
Colorado,Fremont,12.664970397949219,Dollars/capita,8043,664
Colorado,Garfield,10.082941055297852,Dollars/capita,8045,667
Colorado,Gilpin,8.9251070022583,Dollars/capita,8047,672
Colorado,Grand,4.438352584838867,Dollars/capita,8049,677
Colorado,Gunnison,5.918294906616211,Dollars/capita,8051,682
Colorado,Hinsdale,3.883291244506836,Dollars/capita,8053,688
Colorado,Huerfano,27.43170166015625,Dollars/capita,8055,693
Colorado,Jackson,10.40914535522461,Dollars/capita,8057,701
Colorado,Jefferson,6.7631025314331055,Dollars/capita,8059,706
Colorado,Kiowa,9.87160873413086,Dollars/capita,8061,711
Colorado,Kit Carson,8.743131637573242,Dollars/capita,8063,716
Colorado,Lake,14.37816047668457,Dollars/capita,8065,721
Colorado,La Plata,7.285614013671875,Dollars/capita,8067,727
Colorado,Larimer,8.073479652404785,Dollars/capita,8069,734
Colorado,Las Animas,22.252656936645508,Dollars/capita,8071,741
Colorado,Lincoln,9.25592041015625,Dollars/capita,8073,747
Colorado,Logan,11.063664436340332,Dollars/capita,8075,749
Colorado,Mesa,13.322582244873047,Dollars/capita,8077,751
Colorado,Mineral,2.067014694213867,Dollars/capita,8079,757
Colorado,Moffat,14.704389572143555,Dollars/capita,8081,758
Colorado,Montezuma,14.94197940826416,Dollars/capita,8083,766
Colorado,Montrose,16.535436630249023,Dollars/capita,8085,769
Colorado,Morgan,12.098586082458496,Dollars/capita,8087,775
Colorado,Otero,22.481719970703125,Dollars/capita,8089,777
Colorado,Ouray,7.37032413482666,Dollars/capita,8091,780
Colorado,Park,7.926091194152832,Dollars/capita,8093,782
Colorado,Phillips,9.203168869018555,Dollars/capita,8095,785
Colorado,Pitkin,1.9005030393600464,Dollars/capita,8097,789
Colorado,Prowers,24.11626625061035,Dollars/capita,8099,792
Colorado,Pueblo,24.11473274230957,Dollars/capita,8101,795
Colorado,Rio Blanco,9.553478240966797,Dollars/capita,8103,799
Colorado,Rio Grande,27.453323364257812,Dollars/capita,8105,802
Colorado,Routt,4.31205415725708,Dollars/capita,8107,809
Colorado,Saguache,21.493610382080078,Dollars/capita,8109,811
Colorado,San Juan,12.3543119430542,Dollars/capita,8111,347
Colorado,San Miguel,5.156688213348389,Dollars/capita,8113,359
Colorado,Sedgwick,8.745734214782715,Dollars/capita,8115,366
Colorado,Summit,4.495667934417725,Dollars/capita,8117,373
Colorado,Teller,9.35243034362793,Dollars/capita,8119,375
