State,County,Seniors low access to store (% change) 2010 -15 (PCH_LACCESS_SENIORS_10_15),Units,FIPS,FID
Arkansas,Benton,-13.38960463864581,% change,5007,59
Arkansas,Boone,-21.68679858880565,% change,5009,62
Arkansas,Bradley,4.595413511351945,% change,5011,68
Arkansas,Calhoun,-0.43390118564929264,% change,5013,72
Arkansas,Carroll,-16.621267651302126,% change,5015,74
Arkansas,Chicot,1277.933293663798,% change,5017,77
Arkansas,Clark,191.23024763459105,% change,5019,86
Arkansas,Clay,-4.062577047065794,% change,5021,93
Arkansas,Cleburne,-43.32234396254919,% change,5023,97
Arkansas,Cleveland,-14.165577804149432,% change,5025,103
Arkansas,Columbia,-16.814305840345988,% change,5027,107
Arkansas,Conway,-19.829996282007837,% change,5029,109
Arkansas,Craighead,-36.42287153199222,% change,5031,114
Arkansas,Crawford,-24.39543174931303,% change,5033,115
Arkansas,Crittenden,5.429622353132536,% change,5035,119
Arkansas,Cross,-19.209819206901727,% change,5037,124
Arkansas,Dallas,124.67074650760833,% change,5039,128
Arkansas,Desha,7.77354410658482,% change,5041,130
Arkansas,Drew,22.480203136391637,% change,5043,136
Arkansas,Faulkner,-37.509856691465,% change,5045,141
Arkansas,Franklin,-48.39563838117618,% change,5047,144
Arkansas,Fulton,0.9024538532334494,% change,5049,146
Arkansas,Garland,-4.241322452920665,% change,5051,151
Arkansas,Grant,-1.1647632060459014,% change,5053,155
Arkansas,Greene,4.829727335681743,% change,5055,162
Arkansas,Hempstead,12.70917728994415,% change,5057,172
Arkansas,Hot Spring,-10.831760435749809,% change,5059,184
Arkansas,Howard,148.28054555216195,% change,5061,191
Arkansas,Independence,-18.742788929304684,% change,5063,200
Arkansas,Izard,-78.21491656535346,% change,5065,203
Arkansas,Jackson,44.08863301121802,% change,5067,209
Arkansas,Jefferson,10.911511266199444,% change,5069,213
Arkansas,Johnson,-34.122179473829426,% change,5071,218
Arkansas,Lafayette,0.1514938387215466,% change,5073,222
Arkansas,Lawrence,15.146604481394213,% change,5075,230
Arkansas,Lee,3.7886053093918,% change,5077,237
Arkansas,Lincoln,-7.445474259250698,% change,5079,244
Arkansas,Little River,157.21826593817096,% change,5081,251
Arkansas,Logan,-42.54489008904002,% change,5083,258
Arkansas,Lonoke,-6.463170562462128,% change,5085,268
Arkansas,Madison,-6.685424320365844,% change,5087,277
Arkansas,Marion,0.0,% change,5089,282
Arkansas,Miller,35.42510355595661,% change,5091,287
Arkansas,Mississippi,0.10416701977743795,% change,5093,294
Arkansas,Monroe,0.0,% change,5095,300
Arkansas,Montgomery,-5.188924704943283,% change,5097,304
Arkansas,Nevada,8.67549750754757,% change,5099,307
Arkansas,Newton,27.84815427311798,% change,5101,311
Arkansas,Ouachita,-6.604259673822222,% change,5103,316
Arkansas,Perry,39.57276393012496,% change,5105,318
Arkansas,Phillips,39.04173501283659,% change,5107,322
Arkansas,Pike,18.699190495779966,% change,5109,327
Arkansas,Poinsett,185.84739814774647,% change,5111,333
Arkansas,Polk,4.88130553540095,% change,5113,337
Arkansas,Pope,-4.350228077922391,% change,5115,340
Arkansas,Prairie,634.2283484879013,% change,5117,345
Arkansas,Pulaski,-18.82505426257011,% change,5119,350
Arkansas,Randolph,-2.388850168428181,% change,5121,353
Arkansas,St. Francis,8.856381681211332,% change,5123,357
Arkansas,Saline,3.0368689405494886,% change,5125,360
Arkansas,Scott,-5.178694478345861,% change,5127,364
Arkansas,Searcy,1.6532337883494397,% change,5129,372
Arkansas,Sebastian,-25.72625012402929,% change,5131,378
Arkansas,Sevier,-28.00064946117517,% change,5133,390
Arkansas,Sharp,6.713394934219186,% change,5135,394
Arkansas,Stone,2.4163179370780172,% change,5137,399
Arkansas,Union,15.48269803271938,% change,5139,403
Arkansas,Van Buren,-17.759642733000547,% change,5141,407
Arkansas,Washington,-31.595230150037327,% change,5143,417
Arkansas,White,-11.865886379325168,% change,5145,428
Arkansas,Woodruff,3.3257510347428174,% change,5147,435
Arkansas,Yell,77.79870226231147,% change,5149,438
California,Alameda,-27.78286474895663,% change,6001,457
California,Alpine,-12.338558747871748,% change,6003,461
California,Amador,25.981637105610595,% change,6005,472
California,Butte,-3.1428867912848975,% change,6007,486
California,Calaveras,19.427054261951653,% change,6009,489
California,Colusa,0.0,% change,6011,497
California,Contra Costa,-1.510484554220217,% change,6013,503
California,Del Norte,18.400689249492864,% change,6015,511
California,El Dorado,-0.9467730972348662,% change,6017,522
California,Fresno,-22.272895956034017,% change,6019,527
California,Glenn,-18.53539812734411,% change,6021,537
California,Humboldt,-5.680397548226833,% change,6023,551
California,Imperial,10.265156399609046,% change,6025,557
California,Inyo,-0.017339157894821686,% change,6027,562
California,Kern,0.3397088521946134,% change,6029,84
California,Kings,-14.442315346240772,% change,6031,94
California,Lake,6.689568442289616,% change,6033,100
California,Lassen,3.318525547066906,% change,6035,104
California,Los Angeles,2.689068036987244,% change,6037,139
California,Madera,0.31232005003425467,% change,6039,153
California,Marin,-15.089867315699419,% change,6041,168
California,Mariposa,1.6311313551615172,% change,6043,178
California,Mendocino,-4.832241561882351,% change,6045,190
California,Merced,11.510009026750126,% change,6047,204
California,Modoc,-27.74216719589534,% change,6049,207
California,Mono,1.9820953639186683,% change,6051,214
California,Monterey,5.44211514416234,% change,6053,228
California,Napa,-17.182205352457423,% change,6055,236
California,Nevada,16.937318333055323,% change,6057,243
California,Orange,-15.758719597674439,% change,6059,257
California,Placer,7.2439761704781045,% change,6061,266
California,Plumas,6.12890714574939,% change,6063,275
California,Riverside,4.173704321068518,% change,6065,281
California,Sacramento,0.5804115022036425,% change,6067,289
California,San Benito,0.056223475911169475,% change,6069,295
California,San Bernardino,-5.573740673303597,% change,6071,302
California,San Diego,-7.831052874326347,% change,6073,315
California,San Francisco,-95.06139068645184,% change,6075,331
California,San Joaquin,23.558297520018094,% change,6077,339
California,San Luis Obispo,-4.252186575804169,% change,6079,351
California,San Mateo,-10.815308360590894,% change,6081,368
California,Santa Barbara,-6.4561797051257725,% change,6083,391
California,Santa Clara,-14.217502621467212,% change,6085,406
California,Santa Cruz,-16.8012460656066,% change,6087,415
California,Shasta,-1.2769921619634739,% change,6089,431
California,Sierra,0.19412438250903483,% change,6091,439
California,Siskiyou,0.08807941058472683,% change,6093,446
California,Solano,-29.46318125705545,% change,6095,453
California,Sonoma,-7.477905356638903,% change,6097,463
California,Stanislaus,-14.808619724614184,% change,6099,473
California,Sutter,-3.34860529091247,% change,6101,483
California,Tehama,25.811499850731423,% change,6103,492
California,Trinity,3.8874340573159345,% change,6105,500
California,Tulare,-8.676034516452166,% change,6107,501
California,Tuolumne,4.994903387882817,% change,6109,513
California,Ventura,0.2975301555303746,% change,6111,521
California,Yolo,-26.60587275191988,% change,6113,525
California,Yuba,0.12874604694923394,% change,6115,541
Colorado,Adams,-0.47746421396792094,% change,8001,545
Colorado,Alamosa,-9.680892588278034,% change,8003,549
Colorado,Arapahoe,-40.393516147198646,% change,8005,558
Colorado,Archuleta,31.439514809902015,% change,8007,560
Colorado,Baca,0.0,% change,8009,563
Colorado,Bent,1.2010760767185946,% change,8011,564
Colorado,Boulder,1.1922729353531676,% change,8013,570
Colorado,Broomfield,128.174308957962,% change,8014,577
Colorado,Chaffee,17.232411069731963,% change,8015,582
Colorado,Cheyenne,0.0,% change,8017,587
Colorado,Clear Creek,-0.010464474458215628,% change,8019,591
Colorado,Conejos,0.0,% change,8021,596
Colorado,Costilla,0.0,% change,8023,599
Colorado,Crowley,-78.06730059608066,% change,8025,605
Colorado,Custer,9.96305770695354,% change,8027,610
Colorado,Delta,75.85701245622008,% change,8029,617
Colorado,Denver,-34.50516933120318,% change,8031,628
Colorado,Dolores,598.6165526300903,% change,8033,636
Colorado,Douglas,-1.4029486548969639,% change,8035,644
Colorado,Eagle,11.674988821969057,% change,8037,648
Colorado,Elbert,-2.677638790410435,% change,8039,655
Colorado,El Paso,-22.671957502929597,% change,8041,661
Colorado,Fremont,9.565553784014028,% change,8043,664
Colorado,Garfield,-23.58578368506067,% change,8045,667
Colorado,Gilpin,0.0,% change,8047,672
Colorado,Grand,-83.70954565910334,% change,8049,677
Colorado,Gunnison,-0.32533214234150865,% change,8051,682
Colorado,Hinsdale,-86.9168304856845,% change,8053,688
Colorado,Huerfano,-1.2552617778684974,% change,8055,693
Colorado,Jackson,-0.05318217209238858,% change,8057,701
Colorado,Jefferson,-5.990885874222383,% change,8059,706
Colorado,Kiowa,0.0,% change,8061,711
Colorado,Kit Carson,-53.35353445438476,% change,8063,716
Colorado,Lake,-72.67320010230823,% change,8065,721
Colorado,La Plata,4.50694474022235,% change,8067,727
Colorado,Larimer,-13.201566090489985,% change,8069,734
Colorado,Las Animas,0.009648775328478356,% change,8071,741
Colorado,Lincoln,-0.5194583573700309,% change,8073,747
Colorado,Logan,-5.966993757063179,% change,8075,749
Colorado,Mesa,-1.2524458232632243,% change,8077,751
Colorado,Mineral,-83.8095699608494,% change,8079,757
Colorado,Moffat,0.012104406979565226,% change,8081,758
Colorado,Montezuma,-5.92635202818282,% change,8083,766
Colorado,Montrose,4.146756416850874,% change,8085,769
Colorado,Morgan,1.4547028411487422,% change,8087,775
Colorado,Otero,-3.3406868812751718,% change,8089,777
Colorado,Ouray,-18.86949001947828,% change,8091,780
Colorado,Park,-2.854023395547623,% change,8093,782
Colorado,Phillips,-89.54838668736954,% change,8095,785
Colorado,Pitkin,-18.103093160511026,% change,8097,789
Colorado,Prowers,-20.36915530682467,% change,8099,792
Colorado,Pueblo,-17.044114743550754,% change,8101,795
Colorado,Rio Blanco,-0.30848156477949135,% change,8103,799
Colorado,Rio Grande,386.2845777080415,% change,8105,802
Colorado,Routt,-14.70214843895022,% change,8107,809
Colorado,Saguache,-75.72955726497888,% change,8109,811
Colorado,San Juan,0.0,% change,8111,347
Colorado,San Miguel,3.7314832834549936,% change,8113,359
Colorado,Sedgwick,-0.11576377547352927,% change,8115,366
Colorado,Summit,-24.18787536492742,% change,8117,373
Colorado,Teller,-51.70389263633729,% change,8119,375
Colorado,Washington,0.0,% change,8121,377
Colorado,Weld,1.1438103813511986,% change,8123,382
Colorado,Yuma,0.0,% change,8125,385
Connecticut,Fairfield,3.3595886924991576,% change,9001,410
Connecticut,Hartford,-6.301419691998586,% change,9003,432
Connecticut,Litchfield,17.717361973885556,% change,9005,443
Connecticut,Middlesex,-9.17858582082099,% change,9007,450
Connecticut,New Haven,-2.170768232997498,% change,9009,466
Connecticut,New London,21.578893425816396,% change,9011,517
Connecticut,Tolland,25.491714864218203,% change,9013,524
Connecticut,Windham,-16.2208172376004,% change,9015,529
Delaware,Kent,-19.431275574538105,% change,10001,532
Delaware,New Castle,-26.024951845041393,% change,10003,536
Delaware,Sussex,-13.477563616159404,% change,10005,609
District of Columbia,District of Columbia,-32.38410812110105,% change,11001,630
Florida,Alachua,-31.176051086245575,% change,12001,639
Florida,Baker,0.36890361210430284,% change,12003,641
Florida,Bay,-6.3605207407837625,% change,12005,658
Florida,Bradford,-0.9580775143710532,% change,12007,665
Florida,Brevard,1.4840268840433168,% change,12009,686
Florida,Broward,-21.284905087039274,% change,12011,695
Florida,Calhoun,-37.40853652318834,% change,12013,699
Florida,Charlotte,2.6151589483788595,% change,12015,743
Florida,Citrus,4.3722743522043706,% change,12017,843
Florida,Clay,0.2642092488776733,% change,12019,852
Florida,Collier,-1.5995175882913948,% change,12021,894
Florida,Columbia,1.0234860130482,% change,12023,903
Florida,DeSoto,-2.0675080552319898,% change,12027,906
