State,County,Hispanic ethnicity low access to store (%) 2015 (PCT_LACCESS_HISP15),Units,FIPS,FID
Arizona,Yuma,10.349410258388053,Percent,4027,42
Arkansas,Arkansas,1.1447711689246016,Percent,5001,46
Arkansas,Ashley,0.8453751329900928,Percent,5003,50
Arkansas,Baxter,0.1970729980098008,Percent,5005,54
Arkansas,Benton,3.191739774571431,Percent,5007,59
Arkansas,Boone,0.3786414558117117,Percent,5009,62
Arkansas,Bradley,0.7534144485386627,Percent,5011,68
Arkansas,Calhoun,1.6995482370593444,Percent,5013,72
Arkansas,Carroll,1.0678794823617066,Percent,5015,74
Arkansas,Chicot,2.8360437028781695,Percent,5017,77
Arkansas,Clark,2.429386493742096,Percent,5019,86
Arkansas,Clay,0.10273370750573647,Percent,5021,93
Arkansas,Cleburne,0.12284715394454909,Percent,5023,97
Arkansas,Cleveland,0.5467042787790516,Percent,5025,103
Arkansas,Columbia,0.24096184021778633,Percent,5027,107
Arkansas,Conway,0.3657211271532309,Percent,5029,109
Arkansas,Craighead,0.8918318175587134,Percent,5031,114
Arkansas,Crawford,1.9304341786681252,Percent,5033,115
Arkansas,Crittenden,0.2547855240351558,Percent,5035,119
Arkansas,Cross,0.26887401107350584,Percent,5037,124
Arkansas,Dallas,0.8097819617968617,Percent,5039,128
Arkansas,Desha,1.0589736542019679,Percent,5041,130
Arkansas,Drew,0.6718450658219298,Percent,5043,136
Arkansas,Faulkner,0.7599924938180268,Percent,5045,141
Arkansas,Franklin,0.11231490696547476,Percent,5047,144
Arkansas,Fulton,0.15090361424232748,Percent,5049,146
Arkansas,Garland,1.3626362849308504,Percent,5051,151
Arkansas,Grant,0.7911503969288299,Percent,5053,155
Arkansas,Greene,0.5463087699306463,Percent,5055,162
Arkansas,Hempstead,2.8562804999292717,Percent,5057,172
Arkansas,Hot Spring,0.43830174314850406,Percent,5059,184
Arkansas,Howard,3.668981138022199,Percent,5061,191
Arkansas,Independence,1.106912658866019,Percent,5063,200
Arkansas,Izard,0.012139435927574037,Percent,5065,203
